"Representative","Office Running For","Total Spent"
"Lindsey Graham (R-SC) ","South Carolina SenateCurrent office: South Carolina District 03","$6709420"
"Greg Ganske (R-Iowa) ","Iowa SenateCurrent office: Iowa District 04","$5795017"
"John E. Sununu (R-NH) ","New Hampshire SenateCurrent office: New Hampshire District 01","$3679562"
"Bob Barr (R-Ga) ","Georgia District 07","$3336216"
"Bob Clement (D-Tenn) ","Tennessee SenateCurrent office: Tennessee District 05","$3183954"
"John Cooksey (R-La) ","Louisiana SenateCurrent office: Louisiana District 05","$2166884"
"Ed Bryant (R-Tenn) ","Tennessee SenateCurrent office: Tennessee District 07","$2013337"
"Ken Bentsen (D-Texas) ","Texas SenateCurrent office: Texas District 25","$1449035"
"Darrell Issa (R-Calif) ","California District 49Current office: California District 48","$365952"
