"Representative","Office Running For","Total Spent"
"Ron Paul (R) ","2012 Presidential RaceCurrent office: Texas District 14","$39968390"
"John Boehner (R-Ohio) ","Ohio District 08","$21197801"
"Allen West (R-Fla) ","Florida District 18Current office: Florida District 22","$18471216"
"Tammy Baldwin (D-Wis) ","Wisconsin SenateCurrent office: Wisconsin District 02","$15204940"
"Michele Bachmann (R-Minn) ","Minnesota District 06","$11946232"
"Shelley Berkley (D-Nev) ","Nevada SenateCurrent office: Nevada District 01","$11624756"
"Christopher S. Murphy (D-Conn) ","Connecticut SenateCurrent office: Connecticut District 05","$10436219"
"Jeff Flake (R-Ariz) ","Arizona SenateCurrent office: Arizona District 06","$9557420"
"Denny Rehberg (R-Mont) ","Montana SenateCurrent office: Montana District 01","$9526859"
"Connie Mack (R-Fla) ","Florida SenateCurrent office: Florida District 14","$7508151"
"Eric Cantor (R-Va) ","Virginia District 07","$7477917"
"Martin Heinrich (D-NM) ","New Mexico SenateCurrent office: New Mexico District 01","$6692326"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$6651221"
"Rick Berg (R-ND) ","North Dakota SenateCurrent office: North Dakota District 01","$6344251"
"Brad Sherman (D-Calif) ","California District 30Current office: California District 27","$6172614"
"Todd Akin (R-Mo) ","Missouri SenateCurrent office: Missouri District 02","$6165888"
"Howard L. Berman (D-Calif) ","California District 30Current office: California District 28","$5772180"
"Mazie K. Hirono (D-Hawaii) ","Hawaii SenateCurrent office: Hawaii District 02","$5644499"
"Joe Donnelly (D-Ind) ","Indiana SenateCurrent office: Indiana District 02","$5579171"
"Charles W. Boustany Jr (R-La) ","Louisiana District 03Current office: Louisiana District 07","$4867555"
"Fred Upton (R-Mich) ","Michigan District 06","$4724798"
"Kathleen Hochul (D-NY) ","New York District 27Current office: New York District 26","$4602796"
"Robert Dold (R-Ill) ","Illinois District 10","$4543049"
"Ed Royce (R-Calif) ","California District 39Current office: California District 40","$4515190"
"Suzan DelBene (D-Wash) ","Washington District 01","$4496799"
"Kevin McCarthy (R-Calif) ","California District 23Current office: California District 22","$4027748"
"Tom Latham (R-Iowa) ","Iowa District 03Current office: Iowa District 04","$3882304"
"Mike Coffman (R-Colo) ","Colorado District 06","$3838137"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$3838033"
"Steven A. King (R-Iowa) ","Iowa District 04Current office: Iowa District 05","$3815765"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 23Current office: Florida District 20","$3520042"
"Bill Pascrell Jr (D-NJ) ","New Jersey District 09Current office: New Jersey District 08","$3506000"
"Peter Roskam (R-Ill) ","Illinois District 06","$3406887"
"Dave Camp (R-Mich) ","Michigan District 04","$3299098"
"Lois Capps (D-Calif) ","California District 24Current office: California District 23","$3286650"
"Jim Renacci (R-Ohio) ","Ohio District 16","$3284373"
"Nan Hayworth (R-NY) ","New York District 18Current office: New York District 19","$3254072"
"Judy Biggert (R-Ill) ","Illinois District 11Current office: Illinois District 13","$3235189"
"Steve Israel (D-NY) ","New York District 03Current office: New York District 02","$3169049"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$3087260"
"Timothy H. Bishop (D-NY) ","New York District 01","$3031036"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$3001167"
"Edwin G. Perlmutter (D-Colo) ","Colorado District 07","$2988391"
"Spencer Bachus (R-Ala) ","Alabama District 06","$2904501"
"John Barrow (D-Ga) ","Georgia District 12","$2880363"
"Brian P. Bilbray (R-Calif) ","California District 52Current office: California District 50","$2772270"
"Jerry McNerney (D-Calif) ","California District 09Current office: California District 11","$2744514"
"Joseph Crowley (D-NY) ","New York District 14Current office: New York District 07","$2722991"
"Dan Lungren (R-Calif) ","California District 07Current office: California District 03","$2716574"
"Ron Barber (D-Ariz) ","Arizona District 02Current office: Arizona District 08","$2690570"
"Kristi Noem (R-SD) ","South Dakota District 01","$2688180"
"Vernon Buchanan (R-Fla) ","Florida District 16Current office: Florida District 13","$2667717"
"Bruce Braley (D-Iowa) ","Iowa District 01","$2664440"
"Henry A. Waxman (D-Calif) ","California District 33Current office: California District 30","$2663179"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$2649102"
"Jeff Denham (R-Calif) ","California District 10Current office: California District 19","$2647698"
"Mark Critz (D-Pa) ","Pennsylvania District 12","$2605184"
"Sean P. Duffy (R-Wis) ","Wisconsin District 07","$2601113"
"Michael G. Fitzpatrick (R-Pa) ","Pennsylvania District 08","$2586004"
"Jeb Hensarling (R-Texas) ","Texas District 05","$2583174"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$2567483"
"Betty Sue Sutton (D-Ohio) ","Ohio District 16Current office: Ohio District 13","$2553499"
"Scott Rigell (R-Va) ","Virginia District 02","$2550870"
"Steve Stivers (R-Ohio) ","Ohio District 15","$2541561"
"Francisco Canseco (R-Texas) ","Texas District 23","$2534135"
"Ben Chandler (D-Ky) ","Kentucky District 06","$2533044"
"Bobby Schilling (R-Ill) ","Illinois District 17","$2507348"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$2505567"
"Nita M. Lowey (D-NY) ","New York District 17Current office: New York District 18","$2491789"
"Janice Hahn (D-Calif) ","California District 44Current office: California District 36","$2483980"
"John L. Mica (R-Fla) ","Florida District 07","$2473672"
"Louise M. Slaughter (D-NY) ","New York District 25Current office: New York District 28","$2469257"
"Mary Bono Mack (R-Calif) ","California District 36Current office: California District 45","$2423516"
"David Cicilline (D-RI) ","Rhode Island District 01","$2415518"
"Greg Walden (R-Ore) ","Oregon District 02","$2395608"
"John M. Shimkus (R-Ill) ","Illinois District 15Current office: Illinois District 19","$2384832"
"Jim Matheson (D-Utah) ","Utah District 04Current office: Utah District 02","$2384427"
"Chip Cravaack (R-Minn) ","Minnesota District 08","$2377366"
"Joe Heck (R-Nev) ","Nevada District 03","$2346654"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$2299261"
"Jim Himes (D-Conn) ","Connecticut District 04","$2289994"
"Suzanne Bonamici (D-Ore) ","Oregon District 01","$2280582"
"Mike McIntyre (D-NC) ","North Carolina District 07","$2253834"
"John B. Larson (D-Conn) ","Connecticut District 01","$2232558"
"Scott Tipton (R-Colo) ","Colorado District 03","$2225171"
"James E. Clyburn (D-SC) ","South Carolina District 06","$2223870"
"Jeff Landry (R-La) ","Louisiana District 03","$2215790"
"Michael Grimm (R-NY) ","New York District 11Current office: New York District 13","$2204598"
"Ben Quayle (R-Ariz) ","Arizona District 06Current office: Arizona District 03","$2179819"
"Aaron Schock (R-Ill) ","Illinois District 18","$2164695"
"Keith Ellison (D-Minn) ","Minnesota District 05","$2160554"
"Chris Gibson (R-NY) ","New York District 19Current office: New York District 20","$2153689"
"Diane Black (R-Tenn) ","Tennessee District 06","$2153238"
"Joe Barton (R-Texas) ","Texas District 06","$2152616"
