"Representative","Office Running For","Total Spent"
"Dan Benishek (R-Mich) ","Michigan District 01","$2128930"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$2108953"
"Reid Ribble (R-Wis) ","Wisconsin District 08","$2086968"
"Charles Bass (R-NH) ","New Hampshire District 02","$2072141"
"John Garamendi (D-Calif) ","California District 03Current office: California District 10","$2064922"
"Ann Marie Buerkle (R-NY) ","New York District 24Current office: New York District 25","$2059235"
"Lee Terry (R-Neb) ","Nebraska District 02","$2033246"
"Bill Johnson (R-Ohio) ","Ohio District 06","$2007027"
"Tom Reed (R-NY) ","New York District 23Current office: New York District 29","$2006454"
"Nancy Pelosi (D-Calif) ","California District 12Current office: California District 08","$2001648"
"Jon Runyan (R-NJ) ","New Jersey District 03","$1999879"
"Joe Walsh (R-Ill) ","Illinois District 08","$1995015"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$1987459"
"Robert Hurt (R-Va) ","Virginia District 05","$1980843"
"Lloyd Doggett (D-Texas) ","Texas District 35Current office: Texas District 25","$1977380"
"Adam Kinzinger (R-Ill) ","Illinois District 16Current office: Illinois District 11","$1972830"
"John Kline (R-Minn) ","Minnesota District 02","$1957356"
"David Schweikert (R-Ariz) ","Arizona District 06Current office: Arizona District 05","$1939383"
"Bill Owens (D-NY) ","New York District 21Current office: New York District 23","$1939276"
"Timothy J. Walz (D-Minn) ","Minnesota District 01","$1930831"
"Richard E. Neal (D-Mass) ","Massachusetts District 01Current office: Massachusetts District 02","$1902834"
"Bob Goodlatte (R-Va) ","Virginia District 06","$1888067"
"Gary Peters (D-Mich) ","Michigan District 14Current office: Michigan District 09","$1887340"
"Carolyn B. Maloney (D-NY) ","New York District 12Current office: New York District 14","$1862565"
"Carolyn McCarthy (D-NY) ","New York District 04","$1860331"
"Cory Gardner (R-Colo) ","Colorado District 04","$1849386"
"Frank Guinta (R-NH) ","New Hampshire District 01","$1847673"
"Todd Young (R-Ind) ","Indiana District 09","$1823459"
"Tom Price (R-Ga) ","Georgia District 06","$1779246"
"Buck Mckeon (R-Calif) ","California District 25","$1769400"
"Leonard Boswell (D-Iowa) ","Iowa District 03","$1766439"
"Pedro Pierluisi (D-PR) ","Puerto Rico District 00","$1766228"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$1765172"
"Mike Rogers (R-Mich) ","Michigan District 08","$1726144"
"Steve Southerland (R-Fla) ","Florida District 02","$1722317"
"Nick Rahall (D-WVa) ","West Virginia District 03","$1720828"
"Pete Sessions (R-Texas) ","Texas District 32","$1716843"
"Gary Miller (R-Calif) ","California District 31Current office: California District 42","$1706171"
"Lamar Smith (R-Texas) ","Texas District 21","$1705681"
"Loretta Sanchez (D-Calif) ","California District 46Current office: California District 47","$1674006"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$1663974"
"Tim Griffin (R-Ark) ","Arkansas District 02","$1659463"
"Sander Levin (D-Mich) ","Michigan District 09Current office: Michigan District 12","$1649665"
"Anna Eshoo (D-Calif) ","California District 18Current office: California District 14","$1629524"
"Patrick Meehan (R-Pa) ","Pennsylvania District 07","$1627729"
"Jaime Herrera Beutler (R-Wash) ","Washington District 03","$1623136"
"Mike Thompson (D-Calif) ","California District 05Current office: California District 01","$1617251"
"Dave Reichert (R-Wash) ","Washington District 08","$1597770"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$1593292"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$1588127"
"Xavier Becerra (D-Calif) ","California District 34Current office: California District 31","$1570151"
"Ron Kind (D-Wis) ","Wisconsin District 03","$1568649"
"Charles B. Rangel (D-NY) ","New York District 13Current office: New York District 15","$1553263"
"David Loebsack (D-Iowa) ","Iowa District 02","$1544561"
"Rush Holt (D-NJ) ","New Jersey District 12","$1511880"
"Charlie Dent (R-Pa) ","Pennsylvania District 15","$1511724"
"Jared Polis (D-Colo) ","Colorado District 02","$1504673"
"Daniel Webster (R-Fla) ","Florida District 10Current office: Florida District 08","$1498872"
"Collin Peterson (D-Minn) ","Minnesota District 07","$1497202"
"Lynn Jenkins (R-Kan) ","Kansas District 02","$1492090"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$1483252"
"Jerrold Nadler (D-NY) ","New York District 10Current office: New York District 08","$1471936"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1466341"
"Doc Hastings (R-Wash) ","Washington District 04","$1453308"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$1449947"
"Joe Courtney (D-Conn) ","Connecticut District 02","$1449935"
"Andy Harris (R-Md) ","Maryland District 01","$1445786"
"Niki Tsongas (D-Mass) ","Massachusetts District 03Current office: Massachusetts District 05","$1440655"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$1438336"
"Alan Nunnelee (R-Miss) ","Mississippi District 01","$1432932"
"John Campbell (R-Calif) ","California District 45Current office: California District 48","$1421706"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1413897"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$1408633"
"Vicky Hartzler (R-Mo) ","Missouri District 04","$1404888"
"Peter DeFazio (D-Ore) ","Oregon District 04","$1401802"
"Chuck Fleischmann (R-Tenn) ","Tennessee District 03","$1398210"
"Pete Stark (D-Calif) ","California District 15Current office: California District 13","$1397139"
"Gerry Connolly (D-Va) ","Virginia District 11","$1396232"
"Larry Bucshon (R-Ind) ","Indiana District 08","$1388672"
"Kay Granger (R-Texas) ","Texas District 12","$1369512"
"Tim Scott (R-SC) ","South Carolina District 01","$1363197"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$1362902"
"John Sullivan (R-Okla) ","Oklahoma District 01","$1360059"
"Randy Hultgren (R-Ill) ","Illinois District 14","$1349326"
"Bob Gibbs (R-Ohio) ","Ohio District 07Current office: Ohio District 18","$1347806"
"Russ Carnahan (D-Mo) ","Missouri District 01Current office: Missouri District 03","$1343818"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1338067"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$1336918"
"Lou Barletta (R-Pa) ","Pennsylvania District 11","$1335285"
"Leonard Lance (R-NJ) ","New Jersey District 07","$1334015"
"Hal Rogers (R-Ky) ","Kentucky District 05","$1322648"
"Morgan Griffith (R-Va) ","Virginia District 09","$1320306"
"Randy Neugebauer (R-Texas) ","Texas District 19","$1319609"
"Tim Walberg (R-Mich) ","Michigan District 07","$1309735"
"Larry Kissell (D-NC) ","North Carolina District 08","$1308675"
"Sanford Bishop (D-Ga) ","Georgia District 02","$1301604"
"John Lewis (D-Ga) ","Georgia District 05","$1300095"
"Silvestre Reyes (D-Texas) ","Texas District 16","$1293361"
"Cliff Stearns (R-Fla) ","Florida District 03Current office: Florida District 06","$1290069"
"Nydia M. Velazquez (D-NY) ","New York District 07Current office: New York District 12","$1285102"
"Robert E. Latta (R-Ohio) ","Ohio District 05","$1284548"
"Henry Cuellar (D-Texas) ","Texas District 28","$1279636"
"Jim Costa (D-Calif) ","California District 16Current office: California District 20","$1274919"
"Kevin Brady (R-Texas) ","Texas District 08","$1268522"
"Scott Desjarlais (R-Tenn) ","Tennessee District 04","$1266554"
"Don Manzullo (R-Ill) ","Illinois District 16","$1265445"
"Jo Bonner (R-Ala) ","Alabama District 01","$1263168"
"Glenn Thompson (R-Pa) ","Pennsylvania District 05","$1262547"
"David McKinley (R-WVa) ","West Virginia District 01","$1251707"
"Pete Olson (R-Texas) ","Texas District 22","$1244947"
"Randy Forbes (R-Va) ","Virginia District 04","$1240932"
"Paul Broun (R-Ga) ","Georgia District 10","$1226801"
"Rick Larsen (D-Wash) ","Washington District 02","$1225993"
"Rick Crawford (R-Ark) ","Arkansas District 01","$1211036"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$1208911"
"Jack Kingston (R-Ga) ","Georgia District 01","$1208214"
"Mike Conaway (R-Texas) ","Texas District 11","$1206228"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$1203041"
"Pete King (R-NY) ","New York District 02Current office: New York District 03","$1201207"
"Mike Michaud (D-Maine) ","Maine District 02","$1199775"
"Steve Scalise (R-La) ","Louisiana District 01","$1198852"
"Justin Amash (R-Mich) ","Michigan District 03","$1193611"
"Mike Simpson (R-Idaho) ","Idaho District 02","$1192871"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$1191843"
"Renee Ellmers (R-NC) ","North Carolina District 02","$1190907"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 27Current office: Florida District 18","$1190873"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$1184498"
"Eliot L. Engel (D-NY) ","New York District 16Current office: New York District 17","$1182937"
"Blake Farenthold (R-Texas) ","Texas District 27","$1182936"
"Jim Moran (D-Va) ","Virginia District 08","$1170285"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$1169821"
"Kurt Schrader (D-Ore) ","Oregon District 05","$1167997"
"Joe Baca (D-Calif) ","California District 35Current office: California District 43","$1162457"
"Colleen Hanabusa (D-Hawaii) ","Hawaii District 01","$1162296"
"Barbara Lee (D-Calif) ","California District 13Current office: California District 09","$1148468"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$1140897"
"Phil Gingrey (R-Ga) ","Georgia District 11","$1140885"
"Rodney Alexander (R-La) ","Louisiana District 05","$1132955"
"Sam Graves (R-Mo) ","Missouri District 06","$1132803"
"Jim Langevin (D-RI) ","Rhode Island District 02","$1131248"
"Mark Amodei (R-Nev) ","Nevada District 02","$1129926"
"Patrick McHenry (R-NC) ","North Carolina District 10","$1127555"
"Tom Graves (R-Ga) ","Georgia District 14Current office: Georgia District 09","$1126844"
"Paul Gosar (R-Ariz) ","Arizona District 04Current office: Arizona District 01","$1126649"
"Tom McClintock (R-Calif) ","California District 04","$1125498"
"Steve Pearce (R-NM) ","New Mexico District 02","$1121521"
"Darrell Issa (R-Calif) ","California District 49","$1115222"
"Edward J. Markey (D-Mass) ","Massachusetts District 05Current office: Massachusetts District 07","$1110492"
"Scott Garrett (R-NJ) ","New Jersey District 05","$1105177"
"Linda Sanchez (D-Calif) ","California District 38Current office: California District 39","$1104480"
"Ed Pastor (D-Ariz) ","Arizona District 07Current office: Arizona District 04","$1103157"
"Michael R. Turner (R-Ohio) ","Ohio District 10Current office: Ohio District 03","$1099375"
"Diana DeGette (D-Colo) ","Colorado District 01","$1098046"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$1096048"
"Tom Rooney (R-Fla) ","Florida District 17Current office: Florida District 16","$1092225"
"John D. Dingell (D-Mich) ","Michigan District 12Current office: Michigan District 15","$1090721"
"Devin Nunes (R-Calif) ","California District 22Current office: California District 21","$1087799"
"David Price (D-NC) ","North Carolina District 04","$1085727"
"Adam Schiff (D-Calif) ","California District 28Current office: California District 29","$1082977"
"Mike Kelly (R-Pa) ","Pennsylvania District 03","$1080095"
"Michael McCaul (R-Texas) ","Texas District 10","$1075667"
"Pete Visclosky (D-Ind) ","Indiana District 01","$1064315"
"Bill Flores (R-Texas) ","Texas District 17","$1059095"
"Lynn A. Westmoreland (R-Ga) ","Georgia District 03","$1055938"
"C. W. Bill Young (R-Fla) ","Florida District 13Current office: Florida District 10","$1047105"
"Brian M. Higgins (D-NY) ","New York District 26Current office: New York District 27","$1031410"
"Joe Wilson (R-SC) ","South Carolina District 02","$1030536"
"Mike Honda (D-Calif) ","California District 17Current office: California District 15","$1028810"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$1027866"
"Andre Carson (D-Ind) ","Indiana District 07","$1027625"
"Frank R. Wolf (R-Va) ","Virginia District 10","$1020032"
"John Carney (D-Del) ","Delaware District 01","$1016702"
"Duncan D. Hunter (R-Calif) ","California District 50Current office: California District 52","$993681"
"John Fleming (R-La) ","Louisiana District 04","$992745"
"William L. Clay Jr (D-Mo) ","Missouri District 01","$991857"
"John Conyers Jr (D-Mich) ","Michigan District 13Current office: Michigan District 14","$990585"
"Michael Burgess (R-Texas) ","Texas District 26","$990101"
"Tim Ryan (D-Ohio) ","Ohio District 13Current office: Ohio District 17","$983820"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$982102"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$981706"
"Bill Huizenga (R-Mich) ","Michigan District 02","$977483"
"Sam Johnson (R-Texas) ","Texas District 03","$972691"
"Susan A. Davis (D-Calif) ","California District 53","$952515"
"Todd Rokita (R-Ind) ","Indiana District 04","$942939"
"Betty McCollum (D-Minn) ","Minnesota District 04","$942684"
"Thomas Massie (R-Ky) ","Kentucky District 04","$941562"
"Hansen Clarke (D-Mich) ","Michigan District 14Current office: Michigan District 13","$940258"
"Raul M. Grijalva (D-Ariz) ","Arizona District 03Current office: Arizona District 07","$930950"
"Adam Smith (D-Wash) ","Washington District 09","$924161"
"Ted Deutch (D-Fla) ","Florida District 21Current office: Florida District 19","$921298"
"Gus Bilirakis (R-Fla) ","Florida District 12Current office: Florida District 09","$919050"
"Steve Fincher (R-Tenn) ","Tennessee District 08","$911703"
"Robert L. Turner (R-NY) ","New York SenateCurrent office: New York District 09","$905309"
"Bill Posey (R-Fla) ","Florida District 08Current office: Florida District 15","$900122"
"George Miller (D-Calif) ","California District 11Current office: California District 07","$885946"
"Jackie Speier (D-Calif) ","California District 14Current office: California District 12","$885672"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$882303"
"Chellie Pingree (D-Maine) ","Maine District 01","$881242"
"Sandy Adams (R-Fla) ","Florida District 07Current office: Florida District 24","$875765"
"Mac Thornberry (R-Texas) ","Texas District 13","$870521"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$870046"
"Terri A. Sewell (D-Ala) ","Alabama District 07","$862854"
"Martha Roby (R-Ala) ","Alabama District 02","$862502"
"Doris O. Matsui (D-Calif) ","California District 06Current office: California District 05","$858323"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$857241"
"Richard Hanna (R-NY) ","New York District 22Current office: New York District 24","$854032"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$849921"
"Ken Calvert (R-Calif) ","California District 42Current office: California District 44","$847023"
"John Culberson (R-Texas) ","Texas District 07","$846831"
"David Scott (D-Ga) ","Georgia District 13","$845675"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$842135"
"Jim Jordan (R-Ohio) ","Ohio District 04","$839919"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$836322"
"Jason Chaffetz (R-Utah) ","Utah District 03","$830115"
"Cedric Richmond (D-La) ","Louisiana District 02","$826311"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$820327"
"Paul Tonko (D-NY) ","New York District 20Current office: New York District 21","$820271"
"Bill Keating (D-Mass) ","Massachusetts District 09Current office: Massachusetts District 10","$816180"
"James Lankford (R-Okla) ","Oklahoma District 05","$815427"
"Tom Marino (R-Pa) ","Pennsylvania District 10","$815149"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$810326"
"Marlin Stutzman (R-Ind) ","Indiana District 03","$806826"
"Karen Bass (D-Calif) ","California District 37Current office: California District 33","$803966"
"Judy Chu (D-Calif) ","California District 27Current office: California District 32","$803348"
"Kathy Castor (D-Fla) ","Florida District 14Current office: Florida District 11","$801764"
"Candice S. Miller (R-Mich) ","Michigan District 10","$801503"
"Douglas L. Lamborn (R-Colo) ","Colorado District 05","$799502"
"Mike Pompeo (R-Kan) ","Kansas District 04","$778471"
"Donna Edwards (D-Md) ","Maryland District 04","$774459"
"Tom Cole (R-Okla) ","Oklahoma District 04","$773950"
"Edolphus Towns (D-NY) ","New York District 08Current office: New York District 10","$772797"
"Yvette D. Clarke (D-NY) ","New York District 09Current office: New York District 11","$771480"
"Mario Diaz-Balart (R-Fla) ","Florida District 25Current office: Florida District 21","$769587"
"Rob Wittman (R-Va) ","Virginia District 01","$764995"
"Austin Scott (R-Ga) ","Georgia District 08","$761855"
"Louis B. Gohmert Jr (R-Texas) ","Texas District 01","$759162"
"John Carter (R-Texas) ","Texas District 31","$757983"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$757649"
"Walter B. Jones Jr (R-NC) ","North Carolina District 03","$745971"
"Kenny Marchant (R-Texas) ","Texas District 24","$742252"
"Ben R. Lujan (D-NM) ","New Mexico District 03","$741285"
"James P. McGovern (D-Mass) ","Massachusetts District 02Current office: Massachusetts District 03","$740709"
"Steve Chabot (R-Ohio) ","Ohio District 01","$737764"
"Sam Farr (D-Calif) ","California District 20Current office: California District 17","$727206"
"John A. Yarmuth (D-Ky) ","Kentucky District 03","$725040"
"Gregory W. Meeks (D-NY) ","New York District 05Current office: New York District 06","$724665"
"Virginia Foxx (R-NC) ","North Carolina District 05","$721824"
"Ander Crenshaw (R-Fla) ","Florida District 04","$721657"
"Gene Green (D-Texas) ","Texas District 29","$721459"
"Maxine Waters (D-Calif) ","California District 43Current office: California District 35","$717251"
"Marcia L. Fudge (D-Ohio) ","Ohio District 11","$711755"
"Steven Palazzo (R-Miss) ","Mississippi District 04","$710074"
"Adrian Smith (R-Neb) ","Nebraska District 03","$705515"
"Mike Quigley (D-Ill) ","Illinois District 05","$703730"
"Mick Mulvaney (R-SC) ","South Carolina District 05","$692430"
"Jeff Miller (R-Fla) ","Florida District 01","$684275"
"Dennis Ross (R-Fla) ","Florida District 15Current office: Florida District 12","$673788"
"Tom Petri (R-Wis) ","Wisconsin District 06","$672015"
"Peter Welch (D-Vt) ","Vermont District 01","$669593"
"Don Young (R-Alaska) ","Alaska District 01","$665974"
"Kevin Yoder (R-Kan) ","Kansas District 03","$665714"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$664008"
"Jean Schmidt (R-Ohio) ","Ohio District 02","$661598"
"Albio Sires (D-NJ) ","New Jersey District 08Current office: New Jersey District 13","$660824"
"Gregg Harper (R-Miss) ","Mississippi District 03","$654281"
"Bill Cassidy (R-La) ","Louisiana District 06","$653528"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03Current office: Missouri District 09","$647737"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 08Current office: Massachusetts District 09","$642217"
"John Sarbanes (D-Md) ","Maryland District 03","$640836"
"Billy Long (R-Mo) ","Missouri District 07","$639660"
"Howard Coble (R-NC) ","North Carolina District 06","$639503"
"F. James Sensenbrenner Jr (R-Wis) ","Wisconsin District 05","$626187"
"Zoe Lofgren (D-Calif) ","California District 19Current office: California District 16","$626001"
"Chris Smith (R-NJ) ","New Jersey District 04","$622378"
"David Rivera (R-Fla) ","Florida District 26Current office: Florida District 25","$616312"
"Corrine Brown (D-Fla) ","Florida District 05Current office: Florida District 03","$613190"
"Grace Napolitano (D-Calif) ","California District 32Current office: California District 38","$610491"
"Raul Labrador (R-Idaho) ","Idaho District 01","$604719"
"Steve Womack (R-Ark) ","Arkansas District 03","$602443"
"Jim McDermott (D-Wash) ","Washington District 07","$601202"
"Jeff Duncan (R-SC) ","South Carolina District 03","$598247"
"Ralph M. Hall (R-Texas) ","Texas District 04","$598127"
"Michael E. Capuano (D-Mass) ","Massachusetts District 07Current office: Massachusetts District 08","$595432"
"Cynthia Marie Lummis (R-Wyo) ","Wyoming District 01","$593403"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$589509"
"Dana Rohrabacher (R-Calif) ","California District 48Current office: California District 46","$582122"
"Lucille Roybal-Allard (D-Calif) ","California District 40Current office: California District 34","$563471"
"Alcee L. Hastings (D-Fla) ","Florida District 20Current office: Florida District 23","$558062"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$554810"
"Richard Nugent (R-Fla) ","Florida District 11Current office: Florida District 05","$549894"
"John J. Duncan Jr (R-Tenn) ","Tennessee District 02","$548501"
"Laura Richardson (D-Calif) ","California District 44Current office: California District 37","$540277"
"Trey Gowdy (R-SC) ","South Carolina District 04","$533278"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$525952"
"Donald M. Payne Jr (D-NJ) ","New Jersey District 10","$524654"
"Phil Roe (R-Tenn) ","Tennessee District 01","$511316"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$495141"
"Ted Poe (R-Texas) ","Texas District 02","$480982"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$476407"
"Danny K. Davis (D-Ill) ","Illinois District 07","$467560"
"Mo Brooks (R-Ala) ","Alabama District 05","$455515"
"Bobby Scott (D-Va) ","Virginia District 03","$436493"
"Hank Johnson (D-Ga) ","Georgia District 04","$433431"
"Frederica Wilson (D-Fla) ","Florida District 24Current office: Florida District 17","$415147"
"Rob Bishop (R-Utah) ","Utah District 01","$403467"
"Rob Woodall (R-Ga) ","Georgia District 07","$402490"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$383849"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$381322"
"Tim Huelskamp (R-Kan) ","Kansas District 01","$370530"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$370154"
"Al Green (D-Texas) ","Texas District 09","$365844"
"Trent Franks (R-Ariz) ","Arizona District 08Current office: Arizona District 02","$354105"
