"Representative","Office Running For","Total Spent"
"Ron Paul (R) ","2008 Presidential RaceCurrent office: Texas District 14","$34542886"
"Mark Udall (D-Colo) ","Colorado SenateCurrent office: Colorado District 02","$12867562"
"Tom Tancredo (R) ","2008 Presidential RaceCurrent office: Colorado District 06","$8348761"
"Tom Udall (D-NM) ","New Mexico SenateCurrent office: New Mexico District 03","$7841887"
"Tom Allen (D-Maine) ","Maine SenateCurrent office: Maine District 01","$6462451"
"Dennis J Kucinich (D) ","2008 Presidential RaceCurrent office: Ohio District 10","$5515150"
"Robert E Andrews (D-NJ) ","New Jersey District 01","$5503470"
"Mark Kirk (R-Ill) ","Illinois District 10","$5444409"
"John Boehner (R-Ohio) ","Ohio District 08","$5345276"
"Bill Foster (D-Ill) ","Illinois District 14","$4904265"
"Steve Pearce (R-NM) ","New Mexico SenateCurrent office: New Mexico District 02","$4818083"
"Kirsten Gillibrand (D-NY) ","New York District 20","$4489391"
"Vernon Buchanan (R-Fla) ","Florida District 13","$4285554"
"Charles B Rangel (D-NY) ","New York District 15","$4209400"
"Joe Knollenberg (R-Mich) ","Michigan District 09","$4119277"
"Patrick J Murphy (D-Pa) ","Pennsylvania District 08","$3917416"
"Christopher Shays (R-Conn) ","Connecticut District 04","$3828300"
"Eric Cantor (R-Va) ","Virginia District 07","$3823907"
"Robin Hayes (R-NC) ","North Carolina District 08","$3808201"
"John P Murtha (D-Pa) ","Pennsylvania District 12","$3656397"
"Michele Bachmann (R-Minn) ","Minnesota District 06","$3565248"
"Steny H Hoyer (D-Md) ","Maryland District 05","$3435232"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$3390478"
"Niki Tsongas (D-Mass) ","Massachusetts District 05","$3277403"
"Don Young (R-Alaska) ","Alaska District 01","$3209084"
"Paul E Kanjorski (D-Pa) ","Pennsylvania District 11","$3153006"
"Chris Murphy (D-Conn) ","Connecticut District 05","$3056641"
"Jason Altmire (D-Pa) ","Pennsylvania District 04","$2986360"
"Melissa Bean (D-Ill) ","Illinois District 08","$2986001"
"Jerry McNerney (D-Calif) ","California District 11","$2957046"
"Duncan Hunter (R) ","2008 Presidential RaceCurrent office: California District 52","$2943902"
"David Dreier (R-Calif) ","California District 26","$2919351"
"John Shadegg (R-Ariz) ","Arizona District 03","$2911880"
"Jon Porter (R-Nev) ","Nevada District 03","$2873337"
"Marilyn Musgrave (R-Colo) ","Colorado District 04","$2869703"
"Barney Frank (D-Mass) ","Massachusetts District 04","$2858741"
"Dave Reichert (R-Wash) ","Washington District 08","$2852514"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$2838976"
"Gabrielle Giffords (D-Ariz) ","Arizona District 08","$2775313"
"Donald J Cazayoux (D-La) ","Louisiana District 06","$2766865"
"Tim Mahoney (D-Fla) ","Florida District 16","$2756453"
"Ron Paul (R) ","Texas District 14","$2735129"
"Nancy Pelosi (D-Calif) ","California District 08","$2727177"
"Peter Roskam (R-Ill) ","Illinois District 06","$2708859"
"Timothy J Walz (D-Minn) ","Minnesota District 01","$2704466"
"Heather A Wilson (R-NM) ","New Mexico SenateCurrent office: New Mexico District 01","$2667483"
"Phil English (R-Pa) ","Pennsylvania District 03","$2615349"
"Roy Blunt (R-Mo) ","Missouri District 07","$2597311"
"Sam Graves (R-Mo) ","Missouri District 06","$2592443"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$2583098"
"Dave Camp (R-Mich) ","Michigan District 04","$2568143"
"John D Dingell (D-Mich) ","Michigan District 15","$2522180"
"John Barrow (D-Ga) ","Georgia District 12","$2501605"
"Dennis J Kucinich (D) ","Ohio District 10","$2430560"
"Steve Chabot (R-Ohio) ","Ohio District 01","$2410292"
"James E Clyburn (D-SC) ","South Carolina District 06","$2389430"
"Nick Lampson (D-Texas) ","Texas District 22","$2384952"
"Robert Wexler (D-Fla) ","Florida District 19","$2372548"
"Ron Klein (D-Fla) ","Florida District 22","$2372293"
"Chris Carney (D-Pa) ","Pennsylvania District 10","$2333358"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$2330535"
"Ciro D Rodriguez (D-Texas) ","Texas District 23","$2326779"
"Harry E Mitchell (D-Ariz) ","Arizona District 05","$2324598"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$2310342"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$2251389"
"Baron Hill (D-Ind) ","Indiana District 09","$2185740"
"Steve Kagen (D-Wis) ","Wisconsin District 08","$2176466"
"John A Yarmuth (D-Ky) ","Kentucky District 03","$2138457"
"John Hall (D-NY) ","New York District 19","$2132173"
"Tim Walberg (R-Mich) ","Michigan District 07","$2128559"
"Chet Edwards (D-Texas) ","Texas District 17","$2114653"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$2073251"
