"Representative","Office Running For","Total Spent"
"Adam H Putnam (R-Fla) ","Florida District 12","$2054571"
"Frank R Wolf (R-Va) ","Virginia District 10","$2053375"
"Tom Davis (R-Va) ","Virginia District 11","$2052336"
"Mike D Rogers (R-Ala) ","Alabama District 03","$2047779"
"Zachary T Space (D-Ohio) ","Ohio District 18","$2040391"
"Thelma Drake (R-Va) ","Virginia District 02","$2031036"
"Bob Goodlatte (R-Va) ","Virginia District 06","$1996993"
"Tom Feeney (R-Fla) ","Florida District 24","$1989307"
"Shelley Berkley (D-Nev) ","Nevada District 01","$1985063"
"Robert E Latta (R-Ohio) ","Ohio District 05","$1950269"
"Virgil H Goode Jr (R-Va) ","Virginia District 05","$1939824"
"Joe Barton (R-Texas) ","Texas District 06","$1934766"
"Dennis Moore (D-Kan) ","Kansas District 03","$1868504"
"Lee Terry (R-Neb) ","Nebraska District 02","$1838836"
"Jim McCrery (R-La) ","Louisiana District 04","$1830587"
"Paul W Hodes (D-NH) ","New Hampshire District 02","$1827250"
"Travis W Childers (D-Miss) ","Mississippi District 01","$1822307"
"Geoff Davis (R-Ky) ","Kentucky District 04","$1811169"
"Dan Burton (R-Ind) ","Indiana District 05","$1810296"
"Michael N. Castle (R-Del) ","Delaware District 01","$1808076"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$1795659"
"Joe Courtney (D-Conn) ","Connecticut District 02","$1792920"
"Patrick J Kennedy (D-RI) ","Rhode Island District 01","$1791870"
"Charlie Dent (R-Pa) ","Pennsylvania District 15","$1775398"
"Ric Keller (R-Fla) ","Florida District 08","$1774992"
"John Culberson (R-Texas) ","Texas District 07","$1757226"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$1745577"
"Jim Marshall (D-Ga) ","Georgia District 08","$1734540"
"Joseph Crowley (D-NY) ","New York District 07","$1729732"
"Michael McCaul (R-Texas) ","Texas District 10","$1728339"
"Scott Garrett (R-NJ) ","New Jersey District 05","$1726631"
"Mike Ross (D-Ark) ","Arkansas District 04","$1722151"
"Patrick J Tiberi (R-Ohio) ","Ohio District 12","$1714042"
"Paul Broun Jr (R-Ga) ","Georgia District 10","$1694002"
"Jesse Jackson Jr (D-Ill) ","Illinois District 02","$1673968"
"Pete Visclosky (D-Ind) ","Indiana District 01","$1664250"
"Greg Walden (R-Ore) ","Oregon District 02","$1646853"
"Pete Sessions (R-Texas) ","Texas District 32","$1629824"
"Steve Scalise (R-La) ","Louisiana District 01","$1628134"
"Tom Latham (R-Iowa) ","Iowa District 04","$1627654"
"Mary Bono Mack (R-Calif) ","California District 45","$1622511"
"Michael Arcuri (D-NY) ","New York District 24","$1616138"
"Charles W Boustany Jr (R-La) ","Louisiana District 07","$1606461"
"Dean Heller (R-Nev) ","Nevada District 02","$1605840"
"Andre Carson (D-Ind) ","Indiana District 07","$1600840"
"Patrick McHenry (R-NC) ","North Carolina District 10","$1587880"
"Judy Biggert (R-Ill) ","Illinois District 13","$1585536"
"Carol Shea-Porter (D-NH) ","New Hampshire District 01","$1576897"
"Mike Pence (R-Ind) ","Indiana District 06","$1575412"
"Sam Johnson (R-Texas) ","Texas District 03","$1569813"
"Stephanie Herseth Sandlin (D-SD) ","South Dakota District 01","$1568455"
"Edolphus Towns (D-NY) ","New York District 10","$1568247"
"Mike Rogers (R-Mich) ","Michigan District 08","$1565888"
"David R Obey (D-Wis) ","Wisconsin District 07","$1560229"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$1558273"
"Leonard L Boswell (D-Iowa) ","Iowa District 03","$1547567"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$1542502"
"Gus Bilirakis (R-Fla) ","Florida District 09","$1542342"
"Fred Upton (R-Mich) ","Michigan District 06","$1527587"
"Joe Donnelly (D-Ind) ","Indiana District 02","$1520968"
"Carolyn McCarthy (D-NY) ","New York District 04","$1520492"
"Frank A LoBiondo (R-NJ) ","New Jersey District 02","$1520178"
"John R Kuhl Jr (R-NY) ","New York District 29","$1501652"
"Nita M Lowey (D-NY) ","New York District 18","$1489302"
"John Kline (R-Minn) ","Minnesota District 02","$1484962"
"Timothy H Bishop (D-NY) ","New York District 01","$1478623"
"Keith Ellison (D-Minn) ","Minnesota District 05","$1476449"
"Anna Eshoo (D-Calif) ","California District 14","$1476279"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 20","$1475436"
"Brian P Bilbray (R-Calif) ","California District 50","$1456454"
"Kay Granger (R-Texas) ","Texas District 12","$1452977"
"Donna Edwards (D-Md) ","Maryland District 04","$1443942"
"Zach Wamp (R-Tenn) ","Tennessee District 03","$1440107"
"Steve Israel (D-NY) ","New York District 02","$1436880"
"Steven C LaTourette (R-Ohio) ","Ohio District 14","$1425133"
"Spencer Bachus (R-Ala) ","Alabama District 06","$1414799"
"James L Oberstar (D-Minn) ","Minnesota District 08","$1409685"
"Xavier Becerra (D-Calif) ","California District 31","$1396520"
"Mike Thompson (D-Calif) ","California District 01","$1391605"
"Jim Matheson (D-Utah) ","Utah District 02","$1389004"
"John B Larson (D-Conn) ","Connecticut District 01","$1382170"
"Brad Ellsworth (D-Ind) ","Indiana District 08","$1366664"
"David Scott (D-Ga) ","Georgia District 13","$1365032"
"Don Manzullo (R-Ill) ","Illinois District 16","$1346244"
"Tom Price (R-Ga) ","Georgia District 06","$1337038"
"Dan Lungren (R-Calif) ","California District 03","$1325036"
"Kendrick B Meek (D-Fla) ","Florida District 17","$1311327"
"Steven R Rothman (D-NJ) ","New Jersey District 09","$1288656"
"Howard L Berman (D-Calif) ","California District 28","$1287898"
"Henry Brown (R-SC) ","South Carolina District 01","$1287308"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$1285597"
"Bart Stupak (D-Mich) ","Michigan District 01","$1281683"
"Jean Schmidt (R-Ohio) ","Ohio District 02","$1276573"
"Rush Holt (D-NJ) ","New Jersey District 12","$1268760"
"Joe Wilson (R-SC) ","South Carolina District 02","$1266821"
"Loretta Sanchez (D-Calif) ","California District 47","$1258594"
"Carolyn B Maloney (D-NY) ","New York District 14","$1257989"
"Wally Herger (R-Calif) ","California District 02","$1256602"
"Phil Gingrey (R-Ga) ","Georgia District 11","$1242887"
"Edwin G Perlmutter (D-Colo) ","Colorado District 07","$1228238"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1227724"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1221276"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$1217875"
"David Wu (D-Ore) ","Oregon District 01","$1214535"
"John M Shimkus (R-Ill) ","Illinois District 19","$1209093"
"Jim Moran (D-Va) ","Virginia District 08","$1207945"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$1206615"
"Ike Skelton (D-Mo) ","Missouri District 04","$1203525"
"John Lewis (D-Ga) ","Georgia District 05","$1195110"
"Jerry Lewis (R-Calif) ","California District 41","$1192618"
"John Conyers Jr (D-Mich) ","Michigan District 14","$1181301"
"Henry Cuellar (D-Texas) ","Texas District 28","$1178825"
"Ed Royce (R-Calif) ","California District 40","$1172942"
"John Sullivan (R-Okla) ","Oklahoma District 01","$1171990"
"William T Sali (R-Idaho) ","Idaho District 01","$1168536"
"Sue Myrick (R-NC) ","North Carolina District 09","$1164506"
"Joseph A. Sestak Jr (D-Pa) ","Pennsylvania District 07","$1162719"
"Mike McIntyre (D-NC) ","North Carolina District 07","$1160679"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$1159588"
"Norm Dicks (D-Wash) ","Washington District 06","$1159193"
"Rick Larsen (D-Wash) ","Washington District 02","$1155691"
"Rick Boucher (D-Va) ","Virginia District 09","$1153918"
"Tim Ryan (D-Ohio) ","Ohio District 17","$1151775"
"Ken Calvert (R-Calif) ","California District 44","$1150432"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$1139376"
"Bill Pascrell Jr (D-NJ) ","New Jersey District 08","$1137316"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$1132494"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$1123083"
"Tom Cole (R-Okla) ","Oklahoma District 04","$1115842"
"Rosa L DeLauro (D-Conn) ","Connecticut District 03","$1098930"
"Tim Holden (D-Pa) ","Pennsylvania District 17","$1096079"
"Jim Saxton (R-NJ) ","New Jersey District 03","$1084650"
"Bennie G Thompson (D-Miss) ","Mississippi District 02","$1081785"
"Mary Fallin (R-Okla) ","Oklahoma District 05","$1081684"
"Chris Smith (R-NJ) ","New Jersey District 04","$1076919"
"Gregory W Meeks (D-NY) ","New York District 06","$1074536"
"Lincoln Davis (D-Tenn) ","Tennessee District 04","$1074524"
"Lamar Smith (R-Texas) ","Texas District 21","$1069346"
"Carolyn Cheeks Kilpatrick (D-Mich) ","Michigan District 13","$1066838"
"Mark E Souder (R-Ind) ","Indiana District 03","$1064302"
"Thad McCotter (R-Mich) ","Michigan District 11","$1058502"
"Michael R Turner (R-Ohio) ","Ohio District 03","$1058000"
"John Carter (R-Texas) ","Texas District 31","$1053850"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1052635"
"Ellen O Tauscher (D-Calif) ","California District 10","$1049777"
"Barbara Lee (D-Calif) ","California District 09","$1048228"
"Jerrold Nadler (D-NY) ","New York District 08","$1044454"
"Collin C Peterson (D-Minn) ","Minnesota District 07","$1036463"
"Silvestre Reyes (D-Texas) ","Texas District 16","$1034725"
"Sanford D Bishop Jr (D-Ga) ","Georgia District 02","$1034540"
"Jim McDermott (D-Wash) ","Washington District 07","$1033233"
"John L Mica (R-Fla) ","Florida District 07","$1031911"
"Rodney Alexander (R-La) ","Louisiana District 05","$1021984"
"Edward J Markey (D-Mass) ","Massachusetts District 07","$1021890"
"Michael Burgess (R-Texas) ","Texas District 26","$1021104"
"Robert A Brady (D-Pa) ","Pennsylvania District 01","$1013835"
"Laura Richardson (D-Calif) ","California District 37","$1010267"
"Jeb Hensarling (R-Texas) ","Texas District 05","$1005714"
"Neil Abercrombie (D-Hawaii) ","Hawaii District 01","$1005218"
"Connie Mack (R-Fla) ","Florida District 14","$993973"
"Gary Ackerman (D-NY) ","New York District 05","$988775"
"Bob Etheridge (D-NC) ","North Carolina District 02","$984575"
"Bruce Braley (D-Iowa) ","Iowa District 01","$979333"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$979174"
"Vito Fossella (R-NY) ","New York District 13","$978369"
"Steve Buyer (R-Ind) ","Indiana District 04","$969469"
"C W Bill Young (R-Fla) ","Florida District 10","$968224"
"Todd Tiahrt (R-Kan) ","Kansas District 04","$964059"
"Allen Boyd (D-Fla) ","Florida District 02","$962421"
"Dennis Cardoza (D-Calif) ","California District 18","$962057"
"Mazie K Hirono (D-Hawaii) ","Hawaii District 02","$960819"
"Dan Boren (D-Okla) ","Oklahoma District 02","$960350"
"Lois Capps (D-Calif) ","California District 23","$957695"
"Mike Ferguson (R-NJ) ","New Jersey District 07","$953827"
"Rob Wittman (R-Va) ","Virginia District 01","$952591"
"Mike Conaway (R-Texas) ","Texas District 11","$951802"
"Darrell Issa (R-Calif) ","California District 49","$950631"
"George Miller (D-Calif) ","California District 07","$948684"
"J Randy Forbes (R-Va) ","Virginia District 04","$942026"
"David Price (D-NC) ","North Carolina District 04","$940570"
"Ralph M Hall (R-Texas) ","Texas District 04","$939249"
"Bob Filner (D-Calif) ","California District 51","$927615"
"Brian Baird (D-Wash) ","Washington District 03","$926288"
"Diana DeGette (D-Colo) ","Colorado District 01","$925776"
"John Tanner (D-Tenn) ","Tennessee District 08","$923816"
"Jim Costa (D-Calif) ","California District 20","$922364"
"Lynn A Westmoreland (R-Ga) ","Georgia District 03","$920966"
"Brad Miller (D-NC) ","North Carolina District 13","$917929"
"Ron Kind (D-Wis) ","Wisconsin District 03","$916105"
"Walter B Jones Jr (R-NC) ","North Carolina District 03","$915298"
"Adam Schiff (D-Calif) ","California District 29","$913797"
"Bud Cramer (D-Ala) ","Alabama District 05","$905158"
"Charles Melancon (D-La) ","Louisiana District 03","$904878"
"John Salazar (D-Colo) ","Colorado District 03","$901272"
"Howard P (Buck) Mckeon (R-Calif) ","California District 25","$900879"
"Nathan Deal (R-Ga) ","Georgia District 09","$898875"
"Denny Rehberg (R-Mont) ","Montana District 01","$897187"
"Jackie Speier (D-Calif) ","California District 12","$893615"
"Doris O Matsui (D-Calif) ","California District 05","$889113"
"Stephen Ira Cohen (D-Tenn) ","Tennessee District 09","$886339"
"Joe Baca (D-Calif) ","California District 43","$885963"
"Tom Reynolds (R-NY) ","New York District 26","$885864"
"Pete King (R-NY) ","New York District 03","$875084"
"Jack Kingston (R-Ga) ","Georgia District 01","$873385"
"Steven A King (R-Iowa) ","Iowa District 05","$873230"
"Gene Green (D-Texas) ","Texas District 29","$860643"
"John W Olver (D-Mass) ","Massachusetts District 01","$857631"
"Virginia Foxx (R-NC) ","North Carolina District 05","$852649"
"Brian M Higgins (D-NY) ","New York District 27","$850357"
"Marion Berry (D-Ark) ","Arkansas District 01","$848986"
"James P McGovern (D-Mass) ","Massachusetts District 03","$848694"
"Jeff Flake (R-Ariz) ","Arizona District 06","$845005"
"Chris Cannon (R-Utah) ","Utah District 03","$842154"
"Todd Akin (R-Mo) ","Missouri District 02","$838986"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$838611"
"Louis B Gohmert Jr (R-Texas) ","Texas District 01","$834732"
"Russ Carnahan (D-Mo) ","Missouri District 03","$832972"
"Jerry F Costello (D-Ill) ","Illinois District 12","$830944"
"John M Spratt Jr (D-SC) ","South Carolina District 05","$829176"
"Randy Neugebauer (R-Texas) ","Texas District 19","$829172"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$828852"
"Charlie A Gonzalez (D-Texas) ","Texas District 20","$821805"
"Artur Davis (D-Ala) ","Alabama District 07","$820467"
"Mike Honda (D-Calif) ","California District 15","$816342"
"Ed Pastor (D-Ariz) ","Arizona District 04","$815864"
"David Loebsack (D-Iowa) ","Iowa District 02","$812879"
"Maxine Waters (D-Calif) ","California District 35","$803984"
"Albio Sires (D-NJ) ","New Jersey District 13","$802335"
"John Sarbanes (D-Md) ","Maryland District 03","$799506"
"Hal Rogers (R-Ky) ","Kentucky District 05","$796760"
"Cliff Stearns (R-Fla) ","Florida District 06","$789774"
"Mac Thornberry (R-Texas) ","Texas District 13","$789264"
"Eliot L Engel (D-NY) ","New York District 17","$776808"
"Jay Inslee (D-Wash) ","Washington District 01","$776198"
"Sam Farr (D-Calif) ","California District 17","$775793"
"Heath Shuler (D-NC) ","North Carolina District 11","$769941"
"Richard E Neal (D-Mass) ","Massachusetts District 02","$766166"
"Gresham Barrett (R-SC) ","South Carolina District 03","$765832"
"David Davis (R-Tenn) ","Tennessee District 01","$757956"
"Candice S Miller (R-Mich) ","Michigan District 10","$756978"
"Louise M Slaughter (D-NY) ","New York District 28","$756579"
"Henry A Waxman (D-Calif) ","California District 30","$745084"
"Dana Rohrabacher (R-Calif) ","California District 46","$741821"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 09","$739421"
"Elton Gallegly (R-Calif) ","California District 24","$737060"
"Jo Bonner (R-Ala) ","Alabama District 01","$736705"
"Maurice Hinchey (D-NY) ","New York District 22","$735253"
"Devin Nunes (R-Calif) ","California District 21","$734226"
"Raul M Grijalva (D-Ariz) ","Arizona District 07","$720896"
"Betty McCollum (D-Minn) ","Minnesota District 04","$719710"
"Solomon P Ortiz (D-Texas) ","Texas District 27","$719709"
"Betty Sue Sutton (D-Ohio) ","Ohio District 13","$719608"
"Alan B Mollohan (D-WVa) ","West Virginia District 01","$713612"
"George Radanovich (R-Calif) ","California District 19","$712277"
"Kevin McCarthy (R-Calif) ","California District 22","$709687"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$699411"
"Robert B Aderholt (R-Ala) ","Alabama District 04","$688864"
"Howard Coble (R-NC) ","North Carolina District 06","$688818"
"G K Butterfield (D-NC) ","North Carolina District 01","$688694"
"Jane Harman (D-Calif) ","California District 36","$687693"
"Lynn Woolsey (D-Calif) ","California District 06","$686383"
"Elijah E Cummings (D-Md) ","Maryland District 07","$684420"
"Deborah Pryce (R-Ohio) ","Ohio District 15","$683405"
"Doc Hastings (R-Wash) ","Washington District 04","$682931"
"Jerry Weller (R-Ill) ","Illinois District 11","$682497"
"Jim Langevin (D-RI) ","Rhode Island District 02","$679026"
"John Campbell (R-Calif) ","California District 48","$676452"
"James T Walsh (R-NY) ","New York District 25","$673889"
"Alcee L Hastings (D-Fla) ","Florida District 23","$671962"
"Kathy Castor (D-Fla) ","Florida District 11","$662366"
"Sander Levin (D-Mich) ","Michigan District 12","$660710"
"Hilda L Solis (D-Calif) ","California District 32","$659981"
"Pete Stark (D-Calif) ","California District 13","$659570"
"Peter Welch (D-Vt) ","Vermont District 01","$652822"
"Mike Simpson (R-Idaho) ","Idaho District 02","$649431"
"Melvin L Watt (D-NC) ","North Carolina District 12","$646075"
"John M McHugh (R-NY) ","New York District 23","$645795"
"Frank D Lucas (R-Okla) ","Oklahoma District 03","$644446"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$636162"
"Tom Petri (R-Wis) ","Wisconsin District 06","$635888"
"Darlene Hooley (D-Ore) ","Oregon District 05","$629496"
"Adrian Smith (R-Neb) ","Nebraska District 03","$623810"
"William L Clay Jr (D-Mo) ","Missouri District 01","$622529"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$621729"
"Ander Crenshaw (R-Fla) ","Florida District 04","$613594"
"Adam Smith (D-Wash) ","Washington District 09","$612066"
"Kevin Brady (R-Texas) ","Texas District 08","$610288"
"Dave Hobson (R-Ohio) ","Ohio District 07","$608085"
"Ron Lewis (R-Ky) ","Kentucky District 02","$599443"
"Dave Weldon (R-Fla) ","Florida District 15","$597501"
"Jim Ramstad (R-Minn) ","Minnesota District 03","$596169"
"Lucille Roybal-Allard (D-Calif) ","California District 34","$594045"
"Douglas L Lamborn (R-Colo) ","Colorado District 05","$593491"
"Zoe Lofgren (D-Calif) ","California District 16","$592974"
"Nick Rahall (D-WVa) ","West Virginia District 03","$592264"
"Charlie Wilson (D-Ohio) ","Ohio District 06","$576218"
"Mike Michaud (D-Maine) ","Maine District 02","$569114"
"F James Sensenbrenner Jr (R-Wis) ","Wisconsin District 05","$567709"
"Brad Sherman (D-Calif) ","California District 27","$565838"
"Ginny Brown-Waite (R-Fla) ","Florida District 05","$563685"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$562704"
"Corrine Brown (D-Fla) ","Florida District 03","$562421"
"Dale E Kildee (D-Mich) ","Michigan District 05","$559948"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$559761"
"Phil Hare (D-Ill) ","Illinois District 17","$556136"
"Charles W (Chip) Pickering Jr (R-Miss) ","Mississippi District 03","$555796"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$554037"
"Michael E. Capuano (D-Mass) ","Massachusetts District 08","$554013"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$553030"
"Kenny Marchant (R-Texas) ","Texas District 24","$544822"
"Anthony D Weiner (D-NY) ","New York District 09","$524607"
"Yvette D Clarke (D-NY) ","New York District 11","$524483"
"Gene Taylor (D-Miss) ","Mississippi District 04","$513266"
"John J (Jimmy) Duncan Jr (R-Tenn) ","Tennessee District 02","$510709"
"Robert C Scott (D-Va) ","Virginia District 03","$506728"
"Donald M Payne (D-NJ) ","New Jersey District 10","$502611"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$501404"
"John F Tierney (D-Mass) ","Massachusetts District 06","$498041"
"Bob Inglis (R-SC) ","South Carolina District 04","$495289"
"Ben Chandler (D-Ky) ","Kentucky District 06","$481994"
"Peter DeFazio (D-Ore) ","Oregon District 04","$471179"
"Jeff Miller (R-Fla) ","Florida District 01","$458359"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$455462"
"Susan A Davis (D-Calif) ","California District 53","$455081"
"Trent Franks (R-Ariz) ","Arizona District 02","$442232"
"Linda Sanchez (D-Calif) ","California District 39","$439587"
"John T Doolittle (R-Calif) ","California District 04","$437035"
"James D Jordan (R-Ohio) ","Ohio District 04","$436919"
"Bobby L Rush (D-Ill) ","Illinois District 01","$435961"
"Danny K Davis (D-Ill) ","Illinois District 07","$413001"
"Lloyd Doggett (D-Texas) ","Texas District 25","$401449"
"Ted Poe (R-Texas) ","Texas District 02","$391238"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$388362"
"Jose E Serrano (D-NY) ","New York District 16","$386734"
"Jerry Moran (R-Kan) ","Kansas District 01","$385960"
"Hank Johnson (D-Ga) ","Georgia District 04","$381100"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$380917"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$378896"
"John Linder (R-Ga) ","Georgia District 07","$375540"
"Jeffrey Lane Fortenberry (R-Neb) ","Nebraska District 01","$341030"
"Grace Napolitano (D-Calif) ","California District 38","$335114"
"John Boozman (R-Ark) ","Arkansas District 03","$325926"
"Rob Bishop (R-Utah) ","Utah District 01","$325769"
"Gary Miller (R-Calif) ","California District 42","$325244"
"Vernon J Ehlers (R-Mich) ","Michigan District 03","$319953"
"Vic Snyder (D-Ark) ","Arkansas District 02","$307060"
"John E Peterson (R-Pa) ","Pennsylvania District 05","$288935"
"William J Jefferson (D-La) ","Louisiana District 02","$288478"
"Michael R McNulty (D-NY) ","New York District 21","$286188"
"Al Green (D-Texas) ","Texas District 09","$284442"
"Timothy V Johnson (R-Ill) ","Illinois District 15","$231577"
"Diane E Watson (D-Calif) ","California District 33","$229692"
"Donna Christian-Christensen (D-VI) ","Virgin Islands District 00","$220090"
"Roscoe G Bartlett (R-Md) ","Maryland District 06","$204443"
"Rick Renzi (R-Ariz) ","Arizona District 01","$195827"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$192495"
"Terry Everett (R-Ala) ","Alabama District 02","$189035"
"Luis V Gutierrez (D-Ill) ","Illinois District 04","$188438"
"Madeleine Z Bordallo (D-Guam) ","Guam District 00","$152538"
"Eni F H Faleomavaega (D-AS) ","American Samoa District 00","$115861"
"Ralph Regula (R-Ohio) ","Ohio District 16","$113669"
"Barbara Cubin (R-Wyo) ","Wyoming District 01","$90272"
