"Representative","Office Running For","Total Spent"
"Tim Walberg (R-Mich) ","Michigan District 07","$1784291"
"Jeff Denham (R-Calif) ","California District 10","$1753321"
"Tom McClintock (R-Calif) ","California District 04","$1750512"
"Darrell Issa (R-Calif) ","California District 49","$1749467"
"Ed Royce (R-Calif) ","California District 39","$1743860"
"Tom Price (R-Ga) ","Georgia District 06","$1724935"
"David Loebsack (D-Iowa) ","Iowa District 02","$1721736"
"Carol Shea-Porter (D-NH) ","New Hampshire District 01","$1713765"
"Mike Thompson (D-Calif) ","California District 05","$1712298"
"Rush Holt (D-NJ) ","New Jersey District 12","$1707507"
"Dennis Heck (D-Wash) ","Washington District 10","$1705018"
"Mac Thornberry (R-Texas) ","Texas District 13","$1693677"
"Kristi Noem (R-SD) ","South Dakota District 01","$1684069"
"Eric Swalwell (D-Calif) ","California District 15","$1669314"
"Joe Barton (R-Texas) ","Texas District 06","$1659549"
"John B. Larson (D-Conn) ","Connecticut District 01","$1659154"
"Bradley Byrne (R-Ala) ","Alabama District 01","$1655999"
"Ander Crenshaw (R-Fla) ","Florida District 04","$1642951"
"Joe Kennedy III (D-Mass) ","Massachusetts District 04","$1629037"
"Michael McCaul (R-Texas) ","Texas District 10","$1599939"
"Jason Smith (R-Mo) ","Missouri District 08","$1589517"
"Collin Peterson (D-Minn) ","Minnesota District 07","$1569350"
"Lamar Smith (R-Texas) ","Texas District 21","$1567733"
"Mike Conaway (R-Texas) ","Texas District 11","$1559657"
"Timothy J. Walz (D-Minn) ","Minnesota District 01","$1559503"
"Bob Goodlatte (R-Va) ","Virginia District 06","$1554911"
"Chuck Fleischmann (R-Tenn) ","Tennessee District 03","$1544338"
"Anna Eshoo (D-Calif) ","California District 18","$1540093"
"Aaron Schock (R-Ill) ","Illinois District 18","$1530976"
"Charles B. Rangel (D-NY) ","New York District 13","$1515861"
"Kevin Cramer (R-ND) ","North Dakota District 01","$1505728"
"Sander Levin (D-Mich) ","Michigan District 09","$1491687"
"Vance McAllister (R-La) ","Louisiana District 05","$1484894"
"Michelle Lujan Grisham (D-NM) ","New Mexico District 01","$1478600"
"Mike Kelly (R-Pa) ","Pennsylvania District 03","$1468975"
"Terri A. Sewell (D-Ala) ","Alabama District 07","$1468013"
"Xavier Becerra (D-Calif) ","California District 34","$1465623"
"Carolyn B. Maloney (D-NY) ","New York District 12","$1457836"
"Devin Nunes (R-Calif) ","California District 22","$1456624"
"Gerry Connolly (D-Va) ","Virginia District 11","$1455123"
"Justin Amash (R-Mich) ","Michigan District 03","$1454134"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1447566"
"Jim Renacci (R-Ohio) ","Ohio District 16","$1444488"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$1444429"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$1442973"
"Dennis Ross (R-Fla) ","Florida District 15","$1436048"
"George Holding (R-NC) ","North Carolina District 13","$1415887"
"Robin Kelly (D-Ill) ","Illinois District 02","$1414097"
"Dave Brat (R-Va) ","Virginia District 07","$1408693"
"Scott Rigell (R-Va) ","Virginia District 02","$1405821"
"Todd Young (R-Ind) ","Indiana District 09","$1405165"
"Bill Keating (D-Mass) ","Massachusetts District 09","$1387397"
"Adam Kinzinger (R-Ill) ","Illinois District 16","$1377467"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1357453"
"Lois J. Frankel (D-Fla) ","Florida District 22","$1334369"
"Patrick Meehan (R-Pa) ","Pennsylvania District 07","$1332058"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1327081"
"Kurt Schrader (D-Ore) ","Oregon District 05","$1325699"
"Kay Granger (R-Texas) ","Texas District 12","$1317818"
"Mark Sanford (R-SC) ","South Carolina District 01","$1317225"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$1314732"
"Mark A Takano (D-Calif) ","California District 41","$1312896"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$1292843"
"John Garamendi (D-Calif) ","California District 03","$1290607"
"Loretta Sanchez (D-Calif) ","California District 46","$1284392"
"Peter DeFazio (D-Ore) ","Oregon District 04","$1277585"
"Jerrold Nadler (D-NY) ","New York District 10","$1276210"
"Scott Tipton (R-Colo) ","Colorado District 03","$1268959"
"Sam Johnson (R-Texas) ","Texas District 03","$1261812"
"Pete Olson (R-Texas) ","Texas District 22","$1259370"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$1253709"
"Richard E. Neal (D-Mass) ","Massachusetts District 01","$1241117"
"Derek Kilmer (D-Wash) ","Washington District 06","$1239106"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$1236492"
"Roger Williams (R-Texas) ","Texas District 25","$1234454"
"Robert Hurt (R-Va) ","Virginia District 05","$1227681"
"Marc Veasey (D-Texas) ","Texas District 33","$1224552"
"David Cicilline (D-RI) ","Rhode Island District 01","$1212281"
"Jared Polis (D-Colo) ","Colorado District 02","$1207969"
"Ken Calvert (R-Calif) ","California District 42","$1206751"
"Steven Palazzo (R-Miss) ","Mississippi District 04","$1178696"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$1177555"
"Andy Harris (R-Md) ","Maryland District 01","$1169106"
"Ann L. Wagner (R-Mo) ","Missouri District 02","$1165959"
"Ron Kind (D-Wis) ","Wisconsin District 03","$1162176"
"Bill Pascrell Jr (D-NJ) ","New Jersey District 09","$1161104"
"Todd Rokita (R-Ind) ","Indiana District 04","$1157769"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$1156372"
"Joaquin Castro (D-Texas) ","Texas District 20","$1147967"
"Tom Cole (R-Okla) ","Oklahoma District 04","$1147517"
"John Carney (D-Del) ","Delaware District 01","$1146817"
"David Scott (D-Ga) ","Georgia District 13","$1146654"
"Richard Hudson (R-NC) ","North Carolina District 08","$1143349"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$1138674"
"Mick Mulvaney (R-SC) ","South Carolina District 05","$1136134"
"Cedric Richmond (D-La) ","Louisiana District 02","$1133989"
"Joe Courtney (D-Conn) ","Connecticut District 02","$1127170"
"Hal Rogers (R-Ky) ","Kentucky District 05","$1125832"
"Sam Graves (R-Mo) ","Missouri District 06","$1124266"
"Jim Costa (D-Calif) ","California District 16","$1116677"
"Rick Larsen (D-Wash) ","Washington District 02","$1112278"
"Jerry McNerney (D-Calif) ","California District 09","$1109115"
"Bill Huizenga (R-Mich) ","Michigan District 02","$1105248"
"Lou Barletta (R-Pa) ","Pennsylvania District 11","$1101031"
"Barbara Lee (D-Calif) ","California District 13","$1100730"
"Glenn Thompson (R-Pa) ","Pennsylvania District 05","$1098206"
"Randy Forbes (R-Va) ","Virginia District 04","$1082780"
"Michael Burgess (R-Texas) ","Texas District 26","$1068923"
"Diana DeGette (D-Colo) ","Colorado District 01","$1068909"
"Reid Ribble (R-Wis) ","Wisconsin District 08","$1066298"
"Maxine Waters (D-Calif) ","California District 43","$1062921"
"Marlin Stutzman (R-Ind) ","Indiana District 03","$1061404"
"Charlie Dent (R-Pa) ","Pennsylvania District 15","$1059973"
"Sanford Bishop (D-Ga) ","Georgia District 02","$1050925"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$1045919"
"Ben R. Lujan (D-NM) ","New Mexico District 03","$1045768"
"Bill Posey (R-Fla) ","Florida District 08","$1042652"
"Lynn A. Westmoreland (R-Ga) ","Georgia District 03","$1037843"
"Leonard Lance (R-NJ) ","New Jersey District 07","$1031920"
"Linda Sanchez (D-Calif) ","California District 38","$1027339"
"Patrick McHenry (R-NC) ","North Carolina District 10","$1021565"
"Mike Rogers (R-Mich) ","Michigan District 08","$1020537"
"Susan Brooks (R-Ind) ","Indiana District 05","$1018137"
"Jim Jordan (R-Ohio) ","Ohio District 04","$1016223"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$1015923"
"Eliot L. Engel (D-NY) ","New York District 16","$1015032"
"Dina Titus (D-Nev) ","Nevada District 01","$1012672"
"Ted Deutch (D-Fla) ","Florida District 21","$1006801"
"Ralph Hall (R-Texas) ","Texas District 04","$1000567"
"John J. Duncan Jr (R-Tenn) ","Tennessee District 02","$992997"
"Dave Reichert (R-Wash) ","Washington District 08","$991617"
"Doris O. Matsui (D-Calif) ","California District 06","$982391"
"Joe Wilson (R-SC) ","South Carolina District 02","$964754"
"Blake Farenthold (R-Texas) ","Texas District 27","$962434"
"Niki Tsongas (D-Mass) ","Massachusetts District 03","$958140"
"Randy Hultgren (R-Ill) ","Illinois District 14","$957245"
"Markwayne Mullin (R-Okla) ","Oklahoma District 02","$955584"
"Tony Cardenas (D-Calif) ","California District 29","$953305"
"Robert Pittenger (R-NC) ","North Carolina District 09","$952895"
"Billy Long (R-Mo) ","Missouri District 07","$952827"
"Tom Marino (R-Pa) ","Pennsylvania District 10","$952468"
"Jaime Herrera Beutler (R-Wash) ","Washington District 03","$944901"
"Daniel Webster (R-Fla) ","Florida District 10","$941147"
"Dan Kildee (D-Mich) ","Michigan District 05","$938757"
"Henry Cuellar (D-Texas) ","Texas District 28","$937078"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$936332"
"Michael R. Turner (R-Ohio) ","Ohio District 10","$931476"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$915467"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$909881"
"Suzanne Bonamici (D-Ore) ","Oregon District 01","$897513"
"Mark Pocan (D-Wis) ","Wisconsin District 02","$896400"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$893339"
"Pete Visclosky (D-Ind) ","Indiana District 01","$892913"
"Morgan Griffith (R-Va) ","Virginia District 09","$889987"
"Gregory W. Meeks (D-NY) ","New York District 05","$882334"
"Matt Cartwright (D-Pa) ","Pennsylvania District 17","$878616"
"Tim Huelskamp (R-Kan) ","Kansas District 01","$878253"
"Adrian Smith (R-Neb) ","Nebraska District 03","$877940"
"Richard Hanna (R-NY) ","New York District 22","$877661"
"Paul Tonko (D-NY) ","New York District 20","$871957"
"Adam Schiff (D-Calif) ","California District 28","$870295"
"Rob Wittman (R-Va) ","Virginia District 01","$866738"
"Brad Wenstrup (R-Ohio) ","Ohio District 02","$865102"
"John Carter (R-Texas) ","Texas District 31","$862690"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$861701"
"Tulsi Gabbard (D-Hawaii) ","Hawaii District 02","$857985"
"James P. McGovern (D-Mass) ","Massachusetts District 02","$855087"
