"Representative","Office Running For","Total Spent"
"Steve Scalise (R-La) ","Louisiana District 01","$32830607"
"Kevin McCarthy (R-Calif) ","California District 23","$24265583"
"Nancy Pelosi (D-Calif) ","California District 12","$22064953"
"Devin Nunes (R-Calif) ","California District 22","$20156093"
"Dan Crenshaw (R-Texas) ","Texas District 02","$17596329"
"Alexandria Ocasio-Cortez (D-NY) ","New York District 14","$16735422"
"Joe Kennedy III (D-Mass) ","Massachusetts SenateCurrent office: Massachusetts District 04","$13758411"
"Jim Jordan (R-Ohio) ","Ohio District 04","$12945651"
"Elise Stefanik (R-NY) ","New York District 21","$11655936"
"Adam Schiff (D-Calif) ","California District 28","$10188664"
"Mike Garcia (R-Calif) ","California District 25","$9584648"
"Max Rose (D-NY) ","New York District 11","$9499242"
"Ben Ray Lujan (D-NM) ","New Mexico SenateCurrent office: New Mexico District 03","$9385025"
"Lucy McBath (D-Ga) ","Georgia District 06","$8586054"
"Xochitl Torres Small (D-NM) ","New Mexico District 02","$8539065"
"Lee Zeldin (R-NY) ","New York District 01","$8250116"
"Abigail Spanberger (D-Va) ","Virginia District 07","$7852213"
"Tom Malinowski (D-NJ) ","New Jersey District 07","$7423758"
"Elissa Slotkin (D-Mich) ","Michigan District 08","$7419974"
"Lauren A Underwood (D-Ill) ","Illinois District 14","$7301503"
"Roger Marshall (R-Kan) ","Kansas SenateCurrent office: Kansas District 01","$7007803"
"Joe Cunningham (D-SC) ","South Carolina District 01","$6993962"
"Debbie Mucarsel-Powell (D-Fla) ","Florida District 26","$6822740"
"Andy Kim (D-NJ) ","New Jersey District 03","$6753262"
"Doug Collins (R-Ga) ","Georgia SenateCurrent office: Georgia District 09","$6684689"
"Ann L Wagner (R-Mo) ","Missouri District 02","$6513101"
"Katie Porter (D-Calif) ","California District 45","$6443700"
"Cheri Bustos (D-Ill) ","Illinois District 17","$6391009"
"Elaine Luria (D-Va) ","Virginia District 02","$6387474"
