"Representative","Office Running For","Total Spent"
"Lizzie Fletcher (D-Texas) ","Texas District 07","$6246136"
"Cindy Axne (D-Iowa) ","Iowa District 03","$6236994"
"Harley Rouda (D-Calif) ","California District 48","$6174443"
"Kendra Horn (D-Okla) ","Oklahoma District 05","$5946195"
"Abby Finkenauer (D-Iowa) ","Iowa District 01","$5875405"
"Richard E Neal (D-Mass) ","Massachusetts District 01","$5873122"
"Peter DeFazio (D-Ore) ","Oregon District 04","$5781074"
"Anthony Brindisi (D-NY) ","New York District 22","$5772429"
"Haley Stevens (D-Mich) ","Michigan District 11","$5707448"
"TJ Cox (D-Calif) ","California District 21","$5694005"
"Colin Allred (D-Texas) ","Texas District 32","$5611747"
"Ilhan Omar (D-Minn) ","Minnesota District 05","$5605576"
"Ben McAdams (D-Utah) ","Utah District 04","$5555591"
"Sean Casten (D-Ill) ","Illinois District 06","$5313570"
"Brian Mast (R-Fla) ","Florida District 18","$5301307"
"Jared Golden (D-Maine) ","Maine District 02","$5233990"
"Sharice Davids (D-Kan) ","Kansas District 03","$5168034"
"Rodney Davis (R-Ill) ","Illinois District 13","$4822600"
"Susie Lee (D-Nev) ","Nevada District 03","$4732009"
"Chip Roy (R-Texas) ","Texas District 21","$4679362"
"Jaime Herrera Beutler (R-Wash) ","Washington District 03","$4540148"
"Susan Wild (D-Pa) ","Pennsylvania District 07","$4528267"
"Matt Gaetz (R-Fla) ","Florida District 01","$4482782"
"Angie Craig (D-Minn) ","Minnesota District 02","$4435492"
"Ron Kind (D-Wis) ","Wisconsin District 03","$4435403"
"Richard Hudson (R-NC) ","North Carolina District 08","$4359009"
"Gil Cisneros (D-Calif) ","California District 39","$4350464"
"Steny H Hoyer (D-Md) ","Maryland District 05","$4342255"
"Andy Barr (R-Ky) ","Kentucky District 06","$4316239"
"Brian Fitzpatrick (R-Pa) ","Pennsylvania District 01","$4272135"
"Matt Cartwright (D-Pa) ","Pennsylvania District 08","$4144070"
"Jeff Van Drew (R-NJ) ","New Jersey District 02","$4041493"
"Dan Bishop (R-NC) ","North Carolina District 09","$4029864"
"Charlie Crist (D-Fla) ","Florida District 13","$3980695"
"Eric Swalwell (D-Calif) ","California District 15","$3977839"
"Josh Harder (D-Calif) ","California District 10","$3950613"
"Michael McCaul (R-Texas) ","Texas District 10","$3910930"
"Scott Perry (R-Pa) ","Pennsylvania District 10","$3839197"
"Kim Schrier (D-Wash) ","Washington District 08","$3774398"
"Donna Shalala (D-Fla) ","Florida District 27","$3735966"
"Mikie Sherrill (D-NJ) ","New Jersey District 11","$3733106"
"Don Bacon (R-Neb) ","Nebraska District 02","$3713961"
"Rashida Tlaib (D-Mich) ","Michigan District 13","$3690334"
"Henry Cuellar (D-Texas) ","Texas District 28","$3650848"
"John Katko (R-NY) ","New York District 24","$3597234"
"Josh Gottheimer (D-NJ) ","New Jersey District 05","$3487964"
"Fred Upton (R-Mich) ","Michigan District 06","$3464617"
"Conor Lamb (D-Pa) ","Pennsylvania District 17","$3448850"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$3432572"
"Roger Williams (R-Texas) ","Texas District 25","$3347267"
"Tom O'Halleran (D-Ariz) ","Arizona District 01","$3324138"
"Hakeem Jeffries (D-NY) ","New York District 08","$3293077"
"Kay Granger (R-Texas) ","Texas District 12","$3271815"
"Kevin Brady (R-Texas) ","Texas District 08","$3190447"
"Bryan Steil (R-Wis) ","Wisconsin District 01","$3151701"
"Tom Reed (R-NY) ","New York District 23","$3145027"
"Eliot Engel (D-NY) ","New York District 16","$3118914"
"Chris Pappas (D-NH) ","New Hampshire District 01","$3105663"
"Vernon Buchanan (R-Fla) ","Florida District 16","$3100766"
"Liz Cheney (R-Wyo) ","Wyoming District 01","$3060167"
"Carolyn B Maloney (D-NY) ","New York District 12","$3059202"
"Steven Horsford (D-Nev) ","Nevada District 04","$3024427"
"French Hill (R-Ark) ","Arkansas District 02","$3020491"
"Ann Kuster (D-NH) ","New Hampshire District 02","$2970274"
"Antonio Delgado (D-NY) ","New York District 19","$2963286"
"David Trone (D-Md) ","Maryland District 06","$2959748"
"Mike Levin (D-Calif) ","California District 49","$2901566"
"Bradley Byrne (R-Ala) ","Alabama SenateCurrent office: Alabama District 01","$2894433"
"Jason Crow (D-Colo) ","Colorado District 06","$2892443"
"Brad Schneider (D-Ill) ","Illinois District 10","$2873333"
"Collin Peterson (D-Minn) ","Minnesota District 07","$2867577"
"Steve Chabot (R-Ohio) ","Ohio District 01","$2861464"
"Mike Gallagher (R-Wis) ","Wisconsin District 08","$2841801"
"Van Taylor (R-Texas) ","Texas District 03","$2825378"
"Greg Pence (R-Ind) ","Indiana District 06","$2804148"
"Tulsi Gabbard (D) ","2020 Presidential RaceCurrent office: Hawaii District 02","$2616133"
"Pete Stauber (R-Minn) ","Minnesota District 08","$2608759"
"Joyce Beatty (D-Ohio) ","Ohio District 03","$2540687"
"Tom Emmer (R-Minn) ","Minnesota District 06","$2537612"
"Derek Kilmer (D-Wash) ","Washington District 06","$2531111"
"Tom Tiffany (R-Wis) ","Wisconsin District 07","$2514740"
"David P Joyce (R-Ohio) ","Ohio District 14","$2501449"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$2458330"
"Ro Khanna (D-Calif) ","California District 17","$2455457"
"Patrick McHenry (R-NC) ","North Carolina District 10","$2339363"
"James E Clyburn (D-SC) ","South Carolina District 06","$2332128"
"Tom Suozzi (D-NY) ","New York District 03","$2331302"
"Jim Hagedorn (R-Minn) ","Minnesota District 01","$2305994"
"Steve Stivers (R-Ohio) ","Ohio District 15","$2293101"
"David Schweikert (R-Ariz) ","Arizona District 06","$2249979"
"John Carter (R-Texas) ","Texas District 31","$2214487"
"Raja Krishnamoorthi (D-Ill) ","Illinois District 08","$2207703"
"Jim Himes (D-Conn) ","Connecticut District 04","$2180029"
"Dean Phillips (D-Minn) ","Minnesota District 03","$2152031"
"Drew Ferguson (R-Ga) ","Georgia District 03","$2150911"
"Rob Wittman (R-Va) ","Virginia District 01","$2140375"
"Scott Peters (D-Calif) ","California District 52","$2131849"
"Tom McClintock (R-Calif) ","California District 04","$2107248"
"Chris Jacobs (R-NY) ","New York District 27","$2084271"
"Michael Burgess (R-Texas) ","Texas District 26","$2081391"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03","$2081391"
"Don Beyer (D-Va) ","Virginia District 08","$2071906"
"Tim Ryan (D-Ohio) ","Ohio District 13","$2071454"
"Anna Eshoo (D-Calif) ","California District 18","$2059158"
"Mike Thompson (D-Calif) ","California District 05","$2022751"
"Frank Pallone Jr. (D-NJ) ","New Jersey District 06","$2021737"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$2007307"
"Troy Balderson (R-Ohio) ","Ohio District 12","$1995665"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 23","$1979903"
"Jerrold Nadler (D-NY) ","New York District 10","$1950774"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$1948453"
"Virginia Foxx (R-NC) ","North Carolina District 05","$1944629"
"Jodey Arrington (R-Texas) ","Texas District 19","$1932700"
"Kurt Schrader (D-Ore) ","Oregon District 05","$1922073"
"Maxine Waters (D-Calif) ","California District 43","$1906957"
"Suzan DelBene (D-Wash) ","Washington District 01","$1897162"
"Bill Huizenga (R-Mich) ","Michigan District 02","$1883610"
"Debra Haaland (D-NM) ","New Mexico District 01","$1875766"
"Grace Meng (D-NY) ","New York District 06","$1872311"
"Pete Aguilar (D-Calif) ","California District 31","$1861434"
"Bill Johnson (R-Ohio) ","Ohio District 06","$1853361"
"Anthony Gonzalez (R-Ohio) ","Ohio District 16","$1839807"
"Glenn Thompson (R-Pa) ","Pennsylvania District 15","$1839073"
"Jim Costa (D-Calif) ","California District 16","$1835244"
"Bill Foster (D-Ill) ","Illinois District 11","$1823906"
"Gerry Connolly (D-Va) ","Virginia District 11","$1811776"
"Seth Moulton (D-Mass) ","Massachusetts District 06","$1802169"
"Stephanie Murphy (D-Fla) ","Florida District 07","$1798549"
"Rosa L DeLauro (D-Conn) ","Connecticut District 03","$1795635"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 09","$1795410"
"Don Young (R-Alaska) ","Alaska District 01","$1790448"
"Jennifer Wexton (D-Va) ","Virginia District 10","$1772250"
"Brad Wenstrup (R-Ohio) ","Ohio District 02","$1757078"
"Tom Cole (R-Okla) ","Oklahoma District 04","$1753697"
"Barbara Lee (D-Calif) ","California District 13","$1750142"
"Darin LaHood (R-Ill) ","Illinois District 18","$1749128"
"Ayanna Pressley (D-Mass) ","Massachusetts District 07","$1748432"
"David Cicilline (D-RI) ","Rhode Island District 01","$1743173"
"Glenn S Grothman (R-Wis) ","Wisconsin District 06","$1736659"
"Michael R Turner (R-Ohio) ","Ohio District 10","$1736283"
"Buddy Carter (R-Ga) ","Georgia District 01","$1734754"
"John Bergman (R-Mich) ","Michigan District 01","$1733466"
"Raul Ruiz (D-Calif) ","California District 36","$1732443"
"Zoe Lofgren (D-Calif) ","California District 19","$1731700"
"Joe Wilson (R-SC) ","South Carolina District 02","$1723956"
"Sean Patrick Maloney (D-NY) ","New York District 18","$1718525"
"Michael Waltz (R-Fla) ","Florida District 06","$1716768"
"Jackie Walorski (R-Ind) ","Indiana District 02","$1698202"
"Debbie Dingell (D-Mich) ","Michigan District 12","$1689582"
"Sam Graves (R-Mo) ","Missouri District 06","$1654756"
"Ruben Gallego (D-Ariz) ","Arizona District 07","$1653961"
"Marc Veasey (D-Texas) ","Texas District 33","$1613446"
"Jimmy Panetta (D-Calif) ","California District 20","$1592671"
"Adam Kinzinger (R-Ill) ","Illinois District 16","$1588550"
"Greg Walden (R-Ore) ","Oregon District 02","$1588299"
"Tim Walberg (R-Mich) ","Michigan District 07","$1586358"
"Ted Lieu (D-Calif) ","California District 33","$1582573"
"Guy Reschenthaler (R-Pa) ","Pennsylvania District 14","$1580488"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$1566622"
"Jahana Hayes (D-Conn) ","Connecticut District 05","$1564685"
"Thomas Massie (R-Ky) ","Kentucky District 04","$1563275"
"Ken Calvert (R-Calif) ","California District 42","$1549113"
"Gus Bilirakis (R-Fla) ","Florida District 12","$1548634"
"Pramila Jayapal (D-Wash) ","Washington District 07","$1530626"
"Billy Long (R-Mo) ","Missouri District 07","$1518234"
"Katherine Clark (D-Mass) ","Massachusetts District 05","$1514877"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1514838"
"Jason Smith (R-Mo) ","Missouri District 08","$1514786"
"Mike Bost (R-Ill) ","Illinois District 12","$1509573"
"Greg Murphy (R-NC) ","North Carolina District 03","$1505559"
"Dan Kildee (D-Mich) ","Michigan District 05","$1504094"
"Terri A Sewell (D-Ala) ","Alabama District 07","$1495957"
"Jenniffer Gonzalez (3-PR) ","Puerto Rico District 00","$1495238"
"Robert E Latta (R-Ohio) ","Ohio District 05","$1477090"
"Gregory W Meeks (D-NY) ","New York District 05","$1467454"
"Salud Carbajal (D-Calif) ","California District 24","$1451622"
"Sanford Bishop (D-Ga) ","Georgia District 02","$1440571"
"Jim Langevin (D-RI) ","Rhode Island District 02","$1422339"
"Ron Estes (R-Kan) ","Kansas District 04","$1420188"
"Paul Tonko (D-NY) ","New York District 20","$1418994"
"Jamie Raskin (D-Md) ","Maryland District 08","$1399252"
"Ann Kirkpatrick (D-Ariz) ","Arizona District 02","$1384765"
"Denver Riggleman (R-Va) ","Virginia District 05","$1383913"
"Mary Gay Scanlon (D-Pa) ","Pennsylvania District 05","$1350276"
"Ed Perlmutter (D-Colo) ","Colorado District 07","$1339482"
"Vicky Hartzler (R-Mo) ","Missouri District 04","$1335607"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$1332131"
"Chrissy Houlahan (D-Pa) ","Pennsylvania District 06","$1327283"
"Robert B Aderholt (R-Ala) ","Alabama District 04","$1323812"
"John B Larson (D-Conn) ","Connecticut District 01","$1323690"
"Mike Kelly (R-Pa) ","Pennsylvania District 16","$1319340"
"Julia Brownley (D-Calif) ","California District 26","$1314677"
"Lance Gooden (R-Texas) ","Texas District 05","$1311983"
"Lois J Frankel (D-Fla) ","Florida District 21","$1309786"
"Lisa Blunt Rochester (D-Del) ","Delaware District 01","$1305618"
"Cedric Richmond (D-La) ","Louisiana District 02","$1302079"
"Brian Babin (R-Texas) ","Texas District 36","$1297185"
"Ted Budd (R-NC) ","North Carolina District 13","$1293414"
"Nita M Lowey (D-NY) ","New York District 17","$1291454"
"Chris Smith (R-NJ) ","New Jersey District 04","$1284522"
"John Rutherford (R-Fla) ","Florida District 04","$1283701"
"Joseph D Morelle (D-NY) ","New York District 25","$1274426"
"Jeff Duncan (R-SC) ","South Carolina District 03","$1271872"
"Jimmy Gomez (D-Calif) ","California District 34","$1268312"
"Ted Deutch (D-Fla) ","Florida District 22","$1265494"
"Adriano Espaillat (D-NY) ","New York District 13","$1252740"
"Tom Rice (R-SC) ","South Carolina District 07","$1242208"
"Andy Biggs (R-Ariz) ","Arizona District 05","$1236380"
"Lori Trahan (D-Mass) ","Massachusetts District 03","$1232437"
"Rick Larsen (D-Wash) ","Washington District 02","$1219489"
"Mike D Rogers (R-Ala) ","Alabama District 03","$1218564"
"Tony Cardenas (D-Calif) ","California District 29","$1213588"
"Kathleen Rice (D-NY) ","New York District 04","$1210410"
"Karen Bass (D-Calif) ","California District 37","$1202942"
"Kathy Castor (D-Fla) ","Florida District 14","$1201653"
"Garret Graves (R-La) ","Louisiana District 06","$1200287"
"Val Demings (D-Fla) ","Florida District 10","$1191020"
"Yvette D Clarke (D-NY) ","New York District 09","$1190143"
"Mike Conaway (R-Texas) ","Texas District 11","$1182021"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$1166739"
"Doug LaMalfa (R-Calif) ","California District 01","$1155945"
"Adrian Smith (R-Neb) ","Nebraska District 03","$1148409"
"Linda Sanchez (D-Calif) ","California District 38","$1140165"
"Stephen F Lynch (D-Mass) ","Massachusetts District 08","$1134662"
"David Scott (D-Ga) ","Georgia District 13","$1131746"
"Bill Posey (R-Fla) ","Florida District 08","$1121834"
"Jerry McNerney (D-Calif) ","California District 09","$1112543"
"Brad Sherman (D-Calif) ","California District 30","$1111826"
"Robin Kelly (D-Ill) ","Illinois District 02","$1108137"
"Bruce Westerman (R-Ark) ","Arkansas District 04","$1102573"
"Mike Simpson (R-Idaho) ","Idaho District 02","$1099604"
"Bennie G Thompson (D-Miss) ","Mississippi District 02","$1096904"
"Rick Crawford (R-Ark) ","Arkansas District 01","$1095518"
"James P McGovern (D-Mass) ","Massachusetts District 02","$1089412"
"Veronica Escobar (D-Texas) ","Texas District 16","$1087693"
"Don Norcross (D-NJ) ","New Jersey District 01","$1087264"
"David McKinley (R-WVa) ","West Virginia District 01","$1085864"
"Kelly Armstrong (R-ND) ","North Dakota District 01","$1080105"
"Larry Bucshon (R-Ind) ","Indiana District 08","$1078646"
"Markwayne Mullin (R-Okla) ","Oklahoma District 02","$1077939"
"Diana DeGette (D-Colo) ","Colorado District 01","$1077130"
"Doris Matsui (D-Calif) ","California District 06","$1073529"
"Fred Keller (R-Pa) ","Pennsylvania District 12","$1066158"
"Ami Bera (D-Calif) ","California District 07","$1053444"
"Mike Johnson (R-La) ","Louisiana District 04","$1039393"
"David Rouzer (R-NC) ","North Carolina District 07","$1038883"
"John Moolenaar (R-Mich) ","Michigan District 04","$1036160"
"Frank D Lucas (R-Okla) ","Oklahoma District 03","$1036145"
"Will Hurd (R-Texas) ","Texas District 23","$1033878"
"Filemon Vela (D-Texas) ","Texas District 34","$1024180"
"Mark Amodei (R-Nev) ","Nevada District 02","$1016673"
"David Price (D-NC) ","North Carolina District 04","$1014872"
"Mark Pocan (D-Wis) ","Wisconsin District 02","$1014628"
"Madeleine Dean (D-Pa) ","Pennsylvania District 04","$1005928"
"Greg Stanton (D-Ariz) ","Arizona District 09","$1001350"
"Mike Doyle (D-Pa) ","Pennsylvania District 18","$999692"
"Joe Courtney (D-Conn) ","Connecticut District 02","$999360"
"David Kustoff (R-Tenn) ","Tennessee District 08","$999285"
"Betty McCollum (D-Minn) ","Minnesota District 04","$994072"
"Dan Newhouse (R-Wash) ","Washington District 04","$991174"
"Debbie Lesko (R-Ariz) ","Arizona District 08","$987453"
"William L Clay Jr. (D-Mo) ","Missouri District 01","$985624"
"Brian M Higgins (D-NY) ","New York District 26","$984106"
"William Timmons (R-SC) ","South Carolina District 04","$982233"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$979798"
"Andy Harris (R-Md) ","Maryland District 01","$973953"
"Donald McEachin (D-Va) ","Virginia District 04","$963788"
"Judy Chu (D-Calif) ","California District 27","$956298"
"Mark Takano (D-Calif) ","California District 41","$949494"
"Darren Soto (D-Fla) ","Florida District 09","$945868"
"Steve Watkins (R-Kan) ","Kansas District 02","$945419"
"Dan Meuser (R-Pa) ","Pennsylvania District 09","$944010"
"Mark Green (R-Tenn) ","Tennessee District 07","$935487"
"Adam Smith (D-Wash) ","Washington District 09","$930710"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$928061"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$927353"
"Mike Quigley (D-Ill) ","Illinois District 05","$926655"
"Randy Weber (R-Texas) ","Texas District 14","$924659"
"Steve Womack (R-Ark) ","Arkansas District 03","$923120"
"Jackie Speier (D-Calif) ","California District 14","$919599"
"Gary Palmer (R-Ala) ","Alabama District 06","$909082"
"Ron Wright (R-Texas) ","Texas District 06","$907693"
"Andy Levin (D-Mich) ","Michigan District 09","$907237"
"G K Butterfield (D-NC) ","North Carolina District 01","$880420"
"Tim Burchett (R-Tenn) ","Tennessee District 02","$878488"
"Andre Carson (D-Ind) ","Indiana District 07","$873962"
"Peter Welch (D-Vt) ","Vermont District 01","$865252"
"Suzanne Bonamici (D-Ore) ","Oregon District 01","$864627"
"Alex Mooney (R-WVa) ","West Virginia District 02","$864001"
"Ralph Norman (R-SC) ","South Carolina District 05","$859747"
"Pete Visclosky (D-Ind) ","Indiana District 01","$856522"
"Alan Lowenthal (D-Calif) ","California District 47","$854902"
"George Holding (R-NC) ","North Carolina District 02","$850596"
"Anthony Brown (D-Md) ","Maryland District 04","$846827"
"Warren Davidson (R-Ohio) ","Ohio District 08","$841533"
"Ross Spano (R-Fla) ","Florida District 15","$840652"
"Bonnie Watson Coleman (D-NJ) ","New Jersey District 12","$840651"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$838414"
"Hal Rogers (R-Ky) ","Kentucky District 05","$835781"
"Bobby Scott (D-Va) ","Virginia District 03","$832419"
"Kevin Hern (R-Okla) ","Oklahoma District 01","$830366"
"Michael Cloud (R-Texas) ","Texas District 27","$829748"
"Trent Kelly (R-Miss) ","Mississippi District 01","$826673"
"Chris Stewart (R-Utah) ","Utah District 02","$812462"
"John Shimkus (R-Ill) ","Illinois District 15","$810642"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$804054"
"Juan Vargas (D-Calif) ","California District 51","$801671"
"Jared Huffman (D-Calif) ","California District 02","$797753"
"Brenda Lawrence (D-Mich) ","Michigan District 14","$789570"
"Dwight Evans (D-Pa) ","Pennsylvania District 03","$781265"
"Jim Banks (R-Ind) ","Indiana District 03","$769591"
"Sylvia Garcia (D-Texas) ","Texas District 29","$758382"
"Brendan Boyle (D-Pa) ","Pennsylvania District 02","$756317"
"Steven Palazzo (R-Miss) ","Mississippi District 04","$747217"
"Lucille Roybal-Allard (D-Calif) ","California District 40","$741379"
"Paul Gosar (R-Ariz) ","Arizona District 04","$729892"
"David Loebsack (D-Iowa) ","Iowa District 02","$727142"
"Carol Miller (R-WVa) ","West Virginia District 03","$720796"
"Clay Higgins (R-La) ","Louisiana District 03","$720424"
"Austin Scott (R-Ga) ","Georgia District 08","$716159"
"Nanette Barragan (D-Calif) ","California District 44","$714023"
"Kweisi Mfume (D-Md) ","Maryland District 07","$713389"
"Jesus Garcia (D-Ill) ","Illinois District 04","$711159"
"Mark Walker (R-NC) ","North Carolina District 06","$707979"
"Barry Loudermilk (R-Ga) ","Georgia District 11","$700851"
"Dusty Johnson (R-SD) ","South Dakota District 01","$699356"
"Al Lawson (D-Fla) ","Florida District 05","$695779"
"Justin Amash (L) ","2020 Presidential RaceCurrent office: Michigan District 03","$694117"
"Scott Tipton (R-Colo) ","Colorado District 03","$692418"
"John A Yarmuth (D-Ky) ","Kentucky District 03","$690226"
"John Sarbanes (D-Md) ","Maryland District 03","$687299"
"John Curtis (R-Utah) ","Utah District 03","$687265"
"Joaquin Castro (D-Texas) ","Texas District 20","$686934"
"Nydia M Velazquez (D-NY) ","New York District 07","$676248"
"Joseph Neguse (D-Colo) ","Colorado District 02","$674602"
"Ben Cline (R-Va) ","Virginia District 06","$672928"
"John Garamendi (D-Calif) ","California District 03","$667320"
"Norma Torres (D-Calif) ","California District 35","$664600"
"Richard W Allen (R-Ga) ","Georgia District 12","$662818"
"Lloyd Smucker (R-Pa) ","Pennsylvania District 11","$662704"
"Vicente Gonzalez (D-Texas) ","Texas District 15","$657500"
"Raul M Grijalva (D-Ariz) ","Arizona District 03","$655507"
"Bill Keating (D-Mass) ","Massachusetts District 09","$652448"
"Alma Adams (D-NC) ","North Carolina District 12","$651883"
"Lou Correa (D-Calif) ","California District 46","$650707"
"Neal Dunn (R-Fla) ","Florida District 02","$637580"
"John Rose (R-Tenn) ","Tennessee District 06","$625688"
"Greg Steube (R-Fla) ","Florida District 17","$621200"
"Susan Brooks (R-Ind) ","Indiana District 05","$594329"
"Pete King (R-NY) ","New York District 02","$593836"
"Dina Titus (D-Nev) ","Nevada District 01","$587919"
"Daniel Webster (R-Fla) ","Florida District 11","$586965"
"Louis B Gohmert Jr. (R-Texas) ","Texas District 01","$580441"
"Pete Olson (R-Texas) ","Texas District 22","$558888"
"Mac Thornberry (R-Texas) ","Texas District 13","$554443"
"Albio Sires (D-NJ) ","New Jersey District 08","$551325"
"Martha Roby (R-Ala) ","Alabama District 02","$550841"
"Bill Flores (R-Texas) ","Texas District 17","$546278"
"Alcee L Hastings (D-Fla) ","Florida District 20","$543316"
"Ken Buck (R-Colo) ","Colorado District 04","$539393"
"Michael Patrick Guest (R-Miss) ","Mississippi District 03","$518162"
"Russ Fulcher (R-Idaho) ","Idaho District 01","$508457"
"Danny K Davis (D-Ill) ","Illinois District 07","$505506"
"James Comer (R-Ky) ","Kentucky District 01","$502554"
"Trey Hollingsworth (R-Ind) ","Indiana District 09","$501136"
"Marcia Fudge (D-Ohio) ","Ohio District 11","$499820"
"Bobby L Rush (D-Ill) ","Illinois District 01","$496454"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$494547"
"Hank Johnson (D-Ga) ","Georgia District 04","$490360"
"Al Green (D-Texas) ","Texas District 09","$486155"
"Ed Case (D-Hawaii) ","Hawaii District 01","$472569"
"Morgan Griffith (R-Va) ","Virginia District 09","$463916"
"Kenny Marchant (R-Texas) ","Texas District 24","$462098"
"John Joyce (R-Pa) ","Pennsylvania District 13","$461229"
"Jody Hice (R-Ga) ","Georgia District 10","$457648"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$457311"
"Donald M Payne Jr. (D-NJ) ","New Jersey District 10","$457252"
"Bob Gibbs (R-Ohio) ","Ohio District 07","$453928"
"Paul Cook (R-Calif) ","California District 08","$449591"
"Mark Desaulnier (D-Calif) ","California District 11","$440537"
"Dennis Heck (D-Wash) ","Washington District 10","$436371"
"Lloyd Doggett (D-Texas) ","Texas District 35","$424804"
"Stacey Plaskett (D-VI) ","Virgin Islands District 00","$403685"
"Scott Desjarlais (R-Tenn) ","Tennessee District 04","$392499"
"Chuck Fleischmann (R-Tenn) ","Tennessee District 03","$381411"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$358925"
"Greg Gianforte (R-Mont) ","Montana District 01","$338226"
"Douglas L Lamborn (R-Colo) ","Colorado District 05","$329011"
"Frederica Wilson (D-Fla) ","Florida District 24","$321019"
"Rob Bishop (R-Utah) ","Utah District 01","$314275"
"Ted Yoho (R-Fla) ","Florida District 03","$301864"
"Susan Davis (D-Calif) ","California District 53","$267095"
"Chellie Pingree (D-Maine) ","Maine District 01","$264790"
"Grace Napolitano (D-Calif) ","California District 32","$251047"
"Phil Roe (R-Tenn) ","Tennessee District 01","$228462"
"Mo Brooks (R-Ala) ","Alabama District 05","$210045"
"Jim Baird (R-Ind) ","Indiana District 04","$190158"
"Jim Sensenbrenner (R-Wis) ","Wisconsin District 05","$169555"
"Amata Coleman Radewagen (R-AS) ","American Samoa District 00","$76126"
"Francis Rooney (R-Fla) ","Florida District 19","$76035"
"Michael San Nicolas (D-Guam) ","Guam District 00","$64115"
"Jose E Serrano (D-NY) ","New York District 15","$42067"
