"Representative","Office Running For","Total Spent"
"Stephanie Murphy (D-Fla) ","Florida District 07","$3117029"
"Steve Chabot (R-Ohio) ","Ohio District 01","$3026092"
"John Katko (R-NY) ","New York District 24","$2998196"
"Joe Kennedy III (D-Mass) ","Massachusetts District 04","$2993465"
"Elise Stefanik (R-NY) ","New York District 21","$2989478"
"Jaime Herrera Beutler (R-Wash) ","Washington District 03","$2986160"
"Dana Rohrabacher (R-Calif) ","California District 48","$2939450"
"Keith Ellison (D-Minn) ","Minnesota District 05","$2930922"
"Jason Lewis (R-Minn) ","Minnesota District 02","$2918685"
"Mike Bost (R-Ill) ","Illinois District 12","$2858337"
"George Holding (R-NC) ","North Carolina District 02","$2842764"
"David Young (R-Iowa) ","Iowa District 03","$2830997"
"Jackie Walorski (R-Ind) ","Indiana District 02","$2827883"
"Sean P Duffy (R-Wis) ","Wisconsin District 07","$2803276"
"Josh Gottheimer (D-NJ) ","New Jersey District 05","$2766993"
"Kevin Hern (R-Okla) ","Oklahoma District 01","$2741502"
"Tom O'Halleran (D-Ariz) ","Arizona District 01","$2714331"
"David P Joyce (R-Ohio) ","Ohio District 14","$2684204"
"Dan Donovan (R-NY) ","New York District 11","$2661359"
"Seth Moulton (D-Mass) ","Massachusetts District 06","$2645264"
"Leonard Lance (R-NJ) ","New Jersey District 07","$2634848"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$2604948"
"Steve Knight (R-Calif) ","California District 25","$2582818"
"Don Bacon (R-Neb) ","Nebraska District 02","$2570645"
"Michael E Capuano (D-Mass) ","Massachusetts District 07","$2553512"
"Matt Cartwright (D-Pa) ","Pennsylvania District 08Current office: Pennsylvania District 17","$2527688"
"Troy Balderson (R-Ohio) ","Ohio District 12","$2512715"
"Mike Conaway (R-Texas) ","Texas District 11","$2481325"
"Raul Ruiz (D-Calif) ","California District 36","$2468445"
"Pete Aguilar (D-Calif) ","California District 31","$2419009"
"Eric Swalwell (D-Calif) ","California District 15","$2415244"
"Carolyn B Maloney (D-NY) ","New York District 12","$2404709"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$2395215"
"Randy Hultgren (R-Ill) ","Illinois District 14","$2379958"
"David Loebsack (D-Iowa) ","Iowa District 02","$2362383"
"Ben R Lujan (D-NM) ","New Mexico District 03","$2340217"
"Virginia Foxx (R-NC) ","North Carolina District 05","$2339079"
"Jim Costa (D-Calif) ","California District 16","$2338228"
"Adam Kinzinger (R-Ill) ","Illinois District 16","$2293170"
"Rod Blum (R-Iowa) ","Iowa District 01","$2271646"
"Tim Walberg (R-Mich) ","Michigan District 07","$2263666"
"Martha Roby (R-Ala) ","Alabama District 02","$2263209"
"Ted Budd (R-NC) ","North Carolina District 13","$2250414"
"Ron Kind (D-Wis) ","Wisconsin District 03","$2241596"
"Ed Royce (R-Calif) ","California District 39","$2214121"
"Bill Huizenga (R-Mich) ","Michigan District 02","$2166958"
"Tom Emmer (R-Minn) ","Minnesota District 06","$2159206"
"Gus Bilirakis (R-Fla) ","Florida District 12","$2093125"
"Rob Wittman (R-Va) ","Virginia District 01","$2088749"
"Richard Hudson (R-NC) ","North Carolina District 08","$2086060"
"Kay Granger (R-Texas) ","Texas District 12","$2084734"
"Mike Thompson (D-Calif) ","California District 05","$2079640"
"Mike Gallagher (R-Wis) ","Wisconsin District 08","$2070725"
"Eliot L Engel (D-NY) ","New York District 16","$2051948"
"Salud Carbajal (D-Calif) ","California District 24","$2049907"
"Evan Jenkins (R-WVa) ","West Virginia SenateCurrent office: West Virginia District 03","$2020355"
"Debbie Lesko (R-Ariz) ","Arizona District 08","$2002590"
"James E Clyburn (D-SC) ","South Carolina District 06","$2001447"
"Ralph Norman (R-SC) ","South Carolina District 05","$1999307"
"Mo Brooks (R-Ala) ","Alabama District 05","$1988145"
"Tom Cole (R-Okla) ","Oklahoma District 04","$1986735"
"John Carter (R-Texas) ","Texas District 31","$1943447"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 23","$1939381"
"Scott Peters (D-Calif) ","California District 52","$1933049"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03","$1922331"
"Pete Olson (R-Texas) ","Texas District 22","$1921992"
"Susan Brooks (R-Ind) ","Indiana District 05","$1909690"
"Darrell Issa (R-Calif) ","California District 49","$1909673"
"Ro Khanna (D-Calif) ","California District 17","$1898605"
"John Lewis (D-Ga) ","Georgia District 05","$1893874"
"Raja Krishnamoorthi (D-Ill) ","Illinois District 08","$1890243"
"Andy Harris (R-Md) ","Maryland District 01","$1889209"
"Bob Gibbs (R-Ohio) ","Ohio District 07","$1842763"
"Jim Jordan (R-Ohio) ","Ohio District 04","$1830320"
"Zoe Lofgren (D-Calif) ","California District 19","$1824578"
"Don Beyer (D-Va) ","Virginia District 08","$1823897"
"Joseph D Morelle (D-NY) ","New York District 25","$1820956"
"Mary Gay Scanlon (D-Pa) ","Pennsylvania District 05Current office: Pennsylvania District 07","$1819040"
"Chris Collins (R-NY) ","New York District 27","$1811514"
"Duncan D Hunter (R-Calif) ","California District 50","$1808791"
"Glenn S Grothman (R-Wis) ","Wisconsin District 06","$1806315"
"Garret Graves (R-La) ","Louisiana District 06","$1804872"
"John M Shimkus (R-Ill) ","Illinois District 15","$1801556"
"Tom McClintock (R-Calif) ","California District 04","$1783774"
"Trey Gowdy (R-SC) ","South Carolina District 04","$1777836"
"Michael McCaul (R-Texas) ","Texas District 10","$1754122"
"Julia Brownley (D-Calif) ","California District 26","$1750604"
"Robert E Latta (R-Ohio) ","Ohio District 05","$1746526"
"Barbara Lee (D-Calif) ","California District 13","$1745801"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$1737262"
"Michael Burgess (R-Texas) ","Texas District 26","$1733609"
"Joe Wilson (R-SC) ","South Carolina District 02","$1732882"
"David Kustoff (R-Tenn) ","Tennessee District 08","$1727963"
"Ami Bera (D-Calif) ","California District 07","$1727819"
"Bill Johnson (R-Ohio) ","Ohio District 06","$1717842"
"Frank Pallone Jr. (D-NJ) ","New Jersey District 06","$1714474"
"Markwayne Mullin (R-Okla) ","Oklahoma District 02","$1697159"
"Bill Foster (D-Ill) ","Illinois District 11","$1690451"
"Jim Himes (D-Conn) ","Connecticut District 04","$1683480"
"John B Larson (D-Conn) ","Connecticut District 01","$1669104"
"Gerry Connolly (D-Va) ","Virginia District 11","$1657085"
"Scott Tipton (R-Colo) ","Colorado District 03","$1656977"
"Tim Ryan (D-Ohio) ","Ohio District 13","$1646038"
"Roger Williams (R-Texas) ","Texas District 25","$1634272"
"Scott Perry (R-Pa) ","Pennsylvania District 10Current office: Pennsylvania District 04","$1629970"
"Adam Smith (D-Wash) ","Washington District 09","$1621936"
"David Schweikert (R-Ariz) ","Arizona District 06","$1618276"
"Ken Calvert (R-Calif) ","California District 42","$1611609"
"David Cicilline (D-RI) ","Rhode Island District 01","$1608597"
"Adrian Smith (R-Neb) ","Nebraska District 03","$1608377"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$1608099"
"Sam Graves (R-Mo) ","Missouri District 06","$1598730"
"Brad Wenstrup (R-Ohio) ","Ohio District 02","$1596661"
"Kathleen Rice (D-NY) ","New York District 04","$1584865"
"Lloyd Smucker (R-Pa) ","Pennsylvania District 11Current office: Pennsylvania District 16","$1567692"
"Ron Estes (R-Kan) ","Kansas District 04","$1561072"
"Suzan DelBene (D-Wash) ","Washington District 01","$1552294"
"Chris Smith (R-NJ) ","New Jersey District 04","$1546875"
"Pramila Jayapal (D-Wash) ","Washington District 07","$1541417"
"Jerrold Nadler (D-NY) ","New York District 10","$1538741"
"Charlie Crist (D-Fla) ","Florida District 13","$1531229"
"Darren Soto (D-Fla) ","Florida District 09","$1525686"
"Rob Woodall (R-Ga) ","Georgia District 07","$1513536"
"Collin Peterson (D-Minn) ","Minnesota District 07","$1494741"
"Jimmy Gomez (D-Calif) ","California District 34","$1485466"
"Don Norcross (D-NJ) ","New Jersey District 01","$1484415"
"Hakeem Jeffries (D-NY) ","New York District 08","$1482793"
"Gary Palmer (R-Ala) ","Alabama District 06","$1473770"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1472770"
"Trey Hollingsworth (R-Ind) ","Indiana District 09","$1464568"
"Michael R Turner (R-Ohio) ","Ohio District 10","$1459281"
"Tony Cardenas (D-Calif) ","California District 29","$1457974"
"Glenn Thompson (R-Pa) ","Pennsylvania District 15Current office: Pennsylvania District 05","$1440775"
"Cedric Richmond (D-La) ","Louisiana District 02","$1440123"
"Tom Suozzi (D-NY) ","New York District 03","$1435767"
"John Bergman (R-Mich) ","Michigan District 01","$1431527"
"Tulsi Gabbard (D-Hawaii) ","Hawaii District 02","$1423629"
"Grace Meng (D-NY) ","New York District 06","$1420756"
"Mac Thornberry (R-Texas) ","Texas District 13","$1419042"
"Marc Veasey (D-Texas) ","Texas District 33","$1405040"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 09","$1399386"
"Paul Cook (R-Calif) ","California District 08","$1391209"
"David Rouzer (R-NC) ","North Carolina District 07","$1391207"
"Linda Sanchez (D-Calif) ","California District 38","$1388214"
"Maxine Waters (D-Calif) ","California District 43","$1385228"
"Don Young (R-Alaska) ","Alaska District 01","$1380290"
"John Curtis (R-Utah) ","Utah District 03","$1379063"
"Peter DeFazio (D-Ore) ","Oregon District 04","$1378880"
"Jason Smith (R-Mo) ","Missouri District 08","$1363793"
"Derek Kilmer (D-Wash) ","Washington District 06","$1359358"
"Ted Poe (R-Texas) ","Texas District 02","$1349228"
"Mike D Rogers (R-Ala) ","Alabama District 03","$1347847"
"Nita M Lowey (D-NY) ","New York District 17","$1341159"
"Anna Eshoo (D-Calif) ","California District 18","$1340343"
"Ed Perlmutter (D-Colo) ","Colorado District 07","$1340326"
"David McKinley (R-WVa) ","West Virginia District 01","$1337790"
"Vicky Hartzler (R-Mo) ","Missouri District 04","$1330546"
"Mark R Meadows (R-NC) ","North Carolina District 11","$1310318"
"Bill Flores (R-Texas) ","Texas District 17","$1301041"
"James P McGovern (D-Mass) ","Massachusetts District 02","$1296763"
"Rosa L DeLauro (D-Conn) ","Connecticut District 03","$1296699"
"Robert B Aderholt (R-Ala) ","Alabama District 04","$1296477"
"Bruce Westerman (R-Ark) ","Arkansas District 04","$1283479"
"Jerry McNerney (D-Calif) ","California District 09","$1261736"
"Ted Deutch (D-Fla) ","Florida District 22","$1246747"
"Debbie Dingell (D-Mich) ","Michigan District 12","$1246412"
"Mike Quigley (D-Ill) ","Illinois District 05","$1244037"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$1243974"
"Billy Long (R-Mo) ","Missouri District 07","$1243021"
"Morgan Griffith (R-Va) ","Virginia District 09","$1242258"
"Paul Tonko (D-NY) ","New York District 20","$1241548"
"Sanford Bishop (D-Ga) ","Georgia District 02","$1224478"
"Darin LaHood (R-Ill) ","Illinois District 18","$1213251"
"Steve Womack (R-Ark) ","Arkansas District 03","$1210044"
"Diana DeGette (D-Colo) ","Colorado District 01","$1206198"
"Alex Mooney (R-WVa) ","West Virginia District 02","$1201083"
"Matt Gaetz (R-Fla) ","Florida District 01","$1195040"
"Lisa Blunt Rochester (D-Del) ","Delaware District 01","$1193959"
"Dennis Heck (D-Wash) ","Washington District 10","$1193807"
"Henry Cuellar (D-Texas) ","Texas District 28","$1189201"
"Buddy Carter (R-Ga) ","Georgia District 01","$1181229"
"Drew Ferguson (R-Ga) ","Georgia District 03","$1176205"
"Terri A Sewell (D-Ala) ","Alabama District 07","$1176115"
"John A Yarmuth (D-Ky) ","Kentucky District 03","$1166943"
"Katherine Clark (D-Mass) ","Massachusetts District 05","$1156434"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$1150894"
"Richard W Allen (R-Ga) ","Georgia District 12","$1147197"
"Elijah E Cummings (D-Md) ","Maryland District 07","$1136748"
"Dwight Evans (D-Pa) ","Pennsylvania District 03Current office: Pennsylvania District 02","$1129734"
"Robert Pittenger (R-NC) ","North Carolina District 09","$1128490"
"Tom Rice (R-SC) ","South Carolina District 07","$1128073"
"Doris O Matsui (D-Calif) ","California District 06","$1118519"
"Jim Banks (R-Ind) ","Indiana District 03","$1114794"
"Yvette D Clarke (D-NY) ","New York District 09","$1101421"
"Kenny Marchant (R-Texas) ","Texas District 24","$1098376"
"Mark Takano (D-Calif) ","California District 41","$1091567"
"Doug LaMalfa (R-Calif) ","California District 01","$1089952"
"John Moolenaar (R-Mich) ","Michigan District 04","$1087763"
"Jodey Arrington (R-Texas) ","Texas District 19","$1084813"
"Bill Posey (R-Fla) ","Florida District 08","$1084252"
"Chellie Pingree (D-Maine) ","Maine District 01","$1081634"
"David Scott (D-Ga) ","Georgia District 13","$1080821"
"Mark Amodei (R-Nev) ","Nevada District 02","$1059627"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$1059523"
"Dan Newhouse (R-Wash) ","Washington District 04","$1053583"
"Larry Bucshon (R-Ind) ","Indiana District 08","$1046063"
"Pete Visclosky (D-Ind) ","Indiana District 01","$1045072"
"Dan Kildee (D-Mich) ","Michigan District 05","$1043802"
"Frank D Lucas (R-Okla) ","Oklahoma District 03","$1033154"
"Bennie G Thompson (D-Miss) ","Mississippi District 02","$1027472"
"Rob Bishop (R-Utah) ","Utah District 01","$1026125"
"Rick Larsen (D-Wash) ","Washington District 02","$1018796"
"Joe Courtney (D-Conn) ","Connecticut District 02","$1018476"
"Gregory W Meeks (D-NY) ","New York District 05","$1000126"
"Mike Simpson (R-Idaho) ","Idaho District 02","$993767"
"Elizabeth Esty (D-Conn) ","Connecticut District 05","$990354"
"Tom Graves (R-Ga) ","Georgia District 14","$984525"
"Brian Babin (R-Texas) ","Texas District 36","$975803"
"Steven A. King (R-Iowa) ","Iowa District 04","$973688"
"David Price (D-NC) ","North Carolina District 04","$967653"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$967365"
"Brendan Boyle (D-Pa) ","Pennsylvania District 02Current office: Pennsylvania District 13","$966473"
"Rick Crawford (R-Ark) ","Arkansas District 01","$965617"
"Andre Carson (D-Ind) ","Indiana District 07","$964780"
"Nanette Barragan (D-Calif) ","California District 44","$963495"
"Ralph Abraham (R-La) ","Louisiana District 05","$961555"
"Neal Dunn (R-Fla) ","Florida District 02","$961089"
"Ted Lieu (D-Calif) ","California District 33","$960659"
"Hal Rogers (R-Ky) ","Kentucky District 05","$957967"
"Ruben Gallego (D-Ariz) ","Arizona District 07","$950936"
"Betty McCollum (D-Minn) ","Minnesota District 04","$949724"
"Joaquin Castro (D-Texas) ","Texas District 20","$935617"
"Judy Chu (D-Calif) ","California District 27","$931058"
"Donald McEachin (D-Va) ","Virginia District 04","$925774"
"Mark Pocan (D-Wis) ","Wisconsin District 02","$923815"
"Chris Stewart (R-Utah) ","Utah District 02","$922564"
"Francis Rooney (R-Fla) ","Florida District 19","$922451"
"Ryan Costello (R-Pa) ","Pennsylvania District 06","$920136"
"Robin Kelly (D-Ill) ","Illinois District 02","$912921"
"Gregg Harper (R-Miss) ","Mississippi District 03","$908880"
"Brian M Higgins (D-NY) ","New York District 26","$903448"
"Trent Kelly (R-Miss) ","Mississippi District 01","$894257"
"Tom Marino (R-Pa) ","Pennsylvania District 12Current office: Pennsylvania District 10","$893923"
"G K Butterfield (D-NC) ","North Carolina District 01","$893439"
"Juan Vargas (D-Calif) ","California District 51","$887075"
"Nydia M Velazquez (D-NY) ","New York District 07","$886659"
"Steven Russell (R-Okla) ","Oklahoma District 05","$885831"
"Clay Higgins (R-La) ","Louisiana District 03","$878559"
"Mike Johnson (R-La) ","Louisiana District 04","$878400"
"Mike Doyle (D-Pa) ","Pennsylvania District 18Current office: Pennsylvania District 14","$852376"
"Jamie Raskin (D-Md) ","Maryland District 08","$850670"
"Robert A. Brady (D-Pa) ","Pennsylvania District 02Current office: Pennsylvania District 01","$845728"
"Kurt Schrader (D-Ore) ","Oregon District 05","$844172"
"Val Demings (D-Fla) ","Florida District 10","$839180"
"Bradley Byrne (R-Ala) ","Alabama District 01","$831634"
"Bonnie Coleman (D-NJ) ","New Jersey District 12","$828691"
"Jeb Hensarling (R-Texas) ","Texas District 05","$826861"
"John Garamendi (D-Calif) ","California District 03","$826737"
"Alcee L Hastings (D-Fla) ","Florida District 20","$826622"
"Lois J Frankel (D-Fla) ","Florida District 21","$822122"
"Karen Bass (D-Calif) ","California District 37","$815604"
"Bill Shuster (R-Pa) ","Pennsylvania District 13Current office: Pennsylvania District 09","$814290"
"Mark Walker (R-NC) ","North Carolina District 06","$803174"
"Dina Titus (D-Nev) ","Nevada District 01","$780903"
"Ted Yoho (R-Fla) ","Florida District 03","$780863"
"Douglas L Lamborn (R-Colo) ","Colorado District 05","$779700"
"Louis B Gohmert Jr. (R-Texas) ","Texas District 01","$776637"
"Steven Palazzo (R-Miss) ","Mississippi District 04","$766260"
"Joyce Beatty (D-Ohio) ","Ohio District 03","$765403"
"Justin Amash (R-Mich) ","Michigan District 03","$764398"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$763812"
"Dave Reichert (R-Wash) ","Washington District 08","$755904"
"Doug Collins (R-Ga) ","Georgia District 09","$751426"
"Joe Barton (R-Texas) ","Texas District 06","$749112"
"Suzanne Bonamici (D-Ore) ","Oregon District 01","$746671"
"Jim Langevin (D-RI) ","Rhode Island District 02","$744279"
"Gene Green (D-Texas) ","Texas District 29","$736729"
"Rick Nolan (D-Minn) ","Minnesota District 08","$735834"
"Dennis Ross (R-Fla) ","Florida District 15","$729727"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$729276"
"Raul M Grijalva (D-Ariz) ","Arizona District 03","$717810"
"Jimmy Panetta (D-Calif) ","California District 20","$716122"
"Liz Cheney (R-Wyo) ","Wyoming District 01","$715470"
"Jackie Speier (D-Calif) ","California District 14","$714085"
"Jeff Duncan (R-SC) ","South Carolina District 03","$713717"
"William L Clay Jr. (D-Mo) ","Missouri District 01","$708871"
"Jared Huffman (D-Calif) ","California District 02","$708199"
"Paul Mitchell (R-Mich) ","Michigan District 10","$698358"
"Filemon Vela (D-Texas) ","Texas District 34","$696759"
"John Sarbanes (D-Md) ","Maryland District 03","$695221"
"Randy Weber (R-Texas) ","Texas District 14","$685916"
"Michael Cloud (R-Texas) ","Texas District 27","$682749"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$677411"
"Austin Scott (R-Ga) ","Georgia District 08","$672490"
"Peter Welch (D-Vt) ","Vermont District 01","$665661"
"Barry Loudermilk (R-Ga) ","Georgia District 11","$660533"
"Kathy Castor (D-Fla) ","Florida District 14","$658645"
"Kenneth R Buck (R-Colo) ","Colorado District 04","$651118"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$645161"
"James Comer (R-Ky) ","Kentucky District 01","$636409"
"Roger Marshall (R-Kan) ","Kansas District 01","$630636"
"Norma Torres (D-Calif) ","California District 35","$626500"
"Alan Lowenthal (D-Calif) ","California District 47","$619322"
"Jody B Hice (R-Ga) ","Georgia District 10","$612307"
"Marcia L Fudge (D-Ohio) ","Ohio District 11","$608143"
"Bobby Scott (D-Va) ","Virginia District 03","$606107"
"Phil Roe (R-Tenn) ","Tennessee District 01","$604971"
"Bob Goodlatte (R-Va) ","Virginia District 06","$597733"
"Chuck Fleischmann (R-Tenn) ","Tennessee District 03","$593796"
"Albio Sires (D-NJ) ","New Jersey District 08","$591047"
"Adriano Espaillat (D-NY) ","New York District 13","$586054"
"Lamar Smith (R-Texas) ","Texas District 21","$583601"
"Brenda Lawrence (D-Mich) ","Michigan District 14","$583570"
"Al Lawson (D-Fla) ","Florida District 05","$576823"
"Bill Keating (D-Mass) ","Massachusetts District 09","$568732"
"Donald M Payne Jr. (D-NJ) ","New Jersey District 10","$568615"
"Walter B Jones Jr. (R-NC) ","North Carolina District 03","$568143"
"Paul Gosar (R-Ariz) ","Arizona District 04","$566398"
"Lucille Roybal-Allard (D-Calif) ","California District 40","$565607"
"Tom Garrett (R-Va) ","Virginia District 05","$557490"
"Danny K Davis (D-Ill) ","Illinois District 07","$553021"
"Lou Correa (D-Calif) ","California District 46","$548519"
"Warren Davidson (R-Ohio) ","Ohio District 08","$544835"
"Brad Sherman (D-Calif) ","California District 30","$543799"
"Al Green (D-Texas) ","Texas District 09","$528884"
"Daniel Webster (R-Fla) ","Florida District 11","$524027"
"Alma Adams (D-NC) ","North Carolina District 12","$522111"
"John Lee Ratcliffe (R-Texas) ","Texas District 04","$517794"
"Mark Sanford (R-SC) ","South Carolina District 01","$509030"
"Lloyd Doggett (D-Texas) ","Texas District 35","$507614"
"Hank Johnson (D-Ga) ","Georgia District 04","$506816"
"Stephen F Lynch (D-Mass) ","Massachusetts District 08","$501490"
"Niki Tsongas (D-Mass) ","Massachusetts District 03","$501269"
"Anthony Brown (D-Md) ","Maryland District 04","$498047"
"Frank LoBiondo (R-NJ) ","New Jersey District 02","$491884"
"Mark Desaulnier (D-Calif) ","California District 11","$486920"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$484779"
"F James Sensenbrenner Jr. (R-Wis) ","Wisconsin District 05","$481768"
"Susan A Davis (D-Calif) ","California District 53","$465023"
"Ruben Kihuen (D-Nev) ","Nevada District 04","$443036"
"John Rutherford (R-Fla) ","Florida District 04","$441574"
"Colleen Hanabusa (D-Hawaii) ","Hawaii District 01","$437181"
"Vicente Gonzalez (D-Texas) ","Texas District 15","$410132"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$404320"
"Thomas Massie (R-Ky) ","Kentucky District 04","$392587"
"John J Duncan Jr. (R-Tenn) ","Tennessee District 02","$376013"
"Andy Biggs (R-Ariz) ","Arizona District 05","$374465"
"Stacey Plaskett (D-VI) ","Virgin Islands District 00","$356293"
"Frederica Wilson (D-Fla) ","Florida District 24","$338157"
"Bobby L Rush (D-Ill) ","Illinois District 01","$320467"
"Diane Black (R-Tenn) ","Tennessee District 06","$301497"
"Tom Rooney (R-Fla) ","Florida District 17","$293413"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$271717"
"Scott Desjarlais (R-Tenn) ","Tennessee District 04","$271468"
"Brenda Jones (D-Mich) ","Michigan District 13","$261976"
"Grace Napolitano (D-Calif) ","California District 32","$247892"
"Jose E Serrano (D-NY) ","New York District 15","$237215"
"Luis V Gutierrez (D-Ill) ","Illinois District 04","$233157"
"Sander Levin (D-Mich) ","Michigan District 09","$230913"
"Madeleine Z Bordallo (D-Guam) ","Guam District 00","$170486"
"Amata Coleman Radewagen (R-AS) ","American Samoa District 00","$168373"
"Carol Shea-Porter (D-NH) ","New Hampshire District 01","$163690"
"Tim Walz (D-Minn) ","Minnesota District 01","$143640"
"Jenniffer Gonzalez (3-PR) ","Puerto Rico District 00","$123660"
"Lynn Jenkins (R-Kan) ","Kansas District 02","$113672"
"Gregorio Sablan (I) ","Northern Mariana Islands District 00","$104014"
"Raul Labrador (R-Idaho) ","Idaho District 01","$87251"
"Kristi Noem (R-SD) ","South Dakota District 01","$82125"
"Michelle Lujan Grisham (D-NM) ","New Mexico District 01","$24494"
"Steve Pearce (R-NM) ","New Mexico District 02","$0"
