"Representative","Office Running For","Total Spent"
"Beto O'Rourke (D-Texas) ","Texas SenateCurrent office: Texas District 16","$79091894"
"Jacky Rosen (D-Nev) ","Nevada SenateCurrent office: Nevada District 03","$25463471"
"Kyrsten Sinema (D-Ariz) ","Arizona SenateCurrent office: Arizona District 09","$24289249"
"Martha McSally (R-Ariz) ","Arizona SenateCurrent office: Arizona District 02","$20694949"
"Marsha Blackburn (R-Tenn) ","Tennessee SenateCurrent office: Tennessee District 07","$16338715"
"Steve Scalise (R-La) ","Louisiana District 01","$11808004"
"Devin Nunes (R-Calif) ","California District 22","$11556368"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$10997422"
"Greg Gianforte (R-Mont) ","Montana District 01","$9544233"
"Conor Lamb (D-Pa) ","Pennsylvania District 17Current office: Pennsylvania District 18","$8751335"
"Karen Handel (R-Ga) ","Georgia District 06","$8598091"
"Kevin McCarthy (R-Calif) ","California District 23","$8217156"
"Lou Barletta (R-Pa) ","Pennsylvania SenateCurrent office: Pennsylvania District 11","$7637982"
"Peter Roskam (R-Ill) ","Illinois District 06","$7061457"
"Barbara Comstock (R-Va) ","Virginia District 10","$6406203"
"Kevin Cramer (R-ND) ","North Dakota SenateCurrent office: North Dakota District 01","$6144487"
"Brian Mast (R-Fla) ","Florida District 18","$6018841"
"Kevin Brady (R-Texas) ","Texas District 08","$5958864"
"Mia Love (R-Utah) ","Utah District 04","$5878143"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$5862137"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$5633922"
"Andy Barr (R-Ky) ","Kentucky District 06","$5580477"
"Nancy Pelosi (D-Calif) ","California District 12","$5353320"
"Mimi Walters (R-Calif) ","California District 45","$5244605"
"Pete Sessions (R-Texas) ","Texas District 32","$5180096"
"Will Hurd (R-Texas) ","Texas District 23","$5158926"
"Carlos Curbelo (R-Fla) ","Florida District 26","$5044040"
"Steve Stivers (R-Ohio) ","Ohio District 15","$4993369"
"Kevin Yoder (R-Kan) ","Kansas District 03","$4888480"
"Jeff Denham (R-Calif) ","California District 10","$4887577"
"Greg Walden (R-Ore) ","Oregon District 02","$4876725"
"Lee Zeldin (R-NY) ","New York District 01","$4795667"
"Thomas MacArthur (R-NJ) ","New Jersey District 03","$4704872"
"Jim Renacci (R-Ohio) ","Ohio SenateCurrent office: Ohio District 16","$4624413"
"Sean Patrick Maloney (D-NY) ","New York District 18","$4383786"
"Joseph Crowley (D-NY) ","New York District 14","$4331650"
"Vernon Buchanan (R-Fla) ","Florida District 16","$4293847"
"Ann L Wagner (R-Mo) ","Missouri District 02","$4186824"
"Steny H Hoyer (D-Md) ","Maryland District 05","$4172808"
"Scott W Taylor (R-Va) ","Virginia District 02","$4058643"
"Rodney Davis (R-Ill) ","Illinois District 13","$4001342"
"Bruce Poliquin (R-Maine) ","Maine District 02","$3965541"
"John Faso (R-NY) ","New York District 19","$3877393"
"Patrick McHenry (R-NC) ","North Carolina District 10","$3861980"
"Mike Coffman (R-Colo) ","Colorado District 06","$3768929"
"Keith J Rothfus (R-Pa) ","Pennsylvania District 17Current office: Pennsylvania District 12","$3739245"
"Adam Schiff (D-Calif) ","California District 28","$3641838"
"Todd Rokita (R-Ind) ","Indiana SenateCurrent office: Indiana District 04","$3639055"
"Fred Upton (R-Mich) ","Michigan District 06","$3553344"
"French Hill (R-Ark) ","Arkansas District 02","$3536453"
"Luke Messer (R-Ind) ","Indiana SenateCurrent office: Indiana District 06","$3521861"
"Tom Reed (R-NY) ","New York District 23","$3521221"
"John Culberson (R-Texas) ","Texas District 07","$3499213"
"Brian Fitzpatrick (R-Pa) ","Pennsylvania District 01Current office: Pennsylvania District 08","$3412246"
"Mike Bishop (R-Mich) ","Michigan District 08","$3374608"
"Ann Kuster (D-NH) ","New Hampshire District 02","$3330178"
"Dave Brat (R-Va) ","Virginia District 07","$3302552"
"Mike Kelly (R-Pa) ","Pennsylvania District 16Current office: Pennsylvania District 03","$3269744"
"Richard E Neal (D-Mass) ","Massachusetts District 01","$3264276"
"Susan Wild (D-Pa) ","Pennsylvania District 07Current office: Pennsylvania District 15","$3254489"
"David Valadao (R-Calif) ","California District 21","$3249706"
"Claudia Tenney (R-NY) ","New York District 22","$3234733"
"Brad Schneider (D-Ill) ","Illinois District 10","$3218378"
"Pete King (R-NY) ","New York District 02","$3175639"
"Cheri Bustos (D-Ill) ","Illinois District 17","$3132802"
