"Representative","Office Running For","Total Spent"
"Patrick Murphy (D-Fla) ","Florida SenateCurrent office: Florida District 18","$19030002"
"Tammy Duckworth (D-Ill) ","Illinois SenateCurrent office: Illinois District 08","$16627563"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$13393345"
"Joe Heck (R-Nev) ","Nevada SenateCurrent office: Nevada District 03","$11742910"
"Chris Van Hollen (D-Md) ","Maryland SenateCurrent office: Maryland District 08","$11394123"
"Todd Young (R-Ind) ","Indiana SenateCurrent office: Indiana District 09","$10901664"
"Ann Kirkpatrick (D-Ariz) ","Arizona SenateCurrent office: Arizona District 01","$9123541"
"Kevin McCarthy (R-Calif) ","California District 23","$8072391"
"Martha McSally (R-Ariz) ","Arizona District 02","$7826194"
"Alan Grayson (D-Fla) ","Florida SenateCurrent office: Florida District 09","$7649020"
"Darrell Issa (R-Calif) ","California District 49","$6275754"
"Ryan K Zinke (R-Mont) ","Montana District 01","$5935723"
"Charles W Boustany Jr (R-La) ","Louisiana SenateCurrent office: Louisiana District 03","$5871551"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$5761611"
"Bob Dold (R-Ill) ","Illinois District 10","$5572465"
"Mia Love (R-Utah) ","Utah District 04","$5480895"
"Barbara Comstock (R-Va) ","Virginia District 10","$5291182"
"John Fleming (R-La) ","Louisiana SenateCurrent office: Louisiana District 04","$4512533"
"Scott Garrett (R-NJ) ","New Jersey District 05","$4303125"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$4271412"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 23","$4214754"
"Jeff Denham (R-Calif) ","California District 10","$4174467"
"Loretta Sanchez (D-Calif) ","California SenateCurrent office: California District 46","$4119563"
"Will Hurd (R-Texas) ","Texas District 23","$4109804"
"Ami Bera (D-Calif) ","California District 07","$4097741"
"Lee Zeldin (R-NY) ","New York District 01","$4079226"
"Kevin Yoder (R-Kan) ","Kansas District 03","$4049363"
"Kevin Brady (R-Texas) ","Texas District 08","$3998823"
"Steny H Hoyer (D-Md) ","Maryland District 05","$3832251"
"Carlos Curbelo (R-Fla) ","Florida District 26","$3829677"
"Ron DeSantis (R-Fla) ","Florida District 06","$3678255"
"Ed Royce (R-Calif) ","California District 39","$3640434"
"Steve Scalise (R-La) ","Louisiana District 01","$3635483"
"Mike Coffman (R-Colo) ","Colorado District 06","$3521511"
"Donna Edwards (D-Md) ","Maryland SenateCurrent office: Maryland District 04","$3498497"
"Nancy Pelosi (D-Calif) ","California District 12","$3478461"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 27","$3410165"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$3393298"
"John M Shimkus (R-Ill) ","Illinois District 15","$3389735"
"Bruce Poliquin (R-Maine) ","Maine District 02","$3369694"
"Peter Roskam (R-Ill) ","Illinois District 06","$3331980"
"Greg Walden (R-Ore) ","Oregon District 02","$3288308"
