"Representative","Office Running For","Total Spent"
"Jerry Lewis (R-Calif) ","California District 40","$805526"
"Maurice Hinchey (D-NY) ","New York District 26","$795829"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$794800"
"Michael G. Oxley (R-Ohio) ","Ohio District 04","$790624"
"Sherrod Brown (D-Ohio) ","Ohio District 13","$789866"
"Charles W. Norwood (R-Ga) ","Georgia District 10","$787855"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$779831"
"Ken Lucas (D-Ky) ","Kentucky District 04","$779740"
"Mark Green (R-Wis) ","Wisconsin District 08","$771907"
"Doc Hastings (R-Wash) ","Washington District 04","$770359"
"Robert T. Matsui (D-Calif) ","California District 05","$770062"
"Darlene Hooley (D-Ore) ","Oregon District 05","$762764"
"Carolyn B. Maloney (D-NY) ","New York District 14","$760222"
"Jim Ramstad (R-Minn) ","Minnesota District 03","$747976"
"John Hostettler (R-Ind) ","Indiana District 08","$743755"
"Mac Thornberry (R-Texas) ","Texas District 13","$741039"
"Ralph M. Hall (D-Texas) ","Texas District 04","$739496"
"Zach Wamp (R-Tenn) ","Tennessee District 03","$737216"
"Tim Roemer (D-Ind) ","Indiana District 03","$734206"
"Ed Bryant (R-Tenn) ","Tennessee District 07","$727131"
"Neil Abercrombie (D-Hawaii) ","Hawaii District 01","$722133"
"Steve Buyer (R-Ind) ","Indiana District 05","$720714"
"John B. Larson (D-Conn) ","Connecticut District 01","$715753"
"Bob Clement (D-Tenn) ","Tennessee District 05","$715189"
"Greg Ganske (R-Iowa) ","Iowa District 04","$714235"
"William L. Clay Jr. (D-Mo) ","Missouri District 01","$713595"
"Leonard L. Boswell (D-Iowa) ","Iowa District 03","$710518"
"Dave Hobson (R-Ohio) ","Ohio District 07","$706884"
"Tom Petri (R-Wis) ","Wisconsin District 06","$703496"
"Dave Camp (R-Mich) ","Michigan District 04","$703421"
"Frank D. Lucas (R-Okla) ","Oklahoma District 06","$700850"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$700275"
"Joe Skeen (R-NM) ","New Mexico District 02","$699299"
"Mac Collins (R-Ga) ","Georgia District 03","$697766"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$694724"
"Sam Farr (D-Calif) ","California District 17","$692932"
"Gary A. Condit (D-Calif) ","California District 18","$687403"
"Gary Ackerman (D-NY) ","New York District 05","$686913"
"David Price (D-NC) ","North Carolina District 04","$686476"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$680778"
"Howard P. ""Buck"" McKeon (R-Calif) ","California District 25","$674238"
"Don Manzullo (R-Ill) ","Illinois District 16","$674125"
"Kay Granger (R-Texas) ","Texas District 12","$671838"
"Wally Herger (R-Calif) ","California District 02","$664374"
"George Radanovich (R-Calif) ","California District 19","$659104"
"Jack Kingston (R-Ga) ","Georgia District 01","$652186"
"John W. Olver (D-Mass) ","Massachusetts District 01","$646363"
"John M. Shimkus (R-Ill) ","Illinois District 20","$645920"
"Anna Eshoo (D-Calif) ","California District 14","$642146"
"Joseph Crowley (D-NY) ","New York District 07","$641542"
"Barbara Cubin (R-Wyo) ","Wyoming District 01","$640700"
"Tom Allen (D-Maine) ","Maine District 01","$639119"
"Jerry Kleczka (D-Wis) ","Wisconsin District 04","$632355"
"John Tanner (D-Tenn) ","Tennessee District 08","$628803"
"Chris John (D-La) ","Louisiana District 07","$627685"
"Gene Green (D-Texas) ","Texas District 29","$626951"
"Ike Skelton (D-Mo) ","Missouri District 04","$624593"
"Karen L. Thurman (D-Fla) ","Florida District 05","$623686"
"Vic Snyder (D-Ark) ","Arkansas District 02","$623489"
"Dan Burton (R-Ind) ","Indiana District 06","$622401"
"Fred Upton (R-Mich) ","Michigan District 06","$620512"
"Charlie A. Gonzalez (D-Texas) ","Texas District 20","$619173"
"Curt Weldon (R-Pa) ","Pennsylvania District 07","$618319"
"Jack Quinn (R-NY) ","New York District 30","$615608"
"Chris Smith (R-NJ) ","New Jersey District 04","$611785"
"Nancy Pelosi (D-Calif) ","California District 08","$608318"
"Henry Brown (R-SC) ","South Carolina District 01","$606776"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$600633"
"Norm Dicks (D-Wash) ","Washington District 06","$596375"
"Doug Ose (R-Calif) ","California District 03","$593164"
"Harold E. Ford Jr. (D-Tenn) ","Tennessee District 09","$591088"
"Deborah Pryce (R-Ohio) ","Ohio District 15","$589675"
"Michael N. Castle (R-Del) ","Delaware District 01","$588911"
"John T. Doolittle (R-Calif) ","California District 04","$587722"
"Edward J. Markey (D-Mass) ","Massachusetts District 07","$584630"
"Mary Bono (R-Calif) ","California District 44","$582684"
"Virgil H. Goode Jr (I-Va) ","Virginia District 05","$581016"
"James T. Walsh (R-NY) ","New York District 25","$580767"
"Steve Horn (R-Calif) ","California District 38","$580445"
"John E. Sununu (R-NH) ","New Hampshire District 01","$578633"
"Spencer Bachus (R-Ala) ","Alabama District 06","$577565"
"Major R. Owens (D-NY) ","New York District 11","$576754"
"Lynn Woolsey (D-Calif) ","California District 06","$576539"
"Jim McCrery (R-La) ","Louisiana District 04","$574127"
"Randy ""Duke"" Cunningham (R-Calif) ","California District 51","$572440"
"John Shadegg (R-Ariz) ","Arizona District 04","$572248"
"Ed Pastor (D-Ariz) ","Arizona District 02","$569648"
"Ron Kind (D-Wis) ","Wisconsin District 03","$565712"
"Ben Cardin (D-Md) ","Maryland District 03","$564687"
"Diana DeGette (D-Colo) ","Colorado District 01","$564413"
"William J. Jefferson (D-La) ","Louisiana District 02","$563238"
"Peter Deutsch (D-Fla) ","Florida District 20","$558259"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$557955"
"Larry Combest (R-Texas) ","Texas District 19","$556470"
"Bob Riley (R-Ala) ","Alabama District 03","$551439"
"Dennis J. Kucinich (D-Ohio) ","Ohio District 10","$551404"
"James P. McGovern (D-Mass) ","Massachusetts District 03","$550240"
"Scott McInnis (R-Colo) ","Colorado District 03","$545989"
"Ted Strickland (D-Ohio) ","Ohio District 06","$544415"
"Lamar Smith (R-Texas) ","Texas District 21","$543754"
"John Conyers Jr. (D-Mich) ","Michigan District 14","$541946"
"Brad Sherman (D-Calif) ","California District 24","$539122"
"Jeff Flake (R-Ariz) ","Arizona District 01","$533127"
"Greg Walden (R-Ore) ","Oregon District 02","$523820"
"Howard L. Berman (D-Calif) ","California District 26","$521478"
"Ernest J. Istook (R-Okla) ","Oklahoma District 05","$520108"
"Charles W. ""Chip"" Pickering Jr. (R-Miss) ","Mississippi District 03","$519957"
"Mike Simpson (R-Idaho) ","Idaho District 02","$518752"
"Michael Bilirakis (R-Fla) ","Florida District 09","$518118"
"Tom Sawyer (D-Ohio) ","Ohio District 14","$515026"
"Bud Cramer (D-Ala) ","Alabama District 05","$512728"
"Anthony D. Weiner (D-NY) ","New York District 09","$510247"
"Frank Mascara (D-Pa) ","Pennsylvania District 20","$509444"
"John Baldacci (D-Maine) ","Maine District 02","$508966"
"Marty Meehan (D-Mass) ","Massachusetts District 05","$508730"
"John Cooksey (R-La) ","Louisiana District 05","$508238"
"Albert R. Wynn (D-Md) ","Maryland District 04","$487928"
"John J. LaFalce (D-NY) ","New York District 29","$487016"
"Zoe Lofgren (D-Calif) ","California District 16","$486365"
"Tom Osborne (R-Neb) ","Nebraska District 03","$484797"
"Gary Miller (R-Calif) ","California District 41","$482491"
"Brian Kerns (R-Ind) ","Indiana District 07","$479291"
"Bob Borski (D-Pa) ","Pennsylvania District 03","$474626"
"Lynn N. Rivers (D-Mich) ","Michigan District 13","$474076"
"Barney Frank (D-Mass) ","Massachusetts District 04","$471381"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$470513"
"Martin Olav Sabo (D-Minn) ","Minnesota District 05","$467849"
"Frank R. Wolf (R-Va) ","Virginia District 10","$465729"
"F. James Sensenbrenner Jr. (R-Wis) ","Wisconsin District 09","$464515"
"Hal Rogers (R-Ky) ","Kentucky District 05","$459993"
"Richard Pombo (R-Calif) ","California District 11","$456730"
"Pete King (R-NY) ","New York District 03","$455110"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$454558"
"Barbara Lee (D-Calif) ","California District 09","$452812"
"Eva M. Clayton (D-NC) ","North Carolina District 01","$450199"
"Jerrold Nadler (D-NY) ","New York District 08","$449898"
"Jim Davis (D-Fla) ","Florida District 11","$447308"
"Robert Wexler (D-Fla) ","Florida District 19","$447274"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$444442"
"George Miller (D-Calif) ","California District 07","$443578"
"Earl F. Hilliard (D-Ala) ","Alabama District 07","$432730"
"Nathan Deal (R-Ga) ","Georgia District 09","$429979"
"Solomon P. Ortiz (D-Texas) ","Texas District 27","$428821"
"Mike McIntyre (D-NC) ","North Carolina District 07","$428263"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$426934"
"Bill Lipinski (D-Ill) ","Illinois District 03","$426197"
"Mike Doyle (D-Pa) ","Pennsylvania District 18","$421732"
"Richard Burr (R-NC) ","North Carolina District 05","$421060"
"Ken Calvert (R-Calif) ","California District 43","$421029"
"John Linder (R-Ga) ","Georgia District 11","$418105"
"Tim Holden (D-Pa) ","Pennsylvania District 06","$417147"
"Pete Stark (D-Calif) ","California District 13","$414879"
"John E. Peterson (R-Pa) ","Pennsylvania District 05","$413790"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$411375"
"Cynthia A. McKinney (D-Ga) ","Georgia District 04","$410270"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$409852"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$409631"
"Rob Portman (R-Ohio) ","Ohio District 02","$406952"
"Silvestre Reyes (D-Texas) ","Texas District 16","$406530"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$405723"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$404807"
"Bob Goodlatte (R-Va) ","Virginia District 06","$395342"
"Jo Ann Davis (R-Va) ","Virginia District 01","$393119"
"Nydia M. Velazquez (D-NY) ","New York District 12","$392579"
"Pete Visclosky (D-Ind) ","Indiana District 01","$390320"
"Henry A. Waxman (D-Calif) ","California District 29","$389766"
"Michael E. Capuano (D-Mass) ","Massachusetts District 08","$387384"
"Judy Biggert (R-Ill) ","Illinois District 13","$381623"
"Doug Bereuter (R-Neb) ","Nebraska District 01","$380036"
"Bob Stump (R-Ariz) ","Arizona District 03","$377426"
"Dan Miller (R-Fla) ","Florida District 13","$376529"
"Alcee L. Hastings (D-Fla) ","Florida District 23","$375537"
"Tom Latham (R-Iowa) ","Iowa District 05","$375152"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$373057"
"Jerry Moran (R-Kan) ","Kansas District 01","$370520"
"Kevin Brady (R-Texas) ","Texas District 08","$370246"
"Richard E. Neal (D-Mass) ","Massachusetts District 02","$369098"
"James E. Clyburn (D-SC) ","South Carolina District 06","$363062"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$361869"
"Gregory W. Meeks (D-NY) ","New York District 06","$361077"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$360952"
"Allen Boyd (D-Fla) ","Florida District 02","$357761"
"Carolyn Cheeks Kilpatrick (D-Mich) ","Michigan District 15","$357453"
"Bob Filner (D-Calif) ","California District 50","$357015"
"Steven C. LaTourette (R-Ohio) ","Ohio District 19","$355206"
"Nick Rahall (D-WVa) ","West Virginia District 03","$354164"
"Donald M. Payne (D-NJ) ","New Jersey District 10","$347319"
"Sonny Callahan (R-Ala) ","Alabama District 01","$344493"
"Julia Carson (D-Ind) ","Indiana District 10","$340203"
"Tom Udall (D-NM) ","New Mexico District 03","$340174"
"James V. Hansen (R-Utah) ","Utah District 01","$338572"
"Chris Cannon (R-Utah) ","Utah District 03","$336523"
"C. W. Bill Young (R-Fla) ","Florida District 10","$336372"
"Alan B. Mollohan (D-WVa) ","West Virginia District 01","$335864"
"Jim Leach (R-Iowa) ","Iowa District 01","$335143"
"Michael R. McNulty (D-NY) ","New York District 21","$334030"
"Peter DeFazio (D-Ore) ","Oregon District 04","$332814"
"Bernie Sanders (I-Vt) ","Vermont District 01","$332440"
"Karen McCarthy (D-Mo) ","Missouri District 05","$331907"
"John J. ""Jimmy"" Duncan Jr. (R-Tenn) ","Tennessee District 02","$327629"
"Ed Royce (R-Calif) ","California District 39","$327284"
"Jim DeMint (R-SC) ","South Carolina District 04","$325286"
"Jim McDermott (D-Wash) ","Washington District 07","$322022"
"Jim Gibbons (R-Nev) ","Nevada District 02","$320019"
"Terry Everett (R-Ala) ","Alabama District 02","$311936"
"Tom Lantos (D-Calif) ","California District 12","$310957"
"Paul E. Gillmor (R-Ohio) ","Ohio District 05","$310893"
"Dale E. Kildee (D-Mich) ","Michigan District 09","$307040"
"Jesse Jackson Jr. (D-Ill) ","Illinois District 02","$304619"
"Vernon J. Ehlers (R-Mich) ","Michigan District 03","$302826"
"Howard Coble (R-NC) ","North Carolina District 06","$301790"
"Dana Rohrabacher (R-Calif) ","California District 45","$300724"
"John M. McHugh (R-NY) ","New York District 24","$300643"
"Grace Napolitano (D-Calif) ","California District 34","$298484"
"Carrie Meek (D-Fla) ","Florida District 17","$298389"
"David Phelps (D-Ill) ","Illinois District 19","$297056"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$296851"
"Mark E. Souder (R-Ind) ","Indiana District 04","$294346"
"Ciro D. Rodriguez (D-Texas) ","Texas District 28","$294228"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$294122"
"Lucille Roybal-Allard (D-Calif) ","California District 33","$292932"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$291642"
"Wes Watkins (R-Okla) ","Oklahoma District 03","$288397"
"Gene Taylor (D-Miss) ","Mississippi District 05","$287750"
"Jim Ryun (R-Kan) ","Kansas District 02","$284064"
"Rod Blagojevich (D-Ill) ","Illinois District 05","$279230"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$278688"
"Paul E. Kanjorski (D-Pa) ","Pennsylvania District 11","$271258"
"Cass Ballenger (R-NC) ","North Carolina District 10","$266557"
"Maxine Waters (D-Calif) ","California District 35","$266309"
"Porter Goss (R-Fla) ","Florida District 14","$259684"
"Robert C. Scott (D-Va) ","Virginia District 03","$250417"
"Bob Schaffer (R-Colo) ","Colorado District 04","$247736"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$243072"
"Stephanie Tubbs Jones (D-Ohio) ","Ohio District 11","$240018"
"Lloyd Doggett (D-Texas) ","Texas District 10","$232268"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$231526"
"Danny K. Davis (D-Ill) ","Illinois District 07","$228722"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$225919"
"Wayne T. Gilchrest (R-Md) ","Maryland District 01","$225166"
"Ron Lewis (R-Ky) ","Kentucky District 02","$225008"
"Tom Barrett (D-Wis) ","Wisconsin District 05","$221766"
"Cliff Stearns (R-Fla) ","Florida District 06","$213747"
"Jose E. Serrano (D-NY) ","New York District 16","$210037"
"Collin C. Peterson (D-Minn) ","Minnesota District 07","$207292"
"George W. Gekas (R-Pa) ","Pennsylvania District 17","$206666"
"John L. Mica (R-Fla) ","Florida District 07","$206125"
"Jim Barcia (D-Mich) ","Michigan District 05","$202688"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$192368"
"Ralph Regula (R-Ohio) ","Ohio District 16","$186626"
"Juanita Millender-McDonald (D-Calif) ","California District 37","$169214"
"Louise M. Slaughter (D-NY) ","New York District 28","$167851"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$162346"
"William J. Coyne (D-Pa) ","Pennsylvania District 14","$142754"
"Jim Turner (D-Texas) ","Texas District 02","$138491"
"Joel Hefley (R-Colo) ","Colorado District 05","$127282"
"Nick Smith (R-Mich) ","Michigan District 07","$112467"
"Robert A. Underwood (D-Guam) ","Guam District 00","$110354"
"Bill Jenkins (R-Tenn) ","Tennessee District 01","$92463"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$85967"
"Donna Christian-Green (D-VI) ","Virgin Islands District 00","$57231"
