"Representative","Office Running For","Total Spent"
"Richard A. Gephardt (D-Mo) ","Missouri District 03","$5580964"
"Adam Schiff (D-Calif) ","California District 27","$4650104"
"Bob Barr (R-Ga) ","Georgia District 07","$3575020"
"E. Clay Shaw Jr. (R-Fla) ","Florida District 22","$3086708"
"Anne M. Northup (R-Ky) ","Kentucky District 03","$2904763"
"Bill Luther (D-Minn) ","Minnesota District 06","$2597244"
"Rush Holt (D-NJ) ","New Jersey District 12","$2566080"
"Henry J. Hyde (R-Ill) ","Illinois District 06","$2436839"
"Mike Honda (D-Calif) ","California District 15","$2433194"
"Ron Paul (R-Texas) ","Texas District 14","$2353816"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$2349872"
"David E. Bonior (D-Mich) ","Michigan District 10","$2312101"
"Darrell Issa (R-Calif) ","California District 48","$2304833"
"Ernie Fletcher (R-Ky) ","Kentucky District 06","$2300619"
"Dennis Hastert (R-Ill) ","Illinois District 14","$2299072"
"Mike Ferguson (R-NJ) ","New Jersey District 07","$2294939"
"Phil English (R-Pa) ","Pennsylvania District 21","$2222508"
"Mike Rogers (R-Mich) ","Michigan District 08","$2195500"
"Heather Wilson (R-NM) ","New Mexico District 01","$2193322"
"Jim Saxton (R-NJ) ","New Jersey District 03","$2143518"
"Denny Rehberg (R-Mont) ","Montana District 01","$2125364"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$2089719"
"Jane Harman (D-Calif) ","California District 36","$2072189"
"Jim Maloney (D-Conn) ","Connecticut District 05","$2065407"
"Shelley Berkley (D-Nev) ","Nevada District 01","$2062803"
"Charles B. Rangel (D-NY) ","New York District 15","$2051159"
"Mark Kirk (R-Ill) ","Illinois District 10","$2015292"
"Jay Inslee (D-Wash) ","Washington District 01","$2008636"
"Martin Frost (D-Texas) ","Texas District 24","$1983181"
"Timothy V. Johnson (R-Ill) ","Illinois District 15","$1964360"
"Jim Matheson (D-Utah) ","Utah District 02","$1942785"
"Robin Hayes (R-NC) ","North Carolina District 08","$1942592"
"Don Sherwood (R-Pa) ","Pennsylvania District 10","$1928403"
"Susan A. Davis (D-Calif) ","California District 49","$1926497"
"Carolyn McCarthy (D-NY) ","New York District 04","$1923299"
"Saxby Chambliss (R-Ga) ","Georgia District 08","$1841653"
"J. C. Watts Jr (R-Okla) ","Oklahoma District 04","$1827649"
"Pete Sessions (R-Texas) ","Texas District 05","$1826456"
"Cal Dooley (D-Calif) ","California District 20","$1775089"
"Joseph M. Hoeffel (D-Pa) ","Pennsylvania District 13","$1772923"
"Loretta Sanchez (D-Calif) ","California District 46","$1755699"
"George R. Nethercutt Jr (R-Wash) ","Washington District 05","$1749203"
"Dennis Moore (D-Kan) ","Kansas District 03","$1738878"
"Jennifer Dunn (R-Wash) ","Washington District 08","$1731507"
"Melissa Hart (R-Pa) ","Pennsylvania District 04","$1724048"
"Robert Menendez (D-NJ) ","New Jersey District 13","$1713018"
"Connie Morella (R-Md) ","Maryland District 08","$1678139"
"Bill Thomas (R-Calif) ","California District 21","$1637536"
"Mike Ross (D-Ark) ","Arkansas District 04","$1626164"
"David Vitter (R-La) ","Louisiana District 01","$1604204"
"Johnny Isakson (R-Ga) ","Georgia District 06","$1601856"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$1583278"
"Joe Baca (D-Calif) ","California District 42","$1579186"
"Felix J. Grucci Jr. (R-NY) ","New York District 01","$1565346"
"Charles H. Taylor (R-NC) ","North Carolina District 11","$1555039"
"Mark Foley (R-Fla) ","Florida District 16","$1544957"
"Ellen O. Tauscher (D-Calif) ","California District 10","$1540830"
"Jim Kolbe (R-Ariz) ","Arizona District 05","$1535705"
"Rick Larsen (D-Wash) ","Washington District 02","$1529101"
"Tom Davis (R-Va) ","Virginia District 11","$1515583"
"Lois Capps (D-Calif) ","California District 22","$1498955"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1495305"
"Billy Tauzin (R-La) ","Louisiana District 03","$1477133"
"Lindsey Graham (R-SC) ","South Carolina District 03","$1440457"
"David Wu (D-Ore) ","Oregon District 01","$1437974"
"Brian Baird (D-Wash) ","Washington District 03","$1368592"
"Ander Crenshaw (R-Fla) ","Florida District 04","$1367295"
"Nick Lampson (D-Texas) ","Texas District 09","$1342705"
"Ken Bentsen (D-Texas) ","Texas District 25","$1337579"
"Eric Cantor (R-Va) ","Virginia District 07","$1336548"
"Mark Udall (D-Colo) ","Colorado District 02","$1330529"
"Dick Armey (R-Texas) ","Texas District 26","$1323416"
"Van Hilleary (R-Tenn) ","Tennessee District 04","$1320669"
"Ric Keller (R-Fla) ","Florida District 08","$1318045"
"Eliot L. Engel (D-NY) ","New York District 17","$1299141"
"Tom DeLay (R-Texas) ","Texas District 22","$1298995"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$1288226"
"Chet Edwards (D-Texas) ","Texas District 11","$1281637"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$1268702"
"Walter B. Jones Jr. (R-NC) ","North Carolina District 03","$1266779"
"Patrick J. Kennedy (D-RI) ","Rhode Island District 01","$1263102"
"Anibal Acevedo-Vila (3-PR) ","Puerto Rico District 00","$1233970"
"Lane Evans (D-Ill) ","Illinois District 17","$1230267"
"Brad Carson (D-Okla) ","Oklahoma District 02","$1209242"
"Jim Moran (D-Va) ","Virginia District 08","$1203058"
"Kenny Hulshof (R-Mo) ","Missouri District 09","$1202235"
"Edolphus Towns (D-NY) ","New York District 10","$1187226"
"J. D. Hayworth (R-Ariz) ","Arizona District 06","$1183832"
"Benjamin A. Gilman (R-NY) ","New York District 20","$1177222"
"Christopher Cox (R-Calif) ","California District 47","$1171803"
"Marion Berry (D-Ark) ","Arkansas District 01","$1169274"
"Nancy L. Johnson (R-Conn) ","Connecticut District 06","$1163610"
"Max Sandlin (D-Texas) ","Texas District 01","$1147002"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$1135811"
"Roy Blunt (R-Mo) ","Missouri District 07","$1131303"
"David Dreier (R-Calif) ","California District 28","$1130755"
"Tom Tancredo (R-Colo) ","Colorado District 06","$1123854"
"Ronnie Shows (D-Miss) ","Mississippi District 04","$1120105"
"Sam Graves (R-Mo) ","Missouri District 06","$1115338"
"Mike Pence (R-Ind) ","Indiana District 02","$1105857"
"Joe Knollenberg (R-Mich) ","Michigan District 11","$1104909"
"Vito Fossella (R-NY) ","New York District 13","$1100137"
"Steve Chabot (R-Ohio) ","Ohio District 01","$1099555"
"Betty McCollum (D-Minn) ","Minnesota District 04","$1090046"
"Sander Levin (D-Mich) ","Michigan District 12","$1088831"
"David R. Obey (D-Wis) ","Wisconsin District 07","$1085618"
"John Culberson (R-Texas) ","Texas District 07","$1085071"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 08","$1081808"
"John M. Spratt Jr. (D-SC) ","South Carolina District 05","$1070965"
"Sanford D. Bishop Jr. (D-Ga) ","Georgia District 02","$1069838"
"Ed Schrock (R-Va) ","Virginia District 02","$1067074"
"Rob Simmons (R-Conn) ","Connecticut District 02","$1060197"
"Adam Smith (D-Wash) ","Washington District 09","$1057015"
"Steve Israel (D-NY) ","New York District 02","$1055977"
"Nita M. Lowey (D-NY) ","New York District 18","$1055962"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$1055707"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$1052831"
"Henry Bonilla (R-Texas) ","Texas District 23","$1050250"
"John D. Dingell (D-Mich) ","Michigan District 16","$1048787"
"Adam H. Putnam (R-Fla) ","Florida District 12","$1047257"
"Xavier Becerra (D-Calif) ","California District 30","$1046470"
"Jim Langevin (D-RI) ","Rhode Island District 02","$1041752"
"Christopher Shays (R-Conn) ","Connecticut District 04","$1041299"
"Amo Houghton (R-NY) ","New York District 31","$1033810"
"Don Young (R-Alaska) ","Alaska District 01","$1030168"
"Elton Gallegly (R-Calif) ","California District 23","$1022565"
"Todd Akin (R-Mo) ","Missouri District 02","$1015568"
"John Boehner (R-Ohio) ","Ohio District 08","$1007384"
"C. L. ""Butch"" Otter (R-Idaho) ","Idaho District 01","$1005580"
"Marge Roukema (R-NJ) ","New Jersey District 05","$1005148"
"Sue Myrick (R-NC) ","North Carolina District 09","$987645"
"Baron Hill (D-Ind) ","Indiana District 09","$981802"
"Sue Kelly (R-NY) ","New York District 19","$980892"
"Hilda L. Solis (D-Calif) ","California District 31","$978263"
"Jerry Weller (R-Ill) ","Illinois District 11","$976795"
"Patrick J. Toomey (R-Pa) ","Pennsylvania District 15","$975795"
"Ray LaHood (R-Ill) ","Illinois District 18","$974251"
"Bart Stupak (D-Mich) ","Michigan District 01","$971337"
"Phil Crane (R-Ill) ","Illinois District 08","$970024"
"Gil Gutknecht (R-Minn) ","Minnesota District 01","$969598"
"John P. Murtha (D-Pa) ","Pennsylvania District 12","$968531"
"John Thune (R-SD) ","South Dakota District 01","$953757"
"Joe Barton (R-Texas) ","Texas District 06","$936534"
"Richard Baker (R-La) ","Louisiana District 06","$916205"
"Corrine Brown (D-Fla) ","Florida District 03","$915554"
"Bob Etheridge (D-NC) ","North Carolina District 02","$911578"
"Dave Weldon (R-Fla) ","Florida District 15","$910906"
"Jim Nussle (R-Iowa) ","Iowa District 02","$907935"
"Sam Johnson (R-Texas) ","Texas District 03","$892324"
"James C. Greenwood (R-Pa) ","Pennsylvania District 08","$889821"
"Bob Ney (R-Ohio) ","Ohio District 18","$887896"
"Mark Kennedy (R-Minn) ","Minnesota District 02","$886650"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$880283"
"Bob Ehrlich (R-Md) ","Maryland District 02","$871393"
"Charles W. Stenholm (D-Texas) ","Texas District 17","$871201"
"Duncan Hunter (R-Calif) ","California District 52","$856691"
"Todd Tiahrt (R-Kan) ","Kansas District 04","$854357"
"James L. Oberstar (D-Minn) ","Minnesota District 08","$852790"
"Mike Thompson (D-Calif) ","California District 01","$851612"
"Lee Terry (R-Neb) ","Nebraska District 02","$844465"
"Frank Pallone Jr. (D-NJ) ","New Jersey District 06","$836362"
"Tom Reynolds (R-NY) ","New York District 27","$832254"
"Charles Bass (R-NH) ","New Hampshire District 02","$812727"
"John Lewis (D-Ga) ","Georgia District 05","$811850"
"Sherwood Boehlert (R-NY) ","New York District 23","$808371"
"John E. Sweeney (R-NY) ","New York District 22","$807676"
