"Representative","Office Running For","Total Spent"
"John Sullivan (R-Okla) ","Oklahoma District 01","$808866"
"Carolyn Cheeks Kilpatrick (D-Mich) ","Michigan District 13","$807045"
"Tom Latham (R-Iowa) ","Iowa District 04","$806642"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$805206"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$794383"
"Mac Thornberry (R-Texas) ","Texas District 13","$792833"
"Bob Inglis (R-SC) ","South Carolina District 04","$790543"
"Zoe Lofgren (D-Calif) ","California District 16","$790374"
"Michael R. Turner (R-Ohio) ","Ohio District 03","$784265"
"John Campbell (R-Calif) ","California District 48","$783849"
"Andre Carson (D-Ind) ","Indiana District 07","$781643"
"Alcee L. Hastings (D-Fla) ","Florida District 23","$778998"
"Ralph M. Hall (R-Texas) ","Texas District 04","$776142"
"Jeff Flake (R-Ariz) ","Arizona District 06","$774231"
"Jackie Speier (D-Calif) ","California District 12","$772791"
"Dean Heller (R-Nev) ","Nevada District 02","$771681"
"John Culberson (R-Texas) ","Texas District 07","$771544"
"Gary Miller (R-Calif) ","California District 42","$769415"
"Jack Kingston (R-Ga) ","Georgia District 01","$759470"
"Duncan D. Hunter (R-Calif) ","California District 52","$757936"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$747603"
"Linda Sanchez (D-Calif) ","California District 39","$741142"
"Bill Cassidy (R-La) ","Louisiana District 06","$738171"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 09","$737857"
"Randy Forbes (R-Va) ","Virginia District 04","$723504"
"Tom Petri (R-Wis) ","Wisconsin District 06","$720045"
"Sam Farr (D-Calif) ","California District 17","$718569"
"Maxine Waters (D-Calif) ","California District 35","$718505"
"Susan A. Davis (D-Calif) ","California District 53","$718077"
"Yvette D. Clarke (D-NY) ","New York District 11","$714585"
"Lynn A. Westmoreland (R-Ga) ","Georgia District 03","$712529"
"John Carter (R-Texas) ","Texas District 31","$712430"
"Albio Sires (D-NJ) ","New Jersey District 13","$708763"
"Peter Welch (D-Vt) ","Vermont District 01","$698547"
"Joe Baca (D-Calif) ","California District 43","$697007"
"Nydia M. Velazquez (D-NY) ","New York District 12","$690875"
"Gregg Harper (R-Miss) ","Mississippi District 03","$688959"
"Kathy Castor (D-Fla) ","Florida District 11","$680011"
"Chris Smith (R-NJ) ","New Jersey District 04","$676771"
"Donna Edwards (D-Md) ","Maryland District 04","$675840"
"Bart Stupak (D-Mich) ","Michigan District 01","$675309"
"Ander Crenshaw (R-Fla) ","Florida District 04","$669113"
"Tom Cole (R-Okla) ","Oklahoma District 04","$657762"
"Laura Richardson (D-Calif) ","California District 37","$651731"
"William L. Clay Jr (D-Mo) ","Missouri District 01","$635944"
"Dennis Moore (D-Kan) ","Kansas District 03","$635678"
"John J. Duncan Jr (R-Tenn) ","Tennessee District 02","$635488"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$627515"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$623775"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$622521"
"Steve Austria (R-Ohio) ","Ohio District 07","$616313"
"Lucille Roybal-Allard (D-Calif) ","California District 34","$611209"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$607575"
"Marlin Stutzman (R-Ind) ","Indiana District 03","$596783"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$591204"
"Hank Johnson (D-Ga) ","Georgia District 04","$589780"
"Jim Jordan (R-Ohio) ","Ohio District 04","$580466"
"Marcia L. Fudge (D-Ohio) ","Ohio District 11","$579778"
"Walter B. Jones Jr (R-NC) ","North Carolina District 03","$577215"
"Cynthia Marie Lummis (R-Wyo) ","Wyoming District 01","$576836"
"Mike Coffman (R-Colo) ","Colorado District 06","$576556"
"Virginia Foxx (R-NC) ","North Carolina District 05","$575301"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$572968"
"Ted Poe (R-Texas) ","Texas District 02","$569846"
"Jim McDermott (D-Wash) ","Washington District 07","$568649"
"Steve Buyer (R-Ind) ","Indiana District 04","$558049"
"Ginny Brown-Waite (R-Fla) ","Florida District 05","$557134"
"Jeff Miller (R-Fla) ","Florida District 01","$556853"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$555188"
"Mario Diaz-Balart (R-Fla) ","Florida District 21Current office: Florida District 25","$541148"
"Jason Chaffetz (R-Utah) ","Utah District 03","$540646"
"Donald M. Payne (D-NJ) ","New Jersey District 10","$530170"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$513943"
"George Radanovich (R-Calif) ","California District 19","$497124"
"Zach Wamp (R-Tenn) ","Tennessee District 03","$494078"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$483674"
"F. James Sensenbrenner Jr (R-Wis) ","Wisconsin District 05","$471684"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$455329"
"Bobby Scott (D-Va) ","Virginia District 03","$452060"
"Robert E. Latta (R-Ohio) ","Ohio District 05","$440335"
"Kenny Marchant (R-Texas) ","Texas District 24","$438728"
"John Shadegg (R-Ariz) ","Arizona District 03","$390498"
"Vernon J. Ehlers (R-Mich) ","Michigan District 03","$390383"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$387789"
"Jose E. Serrano (D-NY) ","New York District 16","$385796"
"Dana Rohrabacher (R-Calif) ","California District 46","$382319"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$378842"
"Henry Brown (R-SC) ","South Carolina District 01","$372309"
"Pete Stark (D-Calif) ","California District 13","$371119"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$355836"
"Pedro Pierluisi (3-PR) ","Puerto Rico District 00","$351668"
"Phil Roe (R-Tenn) ","Tennessee District 01","$346589"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$337424"
"Rob Bishop (R-Utah) ","Utah District 01","$302771"
"John Linder (R-Ga) ","Georgia District 07","$300010"
"Adam H. Putnam (R-Fla) ","Florida District 12","$288965"
"Al Green (D-Texas) ","Texas District 09","$282611"
"Donna Christian-Christensen (D-VI) ","Virgin Islands District 00","$280733"
"Brian Baird (D-Wash) ","Washington District 03","$275785"
"Timothy Johnson (R-Ill) ","Illinois District 15","$270407"
"Grace Napolitano (D-Calif) ","California District 38","$265608"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$250797"
"Diane E. Watson (D-Calif) ","California District 33","$226494"
"Douglas L. Lamborn (R-Colo) ","Colorado District 05","$182883"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$150541"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$122394"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$72113"
"Vic Snyder (D-Ark) ","Arkansas District 02","$27704"
