"Representative","Office Running For","Total Spent"
"Mark Kirk (R-Ill) ","Illinois SenateCurrent office: Illinois District 10","$14079356"
"Joe Sestak (D-Pa) ","Pennsylvania SenateCurrent office: Pennsylvania District 07","$13441119"
"Roy Blunt (R-Mo) ","Missouri SenateCurrent office: Missouri District 07","$12095571"
"Michele Bachmann (R-Minn) ","Minnesota District 06","$11661973"
"John Boehner (R-Ohio) ","Ohio District 08","$9876911"
"Kendrick B. Meek (D-Fla) ","Florida SenateCurrent office: Florida District 17","$9280964"
"Jerry Moran (R-Kan) ","Kansas SenateCurrent office: Kansas District 01","$6525438"
"Alan Grayson (D-Fla) ","Florida District 08","$5459812"
"Eric Cantor (R-Va) ","Virginia District 07","$5407656"
"Scott Murphy (D-NY) ","New York District 20","$5321745"
"Ron Klein (D-Fla) ","Florida District 22","$5319671"
"Paul W. Hodes (D-NH) ","New Hampshire SenateCurrent office: New Hampshire District 02","$4912819"
"Joe Wilson (R-SC) ","South Carolina District 02","$4765083"
"Charles Melancon (D-La) ","Louisiana SenateCurrent office: Louisiana District 03","$4718938"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$4687713"
"Patrick J. Murphy (D-Pa) ","Pennsylvania District 08","$4287244"
"Barney Frank (D-Mass) ","Massachusetts District 04","$4205447"
"Charles B. Rangel (D-NY) ","New York District 15","$4139258"
"Steve Israel (D-NY) ","New York District 02","$3941248"
"Gabrielle Giffords (D-Ariz) ","Arizona District 08","$3888406"
"Chet Edwards (D-Texas) ","Texas District 17","$3841632"
"Allen Boyd (D-Fla) ","Florida District 02","$3814064"
"Tom Perriello (D-Va) ","Virginia District 05","$3782680"
"Bill Foster (D-Ill) ","Illinois District 14","$3737519"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$3690646"
"John Boozman (R-Ark) ","Arkansas SenateCurrent office: Arkansas District 03","$3666798"
"Jim Himes (D-Conn) ","Connecticut District 04","$3603727"
"Carolyn B. Maloney (D-NY) ","New York District 14","$3532298"
"Betsy Markey (D-Colo) ","Colorado District 04","$3516268"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$3481643"
"Rick Boucher (D-Va) ","Virginia District 09","$3325898"
"Michael N. Castle (R-Del) ","Delaware SenateCurrent office: Delaware District 01","$3308940"
"James E. Clyburn (D-SC) ","South Carolina District 06","$3289439"
"John H. Adler (D-NJ) ","New Jersey District 03","$3285638"
"Mark Schauer (D-Mich) ","Michigan District 07","$3261651"
"Gary Peters (D-Mich) ","Michigan District 09","$3236452"
"Dan Maffei (D-NY) ","New York District 25","$3114128"
"Jerry McNerney (D-Calif) ","California District 11","$3097237"
"Timothy H. Bishop (D-NY) ","New York District 01","$3097008"
"Christopher S. Murphy (D-Conn) ","Connecticut District 05","$3079678"
"Mike Ross (D-Ark) ","Arkansas District 04","$3012727"
"Rush Holt (D-NJ) ","New Jersey District 12","$2958135"
"Edwin G. Perlmutter (D-Colo) ","Colorado District 07","$2943593"
"Zack (D-Ohio) ","Ohio District 18","$2932436"
"Michael E. McMahon (D-NY) ","New York District 13","$2897473"
"Bill Owens (D-NY) ","New York District 23","$2812845"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$2799962"
"John D. Dingell (D-Mich) ","Michigan District 15","$2790616"
"Dave Reichert (R-Wash) ","Washington District 08","$2770293"
"Nancy Pelosi (D-Calif) ","California District 08","$2762400"
"Martin Heinrich (D-NM) ","New Mexico District 01","$2728325"
"Ben Chandler (D-Ky) ","Kentucky District 06","$2665906"
"Mary Jo Kilroy (D-Ohio) ","Ohio District 15","$2664282"
"Mike Pence (R-Ind) ","Indiana District 06","$2654178"
"Frank Kratovil (D-Md) ","Maryland District 01","$2621893"
"Dina Titus (D-Nev) ","Nevada District 03","$2599688"
"Brad Ellsworth (D-Ind) ","Indiana SenateCurrent office: Indiana District 08","$2589967"
"Ron Kind (D-Wis) ","Wisconsin District 03","$2577371"
"Charles Djou (R-Hawaii) ","Hawaii District 01","$2576326"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$2575922"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$2573747"
"Chris Van Hollen (D-Md) ","Maryland District 08","$2570775"
"Suzanne Kosmas (D-Fla) ","Florida District 24","$2561831"
"Charlie Dent (R-Pa) ","Pennsylvania District 15","$2553936"
"Jason Altmire (D-Pa) ","Pennsylvania District 04","$2507513"
"Deborah Halvorson (D-Ill) ","Illinois District 11","$2502037"
"John M. Spratt Jr (D-SC) ","South Carolina District 05","$2497633"
"Mary Bono Mack (R-Calif) ","California District 45","$2486844"
"John Salazar (D-Colo) ","Colorado District 03","$2474562"
"Jim Matheson (D-Utah) ","Utah District 02","$2465527"
"Melissa Bean (D-Ill) ","Illinois District 08","$2451348"
"John B. Larson (D-Conn) ","Connecticut District 01","$2445770"
"Gerry Connolly (D-Va) ","Virginia District 11","$2436046"
"Mark Critz (D-Pa) ","Pennsylvania District 12","$2428378"
"Sander Levin (D-Mich) ","Michigan District 12","$2392309"
"Bruce Braley (D-Iowa) ","Iowa District 01","$2357364"
"Harry Mitchell (D-Ariz) ","Arizona District 05","$2308400"
"Richard E. Neal (D-Mass) ","Massachusetts District 02","$2304756"
"Loretta Sanchez (D-Calif) ","California District 47","$2303722"
"John Hall (D-NY) ","New York District 19","$2294992"
"Russ Carnahan (D-Mo) ","Missouri District 03","$2276619"
"Glenn Nye (D-Va) ","Virginia District 02","$2274818"
"Joe Barton (R-Texas) ","Texas District 06","$2255364"
"James L. Oberstar (D-Minn) ","Minnesota District 08","$2223357"
"Heath Shuler (D-NC) ","North Carolina District 11","$2212737"
"Stephanie Herseth Sandlin (D-SD) ","South Dakota District 01","$2180569"
"Timothy J. Walz (D-Minn) ","Minnesota District 01","$2175826"
"Joe Courtney (D-Conn) ","Connecticut District 02","$2171904"
"Baron Hill (D-Ind) ","Indiana District 09","$2167570"
"Nick Rahall (D-WVa) ","West Virginia District 03","$2149018"
"Dave Camp (R-Mich) ","Michigan District 04","$2148415"
"James P. McGovern (D-Mass) ","Massachusetts District 03","$2145195"
"John A. Boccieri (D-Ohio) ","Ohio District 16","$2102854"
"Joseph Crowley (D-NY) ","New York District 07","$2100428"
"Joseph Cao (R-La) ","Louisiana District 02","$2097806"
"Fred Upton (R-Mich) ","Michigan District 06","$2083790"
"Paul E. Kanjorski (D-Pa) ","Pennsylvania District 11","$2083660"
"Steve Kagen (D-Wis) ","Wisconsin District 08","$2080786"
"Rick Larsen (D-Wash) ","Washington District 02","$2080326"
"Jim Costa (D-Calif) ","California District 20","$2076986"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$2071160"
"Harry Teague (D-NM) ","New Mexico District 02","$2066529"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$2063892"
"Nita M. Lowey (D-NY) ","New York District 18","$2033256"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 20","$2018504"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$1996269"
"Shelley Berkley (D-Nev) ","Nevada District 01","$1992403"
"Joe Donnelly (D-Ind) ","Indiana District 02","$1983118"
"Dan Lungren (R-Calif) ","California District 03","$1974501"
"Steve Driehaus (D-Ohio) ","Ohio District 01","$1971653"
"Lee Terry (R-Neb) ","Nebraska District 02","$1965743"
"Kathy Dahlkemper (D-Pa) ","Pennsylvania District 03","$1957701"
"Ann Kirkpatrick (D-Ariz) ","Arizona District 01","$1956364"
"Niki Tsongas (D-Mass) ","Massachusetts District 05","$1932912"
"Pete Sessions (R-Texas) ","Texas District 32","$1932339"
"John Barrow (D-Ga) ","Georgia District 12","$1905568"
"Bob Etheridge (D-NC) ","North Carolina District 02","$1904688"
"Mike Thompson (D-Calif) ","California District 01","$1901460"
"David R. Obey (D-Wis) ","Wisconsin District 07","$1894340"
"Mike Arcuri (D-NY) ","New York District 24","$1886555"
"Mike McIntyre (D-NC) ","North Carolina District 07","$1886262"
"Ted Deutch (D-Fla) ","Florida District 19","$1874220"
"Tim Holden (D-Pa) ","Pennsylvania District 17","$1864924"
"Judy Chu (D-Calif) ","California District 32","$1860357"
"John M. Shimkus (R-Ill) ","Illinois District 19","$1852867"
"Kurt Schrader (D-Ore) ","Oregon District 05","$1839623"
"Dan Boren (D-Okla) ","Oklahoma District 02","$1833029"
"Paul Broun (R-Ga) ","Georgia District 10","$1831081"
"David Wu (D-Ore) ","Oregon District 01","$1824957"
"Jim Marshall (D-Ga) ","Georgia District 08","$1814549"
"Jeb Hensarling (R-Texas) ","Texas District 05","$1804771"
"Travis Childers (D-Miss) ","Mississippi District 01","$1796376"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$1781673"
"Betty Sue Sutton (D-Ohio) ","Ohio District 13","$1781137"
"Sanford Bishop (D-Ga) ","Georgia District 02","$1776500"
"Gary Ackerman (D-NY) ","New York District 05","$1771092"
"Phil Hare (D-Ill) ","Illinois District 17","$1759078"
"Carolyn McCarthy (D-NY) ","New York District 04","$1726969"
"John Garamendi (D-Calif) ","California District 10","$1714971"
"Tom McClintock (R-Calif) ","California District 04","$1703387"
"Xavier Becerra (D-Calif) ","California District 31","$1699465"
"Kevin McCarthy (R-Calif) ","California District 22","$1693571"
"Carol Shea-Porter (D-NH) ","New Hampshire District 01","$1682124"
"Ciro D. Rodriguez (D-Texas) ","Texas District 23","$1678897"
"Ed Royce (R-Calif) ","California District 40","$1661978"
"Edolphus Towns (D-NY) ","New York District 10","$1660794"
"Greg Walden (R-Ore) ","Oregon District 02","$1657953"
"Chris Carney (D-Pa) ","Pennsylvania District 10","$1657586"
"Spencer Bachus (R-Ala) ","Alabama District 06","$1634114"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1633678"
"Ron Paul (R-Texas) ","Texas District 14","$1630754"
"Bill Pascrell Jr (D-NJ) ","New Jersey District 08","$1629110"
"Norm Dicks (D-Wash) ","Washington District 06","$1582738"
"Leonard Boswell (D-Iowa) ","Iowa District 03","$1556855"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 09","$1540338"
"Ken Calvert (R-Calif) ","California District 44","$1540253"
"Geoff Davis (R-Ky) ","Kentucky District 04","$1514779"
"Parker Griffith (R-Ala) ","Alabama District 05","$1509989"
"Jerrold Nadler (D-NY) ","New York District 08","$1509082"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$1493262"
"Peter DeFazio (D-Ore) ","Oregon District 04","$1484241"
"Raul M. Grijalva (D-Ariz) ","Arizona District 07","$1463648"
"Anthony D. Weiner (D-NY) ","New York District 09","$1450290"
"Henry A. Waxman (D-Calif) ","California District 30","$1440465"
"Michael McCaul (R-Texas) ","Texas District 10","$1437670"
"Bobby Bright (D-Ala) ","Alabama District 02","$1435526"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$1430664"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$1420274"
"Dennis Cardoza (D-Calif) ","California District 18","$1420230"
"Lincoln Davis (D-Tenn) ","Tennessee District 04","$1411746"
"John Kline (R-Minn) ","Minnesota District 02","$1404779"
"Denny Rehberg (R-Mont) ","Montana District 01","$1400364"
"Anna Eshoo (D-Calif) ","California District 14","$1395749"
"David Dreier (R-Calif) ","California District 26","$1391076"
"Kay Granger (R-Texas) ","Texas District 12","$1388017"
"Pete Visclosky (D-Ind) ","Indiana District 01","$1387951"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$1381220"
"Jim Moran (D-Va) ","Virginia District 08","$1376173"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$1373230"
"Brian M. Higgins (D-NY) ","New York District 27","$1371055"
"Adam Smith (D-Wash) ","Washington District 09","$1355512"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$1343456"
"David Price (D-NC) ","North Carolina District 04","$1335750"
"Buck Mckeon (R-Calif) ","California District 25","$1334109"
"John L. Mica (R-Fla) ","Florida District 07","$1334101"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$1334073"
"John A. Yarmuth (D-Ky) ","Kentucky District 03","$1318582"
"Tom Graves (R-Ga) ","Georgia District 09","$1309824"
"Frank R. Wolf (R-Va) ","Virginia District 10","$1305503"
"Aaron Schock (R-Ill) ","Illinois District 18","$1303848"
"Jane Harman (D-Calif) ","California District 36","$1301448"
"Keith Ellison (D-Minn) ","Minnesota District 05","$1295839"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$1293841"
"Edward J. Markey (D-Mass) ","Massachusetts District 07","$1291210"
"Chellie Pingree (D-Maine) ","Maine District 01","$1290022"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$1279072"
"John Fleming (R-La) ","Louisiana District 04","$1271950"
"Jay Inslee (D-Wash) ","Washington District 01","$1270456"
"Collin Peterson (D-Minn) ","Minnesota District 07","$1269568"
"Charles W. Boustany Jr (R-La) ","Louisiana District 07","$1258638"
"Dan Burton (R-Ind) ","Indiana District 05","$1255407"
"Pete Olson (R-Texas) ","Texas District 22","$1251977"
"Peter Roskam (R-Ill) ","Illinois District 06","$1251223"
"Lamar Smith (R-Texas) ","Texas District 21","$1248308"
"Solomon P. Ortiz (D-Texas) ","Texas District 27","$1244876"
"Mike Michaud (D-Maine) ","Maine District 02","$1244848"
"Rodney Alexander (R-La) ","Louisiana District 05","$1239963"
"Judy Biggert (R-Ill) ","Illinois District 13","$1236454"
"Charlie Wilson (D-Ohio) ","Ohio District 06","$1236213"
"Darrell Issa (R-Calif) ","California District 49","$1232154"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$1230380"
"John Conyers Jr (D-Mich) ","Michigan District 14","$1227587"
"David Loebsack (D-Iowa) ","Iowa District 02","$1225837"
"Tim Ryan (D-Ohio) ","Ohio District 17","$1224705"
"Adam Schiff (D-Calif) ","California District 29","$1222795"
"Tom Price (R-Ga) ","Georgia District 06","$1218835"
"Steve LaTourette (R-Ohio) ","Ohio District 14","$1217066"
"Artur Davis (D-Ala) ","Alabama District 07","$1213450"
"Dale E. Kildee (D-Mich) ","Michigan District 05","$1207958"
"Leonard Lance (R-NJ) ","New Jersey District 07","$1197141"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$1173955"
"Lynn Jenkins (R-Kan) ","Kansas District 02","$1170133"
"Barbara Lee (D-Calif) ","California District 09","$1156304"
"Mike Conaway (R-Texas) ","Texas District 11","$1153196"
"Henry Cuellar (D-Texas) ","Texas District 28","$1152109"
"Maurice Hinchey (D-NY) ","New York District 22","$1151834"
"Jerry Lewis (R-Calif) ","California District 41","$1148216"
"Don Manzullo (R-Ill) ","Illinois District 16","$1133360"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$1130371"
"Howard L. Berman (D-Calif) ","California District 28","$1124915"
"Ben R. Lujan (D-NM) ","New Mexico District 03","$1123265"
"Lloyd Doggett (D-Texas) ","Texas District 25","$1122084"
"John Lewis (D-Ga) ","Georgia District 05","$1115868"
"Jim Langevin (D-RI) ","Rhode Island District 02","$1113748"
"Larry Kissell (D-NC) ","North Carolina District 08","$1105922"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$1104388"
"Brian P. Bilbray (R-Calif) ","California District 50","$1104328"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$1103463"
"Mazie K. Hirono (D-Hawaii) ","Hawaii District 02","$1102377"
"Gene Green (D-Texas) ","Texas District 29","$1102026"
"Jo Bonner (R-Ala) ","Alabama District 01","$1101701"
"Hal Rogers (R-Ky) ","Kentucky District 05","$1098007"
"Ed Pastor (D-Ariz) ","Arizona District 04","$1092555"
"Doc Hastings (R-Wash) ","Washington District 04","$1089271"
"Mike Quigley (D-Ill) ","Illinois District 05","$1087121"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$1081311"
"Sam Graves (R-Mo) ","Missouri District 06","$1071726"
"Eliot L. Engel (D-NY) ","New York District 17","$1063388"
"Connie Mack (R-Fla) ","Florida District 14","$1055865"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$1054616"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$1047730"
"Tom Reed (R-NY) ","New York District 29","$1047262"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$1041035"
"Silvestre Reyes (D-Texas) ","Texas District 16","$1040966"
"Jesse Jackson Jr (D-Ill) ","Illinois District 02","$1032506"
"Michael Burgess (R-Texas) ","Texas District 26","$1031170"
"Bill Posey (R-Fla) ","Florida District 15","$1027987"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$1023451"
"Steven A. King (R-Iowa) ","Iowa District 05","$1013945"
"George Miller (D-Calif) ","California District 07","$1008838"
"Steve Scalise (R-La) ","Louisiana District 01","$1007474"
"Patrick J. Kennedy (D-RI) ","Rhode Island District 01","$1007298"
"Bob Filner (D-Calif) ","California District 51","$1006288"
"Sue Myrick (R-NC) ","North Carolina District 09","$997492"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$996568"
"Devin Nunes (R-Calif) ","California District 21","$994287"
"Tom Rooney (R-Fla) ","Florida District 16","$993128"
"Lois Capps (D-Calif) ","California District 23","$991079"
"Trent Franks (R-Ariz) ","Arizona District 02","$989037"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$983294"
"Corrine Brown (D-Fla) ","Florida District 03","$979733"
"John Tanner (D-Tenn) ","Tennessee District 08","$979568"
"Jean Schmidt (R-Ohio) ","Ohio District 02","$978058"
"Randy Neugebauer (R-Texas) ","Texas District 19","$974052"
"Vernon Buchanan (R-Fla) ","Florida District 13","$973705"
"Glenn Thompson (R-Pa) ","Pennsylvania District 05","$973129"
"Adrian Smith (R-Neb) ","Nebraska District 03","$972220"
"Rob Wittman (R-Va) ","Virginia District 01","$971827"
"Gene Taylor (D-Miss) ","Mississippi District 04","$971236"
"Charlie A. Gonzalez (D-Texas) ","Texas District 20","$970471"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$969814"
"C. W. Bill Young (R-Fla) ","Florida District 10","$965475"
"Gregory W. Meeks (D-NY) ","New York District 06","$959453"
"Pete King (R-NY) ","New York District 03","$955292"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$953031"
"Alan B. Mollohan (D-WVa) ","West Virginia District 01","$952917"
"Kevin Brady (R-Texas) ","Texas District 08","$945193"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$943060"
"Dennis Kucinich (D-Ohio) ","Ohio District 10","$940086"
"Howard Coble (R-NC) ","North Carolina District 06","$925991"
"Phil Gingrey (R-Ga) ","Georgia District 11","$920811"
"Cliff Stearns (R-Fla) ","Florida District 06","$917486"
"Gus Bilirakis (R-Fla) ","Florida District 09","$915411"
"Scott Garrett (R-NJ) ","New Jersey District 05","$911355"
"John W. Olver (D-Mass) ","Massachusetts District 01","$908834"
"Brad Miller (D-NC) ","North Carolina District 13","$899442"
"Lynn Woolsey (D-Calif) ","California District 06","$898627"
"Jared Polis (D-Colo) ","Colorado District 02","$895953"
"Don Young (R-Alaska) ","Alaska District 01","$887310"
"Patrick McHenry (R-NC) ","North Carolina District 10","$886897"
"Louis B. Gohmert Jr (R-Texas) ","Texas District 01","$877587"
"Thaddeus G. McCotter (R-Mich) ","Michigan District 11","$870514"
"Christopher J. Lee (R-NY) ","New York District 26","$869165"
"Bob Goodlatte (R-Va) ","Virginia District 06","$867838"
"Danny K. Davis (D-Ill) ","Illinois District 07","$864982"
"Wally Herger (R-Calif) ","California District 02","$863128"
"Betty McCollum (D-Minn) ","Minnesota District 04","$862848"
"Mike Rogers (R-Mich) ","Michigan District 08","$861381"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$859805"
"Mike Simpson (R-Idaho) ","Idaho District 02","$854316"
"Mike Honda (D-Calif) ","California District 15","$850364"
"Candice S. Miller (R-Mich) ","Michigan District 10","$846119"
"Louise M. Slaughter (D-NY) ","New York District 28","$843659"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$843236"
"Doris O. Matsui (D-Calif) ","California District 05","$842505"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$838824"
"Marion Berry (D-Ark) ","Arkansas District 01","$838459"
"John Sarbanes (D-Md) ","Maryland District 03","$829909"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$828984"
"Gresham Barrett (R-SC) ","South Carolina District 03","$826748"
"Todd Akin (R-Mo) ","Missouri District 02","$825668"
"Paul Tonko (D-NY) ","New York District 21","$822597"
"Diana DeGette (D-Colo) ","Colorado District 01","$822289"
"Sam Johnson (R-Texas) ","Texas District 03","$820491"
"Brad Sherman (D-Calif) ","California District 27","$818273"
"David Scott (D-Ga) ","Georgia District 13","$811744"
"Elton Gallegly (R-Calif) ","California District 24","$811194"
