"Representative","Office Running For","Total Spent"
"Val Demings (D-Fla) ","Florida SenateCurrent office: Florida District 10","$79940920"
"Tim Ryan (D-Ohio) ","Ohio SenateCurrent office: Ohio District 13","$56348529"
"Katie Porter (D-Calif) ","California District 47Current office: California District 45","$28488520"
"Nancy Pelosi (D-Calif) ","California District 11Current office: California District 12","$27776296"
"Kevin McCarthy (R-Calif) ","California District 20Current office: California District 23","$26676447"
"Steve Scalise (R-La) ","Louisiana District 01","$19963517"
"Adam Schiff (D-Calif) ","California District 30Current office: California District 28","$18036600"
"Dan Crenshaw (R-Texas) ","Texas District 02","$16095358"
"Ted Budd (R-NC) ","North Carolina SenateCurrent office: North Carolina District 13","$15043283"
"Jim Jordan (R-Ohio) ","Ohio District 04","$12404151"
"Elissa Slotkin (D-Mich) ","Michigan District 07Current office: Michigan District 08","$11324889"
"Alexandria Ocasio-Cortez (D-NY) ","New York District 14","$11141626"
"Marjorie Taylor Greene (R-Ga) ","Georgia District 14","$10959971"
"Kim Schrier (D-Wash) ","Washington District 08","$10798422"
"Elaine Luria (D-Va) ","Virginia District 02","$10549851"
"Elise Stefanik (R-NY) ","New York District 21","$10526346"
"David Trone (D-Md) ","Maryland District 06","$10394924"
"Abigail Spanberger (D-Va) ","Virginia District 07","$9283646"
"Young Kim (R-Calif) ","California District 40Current office: California District 39","$9127853"
"Tom Malinowski (D-NJ) ","New Jersey District 07","$8879893"
"Josh Harder (D-Calif) ","California District 09Current office: California District 10","$8773304"
"Angie Craig (D-Minn) ","Minnesota District 02","$8750961"
"Mikie Sherrill (D-NJ) ","New Jersey District 11","$8717865"
"Sharice Davids (D-Kan) ","Kansas District 03","$8187562"
"Matt Gaetz (R-Fla) ","Florida District 01","$7421223"
"Andy Kim (D-NJ) ","New Jersey District 03","$7408230"
"Mike Garcia (R-Calif) ","California District 27Current office: California District 25","$7395553"
"Lauren Boebert (R-Colo) ","Colorado District 03","$7330263"
"Ashley Hinson (R-Iowa) ","Iowa District 02Current office: Iowa District 01","$7197549"
"Cindy Axne (D-Iowa) ","Iowa District 03","$7136566"
