"Representative","Office Running For","Total Spent"
"Dave Reichert (R-Wash) ","Washington District 08","$3045918"
"Jon Porter (R-Nev) ","Nevada District 03","$3036311"
"J. D. Hayworth (R-Ariz) ","Arizona District 05","$3000381"
"Mike Ferguson (R-NJ) ","New Jersey District 07","$2993589"
"Steve Chabot (R-Ohio) ","Ohio District 01","$2991572"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$2985858"
"John Boehner (R-Ohio) ","Ohio District 08","$2952525"
"Curt Weldon (R-Pa) ","Pennsylvania District 07","$2940608"
"Bobby Jindal (R-La) ","Louisiana District 01","$2876872"
"Michael E. Sodrel (R-Ind) ","Indiana District 09","$2707285"
"John M. Spratt Jr. (D-SC) ","South Carolina District 05","$2665535"
"Brian P. Bilbray (R-Calif) ","California District 50","$2620348"
"David Dreier (R-Calif) ","California District 26","$2540691"
"Sue Kelly (R-NY) ","New York District 19","$2519164"
"Charles J. Melancon (D-La) ","Louisiana District 03","$2496270"
"Robin Hayes (R-NC) ","North Carolina District 08","$2475169"
"Doris O. Matsui (D-Calif) ","California District 05","$2463336"
"John T. Doolittle (R-Calif) ","California District 04","$2449428"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$2360627"
"Joe Barton (R-Texas) ","Texas District 06","$2351932"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$2349741"
"Thelma Drake (R-Va) ","Virginia District 02","$2346983"
"Don Sherwood (R-Pa) ","Pennsylvania District 10","$2330243"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$2248091"
"Rick Renzi (R-Ariz) ","Arizona District 01","$2246790"
"Jim McCrery (R-La) ","Louisiana District 04","$2246203"
"Melissa Hart (R-Pa) ","Pennsylvania District 04","$2235952"
"John Barrow (D-Ga) ","Georgia District 12","$2231941"
"Dave Hobson (R-Ohio) ","Ohio District 07","$2157850"
"Patrick J. Kennedy (D-RI) ","Rhode Island District 01","$2154936"
"John Campbell (R-Calif) ","California District 48","$2104028"
"Pete King (R-NY) ","New York District 03","$2075502"
"Leonard L. Boswell (D-Iowa) ","Iowa District 03","$2060474"
"Charles B. Rangel (D-NY) ","New York District 15","$2047116"
"John Salazar (D-Colo) ","Colorado District 03","$2033671"
"Darlene Hooley (D-Ore) ","Oregon District 05","$2030646"
"Bob Filner (D-Calif) ","California District 51","$2001750"
"Ron Lewis (R-Ky) ","Kentucky District 02","$1975693"
"Don Young (R-Alaska) ","Alaska District 01","$1959806"
"Jean Schmidt (R-Ohio) ","Ohio District 02","$1935564"
"Cathy McMorris (R-Wash) ","Washington District 05","$1931501"
"Jerry Weller (R-Ill) ","Illinois District 11","$1906882"
"Spencer Bachus (R-Ala) ","Alabama District 06","$1893917"
"Albio Sires (D-NJ) ","New Jersey District 13","$1884679"
"Mike Rogers (R-Mich) ","Michigan District 08","$1863914"
"Nancy Pelosi (D-Calif) ","California District 08","$1853040"
"Dennis Moore (D-Kan) ","Kansas District 03","$1852080"
"Loretta Sanchez (D-Calif) ","California District 47","$1827971"
"Jim Marshall (D-Ga) ","Georgia District 08Current office: Georgia District 03","$1813542"
"Jerry Lewis (R-Calif) ","California District 41","$1806532"
"Frank R. Wolf (R-Va) ","Virginia District 10","$1793567"
"Tom Price (R-Ga) ","Georgia District 06","$1788688"
"James T. Walsh (R-NY) ","New York District 25","$1787552"
"Pete Sessions (R-Texas) ","Texas District 32","$1762182"
"Brad Miller (D-NC) ","North Carolina District 13","$1754817"
"Alan B. Mollohan (D-WVa) ","West Virginia District 01","$1726707"
"Tom Tancredo (R-Colo) ","Colorado District 06","$1724235"
"Gil Gutknecht (R-Minn) ","Minnesota District 01","$1723707"
"Ric Keller (R-Fla) ","Florida District 08","$1691408"
"Joe Schwarz (R-Mich) ","Michigan District 07","$1689737"
"Shelley Berkley (D-Nev) ","Nevada District 01","$1674409"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$1648220"
"Vito Fossella (R-NY) ","New York District 13","$1639598"
"Henry Cuellar (D-Texas) ","Texas District 28","$1637419"
"Lamar Smith (R-Texas) ","Texas District 21","$1632039"
"Jim Matheson (D-Utah) ","Utah District 02","$1624165"
"Charles W. Boustany Jr (R-La) ","Louisiana District 07","$1622109"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$1617301"
"Richard Baker (R-La) ","Louisiana District 06","$1604762"
"Tom Feeney (R-Fla) ","Florida District 24","$1571417"
"Nita M. Lowey (D-NY) ","New York District 18","$1555658"
"Rick Larsen (D-Wash) ","Washington District 02","$1550524"
"Mary Bono (R-Calif) ","California District 45","$1528130"
"Joseph Crowley (D-NY) ","New York District 07","$1505477"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$1482467"
"John Kline (R-Minn) ","Minnesota District 02","$1478465"
"John R. Kuhl Jr (R-NY) ","New York District 29","$1475375"
"Kenny Hulshof (R-Mo) ","Missouri District 09","$1469918"
"Ron Paul (R-Texas) ","Texas District 14","$1469488"
"Phil English (R-Pa) ","Pennsylvania District 03","$1466487"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$1450582"
"Steven C. LaTourette (R-Ohio) ","Ohio District 14","$1446269"
"Lynn Woolsey (D-Calif) ","California District 06","$1443910"
"Zach Wamp (R-Tenn) ","Tennessee District 03","$1439487"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$1439442"
"Jim Ramstad (R-Minn) ","Minnesota District 03","$1424365"
"James L. Oberstar (D-Minn) ","Minnesota District 08","$1422123"
"David R. Obey (D-Wis) ","Wisconsin District 07","$1400489"
"John D. Dingell (D-Mich) ","Michigan District 15","$1400145"
"Greg Walden (R-Ore) ","Oregon District 02","$1399112"
"William J. Jefferson (D-La) ","Louisiana District 02","$1396091"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$1393496"
"Mike Thompson (D-Calif) ","California District 01","$1382639"
"Rahm Emanuel (D-Ill) ","Illinois District 05","$1380457"
"Ed Case (D-Hawaii) ","Hawaii SenateCurrent office: Hawaii District 02","$1379778"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$1378061"
"Howard P. ""Buck"" McKeon (R-Calif) ","California District 25","$1370664"
"Carolyn McCarthy (D-NY) ","New York District 04","$1368799"
"Kay Granger (R-Texas) ","Texas District 12","$1350752"
"David Scott (D-Ga) ","Georgia District 13","$1341825"
"Edolphus Towns (D-NY) ","New York District 10","$1339964"
"Don Manzullo (R-Ill) ","Illinois District 16","$1334337"
"Stephanie Herseth Sandlin (D-SD) ","South Dakota District 01","$1332097"
"Marion Berry (D-Ark) ","Arkansas District 01","$1320295"
"Mike Pence (R-Ind) ","Indiana District 06","$1319503"
"Ed Royce (R-Calif) ","California District 40","$1317274"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$1316881"
"Jim Saxton (R-NJ) ","New Jersey District 03","$1314846"
"Charles Wieder Dent (R-Pa) ","Pennsylvania District 15","$1284757"
"Barbara Cubin (R-Wyo) ","Wyoming District 01","$1268578"
"Patrick McHenry (R-NC) ","North Carolina District 10","$1264776"
"Sue Myrick (R-NC) ","North Carolina District 09","$1262588"
"Ray LaHood (R-Ill) ","Illinois District 18","$1262225"
"Mike Ross (D-Ark) ","Arkansas District 04","$1254480"
"Rick Boucher (D-Va) ","Virginia District 09","$1249993"
"Steve Pearce (R-NM) ","New Mexico District 02","$1249394"
"Jack Kingston (R-Ga) ","Georgia District 01","$1237548"
"Charles Bass (R-NH) ","New Hampshire District 02","$1237271"
"Sam Graves (R-Mo) ","Missouri District 06","$1216178"
"Pete Visclosky (D-Ind) ","Indiana District 01","$1208010"
"Ander Crenshaw (R-Fla) ","Florida District 04","$1202193"
"George Radanovich (R-Calif) ","California District 19","$1197702"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$1187427"
"Rodney Alexander (R-La) ","Louisiana District 05","$1184376"
"Jane Harman (D-Calif) ","California District 36","$1173313"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$1168741"
"John Shadegg (R-Ariz) ","Arizona District 03","$1167473"
"Steve Israel (D-NY) ","New York District 02","$1167026"
"Barney Frank (D-Mass) ","Massachusetts District 04","$1159692"
"Chris Cannon (R-Utah) ","Utah District 03","$1159603"
"Charles W. Norwood (R-Ga) ","Georgia District 10Current office: Georgia District 09","$1158294"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1134762"
"Jeffrey Lane Fortenberry (R-Neb) ","Nebraska District 01","$1134332"
"Denny Rehberg (R-Mont) ","Montana District 01","$1132530"
"David Wu (D-Ore) ","Oregon District 01","$1130617"
"Jeb Hensarling (R-Texas) ","Texas District 05","$1129059"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$1128459"
"Tom Latham (R-Iowa) ","Iowa District 04","$1125580"
"Russ Carnahan (D-Mo) ","Missouri District 03","$1119963"
"Michael N. Castle (R-Del) ","Delaware District 01","$1112716"
"Michael R. Turner (R-Ohio) ","Ohio District 03","$1112107"
"Dave Camp (R-Mich) ","Michigan District 04","$1111769"
"Bill Thomas (R-Calif) ","California District 22","$1107616"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 08","$1098407"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$1095200"
"Todd Tiahrt (R-Kan) ","Kansas District 04","$1085348"
"Jim Ryun (R-Kan) ","Kansas District 02","$1075223"
"Scott Garrett (R-NJ) ","New Jersey District 05","$1074473"
"Anna Eshoo (D-Calif) ","California District 14","$1069186"
"Timothy H. Bishop (D-NY) ","New York District 01","$1065866"
"Virgil H. Goode Jr. (R-Va) ","Virginia District 05","$1064515"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1063078"
"Tom Cole (R-Okla) ","Oklahoma District 04","$1059124"
"Rush Holt (D-NJ) ","New Jersey District 12","$1055244"
"Jim Moran (D-Va) ","Virginia District 08","$1054506"
"Barbara Lee (D-Calif) ","California District 09","$1054307"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$1046764"
"Ike Skelton (D-Mo) ","Missouri District 04","$1044003"
"Duncan Hunter (R-Calif) ","California District 52","$1042928"
"Carolyn B. Maloney (D-NY) ","New York District 14","$1030382"
"Bob Goodlatte (R-Va) ","Virginia District 06","$1029538"
"Ralph Regula (R-Ohio) ","Ohio District 16","$1016885"
"Phil Gingrey (R-Ga) ","Georgia District 11","$1011322"
"Mike McIntyre (D-NC) ","North Carolina District 07","$1006381"
"Lee Terry (R-Neb) ","Nebraska District 02","$998578"
"Norm Dicks (D-Wash) ","Washington District 06","$995770"
"Devin Nunes (R-Calif) ","California District 21","$991874"
"Adam H. Putnam (R-Fla) ","Florida District 12","$991101"
"James E. Clyburn (D-SC) ","South Carolina District 06","$988405"
"Albert R. Wynn (D-Md) ","Maryland District 04","$980863"
"Judy Biggert (R-Ill) ","Illinois District 13","$979319"
"Kendrick B. Meek (D-Fla) ","Florida District 17","$976658"
"Sam Johnson (R-Texas) ","Texas District 03","$974859"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$974422"
"Randy Neugebauer (R-Texas) ","Texas District 19","$973930"
"Connie Mack (R-Fla) ","Florida District 14","$973082"
"Fred Upton (R-Mich) ","Michigan District 06","$972296"
"Nathan Deal (R-Ga) ","Georgia District 09Current office: Georgia District 10","$959845"
"Louis B. Gohmert Jr (R-Texas) ","Texas District 01","$955344"
"Howard L. Berman (D-Calif) ","California District 28","$954004"
"John B. Larson (D-Conn) ","Connecticut District 01","$953971"
"Dennis Cardoza (D-Calif) ","California District 18","$952158"
"Edward J. Markey (D-Mass) ","Massachusetts District 07","$947152"
"Jesse Jackson Jr. (D-Ill) ","Illinois District 02","$946866"
"Eliot L. Engel (D-NY) ","New York District 17","$945640"
"Elton Gallegly (R-Calif) ","California District 24","$944852"
"Michael Burgess (R-Texas) ","Texas District 26","$942669"
"Ralph M. Hall (R-Texas) ","Texas District 04","$942635"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$939722"
"Gregory W. Meeks (D-NY) ","New York District 06","$935949"
"Mark Udall (D-Colo) ","Colorado District 02","$932188"
"Jay Inslee (D-Wash) ","Washington District 01","$927007"
"Dave Weldon (R-Fla) ","Florida District 15","$925951"
"Lois Capps (D-Calif) ","California District 23","$922774"
"Bob Etheridge (D-NC) ","North Carolina District 02","$918522"
"Hal Rogers (R-Ky) ","Kentucky District 05","$916202"
"Tom Petri (R-Wis) ","Wisconsin District 06","$913608"
"John Conyers Jr. (D-Mich) ","Michigan District 14","$913514"
"Shelley Sekula-Gibbs (R-Texas) ","Texas District 22","$912977"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$912808"
"John Carter (R-Texas) ","Texas District 31","$908827"
"Jeb Bradley (R-NH) ","New Hampshire District 01","$905336"
"Adam Schiff (D-Calif) ","California District 29","$900377"
"Hilda L. Solis (D-Calif) ","California District 32","$882866"
"Thad McCotter (R-Mich) ","Michigan District 11","$875708"
"Jo Bonner (R-Ala) ","Alabama District 01","$875364"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 09","$868163"
"Brian M. Higgins (D-NY) ","New York District 27","$867305"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$860821"
"Gresham Barrett (R-SC) ","South Carolina District 03","$857922"
"Ken Calvert (R-Calif) ","California District 44","$857529"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$855416"
"Joe Wilson (R-SC) ","South Carolina District 02","$848938"
"Gary Ackerman (D-NY) ","New York District 05","$844526"
"Anthony D. Weiner (D-NY) ","New York District 09","$837956"
"Michael G. Oxley (R-Ohio) ","Ohio District 04","$834948"
"Bart Stupak (D-Mich) ","Michigan District 01","$833135"
"F. James Sensenbrenner Jr. (R-Wis) ","Wisconsin District 05","$831766"
"Ellen O. Tauscher (D-Calif) ","California District 10","$830579"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$830173"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$829745"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 20","$828658"
"John M. Shimkus (R-Ill) ","Illinois District 19","$826242"
"Neil Abercrombie (D-Hawaii) ","Hawaii District 01","$823229"
"Lynn A. Westmoreland (R-Ga) ","Georgia District 03Current office: Georgia District 08","$817111"
"John Tanner (D-Tenn) ","Tennessee District 08","$804767"
"Michael McCaul (R-Texas) ","Texas District 10","$801980"
"David Price (D-NC) ","North Carolina District 04","$800298"
"Robert Wexler (D-Fla) ","Florida District 19","$793904"
"Ted Poe (R-Texas) ","Texas District 02","$787878"
"Ginny Brown-Waite (R-Fla) ","Florida District 05","$784889"
"Darrell Issa (R-Calif) ","California District 49","$782601"
"Stephanie Tubbs Jones (D-Ohio) ","Ohio District 11","$781721"
"Dan Burton (R-Ind) ","Indiana District 05","$781677"
"Ron Kind (D-Wis) ","Wisconsin District 03","$780394"
"Lincoln Davis (D-Tenn) ","Tennessee District 04","$776357"
"Jim Langevin (D-RI) ","Rhode Island District 02","$776035"
"John Sullivan (R-Okla) ","Oklahoma District 01","$767488"
"Xavier Becerra (D-Calif) ","California District 31","$767138"
"Ed Pastor (D-Ariz) ","Arizona District 04","$763931"
"Mike Honda (D-Calif) ","California District 15","$763242"
"Maxine Waters (D-Calif) ","California District 35","$757619"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$757056"
"Jerrold Nadler (D-NY) ","New York District 08","$754960"
"Peter DeFazio (D-Ore) ","Oregon District 04","$753011"
"Roger Wicker (R-Miss) ","Mississippi District 01","$746938"
"Sanford D. Bishop Jr. (D-Ga) ","Georgia District 02","$745257"
"John M. McHugh (R-NY) ","New York District 23","$744416"
"Joe Baca (D-Calif) ","California District 43","$744228"
"Sander Levin (D-Mich) ","Michigan District 12","$742094"
"Virginia Foxx (R-NC) ","North Carolina District 05","$741381"
"Mike Michaud (D-Maine) ","Maine District 02","$737820"
"Brian Baird (D-Wash) ","Washington District 03","$735464"
"John Culberson (R-Texas) ","Texas District 07","$734383"
"Charles W. ""Chip"" Pickering Jr. (R-Miss) ","Mississippi District 03","$726303"
"Paul E. Gillmor (R-Ohio) ","Ohio District 05","$723408"
"Ben Chandler (D-Ky) ","Kentucky District 06","$723278"
"Jerry Moran (R-Kan) ","Kansas District 01","$723063"
"Mike Conaway (R-Texas) ","Texas District 11","$720064"
"George Miller (D-Calif) ","California District 07","$719639"
"Wally Herger (R-Calif) ","California District 02","$711849"
"James P. McGovern (D-Mass) ","Massachusetts District 03","$705491"
"Gene Green (D-Texas) ","Texas District 29","$703804"
"John Lewis (D-Ga) ","Georgia District 05","$702246"
"Nydia M. Velazquez (D-NY) ","New York District 12","$698615"
"Todd Akin (R-Mo) ","Missouri District 02","$698050"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$697936"
"Solomon P. Ortiz (D-Texas) ","Texas District 27","$697499"
"Tom Lantos (D-Calif) ","California District 12","$695534"
"Charlie A. Gonzalez (D-Texas) ","Texas District 20","$694162"
"Candice S. Miller (R-Mich) ","Michigan District 10","$692651"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$688698"
"Maurice Hinchey (D-NY) ","New York District 22","$685751"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$684692"
"Silvestre Reyes (D-Texas) ","Texas District 16","$681551"
"Sam Farr (D-Calif) ","California District 17","$678902"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$676667"
"Louise M. Slaughter (D-NY) ","New York District 28","$675787"
"Walter B. Jones Jr. (R-NC) ","North Carolina District 03","$674917"
"John W. Olver (D-Mass) ","Massachusetts District 01","$670481"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$668855"
"John E. Peterson (R-Pa) ","Pennsylvania District 05","$668336"
"Chris Van Hollen (D-Md) ","Maryland District 08","$665876"
"John L. Mica (R-Fla) ","Florida District 07","$665785"
"Raul M. Grijalva (D-Ariz) ","Arizona District 07","$662758"
"Lucille Roybal-Allard (D-Calif) ","California District 34","$658270"
"Tom Allen (D-Maine) ","Maine District 01","$656455"
"Paul E. Kanjorski (D-Pa) ","Pennsylvania District 11","$652549"
"John Boozman (R-Ark) ","Arkansas District 03","$651611"
"Tim Holden (D-Pa) ","Pennsylvania District 17","$649165"
"Nick Rahall (D-WVa) ","West Virginia District 03","$648642"
"Pete Stark (D-Calif) ","California District 13","$645573"
"Collin C. Peterson (D-Minn) ","Minnesota District 07","$645285"
"Vic Snyder (D-Ark) ","Arkansas District 02","$643031"
"Tim Ryan (D-Ohio) ","Ohio District 17","$642773"
"Adam Smith (D-Wash) ","Washington District 09","$642549"
"Diana DeGette (D-Colo) ","Colorado District 01","$642405"
"Mark E. Souder (R-Ind) ","Indiana District 03","$642282"
"Linda Sanchez (D-Calif) ","California District 39","$637354"
"Jo Ann Davis (R-Va) ","Virginia District 01","$636419"
"Dan Lungren (R-Calif) ","California District 03","$633991"
"Michael E. Capuano (D-Mass) ","Massachusetts District 08","$626795"
"Dan Boren (D-Okla) ","Oklahoma District 02","$626338"
"Zoe Lofgren (D-Calif) ","California District 16","$622369"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$622248"
"Dennis J. Kucinich (D-Ohio) ","Ohio District 10","$621699"
"Doc Hastings (R-Wash) ","Washington District 04","$621673"
"Steven A. King (R-Iowa) ","Iowa District 05","$620071"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$617748"
"Allen Boyd (D-Fla) ","Florida District 02","$615784"
"Ernest J. Istook (R-Okla) ","Oklahoma District 05","$612748"
"Betty McCollum (D-Minn) ","Minnesota District 04","$611908"
"Jim Costa (D-Calif) ","California District 20","$606695"
"Henry Brown (R-SC) ","South Carolina District 01","$606499"
"Julia Carson (D-Ind) ","Indiana District 07","$604962"
"Lane Evans (D-Ill) ","Illinois District 17","$600767"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$596028"
"Dale E. Kildee (D-Mich) ","Michigan District 05","$593816"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$590984"
"Bud Cramer (D-Ala) ","Alabama District 05","$589469"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$579161"
"Artur Davis (D-Ala) ","Alabama District 07","$579160"
"Mike Simpson (R-Idaho) ","Idaho District 02","$571630"
"Lloyd Doggett (D-Texas) ","Texas District 25","$570699"
"John J. ""Jimmy"" Duncan Jr. (R-Tenn) ","Tennessee District 02","$568773"
"John Hostettler (R-Ind) ","Indiana District 08","$568161"
"J. Randy Forbes (R-Va) ","Virginia District 04","$566651"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$564660"
"Michael R. McNulty (D-NY) ","New York District 21","$562751"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$560956"
"Kenny Ewell Marchant (R-Texas) ","Texas District 24","$554709"
"Henry A. Waxman (D-Calif) ","California District 30","$553049"
"Howard Coble (R-NC) ","North Carolina District 06","$552271"
"Richard E. Neal (D-Mass) ","Massachusetts District 02","$552127"
"Mac Thornberry (R-Texas) ","Texas District 13","$551841"
"Carolyn Cheeks Kilpatrick (D-Mich) ","Michigan District 13","$551497"
"Steve Buyer (R-Ind) ","Indiana District 04","$536985"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$535743"
"Jim Leach (R-Iowa) ","Iowa District 02","$533734"
"Kevin Brady (R-Texas) ","Texas District 08","$527711"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$507637"
"C. W. Bill Young (R-Fla) ","Florida District 10","$506473"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$502818"
"Brad Sherman (D-Calif) ","California District 27","$499304"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$497420"
"Jim McDermott (D-Wash) ","Washington District 07","$496250"
"Donald M. Payne (D-NJ) ","New Jersey District 10","$495562"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$495351"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$480657"
"Corrine Brown (D-Fla) ","Florida District 03","$474775"
"Trent Franks (R-Ariz) ","Arizona District 02","$474707"
"Chris Smith (R-NJ) ","New Jersey District 04","$471992"
"William L. Clay Jr. (D-Mo) ","Missouri District 01","$464665"
"Martin Olav Sabo (D-Minn) ","Minnesota District 05","$463633"
"Vernon J. Ehlers (R-Mich) ","Michigan District 03","$458540"
"Cliff Stearns (R-Fla) ","Florida District 06","$455531"
"Marty Meehan (D-Mass) ","Massachusetts District 05","$452780"
"Sherwood Boehlert (R-NY) ","New York District 24","$448130"
"Jim Nussle (R-Iowa) ","Iowa District 01","$439659"
"Susan A. Davis (D-Calif) ","California District 53","$430945"
"Alcee L. Hastings (D-Fla) ","Florida District 23","$427924"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$422097"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$415514"
"Danny K. Davis (D-Ill) ","Illinois District 07","$414881"
"Daniel William Lipinski (D-Ill) ","Illinois District 03","$414167"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$410117"
"John Linder (R-Ga) ","Georgia District 07","$398794"
"Bob Inglis (R-SC) ","South Carolina District 04","$397946"
"Tom Udall (D-NM) ","New Mexico District 03","$396860"
"Cynthia A. McKinney (D-Ga) ","Georgia District 04","$394753"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$374579"
"Gary Miller (R-Calif) ","California District 42","$365812"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$365427"
"Al Green (D-Texas) ","Texas District 09","$358772"
"Juanita Millender-McDonald (D-Calif) ","California District 37","$355784"
"Dana Rohrabacher (R-Calif) ","California District 46","$354651"
"Bob Beauprez (R-Colo) ","Colorado District 07","$351010"
"Luis Fortuno (R-PR) ","Puerto Rico District 00","$339225"
"Dennis J. Kucinich (D-PR) ","Current office: Ohio District 10","$335762"
"Jim Kolbe (R-Ariz) ","Arizona District 08","$333947"
"Terry Everett (R-Ala) ","Alabama District 02","$330375"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$324758"
"Timothy V. Johnson (R-Ill) ","Illinois District 15","$323982"
"Jeff Miller (R-Fla) ","Florida District 01","$322726"
"Gene Taylor (D-Miss) ","Mississippi District 04","$316183"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$315779"
"Jose E. Serrano (D-NY) ","New York District 16","$314380"
"Grace Napolitano (D-Calif) ","California District 38","$297822"
"Robert C. Scott (D-Va) ","Virginia District 03","$297440"
"Michael Bilirakis (R-Fla) ","Florida District 09","$291146"
"Jeff Flake (R-Ariz) ","Arizona District 06","$272420"
"Rob Bishop (R-Utah) ","Utah District 01","$247227"
"Wayne T. Gilchrest (R-Md) ","Maryland District 01","$182375"
"Diane E. Watson (D-Calif) ","California District 33","$181051"
"Donna Christian-Green (D-VI) ","Virgin Islands District 00","$178085"
"Major R. Owens (D-NY) ","New York District 11","$170456"
"Henry J. Hyde (R-Ill) ","Illinois District 06","$148821"
"Jim Davis (D-Fla) ","Florida District 11","$141574"
"Bill Jenkins (R-Tenn) ","Tennessee District 01","$140682"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$86011"
"Joel Hefley (R-Colo) ","Colorado District 05","$69138"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$40567"
