"Representative","Office Running For","Total Spent"
"Harold E. Ford Jr (D-Tenn) ","Tennessee SenateCurrent office: Tennessee District 09","$15299955"
"Sherrod Brown (D-Ohio) ","Ohio SenateCurrent office: Ohio District 13","$10752665"
"Mark Kennedy (R-Minn) ","Minnesota SenateCurrent office: Minnesota District 06","$9759094"
"Ben Cardin (D-Md) ","Maryland SenateCurrent office: Maryland District 03","$8799604"
"Katherine Harris (R-Fla) ","Florida SenateCurrent office: Florida District 13","$8659232"
"Bernie Sanders (I-Vt) ","Vermont SenateCurrent office: Vermont District 01","$6596060"
"Tom Reynolds (R-NY) ","New York District 26","$5275474"
"E. Clay Shaw Jr. (R-Fla) ","Florida District 22","$5226161"
"Dennis Hastert (R-Ill) ","Illinois District 14","$5206105"
"Nancy L. Johnson (R-Conn) ","Connecticut District 05","$5095844"
"Heather Wilson (R-NM) ","New Mexico District 01","$4906596"
"Deborah Pryce (R-Ohio) ","Ohio District 15","$4682370"
"Richard Pombo (R-Calif) ","California District 11","$4629983"
"Melissa Bean (D-Ill) ","Illinois District 08","$4294589"
"Charles H. Taylor (R-NC) ","North Carolina District 11","$4171482"
"Geoff Davis (R-Ky) ","Kentucky District 04","$3953725"
"Christopher Shays (R-Conn) ","Connecticut District 04","$3804187"
"Mark Kirk (R-Ill) ","Illinois District 10","$3512971"
"Eric Cantor (R-Va) ","Virginia District 07","$3499247"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$3492402"
"John E. Sweeney (R-NY) ","New York District 20","$3425841"
"Anne M. Northup (R-Ky) ","Kentucky District 03","$3421281"
"Chris Chocola (R-Ind) ","Indiana District 02","$3415742"
"Roy Blunt (R-Mo) ","Missouri District 07","$3301391"
"Tom Davis (R-Va) ","Virginia District 11","$3301041"
"John P. Murtha (D-Pa) ","Pennsylvania District 12","$3254226"
"Marilyn Musgrave (R-Colo) ","Colorado District 04","$3212143"
"Michael G. Fitzpatrick (R-Pa) ","Pennsylvania District 08","$3180640"
"Rob Simmons (R-Conn) ","Connecticut District 02","$3177694"
"Chet Edwards (D-Texas) ","Texas District 17","$3138215"
"Joe Knollenberg (R-Mich) ","Michigan District 09","$3105161"
