"Representative","Office Running For","Total Spent"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$1779289"
"Steve Pearce (R-NM) ","New Mexico District 02","$1771284"
"Don Young (R-Alaska) ","Alaska District 01","$1747897"
"Nita M. Lowey (D-NY) ","New York District 18","$1742423"
"Sam Graves (R-Mo) ","Missouri District 06","$1741133"
"Charles B. Rangel (D-NY) ","New York District 15","$1728867"
"Max Sandlin (D-Texas) ","Texas District 01","$1688816"
"Carolyn McCarthy (D-NY) ","New York District 04","$1688005"
"Jim Moran (D-Va) ","Virginia District 08","$1677506"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$1654898"
"Mark Kirk (R-Ill) ","Illinois District 10","$1653529"
"Rush Holt (D-NJ) ","New Jersey District 12","$1651175"
"Baron Hill (D-Ind) ","Indiana District 09","$1634699"
"Rick Boucher (D-Va) ","Virginia District 09","$1628026"
"Jim Nussle (R-Iowa) ","Iowa District 01","$1622743"
"Phil Crane (R-Ill) ","Illinois District 08","$1618074"
"Frank R. Wolf (R-Va) ","Virginia District 10","$1611149"
"Tim Holden (D-Pa) ","Pennsylvania District 17","$1608093"
"John Kline (R-Minn) ","Minnesota District 02","$1600055"
"Phil English (R-Pa) ","Pennsylvania District 03","$1595195"
"Charles H. Taylor (R-NC) ","North Carolina District 11","$1584993"
"John P. Murtha (D-Pa) ","Pennsylvania District 12","$1559185"
"Leonard L. Boswell (D-Iowa) ","Iowa District 03","$1545133"
"Ben Chandler (D-Ky) ","Kentucky District 06","$1537786"
"Anthony D. Weiner (D-NY) ","New York District 09","$1533823"
"Sherwood Boehlert (R-NY) ","New York District 24","$1524112"
"Bill Thomas (R-Calif) ","California District 22","$1493678"
"Bob Ney (R-Ohio) ","Ohio District 18","$1484643"
"Billy Tauzin (R-La) ","Louisiana District 03","$1464344"
"Robin Hayes (R-NC) ","North Carolina District 08","$1461679"
"Lee Terry (R-Neb) ","Nebraska District 02","$1454559"
"Jerry Lewis (R-Calif) ","California District 41","$1450053"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$1448889"
"Chris Chocola (R-Ind) ","Indiana District 02","$1447491"
"Rick Larsen (D-Wash) ","Washington District 02","$1412604"
"Joe Knollenberg (R-Mich) ","Michigan District 09","$1412320"
"John Boehner (R-Ohio) ","Ohio District 08","$1407907"
"Terry Everett (R-Ala) ","Alabama District 02","$1406790"
"John E. Sweeney (R-NY) ","New York District 20","$1392817"
"Spencer Bachus (R-Ala) ","Alabama District 06","$1376103"
"Ernest J. Istook (R-Okla) ","Oklahoma District 05","$1369472"
"Melissa Hart (R-Pa) ","Pennsylvania District 04","$1368946"
"J. D. Hayworth (R-Ariz) ","Arizona District 05","$1356723"
"Rodney Alexander (R-La) ","Louisiana District 05","$1344520"
"David Dreier (R-Calif) ","California District 26","$1338730"
"Mike Michaud (D-Maine) ","Maine District 02","$1309195"
"Barney Frank (D-Mass) ","Massachusetts District 04","$1290341"
"Mike Thompson (D-Calif) ","California District 01","$1272329"
"Jennifer Dunn (R-Wash) ","Washington District 08","$1255596"
"Sue Kelly (R-NY) ","New York District 19","$1250053"
"Shelley Berkley (D-Nev) ","Nevada District 01","$1248297"
"Nancy L. Johnson (R-Conn) ","Connecticut District 05","$1241036"
"Nancy Pelosi (D-Calif) ","California District 08","$1240543"
"E. Clay Shaw Jr. (R-Fla) ","Florida District 22","$1237966"
"Harold E. Ford Jr (D-Tenn) ","Tennessee District 09","$1225931"
"Scott Garrett (R-NJ) ","New Jersey District 05","$1216049"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$1215650"
"Henry Bonilla (R-Texas) ","Texas District 23","$1211717"
"Jim Marshall (D-Ga) ","Georgia District 03","$1208345"
"David Price (D-NC) ","North Carolina District 04","$1192561"
"Tom Lantos (D-Calif) ","California District 12","$1190646"
"Ron Kind (D-Wis) ","Wisconsin District 03","$1189099"
"James P. McGovern (D-Mass) ","Massachusetts District 03","$1184239"
"Edward J. Markey (D-Mass) ","Massachusetts District 07","$1181782"
"Tom Tancredo (R-Colo) ","Colorado District 06","$1178724"
"Jim Gibbons (R-Nev) ","Nevada District 02","$1171994"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$1163588"
"Joseph Crowley (D-NY) ","New York District 07","$1160532"
"Ralph M. Hall (R-Texas) ","Texas District 04","$1152827"
"Jim Kolbe (R-Ariz) ","Arizona District 08","$1146714"
"Brad Miller (D-NC) ","North Carolina District 13","$1146365"
"Jim Ryun (R-Kan) ","Kansas District 02","$1136464"
"Vito Fossella (R-NY) ","New York District 13","$1135075"
"John D. Dingell (D-Mich) ","Michigan District 15","$1127151"
"James C. Greenwood (R-Pa) ","Pennsylvania District 08","$1107811"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$1103313"
"Richard Baker (R-La) ","Louisiana District 06","$1090347"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1082638"
"Don Manzullo (R-Ill) ","Illinois District 16","$1078353"
"Steve Israel (D-NY) ","New York District 02","$1077719"
"Pete Visclosky (D-Ind) ","Indiana District 01","$1076753"
"Chris Bell (D-Texas) ","Texas District 09Current office: Texas District 25","$1074764"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1068961"
"Artur Davis (D-Ala) ","Alabama District 07","$1068356"
"Duncan Hunter (R-Calif) ","California District 52","$1058126"
"Neil Abercrombie (D-Hawaii) ","Hawaii District 01","$1055643"
"Dave Hobson (R-Ohio) ","Ohio District 07","$1049259"
"Christopher Cox (R-Calif) ","California District 48","$1038914"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$1038217"
"Ben Cardin (D-Md) ","Maryland District 03","$1023108"
"John Sullivan (R-Okla) ","Oklahoma District 01","$1019758"
"Jeb Bradley (R-NH) ","New Hampshire District 01","$1018394"
"Michael R. Turner (R-Ohio) ","Ohio District 03","$1018127"
"Richard Pombo (R-Calif) ","California District 11","$1017709"
"Kenny Hulshof (R-Mo) ","Missouri District 09","$1017285"
"Mike Pence (R-Ind) ","Indiana District 06","$1010228"
"Greg Walden (R-Ore) ","Oregon District 02","$1009266"
"Lois Capps (D-Calif) ","California District 23","$1008790"
"Deborah Pryce (R-Ohio) ","Ohio District 15","$1008306"
"Zach Wamp (R-Tenn) ","Tennessee District 03","$1003532"
"Sue Myrick (R-NC) ","North Carolina District 09","$991241"
"Bob Etheridge (D-NC) ","North Carolina District 02","$989599"
"Tom Latham (R-Iowa) ","Iowa District 04","$988369"
"Jack Quinn (R-NY) ","New York District 27","$976138"
"James L. Oberstar (D-Minn) ","Minnesota District 08","$972916"
"Jo Bonner (R-Ala) ","Alabama District 01","$965702"
"Eliot L. Engel (D-NY) ","New York District 17","$961863"
"Adam Schiff (D-Calif) ","California District 29","$955782"
"Ray LaHood (R-Ill) ","Illinois District 18","$955764"
"Howard P. ""Buck"" McKeon (R-Calif) ","California District 25","$954938"
"Lincoln Davis (D-Tenn) ","Tennessee District 04","$953960"
"Michael E. Capuano (D-Mass) ","Massachusetts District 08","$953342"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 08","$948047"
"Marion Berry (D-Ark) ","Arkansas District 01","$947839"
"Alcee L. Hastings (D-Fla) ","Florida District 23","$947430"
"William J. Jefferson (D-La) ","Louisiana District 02","$942766"
"Randy ""Duke"" Cunningham (R-Calif) ","California District 50","$939542"
"Jim McCrery (R-La) ","Louisiana District 04","$939484"
"Anna Eshoo (D-Calif) ","California District 14","$939389"
"Robert Wexler (D-Fla) ","Florida District 19","$939363"
"Nick Rahall (D-WVa) ","West Virginia District 03","$930079"
"Barbara Cubin (R-Wyo) ","Wyoming District 01","$927908"
"Charles W. Norwood (R-Ga) ","Georgia District 09","$922235"
"Jim Ramstad (R-Minn) ","Minnesota District 03","$921476"
"George Radanovich (R-Calif) ","California District 19","$919414"
"Jim Saxton (R-NJ) ","New Jersey District 03","$919338"
"Carolyn B. Maloney (D-NY) ","New York District 14","$918162"
"John T. Doolittle (R-Calif) ","California District 04","$912648"
"Peter DeFazio (D-Ore) ","Oregon District 04","$909241"
"Michael N. Castle (R-Del) ","Delaware District 01","$902706"
"Howard L. Berman (D-Calif) ","California District 28","$902390"
"John Carter (R-Texas) ","Texas District 31","$899885"
"Kay Granger (R-Texas) ","Texas District 12","$895146"
"Ciro D. Rodriguez (D-Texas) ","Texas District 28","$894136"
"Mark Udall (D-Colo) ","Colorado District 02","$885440"
"Darrell Issa (R-Calif) ","California District 49","$882952"
"Jay Inslee (D-Wash) ","Washington District 01","$882639"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$877508"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$872384"
"Norm Dicks (D-Wash) ","Washington District 06","$871608"
"Sander Levin (D-Mich) ","Michigan District 12","$869446"
"Jerrold Nadler (D-NY) ","New York District 08","$867427"
"Vic Snyder (D-Ark) ","Arkansas District 02","$863496"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$859083"
"J. Randy Forbes (R-Va) ","Virginia District 04","$858666"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$853384"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$852690"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$851116"
"Brian Baird (D-Wash) ","Washington District 03","$850014"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$849365"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$843755"
"Charles W. ""Chip"" Pickering Jr. (R-Miss) ","Mississippi District 03","$832981"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$818826"
"Bernie Sanders (I-Vt) ","Vermont District 01","$810050"
"Henry J. Hyde (R-Ill) ","Illinois District 06","$804197"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$801784"
"Bob Goodlatte (R-Va) ","Virginia District 06","$797676"
"Mike Rogers (R-Mich) ","Michigan District 08","$797146"
"John Shadegg (R-Ariz) ","Arizona District 03","$794256"
"Michael Burgess (R-Texas) ","Texas District 26","$790415"
"Ginny Brown-Waite (R-Fla) ","Florida District 05","$787436"
"Joe Wilson (R-SC) ","South Carolina District 02","$786383"
"Jack Kingston (R-Ga) ","Georgia District 01","$783347"
"Barbara Lee (D-Calif) ","California District 09","$783143"
"Linda Sanchez (D-Calif) ","California District 39","$782521"
"Ellen O. Tauscher (D-Calif) ","California District 10","$780196"
"Dan Burton (R-Ind) ","Indiana District 05","$777535"
"David R. Obey (D-Wis) ","Wisconsin District 07","$775009"
"Ed Case (D-Hawaii) ","Hawaii District 02","$774823"
"Sam Johnson (R-Texas) ","Texas District 03","$771636"
"Dennis Cardoza (D-Calif) ","California District 18","$765885"
"Jane Harman (D-Calif) ","California District 36","$763781"
"Sanford D. Bishop Jr. (D-Ga) ","Georgia District 02","$761275"
"Mike McIntyre (D-NC) ","North Carolina District 07","$758418"
"Charlie A. Gonzalez (D-Texas) ","Texas District 20","$757300"
"John M. Spratt Jr. (D-SC) ","South Carolina District 05","$757151"
"Edolphus Towns (D-NY) ","New York District 10","$757121"
"Virgil H. Goode Jr. (R-Va) ","Virginia District 05","$753167"
"Lane Evans (D-Ill) ","Illinois District 17","$752444"
"John Linder (R-Ga) ","Georgia District 07","$746763"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$745788"
"Ron Paul (R-Texas) ","Texas District 14","$744969"
"David Scott (D-Ga) ","Georgia District 13","$740048"
"Trent Franks (R-Ariz) ","Arizona District 02","$738525"
"Jeb Hensarling (R-Texas) ","Texas District 05","$738478"
"Hal Rogers (R-Ky) ","Kentucky District 05","$737589"
"Ed Royce (R-Calif) ","California District 40","$736717"
"Thad McCotter (R-Mich) ","Michigan District 11","$735845"
"Dave Weldon (R-Fla) ","Florida District 15","$733711"
"Bart Stupak (D-Mich) ","Michigan District 01","$731354"
"Tom Allen (D-Maine) ","Maine District 01","$727772"
"James E. Clyburn (D-SC) ","South Carolina District 06","$725832"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$724653"
"Albert R. Wynn (D-Md) ","Maryland District 04","$722207"
"Tom Cole (R-Okla) ","Oklahoma District 04","$721908"
"Charles Bass (R-NH) ","New Hampshire District 02","$717749"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$714890"
"Betty McCollum (D-Minn) ","Minnesota District 04","$707384"
"Tom Feeney (R-Fla) ","Florida District 24","$705578"
"Ike Skelton (D-Mo) ","Missouri District 04","$703768"
"Todd Akin (R-Mo) ","Missouri District 02","$702232"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$701713"
"Adam H. Putnam (R-Fla) ","Florida District 12","$700625"
"Rahm Emanuel (D-Ill) ","Illinois District 05","$689463"
"Ron Lewis (R-Ky) ","Kentucky District 02","$688898"
"Ken Calvert (R-Calif) ","California District 44","$687467"
"Gene Green (D-Texas) ","Texas District 29","$684970"
"C. W. Bill Young (R-Fla) ","Florida District 10","$681749"
"Fred Upton (R-Mich) ","Michigan District 06","$678684"
"Curt Weldon (R-Pa) ","Pennsylvania District 07","$678444"
"Gary Ackerman (D-NY) ","New York District 05","$675631"
"Jeff Flake (R-Ariz) ","Arizona District 06","$675055"
"Mike Ross (D-Ark) ","Arkansas District 04","$672922"
"Kevin Brady (R-Texas) ","Texas District 08","$670875"
"Devin Nunes (R-Calif) ","California District 21","$667520"
"Gil Gutknecht (R-Minn) ","Minnesota District 01","$666410"
"Bob Filner (D-Calif) ","California District 51","$657867"
"James T. Walsh (R-NY) ","New York District 25","$656874"
"F. James Sensenbrenner Jr. (R-Wis) ","Wisconsin District 05","$655901"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$651352"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$648488"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$637567"
"Chris Cannon (R-Utah) ","Utah District 03","$634195"
"Maurice Hinchey (D-NY) ","New York District 22","$631944"
"Jim Davis (D-Fla) ","Florida District 11","$630804"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$630160"
"Brad Sherman (D-Calif) ","California District 27","$625272"
"Ed Pastor (D-Ariz) ","Arizona District 04","$624271"
"Xavier Becerra (D-Calif) ","California District 31","$623023"
"Diana DeGette (D-Colo) ","Colorado District 01","$620599"
"Raul M. Grijalva (D-Ariz) ","Arizona District 07","$618854"
"Silvestre Reyes (D-Texas) ","Texas District 16","$618785"
"John Culberson (R-Texas) ","Texas District 07","$617860"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$615506"
"John Tanner (D-Tenn) ","Tennessee District 08","$614785"
"Dale E. Kildee (D-Mich) ","Michigan District 05","$608283"
"Denny Rehberg (R-Mont) ","Montana District 01","$608199"
"Ralph Regula (R-Ohio) ","Ohio District 16","$606430"
"Lamar Smith (R-Texas) ","Texas District 21","$606121"
"John B. Larson (D-Conn) ","Connecticut District 01","$604516"
"Gregory W. Meeks (D-NY) ","New York District 06","$603369"
"Solomon P. Ortiz (D-Texas) ","Texas District 27","$602427"
"Don Sherwood (R-Pa) ","Pennsylvania District 10","$601686"
"Sherrod Brown (D-Ohio) ","Ohio District 13","$601435"
"Sam Farr (D-Calif) ","California District 17","$600822"
"Zoe Lofgren (D-Calif) ","California District 16","$598739"
"Michael Bilirakis (R-Fla) ","Florida District 09","$596389"
"Gresham Barrett (R-SC) ","South Carolina District 03","$595278"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 09","$591797"
"Carolyn Cheeks Kilpatrick (D-Mich) ","Michigan District 13","$591551"
"Bud Cramer (D-Ala) ","Alabama District 05","$588838"
"Walter B. Jones Jr. (R-NC) ","North Carolina District 03","$586012"
"Scott McInnis (R-Colo) ","Colorado District 03","$580786"
"Wally Herger (R-Calif) ","California District 02","$580670"
"Lucille Roybal-Allard (D-Calif) ","California District 34","$572055"
"George Miller (D-Calif) ","California District 07","$571957"
"Lynn Woolsey (D-Calif) ","California District 06","$562623"
"Rob Portman (R-Ohio) ","Ohio District 02","$559338"
"Doc Hastings (R-Wash) ","Washington District 04","$557536"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$557233"
"John Conyers Jr. (D-Mich) ","Michigan District 14","$556530"
"Nydia M. Velazquez (D-NY) ","New York District 12","$551994"
"Elton Gallegly (R-Calif) ","California District 24","$551059"
"John Lewis (D-Ga) ","Georgia District 05","$547098"
"John M. Shimkus (R-Ill) ","Illinois District 19","$544784"
"John Boozman (R-Ark) ","Arkansas District 03","$543281"
"Judy Biggert (R-Ill) ","Illinois District 13","$542733"
"Mike Honda (D-Calif) ","California District 15","$539475"
"Pete King (R-NY) ","New York District 03","$536345"
"Chris Smith (R-NJ) ","New Jersey District 04","$533725"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$527846"
"Adam Smith (D-Wash) ","Washington District 09","$527669"
"Jesse Jackson Jr. (D-Ill) ","Illinois District 02","$527367"
"Jim Langevin (D-RI) ","Rhode Island District 02","$527295"
"Hilda L. Solis (D-Calif) ","California District 32","$527090"
"Robert C. Scott (D-Va) ","Virginia District 03","$525454"
"Collin C. Peterson (D-Minn) ","Minnesota District 07","$524067"
"Alan B. Mollohan (D-WVa) ","West Virginia District 01","$524011"
"Dave Camp (R-Mich) ","Michigan District 04","$521658"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$519881"
"Dana Rohrabacher (R-Calif) ","California District 46","$517315"
"John E. Peterson (R-Pa) ","Pennsylvania District 05","$511015"
"Steve Buyer (R-Ind) ","Indiana District 04","$509517"
"Stephanie Tubbs Jones (D-Ohio) ","Ohio District 11","$501711"
"Mary Bono (R-Calif) ","California District 45","$501088"
"Jerry Kleczka (D-Wis) ","Wisconsin District 04","$498805"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$498230"
"Mike Simpson (R-Idaho) ","Idaho District 02","$498082"
"Steven A. King (R-Iowa) ","Iowa District 05","$498000"
"Martin Olav Sabo (D-Minn) ","Minnesota District 05","$497073"
"Tim Ryan (D-Ohio) ","Ohio District 17","$495122"
"John Hostettler (R-Ind) ","Indiana District 08","$494781"
"Todd Tiahrt (R-Kan) ","Kansas District 04","$491456"
"Kendrick B. Meek (D-Fla) ","Florida District 17","$488713"
"Donald M. Payne (D-NJ) ","New Jersey District 10","$483000"
"C. L. ""Butch"" Otter (R-Idaho) ","Idaho District 01","$482498"
"Ken Lucas (D-Ky) ","Kentucky District 04","$479889"
"Jim Leach (R-Iowa) ","Iowa District 02","$479832"
"Steve Chabot (R-Ohio) ","Ohio District 01","$479225"
"Tom Petri (R-Wis) ","Wisconsin District 06","$478540"
"Major R. Owens (D-NY) ","New York District 11","$473168"
"John M. McHugh (R-NY) ","New York District 23","$471790"
"John W. Olver (D-Mass) ","Massachusetts District 01","$460462"
"Marty Meehan (D-Mass) ","Massachusetts District 05","$459977"
"Pete Stark (D-Calif) ","California District 13","$455735"
"Henry A. Waxman (D-Calif) ","California District 30","$453715"
"Tom Udall (D-NM) ","New Mexico District 03","$452489"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$451555"
"Joe Baca (D-Calif) ","California District 43","$450287"
"Corrine Brown (D-Fla) ","Florida District 03","$447589"
"Candice S. Miller (R-Mich) ","Michigan District 10","$444986"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$442230"
"Michael R. McNulty (D-NY) ","New York District 21","$442149"
"Paul E. Gillmor (R-Ohio) ","Ohio District 05","$441646"
"Danny K. Davis (D-Ill) ","Illinois District 07","$438680"
"Jim McDermott (D-Wash) ","Washington District 07","$437147"
"Rob Bishop (R-Utah) ","Utah District 01","$435494"
"Mark Green (R-Wis) ","Wisconsin District 08","$433513"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$429653"
"Richard E. Neal (D-Mass) ","Massachusetts District 02","$427864"
"Gene Taylor (D-Miss) ","Mississippi District 04","$426134"
"Roger Wicker (R-Miss) ","Mississippi District 01","$426024"
"Julia Carson (D-Ind) ","Indiana District 07","$419603"
"John J. ""Jimmy"" Duncan Jr. (R-Tenn) ","Tennessee District 02","$418308"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$415117"
"/members-of-congress/summary?cid=N00003572&cycle=2004 ","Ohio District 10","$406033"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$405453"
"Howard Coble (R-NC) ","North Carolina District 06","$400493"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$397053"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$395424"
"Wayne T. Gilchrest (R-Md) ","Maryland District 01","$391272"
"Susan A. Davis (D-Calif) ","California District 53","$387177"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$384313"
"Mac Thornberry (R-Texas) ","Texas District 13","$383724"
"Paul E. Kanjorski (D-Pa) ","Pennsylvania District 11","$378979"
"Jo Ann Davis (R-Va) ","Virginia District 01","$375339"
"Nathan Deal (R-Ga) ","Georgia District 10","$372286"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$371139"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$370856"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$361532"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$361032"
"Louise M. Slaughter (D-NY) ","New York District 28","$353874"
"Jose E. Serrano (D-NY) ","New York District 16","$351845"
"Jerry Moran (R-Kan) ","Kansas District 01","$349807"
"Maxine Waters (D-Calif) ","California District 35","$330980"
"Timothy V. Johnson (R-Ill) ","Illinois District 15","$328449"
"Bill Lipinski (D-Ill) ","Illinois District 03","$326262"
"Karen McCarthy (D-Mo) ","Missouri District 05","$324701"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$322024"
"Vernon J. Ehlers (R-Mich) ","Michigan District 03","$308785"
"Juanita Millender-McDonald (D-Calif) ","California District 37","$307056"
"Ric Keller (R-Fla) ","Florida District 08","$292257"
"Jim Turner (D-Texas) ","Texas District 02","$285772"
"Gary Miller (R-Calif) ","California District 42","$284341"
"Cliff Stearns (R-Fla) ","Florida District 06","$283334"
"Ander Crenshaw (R-Fla) ","Florida District 04","$279540"
"Jeff Miller (R-Fla) ","Florida District 01","$279318"
"Grace Napolitano (D-Calif) ","California District 38","$273757"
"William L. Clay Jr. (D-Mo) ","Missouri District 01","$262648"
"Diane E. Watson (D-Calif) ","California District 33","$259663"
"John L. Mica (R-Fla) ","Florida District 07","$256103"
"Mark E. Souder (R-Ind) ","Indiana District 03","$238176"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$233086"
"Ted Strickland (D-Ohio) ","Ohio District 06","$216479"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$213604"
"Henry Brown (R-SC) ","South Carolina District 01","$205460"
"Donna Christian-Green (D-VI) ","Virgin Islands District 00","$175672"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$171605"
"Bill Jenkins (R-Tenn) ","Tennessee District 01","$160643"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$117308"
"Cass Ballenger (R-NC) ","North Carolina District 10","$107771"
"Doug Bereuter (R-Neb) ","Nebraska District 01","$99111"
"Joel Hefley (R-Colo) ","Colorado District 05","$93332"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$66500"
"Tom Osborne (R-Neb) ","Nebraska District 03","$63654"
"Nick Smith (R-Mich) ","Michigan District 07","$56244"
