"Representative","Office Running For","Total Spent"
"Richard A. Gephardt (D) ","2004 Presidential Race","$21091591"
"Dennis J. Kucinich (D-Ohio) ","Puerto Rico District esCurrent office: Ohio District 10","$13074700"
"Richard Burr (R-NC) ","North Carolina SenateCurrent office: North Carolina District 05","$12898471"
"James W. DeMint (R-SC) ","South Carolina SenateCurrent office: South Carolina District 04","$9041777"
"Johnny Isakson (R-Ga) ","Georgia SenateCurrent office: Georgia District 06","$8016243"
"George R. Nethercutt Jr. (R-Wash) ","Washington SenateCurrent office: Washington District 05","$7726296"
"David Vitter (R-La) ","Louisiana SenateCurrent office: Louisiana District 01","$7586407"
"Brad R. Carson (D-Okla) ","Oklahoma SenateCurrent office: Oklahoma District 02","$6333394"
"Peter Deutsch (D-Fla) ","Florida SenateCurrent office: Florida District 20","$5743372"
"Chris John (D-La) ","Louisiana SenateCurrent office: Louisiana District 07","$5214520"
"Dennis Hastert (R-Ill) ","Illinois District 14","$5013947"
"Martin Frost (D-Texas) ","Texas District 32Current office: Texas District 24","$4761288"
"Joseph M. Hoeffel (D-Pa) ","Pennsylvania SenateCurrent office: Pennsylvania District 13","$4696569"
"Pete Sessions (R-Texas) ","Texas District 32","$4495964"
"Stephanie Herseth (D-SD) ","South Dakota District 01","$4026589"
"Robert Menendez (D-NJ) ","New Jersey District 13","$3941956"
"Katherine Harris (R-Fla) ","Florida District 13","$3556976"
"Roy Blunt (R-Mo) ","Missouri District 07","$3527363"
"Heather Wilson (R-NM) ","New Mexico District 01","$3381387"
"Anne M. Northup (R-Ky) ","Kentucky District 03","$3338553"
"Marilyn Musgrave (R-Colo) ","Colorado District 04","$3314507"
"Randy Neugebauer (R-Texas) ","Texas District 19","$3245173"
"Tom DeLay (R-Texas) ","Texas District 22","$3143559"
"Bob Beauprez (R-Colo) ","Colorado District 07","$2896799"
"Max Burns (R-Ga) ","Georgia District 12","$2794891"
"David Wu (D-Ore) ","Oregon District 01","$2752272"
"Mike Ferguson (R-NJ) ","New Jersey District 07","$2677241"
"Chet Edwards (D-Texas) ","Texas District 17Current office: Texas District 11","$2664661"
"Jon Porter (R-Nev) ","Nevada District 03","$2653136"
"Tom Reynolds (R-NY) ","New York District 26","$2522713"
"Charles W. Stenholm (D-Texas) ","Texas District 19Current office: Texas District 17","$2467314"
"Rob Simmons (R-Conn) ","Connecticut District 02","$2446937"
"Steven C. LaTourette (R-Ohio) ","Ohio District 14","$2430424"
"Mark Kennedy (R-Minn) ","Minnesota District 06","$2381634"
"Dennis Moore (D-Kan) ","Kansas District 03","$2362887"
"Denise L. Majette (D-Ga) ","Georgia SenateCurrent office: Georgia District 04","$2324407"
"Nick Lampson (D-Texas) ","Texas District 02Current office: Texas District 09","$2281042"
"Christopher Shays (R-Conn) ","Connecticut District 04","$2255210"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$2223569"
"Allen Boyd (D-Fla) ","Florida District 02","$2182898"
"Eric Cantor (R-Va) ","Virginia District 07","$2147322"
"Rick Renzi (R-Ariz) ","Arizona District 01","$2105659"
"Darlene Hooley (D-Ore) ","Oregon District 05","$2054417"
"Lloyd Doggett (D-Texas) ","Texas District 25Current office: Texas District 10","$2023846"
"Jim Matheson (D-Utah) ","Utah District 02","$2021524"
"Phil Gingrey (R-Ga) ","Georgia District 11","$1996633"
"Patrick J. Kennedy (D-RI) ","Rhode Island District 01","$1958492"
"Michael G. Oxley (R-Ohio) ","Ohio District 04","$1909844"
"Timothy H. Bishop (D-NY) ","New York District 01","$1908440"
"Joe Barton (R-Texas) ","Texas District 06","$1883891"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$1875788"
"Mark Foley (R-Fla) ","Florida District 16","$1839746"
"Loretta Sanchez (D-Calif) ","California District 47","$1837079"
"Tom Davis (R-Va) ","Virginia District 11","$1835379"
"Mac Collins (R-Ga) ","Georgia SenateCurrent office: Georgia District 08","$1809471"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$1807315"
"Jerry Weller (R-Ill) ","Illinois District 11","$1792779"
