"Representative","Office Running For","Total Raised"
"Val Demings (D-Fla) ","Florida SenateCurrent office: Florida District 10","$79502411"
"Tim Ryan (D-Ohio) ","Ohio SenateCurrent office: Ohio District 13","$56405069"
"Kevin McCarthy (R-Calif) ","California District 20Current office: California District 23","$27362324"
"Katie Porter (D-Calif) ","California District 47Current office: California District 45","$25655727"
"Nancy Pelosi (D-Calif) ","California District 11Current office: California District 12","$25070651"
"Adam Schiff (D-Calif) ","California District 30Current office: California District 28","$24993914"
"Steve Scalise (R-La) ","Louisiana District 01","$18397997"
"Dan Crenshaw (R-Texas) ","Texas District 02","$15380087"
"Ted Budd (R-NC) ","North Carolina SenateCurrent office: North Carolina District 13","$14244472"
"Jim Jordan (R-Ohio) ","Ohio District 04","$13975653"
"Marjorie Taylor Greene (R-Ga) ","Georgia District 14","$12546634"
"Alexandria Ocasio-Cortez (D-NY) ","New York District 14","$12304636"
"Elaine Luria (D-Va) ","Virginia District 02","$10689610"
"David Trone (D-Md) ","Maryland District 06","$10504350"
"Elissa Slotkin (D-Mich) ","Michigan District 07Current office: Michigan District 08","$9887079"
"Elise Stefanik (R-NY) ","New York District 21","$9459594"
"Kim Schrier (D-Wash) ","Washington District 08","$9435679"
"Young Kim (R-Calif) ","California District 40Current office: California District 39","$9118989"
"Abigail Spanberger (D-Va) ","Virginia District 07","$8981899"
"Tom Malinowski (D-NJ) ","New Jersey District 07","$8845866"
"Josh Gottheimer (D-NJ) ","New Jersey District 05","$8729197"
"Raja Krishnamoorthi (D-Ill) ","Illinois District 08","$8396848"
"Sharice Davids (D-Kan) ","Kansas District 03","$7772034"
"Angie Craig (D-Minn) ","Minnesota District 02","$7749887"
"Lauren Boebert (R-Colo) ","Colorado District 03","$7744744"
"Mary Peltola (D-Alaska) ","Alaska District 01","$7595108"
"Michelle Steel (R-Calif) ","California District 45Current office: California District 48","$7264049"
"Ashley Hinson (R-Iowa) ","Iowa District 02Current office: Iowa District 01","$7149327"
"Mike Garcia (R-Calif) ","California District 27Current office: California District 25","$7134367"
"Cindy Axne (D-Iowa) ","Iowa District 03","$7121679"
"Andy Kim (D-NJ) ","New Jersey District 03","$7018928"
"Susan Wild (D-Pa) ","Pennsylvania District 07","$6906278"
"Lauren A Underwood (D-Ill) ","Illinois District 14","$6828098"
"Jake Ellzey (R-Texas) ","Texas District 06","$6802674"
"Josh Harder (D-Calif) ","California District 09Current office: California District 10","$6453143"
"Matt Gaetz (R-Fla) ","Florida District 01","$6384832"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$6360247"
"Brian Mast (R-Fla) ","Florida District 21Current office: Florida District 18","$6284971"
"Susie Lee (D-Nev) ","Nevada District 03","$6256384"
