"Representative","Office Running For","Total Raised"
"John Boehner (R-Ohio) ","Ohio District 08","$17446641"
"Bill Cassidy (R-La) ","Louisiana SenateCurrent office: Louisiana District 06","$15548343"
"Tom Cotton (R-Ark) ","Arkansas SenateCurrent office: Arkansas District 04","$13904492"
"Cory Gardner (R-Colo) ","Colorado SenateCurrent office: Colorado District 04","$12302236"
"Bruce Braley (D-Iowa) ","Iowa SenateCurrent office: Iowa District 01","$12082748"
"Gary Peters (D-Mich) ","Michigan SenateCurrent office: Michigan District 14","$10024419"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$9358582"
"Jack Kingston (R-Ga) ","Georgia SenateCurrent office: Georgia District 01","$8088438"
"Shelley Moore Capito (R-WVa) ","West Virginia SenateCurrent office: West Virginia District 02","$7858642"
"Steven Daines (R-Mont) ","Montana SenateCurrent office: Montana District 01","$7512470"
"Eric Cantor (R-Va) ","Virginia District 07","$6165587"
"Kevin McCarthy (R-Calif) ","California District 23","$5943826"
"Patrick E. Murphy (D-Fla) ","Florida District 18","$5189701"
"Brad Schneider (D-Ill) ","Illinois District 10","$4843061"
"Curt Clawson (R-Fla) ","Florida District 19","$4782657"
"Mike Coffman (R-Colo) ","Colorado District 06","$4723052"
"Scott Peters (D-Calif) ","California District 52","$4544001"
"Ami Bera (D-Calif) ","California District 07","$4395224"
"James Lankford (R-Okla) ","Oklahoma SenateCurrent office: Oklahoma District 05","$4277787"
"Sean Patrick Maloney (D-NY) ","New York District 18","$4256017"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$4054876"
"Ron Barber (D-Ariz) ","Arizona District 02","$4029501"
"Fred Upton (R-Mich) ","Michigan District 06","$3926018"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$3869179"
"Steve Israel (D-NY) ","New York District 03","$3812938"
"Joe Garcia (D-Fla) ","Florida District 26","$3765190"
"Darrell Issa (R-Calif) ","California District 49","$3750001"
"Kyrsten Sinema (D-Ariz) ","Arizona District 09","$3712606"
"Ann Mclane Kuster (D-NH) ","New Hampshire District 02","$3665168"
"Julia Brownley (D-Calif) ","California District 26","$3590149"
"John Barrow (D-Ga) ","Georgia District 12","$3550178"
"Greg Walden (R-Ore) ","Oregon District 02","$3498327"
"Peter Roskam (R-Ill) ","Illinois District 06","$3494076"
"Rodney Davis (R-Ill) ","Illinois District 13","$3491351"
"Tom Reed (R-NY) ","New York District 23","$3441590"
"Raul Ruiz (D-Calif) ","California District 36","$3409977"
"Ann Kirkpatrick (D-Ariz) ","Arizona District 01","$3403186"
"Mike Honda (D-Calif) ","California District 17","$3390694"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$3291478"
"Tammy Duckworth (D-Ill) ","Illinois District 08","$3241321"
"Cheri Bustos (D-Ill) ","Illinois District 17","$3199628"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$3196226"
"Ed Royce (R-Calif) ","California District 39","$3192507"
"Chris Gibson (R-NY) ","New York District 19","$3173357"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$3170209"
"Jeb Hensarling (R-Texas) ","Texas District 05","$3121515"
"Joseph Crowley (D-NY) ","New York District 14","$3113565"
"Colleen Hanabusa (D-Hawaii) ","Hawaii SenateCurrent office: Hawaii District 01","$3107196"
"Lee Terry (R-Neb) ","Nebraska District 02","$3106288"
"Alan Grayson (D-Fla) ","Florida District 09","$3105576"
"Michael G. Fitzpatrick (R-Pa) ","Pennsylvania District 08","$3052528"
"Timothy H. Bishop (D-NY) ","New York District 01","$3034997"
"Elizabeth Esty (D-Conn) ","Connecticut District 05","$2952365"
"Steve Southerland (R-Fla) ","Florida District 02","$2941798"
"Nancy Pelosi (D-Calif) ","California District 12","$2926899"
"Bill Foster (D-Ill) ","Illinois District 11","$2871396"
"John Kline (R-Minn) ","Minnesota District 02","$2776558"
"Jeff Denham (R-Calif) ","California District 10","$2762284"
"Andy Barr (R-Ky) ","Kentucky District 06","$2748742"
"Steve Stivers (R-Ohio) ","Ohio District 15","$2736493"
"Aaron Schock (R-Ill) ","Illinois District 18","$2723250"
"Dan Maffei (D-NY) ","New York District 24","$2710661"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$2698350"
"Joe Kennedy III (D-Mass) ","Massachusetts District 04","$2694291"
"David Valadao (R-Calif) ","California District 21","$2685196"
"Pete Gallego (D-Texas) ","Texas District 23","$2671626"
"Jim Himes (D-Conn) ","Connecticut District 04","$2654776"
"Lynn Jenkins (R-Kan) ","Kansas District 02","$2633524"
"David P Joyce (R-Ohio) ","Ohio District 14","$2619497"
"Steve Scalise (R-La) ","Louisiana District 01","$2617334"
"John K. Delaney (D-Md) ","Maryland District 06","$2607471"
"Nick Rahall (D-WVa) ","West Virginia District 03","$2589881"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 23","$2577292"
"Pete Sessions (R-Texas) ","Texas District 32","$2567779"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 08","$2542069"
"Sean P. Duffy (R-Wis) ","Wisconsin District 07","$2539783"
"Kevin Brady (R-Texas) ","Texas District 08","$2525942"
"Mike Pompeo (R-Kan) ","Kansas District 04","$2518799"
"Joe Heck (R-Nev) ","Nevada District 03","$2484964"
"Mike Simpson (R-Idaho) ","Idaho District 02","$2466247"
"Tom Price (R-Ga) ","Georgia District 06","$2403022"
"Suzan DelBene (D-Wash) ","Washington District 01","$2382342"
"Kristi Noem (R-SD) ","South Dakota District 01","$2352657"
"Ann L. Wagner (R-Mo) ","Missouri District 02","$2329338"
"Keith J. Rothfus (R-Pa) ","Pennsylvania District 12","$2322566"
"Charles W. Boustany Jr (R-La) ","Louisiana District 03","$2295051"
"Lois Capps (D-Calif) ","California District 24","$2282305"
"Katherine Clark (D-Mass) ","Massachusetts District 05","$2246750"
"Bill Johnson (R-Ohio) ","Ohio District 06","$2233992"
"James E. Clyburn (D-SC) ","South Carolina District 06","$2202607"
"Ron Kind (D-Wis) ","Wisconsin District 03","$2161647"
"Todd Young (R-Ind) ","Indiana District 09","$2156589"
"Kevin Yoder (R-Kan) ","Kansas District 03","$2149036"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$2148451"
"Nita M. Lowey (D-NY) ","New York District 17","$2133891"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$2128410"
"Dan Benishek (R-Mich) ","Michigan District 01","$2114648"
"Don Norcross (D-NJ) ","New Jersey District 01","$2101758"
"Rick Nolan (D-Minn) ","Minnesota District 08","$2098795"
"Keith Ellison (D-Minn) ","Minnesota District 05","$2090932"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$2086901"
"Scott Garrett (R-NJ) ","New Jersey District 05","$2078660"
"Dave Camp (R-Mich) ","Michigan District 04","$2077147"
"Steve Pearce (R-NM) ","New Mexico District 02","$2070663"
"Devin Nunes (R-Calif) ","California District 22","$2065646"
"Jim Renacci (R-Ohio) ","Ohio District 16","$2060081"
"David Jolly (R-Fla) ","Florida District 13","$2057213"
"Jackie Walorski (R-Ind) ","Indiana District 02","$2055614"
"Edwin G. Perlmutter (D-Colo) ","Colorado District 07","$2046462"
"Eric Swalwell (D-Calif) ","California District 15","$2040208"
"Bob Goodlatte (R-Va) ","Virginia District 06","$2019678"
"Derek Kilmer (D-Wash) ","Washington District 06","$2012794"
"Mike Conaway (R-Texas) ","Texas District 11","$2010703"
"Steven A. King (R-Iowa) ","Iowa District 04","$2000378"
"Gerry Connolly (D-Va) ","Virginia District 11","$1996342"
"Patrick Meehan (R-Pa) ","Pennsylvania District 07","$1995783"
"William Enyart (D-Ill) ","Illinois District 12","$1993036"
"Phil Gingrey (R-Ga) ","Georgia SenateCurrent office: Georgia District 11","$1988843"
"John M. Shimkus (R-Ill) ","Illinois District 15","$1982069"
"Adam Kinzinger (R-Ill) ","Illinois District 16","$1944119"
"Paul Broun (R-Ga) ","Georgia SenateCurrent office: Georgia District 10","$1941759"
"Steven Horsford (D-Nev) ","Nevada District 04","$1935568"
"Bradley Byrne (R-Ala) ","Alabama District 01","$1907597"
"Roger Williams (R-Texas) ","Texas District 25","$1890663"
"Dennis Heck (D-Wash) ","Washington District 10","$1884168"
"John B. Larson (D-Conn) ","Connecticut District 01","$1880376"
