"Representative","Office Running For","Total Raised"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1873976"
"Mike Thompson (D-Calif) ","California District 05","$1871449"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$1854010"
"Xavier Becerra (D-Calif) ","California District 34","$1852782"
"Renee Ellmers (R-NC) ","North Carolina District 02","$1844809"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$1834727"
"Tim Walberg (R-Mich) ","Michigan District 07","$1827643"
"Richard E. Neal (D-Mass) ","Massachusetts District 01","$1809130"
"Justin Amash (R-Mich) ","Michigan District 03","$1800541"
"Bill Pascrell Jr (D-NJ) ","New Jersey District 09","$1765755"
"Charlie Dent (R-Pa) ","Pennsylvania District 15","$1762782"
"Jaime Herrera Beutler (R-Wash) ","Washington District 03","$1744491"
"Patrick McHenry (R-NC) ","North Carolina District 10","$1736286"
"Jason Smith (R-Mo) ","Missouri District 08","$1735610"
"David Loebsack (D-Iowa) ","Iowa District 02","$1733368"
"Steve Fincher (R-Tenn) ","Tennessee District 08","$1723988"
"Rush Holt (D-NJ) ","New Jersey District 12","$1710828"
"Carol Shea-Porter (D-NH) ","New Hampshire District 01","$1708116"
"Reid Ribble (R-Wis) ","Wisconsin District 08","$1703029"
"Vernon Buchanan (R-Fla) ","Florida District 16","$1698712"
"Mark Sanford (R-SC) ","South Carolina District 01","$1695976"
"Susan Brooks (R-Ind) ","Indiana District 05","$1689677"
"Michelle Lujan Grisham (D-NM) ","New Mexico District 01","$1683360"
"Tulsi Gabbard (D-Hawaii) ","Hawaii District 02","$1670402"
"Randy Neugebauer (R-Texas) ","Texas District 19","$1668263"
"Kurt Schrader (D-Ore) ","Oregon District 05","$1637572"
"Michael McCaul (R-Texas) ","Texas District 10","$1633178"
"Mike Kelly (R-Pa) ","Pennsylvania District 03","$1623102"
"Mac Thornberry (R-Texas) ","Texas District 13","$1610236"
"Tom McClintock (R-Calif) ","California District 04","$1593896"
"Chuck Fleischmann (R-Tenn) ","Tennessee District 03","$1591286"
"Collin Peterson (D-Minn) ","Minnesota District 07","$1585616"
"Timothy J. Walz (D-Minn) ","Minnesota District 01","$1575565"
"David McKinley (R-WVa) ","West Virginia District 01","$1566914"
"Scott Rigell (R-Va) ","Virginia District 02","$1564606"
"Todd Rokita (R-Ind) ","Indiana District 04","$1537040"
"Jim Costa (D-Calif) ","California District 16","$1524076"
"John Fleming (R-La) ","Louisiana District 04","$1512622"
"Terri A. Sewell (D-Ala) ","Alabama District 07","$1511863"
"Anna Eshoo (D-Calif) ","California District 18","$1509756"
"Henry Cuellar (D-Texas) ","Texas District 28","$1509460"
"Richard Hudson (R-NC) ","North Carolina District 08","$1507109"
"Charles B. Rangel (D-NY) ","New York District 13","$1499956"
"Kevin Cramer (R-ND) ","North Dakota District 01","$1492880"
"Vance McAllister (R-La) ","Louisiana District 05","$1490146"
"Pete Olson (R-Texas) ","Texas District 22","$1482853"
"Dave Brat (R-Va) ","Virginia District 07","$1469113"
"George Holding (R-NC) ","North Carolina District 13","$1461660"
"John Garamendi (D-Calif) ","California District 03","$1457786"
"Lamar Smith (R-Texas) ","Texas District 21","$1455927"
"Loretta Sanchez (D-Calif) ","California District 46","$1455237"
"Sander Levin (D-Mich) ","Michigan District 09","$1453214"
"Randy Forbes (R-Va) ","Virginia District 04","$1432350"
"Brad Sherman (D-Calif) ","California District 30","$1431583"
"Carolyn B. Maloney (D-NY) ","New York District 12","$1410064"
"Marc Veasey (D-Texas) ","Texas District 33","$1407491"
"Joe Courtney (D-Conn) ","Connecticut District 02","$1396008"
"David Cicilline (D-RI) ","Rhode Island District 01","$1388448"
"Lois J. Frankel (D-Fla) ","Florida District 22","$1383775"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$1382058"
"Marlin Stutzman (R-Ind) ","Indiana District 03","$1377397"
"Linda Sanchez (D-Calif) ","California District 38","$1350031"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$1348295"
"Robin Kelly (D-Ill) ","Illinois District 02","$1345390"
"Tom Cole (R-Okla) ","Oklahoma District 04","$1338212"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1334600"
"Diane Black (R-Tenn) ","Tennessee District 06","$1334513"
"Hal Rogers (R-Ky) ","Kentucky District 05","$1332880"
"Mark A Takano (D-Calif) ","California District 41","$1328194"
"Kay Granger (R-Texas) ","Texas District 12","$1315139"
"Scott Tipton (R-Colo) ","Colorado District 03","$1308463"
"Pete King (R-NY) ","New York District 02","$1308269"
"Glenn Thompson (R-Pa) ","Pennsylvania District 05","$1308140"
"Robert Hurt (R-Va) ","Virginia District 05","$1307800"
"Maxine Waters (D-Calif) ","California District 43","$1301924"
"Dave Reichert (R-Wash) ","Washington District 08","$1301442"
"Cedric Richmond (D-La) ","Louisiana District 02","$1300572"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03","$1299137"
"Dennis Ross (R-Fla) ","Florida District 15","$1298550"
"Andy Harris (R-Md) ","Maryland District 01","$1296625"
"Joaquin Castro (D-Texas) ","Texas District 20","$1296472"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$1287843"
"Ander Crenshaw (R-Fla) ","Florida District 04","$1287442"
"Matt Cartwright (D-Pa) ","Pennsylvania District 17","$1285727"
"Gregg Harper (R-Miss) ","Mississippi District 03","$1279953"
"Bill Huizenga (R-Mich) ","Michigan District 02","$1277353"
"Virginia Foxx (R-NC) ","North Carolina District 05","$1274173"
"Markwayne Mullin (R-Okla) ","Oklahoma District 02","$1271636"
"Duncan D. Hunter (R-Calif) ","California District 50","$1269096"
"Ben R. Lujan (D-NM) ","New Mexico District 03","$1267973"
"Lou Barletta (R-Pa) ","Pennsylvania District 11","$1265318"
"Sam Graves (R-Mo) ","Missouri District 06","$1263610"
"Luke Messer (R-Ind) ","Indiana District 06","$1253376"
"Peter DeFazio (D-Ore) ","Oregon District 04","$1247943"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$1244886"
"Bill Flores (R-Texas) ","Texas District 17","$1241673"
"Eliot L. Engel (D-NY) ","New York District 16","$1237732"
"Niki Tsongas (D-Mass) ","Massachusetts District 03","$1227147"
"Sanford Bishop (D-Ga) ","Georgia District 02","$1226049"
"Jerry McNerney (D-Calif) ","California District 09","$1224434"
"Robert E. Latta (R-Ohio) ","Ohio District 05","$1217263"
"Rob Wittman (R-Va) ","Virginia District 01","$1210490"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$1202666"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$1199958"
"Billy Long (R-Mo) ","Missouri District 07","$1199797"
"Jared Polis (D-Colo) ","Colorado District 02","$1193196"
"Ken Calvert (R-Calif) ","California District 42","$1192965"
"Leonard Lance (R-NJ) ","New Jersey District 07","$1188890"
"Grace Meng (D-NY) ","New York District 06","$1188851"
"Bill Keating (D-Mass) ","Massachusetts District 09","$1185656"
"Randy Hultgren (R-Ill) ","Illinois District 14","$1182738"
"Joe Wilson (R-SC) ","South Carolina District 02","$1182239"
"Michael Burgess (R-Texas) ","Texas District 26","$1178544"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$1175937"
"Joe Barton (R-Texas) ","Texas District 06","$1172496"
"Judy Chu (D-Calif) ","California District 27","$1168164"
"Mick Mulvaney (R-SC) ","South Carolina District 05","$1167623"
"John Carney (D-Del) ","Delaware District 01","$1165084"
"Zoe Lofgren (D-Calif) ","California District 19","$1157846"
"Andre Carson (D-Ind) ","Indiana District 07","$1155655"
"Peter Welch (D-Vt) ","Vermont District 01","$1151257"
"Tom Rice (R-SC) ","South Carolina District 07","$1147856"
"Jerrold Nadler (D-NY) ","New York District 10","$1143416"
"Barbara Lee (D-Calif) ","California District 13","$1139240"
"Bob Gibbs (R-Ohio) ","Ohio District 07","$1131855"
"Bill Posey (R-Fla) ","Florida District 08","$1131538"
"Larry Bucshon (R-Ind) ","Indiana District 08","$1125593"
"Blake Farenthold (R-Texas) ","Texas District 27","$1124960"
"Jim Langevin (D-RI) ","Rhode Island District 02","$1122855"
"Hakeem Jeffries (D-NY) ","New York District 08","$1113687"
"Louise M. Slaughter (D-NY) ","New York District 25","$1112376"
"Ron DeSantis (R-Fla) ","Florida District 06","$1110622"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$1102097"
"Martha Roby (R-Ala) ","Alabama District 02","$1098795"
"Adam Smith (D-Wash) ","Washington District 09","$1091661"
"Dina Titus (D-Nev) ","Nevada District 01","$1086761"
"Ralph Hall (R-Texas) ","Texas District 04","$1086181"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$1085270"
"Gus Bilirakis (R-Fla) ","Florida District 12","$1081572"
"Brad Wenstrup (R-Ohio) ","Ohio District 02","$1079605"
"Jackie Speier (D-Calif) ","California District 14","$1075201"
"Michael R. Turner (R-Ohio) ","Ohio District 10","$1072744"
"Rick Larsen (D-Wash) ","Washington District 02","$1070866"
"Ted Deutch (D-Fla) ","Florida District 21","$1065501"
"Doris O. Matsui (D-Calif) ","California District 06","$1063566"
"Lloyd Doggett (D-Texas) ","Texas District 35","$1062141"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1055850"
"Tim Ryan (D-Ohio) ","Ohio District 13","$1048542"
"Karen Bass (D-Calif) ","California District 37","$1045813"
"Mike Rogers (R-Mich) ","Michigan District 08","$1044273"
"Adrian Smith (R-Neb) ","Nebraska District 03","$1034587"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$1031481"
"Richard Hanna (R-NY) ","New York District 22","$1031287"
"Mark Pocan (D-Wis) ","Wisconsin District 02","$1031014"
"Diana DeGette (D-Colo) ","Colorado District 01","$1026745"
"Lynn A. Westmoreland (R-Ga) ","Georgia District 03","$1026119"
"Robert Pittenger (R-NC) ","North Carolina District 09","$1023931"
"Tom Marino (R-Pa) ","Pennsylvania District 10","$1019620"
"Gregory W. Meeks (D-NY) ","New York District 05","$1017709"
"David Scott (D-Ga) ","Georgia District 13","$1015513"
"Paul Tonko (D-NY) ","New York District 20","$1014131"
"Tony Cardenas (D-Calif) ","California District 29","$1013136"
"Tom Latham (R-Iowa) ","Iowa District 03","$1005831"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 27","$1004276"
"Daniel Webster (R-Fla) ","Florida District 10","$1002777"
"Gene Green (D-Texas) ","Texas District 29","$1001294"
"John Carter (R-Texas) ","Texas District 31","$996110"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$986751"
"Suzanne Bonamici (D-Ore) ","Oregon District 01","$971857"
"Sam Johnson (R-Texas) ","Texas District 03","$970542"
"Steve Womack (R-Ark) ","Arkansas District 03","$970069"
"Tom Graves (R-Ga) ","Georgia District 14","$969539"
"Jason Chaffetz (R-Utah) ","Utah District 03","$967465"
"Steven Palazzo (R-Miss) ","Mississippi District 04","$967254"
"Marcia L. Fudge (D-Ohio) ","Ohio District 11","$965128"
"Chris Collins (R-NY) ","New York District 27","$961191"
"Austin Scott (R-Ga) ","Georgia District 08","$956178"
"Alan Nunnelee (R-Miss) ","Mississippi District 01","$952823"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$942031"
"Steve Chabot (R-Ohio) ","Ohio District 01","$938321"
"Pete Visclosky (D-Ind) ","Indiana District 01","$937818"
"Jim Jordan (R-Ohio) ","Ohio District 04","$937570"
"Matt Salmon (R-Ariz) ","Arizona District 05","$934784"
"Vicky Hartzler (R-Mo) ","Missouri District 04","$932705"
"Ted Poe (R-Texas) ","Texas District 02","$924139"
"Morgan Griffith (R-Va) ","Virginia District 09","$921871"
"Adam Schiff (D-Calif) ","California District 28","$916759"
"Mike Quigley (D-Ill) ","Illinois District 05","$914484"
"Dan Kildee (D-Mich) ","Michigan District 05","$913951"
"Jared Huffman (D-Calif) ","California District 02","$908930"
"Rick Crawford (R-Ark) ","Arkansas District 01","$907124"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$898538"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$891853"
"Joyce Beatty (D-Ohio) ","Ohio District 03","$888412"
"James P. McGovern (D-Mass) ","Massachusetts District 02","$874483"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$874349"
"Michael E. Capuano (D-Mass) ","Massachusetts District 07","$870555"
"Betty McCollum (D-Minn) ","Minnesota District 04","$863235"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$858651"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$852625"
"John L. Mica (R-Fla) ","Florida District 07","$851622"
"Brian M. Higgins (D-NY) ","New York District 26","$851432"
"Candice S. Miller (R-Mich) ","Michigan District 10","$850674"
"Doug Collins (R-Ga) ","Georgia District 09","$848531"
"Tim Huelskamp (R-Kan) ","Kansas District 01","$845472"
"David Price (D-NC) ","North Carolina District 04","$839563"
"Gary Miller (R-Calif) ","California District 31","$829309"
"Jim Matheson (D-Utah) ","Utah District 04","$823906"
"Alan Lowenthal (D-Calif) ","California District 47","$823270"
"Filemon Vela (D-Texas) ","Texas District 34","$821879"
"Randy Weber (R-Texas) ","Texas District 14","$817175"
"Paul Cook (R-Calif) ","California District 08","$813373"
"Ted Yoho (R-Fla) ","Florida District 03","$810246"
"John A. Yarmuth (D-Ky) ","Kentucky District 03","$804484"
"Kenny Marchant (R-Texas) ","Texas District 24","$804263"
"Dana Rohrabacher (R-Calif) ","California District 48","$801571"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$801345"
"David Schweikert (R-Ariz) ","Arizona District 06","$798350"
"Don Young (R-Alaska) ","Alaska District 01","$788960"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$784737"
"Sam Farr (D-Calif) ","California District 20","$782584"
"John Conyers Jr (D-Mich) ","Michigan District 13","$778668"
"John Sarbanes (D-Md) ","Maryland District 03","$775892"
"Louis B. Gohmert Jr (R-Texas) ","Texas District 01","$767285"
"Alma Adams (D-NC) ","North Carolina District 12","$766898"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$762304"
"Juan Vargas (D-Calif) ","California District 51","$760893"
"Chris Stewart (R-Utah) ","Utah District 02","$758016"
"Carolyn McCarthy (D-NY) ","New York District 04","$744688"
"Tim Griffin (R-Ark) ","Arkansas District 02","$744647"
"Mike McIntyre (D-NC) ","North Carolina District 07","$744106"
"Nydia M. Velazquez (D-NY) ","New York District 07","$739116"
"Janice Hahn (D-Calif) ","California District 44","$733851"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$732897"
"Doug LaMalfa (R-Calif) ","California District 01","$732868"
"John Lewis (D-Ga) ","Georgia District 05","$723263"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$722246"
"James Bridenstine (R-Okla) ","Oklahoma District 01","$721036"
"John Culberson (R-Texas) ","Texas District 07","$719440"
"Alcee L. Hastings (D-Fla) ","Florida District 20","$710346"
"Mark Amodei (R-Nev) ","Nevada District 02","$705028"
"Walter B. Jones Jr (R-NC) ","North Carolina District 03","$704723"
"Kathy Castor (D-Fla) ","Florida District 14","$681992"
"Michele Bachmann (R-Minn) ","Minnesota District 06","$678666"
"Trey Gowdy (R-SC) ","South Carolina District 04","$670748"
"Albio Sires (D-NJ) ","New Jersey District 08","$659465"
"Scott Desjarlais (R-Tenn) ","Tennessee District 04","$658971"
"Jeff Miller (R-Fla) ","Florida District 01","$650126"
"Kerry Bentivolio (R-Mich) ","Michigan District 11","$643851"
"Jim Moran (D-Va) ","Virginia District 08","$643293"
"Hank Johnson (D-Ga) ","Georgia District 04","$638258"
"Thomas Massie (R-Ky) ","Kentucky District 04","$638081"
"Scott Perry (R-Pa) ","Pennsylvania District 04","$624763"
"Yvette D. Clarke (D-NY) ","New York District 09","$624079"
"Mo Brooks (R-Ala) ","Alabama District 05","$614615"
"Jeff Duncan (R-SC) ","South Carolina District 03","$612928"
"Susan A. Davis (D-Calif) ","California District 53","$610238"
"Bill Owens (D-NY) ","New York District 21","$609239"
"Corrine Brown (D-Fla) ","Florida District 05","$598417"
"Tom Rooney (R-Fla) ","Florida District 17","$596061"
"Jim McDermott (D-Wash) ","Washington District 07","$591925"
"Raul M. Grijalva (D-Ariz) ","Arizona District 03","$589089"
"William L. Clay Jr (D-Mo) ","Missouri District 01","$583584"
"Pedro Pierluisi (D-PR) ","Puerto Rico District 00","$575147"
"Donna Edwards (D-Md) ","Maryland District 04","$573483"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$560056"
"Rob Bishop (R-Utah) ","Utah District 01","$559346"
"Donald M. Payne Jr (D-NJ) ","New Jersey District 10","$554692"
"Raul Labrador (R-Idaho) ","Idaho District 01","$544737"
"Mark R. Meadows (R-NC) ","North Carolina District 11","$533258"
"Al Green (D-Texas) ","Texas District 09","$530714"
"Phil Roe (R-Tenn) ","Tennessee District 01","$522428"
"Doc Hastings (R-Wash) ","Washington District 04","$519600"
"Danny K. Davis (D-Ill) ","Illinois District 07","$517869"
"Bobby Scott (D-Va) ","Virginia District 03","$511674"
"John J. Duncan Jr (R-Tenn) ","Tennessee District 02","$509942"
"Beto O'Rourke (D-Texas) ","Texas District 16","$504422"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$496825"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$496475"
"Rob Woodall (R-Ga) ","Georgia District 07","$494449"
"Lucille Roybal-Allard (D-Calif) ","California District 40","$493129"
"Douglas L. Lamborn (R-Colo) ","Colorado District 05","$490022"
"Paul Gosar (R-Ariz) ","Arizona District 04","$489817"
"Chris Smith (R-NJ) ","New Jersey District 04","$486141"
"Henry Waxman (D-Calif) ","California District 33","$473510"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$442559"
"F. James Sensenbrenner Jr (R-Wis) ","Wisconsin District 05","$438377"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$436661"
"Chellie Pingree (D-Maine) ","Maine District 01","$435540"
"Cynthia Marie Lummis (R-Wyo) ","Wyoming District 01","$432666"
"Trent Franks (R-Ariz) ","Arizona District 08","$424680"
"Buck McKeon (R-Calif) ","California District 25","$417465"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$416406"
"Frederica Wilson (D-Fla) ","Florida District 24","$403133"
"John D. Dingell (D-Mich) ","Michigan District 12","$398244"
"Jon Runyan (R-NJ) ","New Jersey District 03","$396889"
"Tom Petri (R-Wis) ","Wisconsin District 06","$382725"
"George Miller (D-Calif) ","California District 11","$379076"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$349071"
"Grace Napolitano (D-Calif) ","California District 32","$347168"
"Richard Nugent (R-Fla) ","Florida District 11","$330971"
"Spencer Bachus (R-Ala) ","Alabama District 06","$288753"
"Ed Pastor (D-Ariz) ","Arizona District 07","$285659"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$262850"
"Steve Stockman (R-Texas) ","Texas SenateCurrent office: Texas District 36","$250033"
"John Campbell (R-Calif) ","California District 45","$245630"
"Frank Wolf (R-Va) ","Virginia District 10","$212500"
"Jose E. Serrano (D-NY) ","New York District 15","$192203"
"Donna Christian-Christensen (D-VI) ","Virgin Islands District 00","$183125"
"Mike Michaud (D-Maine) ","Maine District 02","$171580"
"Gloria McLeod (D-Calif) ","California District 35","$140632"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$138109"
"Gregorio Sablan (I) ","Northern Mariana Islands District 00","$104833"
"Howard Coble (R-NC) ","North Carolina District 06","$85484"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$59833"
