"Representative","Office Running For","Total Raised"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$1639251"
"Joe Baca (D-Calif) ","California District 42","$1628267"
"Felix J. Grucci Jr. (R-NY) ","New York District 01","$1603505"
"Nancy L. Johnson (R-Conn) ","Connecticut District 06","$1583962"
"Ellen O. Tauscher (D-Calif) ","California District 10","$1566172"
"Rick Larsen (D-Wash) ","Washington District 02","$1534392"
"Jerry Weller (R-Ill) ","Illinois District 11","$1514988"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1426748"
"Eric Cantor (R-Va) ","Virginia District 07","$1419377"
"Marty Meehan (D-Mass) ","Massachusetts District 05","$1410673"
"Mark Udall (D-Colo) ","Colorado District 02","$1403136"
"Bill Luther (D-Minn) ","Minnesota District 06","$1400988"
"Brian Baird (D-Wash) ","Washington District 03","$1382509"
"Van Hilleary (R-Tenn) ","Tennessee District 04","$1380361"
"Ken Bentsen (D-Texas) ","Texas District 25","$1377237"
"Dick Armey (R-Texas) ","Texas District 26","$1373930"
"Peter Deutsch (D-Fla) ","Florida District 20","$1372669"
"Bill Thomas (R-Calif) ","California District 21","$1368427"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$1367504"
"Ric Keller (R-Fla) ","Florida District 08","$1362431"
"J. D. Hayworth (R-Ariz) ","Arizona District 06","$1355402"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$1343419"
"Tom DeLay (R-Texas) ","Texas District 22","$1342920"
"Nick Lampson (D-Texas) ","Texas District 09","$1316198"
"Tom Tancredo (R-Colo) ","Colorado District 06","$1311576"
"Don Young (R-Alaska) ","Alaska District 01","$1297578"
"Vito Fossella (R-NY) ","New York District 13","$1285210"
"Charles W. Norwood (R-Ga) ","Georgia District 10","$1274505"
"Bud Cramer (D-Ala) ","Alabama District 05","$1262741"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$1259484"
"Anibal Acevedo-Vila (3-PR) ","Puerto Rico District 00","$1255012"
"Tom Reynolds (R-NY) ","New York District 27","$1249224"
"John Thune (R-SD) ","South Dakota District 01","$1221843"
"Brad Carson (D-Okla) ","Oklahoma District 02","$1221713"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$1212006"
"Joe Knollenberg (R-Mich) ","Michigan District 11","$1210801"
"Lane Evans (D-Ill) ","Illinois District 17","$1204520"
"Benjamin A. Gilman (R-NY) ","New York District 20","$1203093"
"Walter B. Jones Jr. (R-NC) ","North Carolina District 03","$1199430"
"Billy Tauzin (R-La) ","Louisiana District 03","$1194679"
"Edolphus Towns (D-NY) ","New York District 10","$1183139"
"Connie Morella (R-Md) ","Maryland District 08","$1179599"
"Sander Levin (D-Mich) ","Michigan District 12","$1178961"
"Brad Sherman (D-Calif) ","California District 24","$1175710"
"Betty McCollum (D-Minn) ","Minnesota District 04","$1165436"
"Charles H. Taylor (R-NC) ","North Carolina District 11","$1162737"
"Henry Bonilla (R-Texas) ","Texas District 23","$1156942"
"John M. Spratt Jr. (D-SC) ","South Carolina District 05","$1153841"
"Marion Berry (D-Ark) ","Arkansas District 01","$1147693"
"Anthony D. Weiner (D-NY) ","New York District 09","$1147670"
"Chet Edwards (D-Texas) ","Texas District 11","$1131273"
"Sherrod Brown (D-Ohio) ","Ohio District 13","$1125871"
"John D. Dingell (D-Mich) ","Michigan District 16","$1124214"
"Steve Israel (D-NY) ","New York District 02","$1124208"
"Ronnie Shows (D-Miss) ","Mississippi District 04","$1122657"
"Kenny Hulshof (R-Mo) ","Missouri District 09","$1122368"
"Frank Pallone Jr. (D-NJ) ","New Jersey District 06","$1114908"
"Sam Graves (R-Mo) ","Missouri District 06","$1111218"
"Bob Etheridge (D-NC) ","North Carolina District 02","$1110249"
"Mike Pence (R-Ind) ","Indiana District 02","$1109633"
"Hilda L. Solis (D-Calif) ","California District 31","$1106090"
"Eliot L. Engel (D-NY) ","New York District 17","$1097834"
"John Culberson (R-Texas) ","Texas District 07","$1092972"
"Ed Schrock (R-Va) ","Virginia District 02","$1092070"
"Ander Crenshaw (R-Fla) ","Florida District 04","$1088281"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$1083837"
"Steve Chabot (R-Ohio) ","Ohio District 01","$1083178"
"Adam H. Putnam (R-Fla) ","Florida District 12","$1077949"
"Adam Smith (D-Wash) ","Washington District 09","$1077886"
"David R. Obey (D-Wis) ","Wisconsin District 07","$1075642"
"Rob Simmons (R-Conn) ","Connecticut District 02","$1074613"
"Amo Houghton (R-NY) ","New York District 31","$1074357"
"John E. Sweeney (R-NY) ","New York District 22","$1073578"
"Patrick J. Toomey (R-Pa) ","Pennsylvania District 15","$1073207"
"Phil Crane (R-Ill) ","Illinois District 08","$1064989"
"Charles W. Stenholm (D-Texas) ","Texas District 17","$1064609"
"Todd Akin (R-Mo) ","Missouri District 02","$1062818"
"Ray LaHood (R-Ill) ","Illinois District 18","$1060668"
"Elton Gallegly (R-Calif) ","California District 23","$1060307"
"Jim Langevin (D-RI) ","Rhode Island District 02","$1059472"
"Greg Ganske (R-Iowa) ","Iowa District 04","$1055301"
"Gary Ackerman (D-NY) ","New York District 05","$1053194"
"Bob Ney (R-Ohio) ","Ohio District 18","$1045861"
"Bart Stupak (D-Mich) ","Michigan District 01","$1029162"
"Baron Hill (D-Ind) ","Indiana District 09","$1028137"
"Jim Moran (D-Va) ","Virginia District 08","$1027091"
"Carolyn B. Maloney (D-NY) ","New York District 14","$1009165"
"C. L. ""Butch"" Otter (R-Idaho) ","Idaho District 01","$1005820"
"Joe Barton (R-Texas) ","Texas District 06","$1004946"
"Sanford D. Bishop Jr. (D-Ga) ","Georgia District 02","$1003852"
"Marge Roukema (R-NJ) ","New Jersey District 05","$1003004"
"Bob Ehrlich (R-Md) ","Maryland District 02","$1001036"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$997280"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 08","$987841"
"Gil Gutknecht (R-Minn) ","Minnesota District 01","$979145"
"Richard Burr (R-NC) ","North Carolina District 05","$967970"
"Sue Myrick (R-NC) ","North Carolina District 09","$965364"
"Jack Quinn (R-NY) ","New York District 30","$962425"
"Todd Tiahrt (R-Kan) ","Kansas District 04","$960600"
"Christopher Shays (R-Conn) ","Connecticut District 04","$943798"
"Sam Johnson (R-Texas) ","Texas District 03","$942535"
"Scott McInnis (R-Colo) ","Colorado District 03","$940506"
"Ken Lucas (D-Ky) ","Kentucky District 04","$939727"
"Mike Thompson (D-Calif) ","California District 01","$932639"
"Richard Baker (R-La) ","Louisiana District 06","$919564"
"John P. Murtha (D-Pa) ","Pennsylvania District 12","$918066"
"Charles W. ""Chip"" Pickering Jr. (R-Miss) ","Mississippi District 03","$918030"
"Corrine Brown (D-Fla) ","Florida District 03","$917995"
"John Boehner (R-Ohio) ","Ohio District 08","$916015"
"Michael G. Oxley (R-Ohio) ","Ohio District 04","$910740"
"Robert Wexler (D-Fla) ","Florida District 19","$908618"
"Ed Royce (R-Calif) ","California District 39","$904893"
"Mark Kennedy (R-Minn) ","Minnesota District 02","$902017"
"Sue Kelly (R-NY) ","New York District 19","$896434"
"James C. Greenwood (R-Pa) ","Pennsylvania District 08","$892054"
"Lee Terry (R-Neb) ","Nebraska District 02","$887946"
"Howard L. Berman (D-Calif) ","California District 26","$887309"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$884220"
"Darlene Hooley (D-Ore) ","Oregon District 05","$881163"
"John J. LaFalce (D-NY) ","New York District 29","$869981"
"Xavier Becerra (D-Calif) ","California District 30","$864056"
"Doug Ose (R-Calif) ","California District 03","$857443"
"Jerrold Nadler (D-NY) ","New York District 08","$854811"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$849837"
"James P. McGovern (D-Mass) ","Massachusetts District 03","$848573"
"John M. Shimkus (R-Ill) ","Illinois District 20","$843987"
"Jack Kingston (R-Ga) ","Georgia District 01","$839391"
"Dave Weldon (R-Fla) ","Florida District 15","$831459"
"Ed Bryant (R-Tenn) ","Tennessee District 07","$827549"
"Zach Wamp (R-Tenn) ","Tennessee District 03","$826283"
"Jim Nussle (R-Iowa) ","Iowa District 02","$822867"
"Duncan Hunter (R-Calif) ","California District 52","$822324"
"Rod Blagojevich (D-Ill) ","Illinois District 05","$821330"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$813562"
"David Price (D-NC) ","North Carolina District 04","$813309"
"Maurice Hinchey (D-NY) ","New York District 26","$808516"
"Anna Eshoo (D-Calif) ","California District 14","$807567"
"David Dreier (R-Calif) ","California District 28","$805446"
"Neil Abercrombie (D-Hawaii) ","Hawaii District 01","$805055"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$804477"
"Kay Granger (R-Texas) ","Texas District 12","$803593"
"Mark Green (R-Wis) ","Wisconsin District 08","$803158"
"Terry Everett (R-Ala) ","Alabama District 02","$797601"
"Pete King (R-NY) ","New York District 03","$791425"
"James L. Oberstar (D-Minn) ","Minnesota District 08","$788674"
"Gary A. Condit (D-Calif) ","California District 18","$785996"
"Charles Bass (R-NH) ","New Hampshire District 02","$782025"
"John Tanner (D-Tenn) ","Tennessee District 08","$780545"
"Joseph Crowley (D-NY) ","New York District 07","$778327"
"Mike McIntyre (D-NC) ","North Carolina District 07","$774868"
"Tom Udall (D-NM) ","New Mexico District 03","$772927"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$772620"
"Fred Upton (R-Mich) ","Michigan District 06","$771231"
"John B. Larson (D-Conn) ","Connecticut District 01","$768612"
"Jim Ramstad (R-Minn) ","Minnesota District 03","$762585"
"Leonard L. Boswell (D-Iowa) ","Iowa District 03","$757498"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$755389"
"Jerry Lewis (R-Calif) ","California District 40","$751501"
"William L. Clay Jr. (D-Mo) ","Missouri District 01","$750847"
"Dave Camp (R-Mich) ","Michigan District 04","$749482"
"Ted Strickland (D-Ohio) ","Ohio District 06","$745991"
"Robert T. Matsui (D-Calif) ","California District 05","$744829"
"Ed Pastor (D-Ariz) ","Arizona District 02","$743176"
"Ben Cardin (D-Md) ","Maryland District 03","$740708"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$739050"
"Ralph M. Hall (D-Texas) ","Texas District 04","$732869"
"John Hostettler (R-Ind) ","Indiana District 08","$730355"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$726873"
"Steven C. LaTourette (R-Ohio) ","Ohio District 19","$724064"
"Richard E. Neal (D-Mass) ","Massachusetts District 02","$720715"
"Larry Combest (R-Texas) ","Texas District 19","$720317"
"Mac Thornberry (R-Texas) ","Texas District 13","$714078"
"Dan Burton (R-Ind) ","Indiana District 06","$713472"
"Greg Walden (R-Ore) ","Oregon District 02","$712720"
"Wes Watkins (R-Okla) ","Oklahoma District 03","$707712"
"John Shadegg (R-Ariz) ","Arizona District 04","$706496"
"Bob Riley (R-Ala) ","Alabama District 03","$705826"
"Steve Buyer (R-Ind) ","Indiana District 05","$705633"
"Howard P. ""Buck"" McKeon (R-Calif) ","California District 25","$703354"
"Don Manzullo (R-Ill) ","Illinois District 16","$703280"
"Joe Skeen (R-NM) ","New Mexico District 02","$697423"
"James T. Walsh (R-NY) ","New York District 25","$695412"
"Doc Hastings (R-Wash) ","Washington District 04","$694780"
"Wally Herger (R-Calif) ","California District 02","$692904"
"George Radanovich (R-Calif) ","California District 19","$692161"
"Norm Dicks (D-Wash) ","Washington District 06","$688723"
"Bob Goodlatte (R-Va) ","Virginia District 06","$686250"
"John Lewis (D-Ga) ","Georgia District 05","$682137"
"Tim Roemer (D-Ind) ","Indiana District 03","$679009"
"Rob Portman (R-Ohio) ","Ohio District 02","$675656"
"Michael N. Castle (R-Del) ","Delaware District 01","$675048"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$673465"
"Spencer Bachus (R-Ala) ","Alabama District 06","$672429"
"Bob Clement (D-Tenn) ","Tennessee District 05","$671553"
"Bob Filner (D-Calif) ","California District 50","$670149"
"Sherwood Boehlert (R-NY) ","New York District 23","$669267"
"Nick Rahall (D-WVa) ","West Virginia District 03","$668423"
"Tom Allen (D-Maine) ","Maine District 01","$667259"
"Lloyd Doggett (D-Texas) ","Texas District 10","$665996"
"Diana DeGette (D-Colo) ","Colorado District 01","$663802"
"Jerry Kleczka (D-Wis) ","Wisconsin District 04","$662442"
"John W. Olver (D-Mass) ","Massachusetts District 01","$662275"
"Charlie A. Gonzalez (D-Texas) ","Texas District 20","$661255"
"Christopher Cox (R-Calif) ","California District 47","$659468"
"Bernie Sanders (I-Vt) ","Vermont District 01","$656270"
"Ike Skelton (D-Mo) ","Missouri District 04","$651285"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$650468"
"Gene Green (D-Texas) ","Texas District 29","$649362"
"Michael E. Capuano (D-Mass) ","Massachusetts District 08","$648196"
"Hal Rogers (R-Ky) ","Kentucky District 05","$647861"
"Barbara Cubin (R-Wyo) ","Wyoming District 01","$644416"
"Tom Petri (R-Wis) ","Wisconsin District 06","$643944"
"Chris John (D-La) ","Louisiana District 07","$643915"
"Virgil H. Goode Jr (I-Va) ","Virginia District 05","$642701"
"Mac Collins (R-Ga) ","Georgia District 03","$641089"
"Vic Snyder (D-Ark) ","Arkansas District 02","$640016"
"Ron Kind (D-Wis) ","Wisconsin District 03","$637925"
"John Linder (R-Ga) ","Georgia District 11","$636115"
"Lynn Woolsey (D-Calif) ","California District 06","$634080"
"Frank D. Lucas (R-Okla) ","Oklahoma District 06","$633934"
"Karen L. Thurman (D-Fla) ","Florida District 05","$632125"
"John Cooksey (R-La) ","Louisiana District 05","$630524"
"Henry Brown (R-SC) ","South Carolina District 01","$629817"
"Jim McCrery (R-La) ","Louisiana District 04","$628850"
"Jeff Flake (R-Ariz) ","Arizona District 01","$628838"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$619929"
"Ernest J. Istook (R-Okla) ","Oklahoma District 05","$619852"
"Harold E. Ford Jr. (D-Tenn) ","Tennessee District 09","$616520"
"Mike Simpson (R-Idaho) ","Idaho District 02","$609979"
"Randy ""Duke"" Cunningham (R-Calif) ","California District 51","$607657"
"Mary Bono (R-Calif) ","California District 44","$596807"
"Jim Gibbons (R-Nev) ","Nevada District 02","$592777"
"Edward J. Markey (D-Mass) ","Massachusetts District 07","$591089"
"Albert R. Wynn (D-Md) ","Maryland District 04","$590874"
"Deborah Pryce (R-Ohio) ","Ohio District 15","$587530"
"Sam Farr (D-Calif) ","California District 17","$587265"
"Brian Kerns (R-Ind) ","Indiana District 07","$585056"
"Dave Hobson (R-Ohio) ","Ohio District 07","$576253"
"John Conyers Jr. (D-Mich) ","Michigan District 14","$574559"
"Dale E. Kildee (D-Mich) ","Michigan District 09","$570766"
"John J. ""Jimmy"" Duncan Jr. (R-Tenn) ","Tennessee District 02","$568572"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$567334"
"Howard Coble (R-NC) ","North Carolina District 06","$566281"
"John T. Doolittle (R-Calif) ","California District 04","$555081"
"Tom Barrett (D-Wis) ","Wisconsin District 05","$553864"
"Major R. Owens (D-NY) ","New York District 11","$546447"
"Jerry Moran (R-Kan) ","Kansas District 01","$546116"
"Jesse Jackson Jr. (D-Ill) ","Illinois District 02","$545037"
"John E. Sununu (R-NH) ","New Hampshire District 01","$544265"
"Judy Biggert (R-Ill) ","Illinois District 13","$543632"
"Tom Sawyer (D-Ohio) ","Ohio District 14","$539071"
"Tim Holden (D-Pa) ","Pennsylvania District 06","$537708"
"Michael R. McNulty (D-NY) ","New York District 21","$537609"
"Lamar Smith (R-Texas) ","Texas District 21","$536635"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$536455"
"Curt Weldon (R-Pa) ","Pennsylvania District 07","$535713"
"David Phelps (D-Ill) ","Illinois District 19","$531961"
"Frank R. Wolf (R-Va) ","Virginia District 10","$529482"
"Michael Bilirakis (R-Fla) ","Florida District 09","$528472"
"Jim Turner (D-Texas) ","Texas District 02","$527533"
"Zoe Lofgren (D-Calif) ","California District 16","$522757"
"Lynn N. Rivers (D-Mich) ","Michigan District 13","$519664"
"Bill Lipinski (D-Ill) ","Illinois District 03","$519547"
"Henry A. Waxman (D-Calif) ","California District 29","$517643"
"Bob Borski (D-Pa) ","Pennsylvania District 03","$517364"
"Steve Horn (R-Calif) ","California District 38","$516518"
"Cliff Stearns (R-Fla) ","Florida District 06","$515357"
"Solomon P. Ortiz (D-Texas) ","Texas District 27","$513514"
"Tom Lantos (D-Calif) ","California District 12","$510024"
"Julia Carson (D-Ind) ","Indiana District 10","$507667"
"Chris Smith (R-NJ) ","New Jersey District 04","$506195"
"John Baldacci (D-Maine) ","Maine District 02","$505992"
"F. James Sensenbrenner Jr. (R-Wis) ","Wisconsin District 09","$501176"
"Eva M. Clayton (D-NC) ","North Carolina District 01","$497295"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$496742"
"James E. Clyburn (D-SC) ","South Carolina District 06","$495082"
"Tom Osborne (R-Neb) ","Nebraska District 03","$493356"
"Barbara Lee (D-Calif) ","California District 09","$492132"
"Allen Boyd (D-Fla) ","Florida District 02","$491109"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$491072"
"C. W. Bill Young (R-Fla) ","Florida District 10","$489893"
"Tom Latham (R-Iowa) ","Iowa District 05","$489182"
"Gary Miller (R-Calif) ","California District 41","$486670"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$483016"
"Cynthia A. McKinney (D-Ga) ","Georgia District 04","$480336"
"John L. Mica (R-Fla) ","Florida District 07","$478265"
"Mike Doyle (D-Pa) ","Pennsylvania District 18","$477572"
"Nydia M. Velazquez (D-NY) ","New York District 12","$474066"
"Ken Calvert (R-Calif) ","California District 43","$467080"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$466414"
"Barney Frank (D-Mass) ","Massachusetts District 04","$464795"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$462043"
"Peter DeFazio (D-Ore) ","Oregon District 04","$461781"
"Richard Pombo (R-Calif) ","California District 11","$460171"
"Paul E. Gillmor (R-Ohio) ","Ohio District 05","$459798"
"Carolyn Cheeks Kilpatrick (D-Mich) ","Michigan District 15","$455496"
"Frank Mascara (D-Pa) ","Pennsylvania District 20","$454325"
"Louise M. Slaughter (D-NY) ","New York District 28","$454036"
"Dennis J. Kucinich (D-Ohio) ","Ohio District 10","$453499"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$448374"
"Donald M. Payne (D-NJ) ","New Jersey District 10","$448257"
"Pete Visclosky (D-Ind) ","Indiana District 01","$447337"
"Jim Davis (D-Fla) ","Florida District 11","$446481"
"Pete Stark (D-Calif) ","California District 13","$446284"
"Jim Ryun (R-Kan) ","Kansas District 02","$443593"
"Martin Olav Sabo (D-Minn) ","Minnesota District 05","$441092"
"Ron Lewis (R-Ky) ","Kentucky District 02","$437636"
"Grace Napolitano (D-Calif) ","California District 34","$435723"
"Karen McCarthy (D-Mo) ","Missouri District 05","$433185"
"Earl F. Hilliard (D-Ala) ","Alabama District 07","$431146"
"John E. Peterson (R-Pa) ","Pennsylvania District 05","$429260"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$425695"
"Silvestre Reyes (D-Texas) ","Texas District 16","$423147"
"Bob Stump (R-Ariz) ","Arizona District 03","$419796"
"Jo Ann Davis (R-Va) ","Virginia District 01","$412979"
"Nancy Pelosi (D-Calif) ","California District 08","$410465"
"Gregory W. Meeks (D-NY) ","New York District 06","$407355"
"William J. Jefferson (D-La) ","Louisiana District 02","$393367"
"Jim Leach (R-Iowa) ","Iowa District 01","$389098"
"George Miller (D-Calif) ","California District 07","$382248"
"Paul E. Kanjorski (D-Pa) ","Pennsylvania District 11","$382004"
"James V. Hansen (R-Utah) ","Utah District 01","$378034"
"Alcee L. Hastings (D-Fla) ","Florida District 23","$377839"
"Nathan Deal (R-Ga) ","Georgia District 09","$375557"
"Vernon J. Ehlers (R-Mich) ","Michigan District 03","$374505"
"Dan Miller (R-Fla) ","Florida District 13","$369108"
"Jim McDermott (D-Wash) ","Washington District 07","$368877"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$368679"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$367031"
"Kevin Brady (R-Texas) ","Texas District 08","$361532"
"Doug Bereuter (R-Neb) ","Nebraska District 01","$349613"
"Ciro D. Rodriguez (D-Texas) ","Texas District 28","$347888"
"Chris Cannon (R-Utah) ","Utah District 03","$340655"
"Collin C. Peterson (D-Minn) ","Minnesota District 07","$337941"
"Sonny Callahan (R-Ala) ","Alabama District 01","$335839"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$335258"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$330321"
"Danny K. Davis (D-Ill) ","Illinois District 07","$326777"
"Jim DeMint (R-SC) ","South Carolina District 04","$318712"
"Gene Taylor (D-Miss) ","Mississippi District 05","$317625"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$310866"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$304363"
"Lucille Roybal-Allard (D-Calif) ","California District 33","$303188"
"Jim Barcia (D-Mich) ","Michigan District 05","$299898"
"Alan B. Mollohan (D-WVa) ","West Virginia District 01","$294750"
"Bob Schaffer (R-Colo) ","Colorado District 04","$288181"
"John M. McHugh (R-NY) ","New York District 24","$275615"
"Dana Rohrabacher (R-Calif) ","California District 45","$274694"
"Carrie Meek (D-Fla) ","Florida District 17","$270937"
"Robert C. Scott (D-Va) ","Virginia District 03","$255440"
"Stephanie Tubbs Jones (D-Ohio) ","Ohio District 11","$254299"
"Maxine Waters (D-Calif) ","California District 35","$251256"
"Mark E. Souder (R-Ind) ","Indiana District 04","$245921"
"Cass Ballenger (R-NC) ","North Carolina District 10","$238648"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$232299"
"Porter Goss (R-Fla) ","Florida District 14","$225014"
"Wayne T. Gilchrest (R-Md) ","Maryland District 01","$224978"
"George W. Gekas (R-Pa) ","Pennsylvania District 17","$218161"
"Juanita Millender-McDonald (D-Calif) ","California District 37","$210761"
"Jose E. Serrano (D-NY) ","New York District 16","$202394"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$199739"
"William J. Coyne (D-Pa) ","Pennsylvania District 14","$195231"
"Nick Smith (R-Mich) ","Michigan District 07","$192697"
"Bill Jenkins (R-Tenn) ","Tennessee District 01","$168879"
"Ralph Regula (R-Ohio) ","Ohio District 16","$156641"
"Joel Hefley (R-Colo) ","Colorado District 05","$134966"
"Robert A. Underwood (D-Guam) ","Guam District 00","$126492"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$91636"
"Donna Christian-Green (D-VI) ","Virgin Islands District 00","$57299"
