"Representative","Office Running For","Total Raised"
"Adam Schiff (D-Calif) ","California District 27","$4660714"
"Richard A. Gephardt (D-Mo) ","Missouri District 03","$3816891"
"Bob Barr (R-Ga) ","Georgia District 07","$3477160"
"Anne M. Northup (R-Ky) ","Kentucky District 03","$2905544"
"E. Clay Shaw Jr. (R-Fla) ","Florida District 22","$2755056"
"Henry J. Hyde (R-Ill) ","Illinois District 06","$2744677"
"Rush Holt (D-NJ) ","New Jersey District 12","$2686207"
"Mike Honda (D-Calif) ","California District 15","$2532127"
"Ernie Fletcher (R-Ky) ","Kentucky District 06","$2492731"
"Ron Paul (R-Texas) ","Texas District 14","$2413684"
"Dennis Hastert (R-Ill) ","Illinois District 14","$2386942"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$2374205"
"David E. Bonior (D-Mich) ","Michigan District 10","$2336205"
"Lindsey Graham (R-SC) ","South Carolina District 03","$2282199"
"Darrell Issa (R-Calif) ","California District 48","$2282030"
"Mike Ferguson (R-NJ) ","New Jersey District 07","$2280378"
"Heather Wilson (R-NM) ","New Mexico District 01","$2231534"
"Mike Rogers (R-Mich) ","Michigan District 08","$2224233"
"Robert Menendez (D-NJ) ","New Jersey District 13","$2188542"
"Don Sherwood (R-Pa) ","Pennsylvania District 10","$2151217"
"Denny Rehberg (R-Mont) ","Montana District 01","$2146239"
"Loretta Sanchez (D-Calif) ","California District 46","$2145400"
"David Vitter (R-La) ","Louisiana District 01","$2140311"
"Jim Maloney (D-Conn) ","Connecticut District 05","$2086668"
"Mark Kirk (R-Ill) ","Illinois District 10","$2068719"
"Shelley Berkley (D-Nev) ","Nevada District 01","$2067764"
"Jane Harman (D-Calif) ","California District 36","$2048128"
"Phil English (R-Pa) ","Pennsylvania District 21","$2017284"
"Martin Frost (D-Texas) ","Texas District 24","$2016162"
"Jay Inslee (D-Wash) ","Washington District 01","$2009409"
"Carolyn McCarthy (D-NY) ","New York District 04","$2003462"
"Pete Sessions (R-Texas) ","Texas District 05","$1986465"
"Charles B. Rangel (D-NY) ","New York District 15","$1977998"
"Robin Hayes (R-NC) ","North Carolina District 08","$1962007"
"Susan A. Davis (D-Calif) ","California District 49","$1953863"
"Timothy V. Johnson (R-Ill) ","Illinois District 15","$1943630"
"J. C. Watts Jr (R-Okla) ","Oklahoma District 04","$1899601"
"Mark Foley (R-Fla) ","Florida District 16","$1874407"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$1810749"
"Saxby Chambliss (R-Ga) ","Georgia District 08","$1805868"
"Joseph M. Hoeffel (D-Pa) ","Pennsylvania District 13","$1770988"
"Dennis Moore (D-Kan) ","Kansas District 03","$1764264"
"Roy Blunt (R-Mo) ","Missouri District 07","$1758469"
"Nita M. Lowey (D-NY) ","New York District 18","$1758439"
"Cal Dooley (D-Calif) ","California District 20","$1740417"
"Tom Davis (R-Va) ","Virginia District 11","$1737138"
"Jennifer Dunn (R-Wash) ","Washington District 08","$1735156"
"Melissa Hart (R-Pa) ","Pennsylvania District 04","$1729673"
"Johnny Isakson (R-Ga) ","Georgia District 06","$1720066"
"Jim Saxton (R-NJ) ","New Jersey District 03","$1716664"
"Jim Matheson (D-Utah) ","Utah District 02","$1695262"
"Patrick J. Kennedy (D-RI) ","Rhode Island District 01","$1687712"
"David Wu (D-Ore) ","Oregon District 01","$1670733"
"Max Sandlin (D-Texas) ","Texas District 01","$1667970"
"George R. Nethercutt Jr (R-Wash) ","Washington District 05","$1666604"
"Mike Ross (D-Ark) ","Arkansas District 04","$1656793"
"Jim Kolbe (R-Ariz) ","Arizona District 05","$1652089"
"Lois Capps (D-Calif) ","California District 22","$1639838"
