"Representative","Office Running For","Total Raised"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$2357299"
"Dennis Moore (D-Kan) ","Kansas District 03","$2312590"
"Phil Gingrey (R-Ga) ","Georgia District 11","$2288758"
"Nancy L. Johnson (R-Conn) ","Connecticut District 05","$2282416"
"John P. Murtha (D-Pa) ","Pennsylvania District 12","$2271169"
"Mark Foley (R-Fla) ","Florida District 16","$2240001"
"Christopher Shays (R-Conn) ","Connecticut District 04","$2233286"
"Patrick J. Kennedy (D-RI) ","Rhode Island District 01","$2225879"
"David Wu (D-Ore) ","Oregon District 01","$2217063"
"Henry Bonilla (R-Texas) ","Texas District 23","$2204344"
"Tom Davis (R-Va) ","Virginia District 11","$2164488"
"Tom Lantos (D-Calif) ","California District 12","$2128474"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$2121835"
"Denise L. Majette (D-Ga) ","Georgia SenateCurrent office: Georgia District 04","$2084294"
"Steven C. LaTourette (R-Ohio) ","Ohio District 14","$2047534"
"Charles B. Rangel (D-NY) ","New York District 15","$1996022"
"Timothy H. Bishop (D-NY) ","New York District 01","$1990911"
"Jim Matheson (D-Utah) ","Utah District 02","$1966015"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$1935721"
"Darlene Hooley (D-Ore) ","Oregon District 05","$1934156"
"Harold E. Ford Jr (D-Tenn) ","Tennessee District 09","$1919993"
"Allen Boyd (D-Fla) ","Florida District 02","$1903253"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$1896026"
"Steve Pearce (R-NM) ","New Mexico District 02","$1884568"
"Jim Nussle (R-Iowa) ","Iowa District 01","$1881881"
"Joe Knollenberg (R-Mich) ","Michigan District 09","$1827581"
"Ben Chandler (D-Ky) ","Kentucky District 06","$1801703"
"Michael G. Oxley (R-Ohio) ","Ohio District 04","$1788687"
"Mac Collins (R-Ga) ","Georgia SenateCurrent office: Georgia District 08","$1781291"
"Carolyn McCarthy (D-NY) ","New York District 04","$1769151"
"Jim Moran (D-Va) ","Virginia District 08","$1761473"
"Dave Hobson (R-Ohio) ","Ohio District 07","$1751075"
"Mark Kirk (R-Ill) ","Illinois District 10","$1747924"
"Tim Holden (D-Pa) ","Pennsylvania District 17","$1712136"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$1709070"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1702772"
"Max Sandlin (D-Texas) ","Texas District 01","$1700223"
"Ernest J. Istook (R-Okla) ","Oklahoma District 05","$1695532"
"Robin Hayes (R-NC) ","North Carolina District 08","$1693680"
"Sam Graves (R-Mo) ","Missouri District 06","$1691981"
"Bill Thomas (R-Calif) ","California District 22","$1675469"
"Shelley Berkley (D-Nev) ","Nevada District 01","$1653330"
"Spencer Bachus (R-Ala) ","Alabama District 06","$1647636"
"Nita M. Lowey (D-NY) ","New York District 18","$1636465"
"Chris Chocola (R-Ind) ","Indiana District 02","$1629690"
"Baron Hill (D-Ind) ","Indiana District 09","$1625332"
"Steve Israel (D-NY) ","New York District 02","$1621141"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$1604880"
"Rahm Emanuel (D-Ill) ","Illinois District 05","$1597260"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$1595950"
"Jeb Hensarling (R-Texas) ","Texas District 05","$1595840"
"Phil Crane (R-Ill) ","Illinois District 08","$1594634"
"John Kline (R-Minn) ","Minnesota District 02","$1585892"
"E. Clay Shaw Jr. (R-Fla) ","Florida District 22","$1585007"
"Lloyd Doggett (D-Texas) ","Texas District 25Current office: Texas District 10","$1574005"
"Charles H. Taylor (R-NC) ","North Carolina District 11","$1573474"
"Rick Larsen (D-Wash) ","Washington District 02","$1567289"
"Jerry Lewis (R-Calif) ","California District 41","$1562561"
"Rick Boucher (D-Va) ","Virginia District 09","$1560930"
"Leonard L. Boswell (D-Iowa) ","Iowa District 03","$1556335"
"Nancy Pelosi (D-Calif) ","California District 08","$1552921"
"Jerry Weller (R-Ill) ","Illinois District 11","$1551284"
"John Boehner (R-Ohio) ","Ohio District 08","$1544255"
"John D. Dingell (D-Mich) ","Michigan District 15","$1524991"
"Rob Portman (R-Ohio) ","Ohio District 02","$1513132"
"Rush Holt (D-NJ) ","New Jersey District 12","$1502832"
"Adam Schiff (D-Calif) ","California District 29","$1488304"
"Mike Rogers (R-Mich) ","Michigan District 08","$1473630"
"Terry Everett (R-Ala) ","Alabama District 02","$1471270"
"Frank R. Wolf (R-Va) ","Virginia District 10","$1460719"
"Sherwood Boehlert (R-NY) ","New York District 24","$1450844"
"Melissa Hart (R-Pa) ","Pennsylvania District 04","$1445691"
"Bob Ney (R-Ohio) ","Ohio District 18","$1444527"
"John E. Sweeney (R-NY) ","New York District 20","$1398266"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$1374025"
"J. D. Hayworth (R-Ariz) ","Arizona District 05","$1370627"
"Rodney Alexander (R-La) ","Louisiana District 05","$1355844"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$1348882"
"Phil English (R-Pa) ","Pennsylvania District 03","$1338016"
"Lee Terry (R-Neb) ","Nebraska District 02","$1335016"
"Mike Michaud (D-Maine) ","Maine District 02","$1331468"
"Ray LaHood (R-Ill) ","Illinois District 18","$1326583"
"Jim Marshall (D-Ga) ","Georgia District 03","$1325027"
"Barney Frank (D-Mass) ","Massachusetts District 04","$1319498"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$1315012"
"Loretta Sanchez (D-Calif) ","California District 47","$1309610"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$1299627"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$1292841"
"Joseph Crowley (D-NY) ","New York District 07","$1273991"
"Sue Kelly (R-NY) ","New York District 19","$1270930"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$1267369"
"Scott Garrett (R-NJ) ","New Jersey District 05","$1263334"
"Zach Wamp (R-Tenn) ","Tennessee District 03","$1258296"
"Mike Thompson (D-Calif) ","California District 01","$1256758"
"Don Manzullo (R-Ill) ","Illinois District 16","$1253731"
"Pete Visclosky (D-Ind) ","Indiana District 01","$1237315"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$1229326"
"Greg Walden (R-Ore) ","Oregon District 02","$1226113"
"Mike Ross (D-Ark) ","Arkansas District 04","$1218936"
"Ed Royce (R-Calif) ","California District 40","$1215928"
"David R. Obey (D-Wis) ","Wisconsin District 07","$1210575"
"Jim Saxton (R-NJ) ","New Jersey District 03","$1203034"
"Mike Pence (R-Ind) ","Indiana District 06","$1189141"
"David Dreier (R-Calif) ","California District 26","$1185967"
"Jo Bonner (R-Ala) ","Alabama District 01","$1180892"
"Jim McCrery (R-La) ","Louisiana District 04","$1179279"
"Ralph M. Hall (R-Texas) ","Texas District 04","$1178472"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 09","$1161368"
"Brad Miller (D-NC) ","North Carolina District 13","$1159448"
"Jim Kolbe (R-Ariz) ","Arizona District 08","$1159245"
"Richard Baker (R-La) ","Louisiana District 06","$1157497"
"Kenny Hulshof (R-Mo) ","Missouri District 09","$1157497"
"Lincoln Davis (D-Tenn) ","Tennessee District 04","$1149371"
"Charles W. Norwood (R-Ga) ","Georgia District 09","$1145313"
"Jim Gibbons (R-Nev) ","Nevada District 02","$1139202"
"Vito Fossella (R-NY) ","New York District 13","$1124126"
"Mark Udall (D-Colo) ","Colorado District 02","$1122459"
"James L. Oberstar (D-Minn) ","Minnesota District 08","$1121919"
"Christopher Cox (R-Calif) ","California District 48","$1120427"
"Tom Cole (R-Okla) ","Oklahoma District 04","$1115699"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 08","$1111380"
"Lois Capps (D-Calif) ","California District 23","$1109883"
"Fred Upton (R-Mich) ","Michigan District 06","$1100825"
"Richard Pombo (R-Calif) ","California District 11","$1100380"
"Marion Berry (D-Ark) ","Arkansas District 01","$1099239"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1098204"
"David Scott (D-Ga) ","Georgia District 13","$1092033"
"Michael R. Turner (R-Ohio) ","Ohio District 03","$1089580"
"Neil Abercrombie (D-Hawaii) ","Hawaii District 01","$1089528"
"Artur Davis (D-Ala) ","Alabama District 07","$1086372"
"John Carter (R-Texas) ","Texas District 31","$1086204"
"Tom Latham (R-Iowa) ","Iowa District 04","$1074673"
"John M. Shimkus (R-Ill) ","Illinois District 19","$1071896"
"Duncan Hunter (R-Calif) ","California District 52","$1064206"
"Dave Weldon (R-Fla) ","Florida District 15","$1058969"
"Jeb Bradley (R-NH) ","New Hampshire District 01","$1049832"
"Sherrod Brown (D-Ohio) ","Ohio District 13","$1047900"
"Jane Harman (D-Calif) ","California District 36","$1046238"
"Kay Granger (R-Texas) ","Texas District 12","$1040904"
"Mark Green (R-Wis) ","Wisconsin District 08","$1040373"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$1039835"
"William J. Jefferson (D-La) ","Louisiana District 02","$1034165"
"Todd Tiahrt (R-Kan) ","Kansas District 04","$1030804"
"Sue Myrick (R-NC) ","North Carolina District 09","$1030424"
"Ron Kind (D-Wis) ","Wisconsin District 03","$1028469"
"Bob Goodlatte (R-Va) ","Virginia District 06","$1022701"
"Deborah Pryce (R-Ohio) ","Ohio District 15","$1015362"
"Chris Bell (D-Texas) ","Texas District 09Current office: Texas District 25","$1013129"
"Jim Ramstad (R-Minn) ","Minnesota District 03","$1011873"
"John Sullivan (R-Okla) ","Oklahoma District 01","$1002859"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$996961"
"Michael N. Castle (R-Del) ","Delaware District 01","$992240"
"Tom Tancredo (R-Colo) ","Colorado District 06","$982522"
"Sander Levin (D-Mich) ","Michigan District 12","$980157"
"Eliot L. Engel (D-NY) ","New York District 17","$976712"
"Jim Ryun (R-Kan) ","Kansas District 02","$976505"
"Lamar Smith (R-Texas) ","Texas District 21","$973780"
"James T. Walsh (R-NY) ","New York District 25","$971887"
"Brian Baird (D-Wash) ","Washington District 03","$965399"
"Howard P. ""Buck"" McKeon (R-Calif) ","California District 25","$961848"
"Sam Johnson (R-Texas) ","Texas District 03","$959576"
"Norm Dicks (D-Wash) ","Washington District 06","$956738"
"Candice S. Miller (R-Mich) ","Michigan District 10","$956350"
"Anna Eshoo (D-Calif) ","California District 14","$955915"
"Alcee L. Hastings (D-Fla) ","Florida District 23","$955197"
"David Price (D-NC) ","North Carolina District 04","$954160"
"Carolyn B. Maloney (D-NY) ","New York District 14","$943608"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$942790"
"Barbara Cubin (R-Wyo) ","Wyoming District 01","$942028"
"Ben Cardin (D-Md) ","Maryland District 03","$941426"
"John T. Doolittle (R-Calif) ","California District 04","$937914"
"Bob Etheridge (D-NC) ","North Carolina District 02","$935538"
"Jay Inslee (D-Wash) ","Washington District 01","$933222"
"Tom Feeney (R-Fla) ","Florida District 24","$932254"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$924936"
"James P. McGovern (D-Mass) ","Massachusetts District 03","$924147"
"Ginny Brown-Waite (R-Fla) ","Florida District 05","$923134"
"Michael Burgess (R-Texas) ","Texas District 26","$918153"
"Curt Weldon (R-Pa) ","Pennsylvania District 07","$894581"
"Jerrold Nadler (D-NY) ","New York District 08","$894398"
"Joe Wilson (R-SC) ","South Carolina District 02","$891295"
"Jesse Jackson Jr. (D-Ill) ","Illinois District 02","$886995"
"J. Randy Forbes (R-Va) ","Virginia District 04","$884368"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$876886"
"Vic Snyder (D-Ark) ","Arkansas District 02","$874220"
"Charles W. ""Chip"" Pickering Jr. (R-Miss) ","Mississippi District 03","$873579"
"James C. Greenwood (R-Pa) ","Pennsylvania District 08","$871455"
"Barbara Lee (D-Calif) ","California District 09","$871025"
"Darrell Issa (R-Calif) ","California District 49","$871009"
"Paul E. Kanjorski (D-Pa) ","Pennsylvania District 11","$863432"
"Don Sherwood (R-Pa) ","Pennsylvania District 10","$859509"
"Dave Camp (R-Mich) ","Michigan District 04","$853405"
"Mike McIntyre (D-NC) ","North Carolina District 07","$849112"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$848124"
"Todd Akin (R-Mo) ","Missouri District 02","$847249"
"Jack Kingston (R-Ga) ","Georgia District 01","$845894"
"Ed Pastor (D-Ariz) ","Arizona District 04","$845637"
"George Radanovich (R-Calif) ","California District 19","$845103"
"Dennis Cardoza (D-Calif) ","California District 18","$840539"
"Gil Gutknecht (R-Minn) ","Minnesota District 01","$839764"
"Michael E. Capuano (D-Mass) ","Massachusetts District 08","$839302"
"Adam H. Putnam (R-Fla) ","Florida District 12","$837221"
"Bernie Sanders (I-Vt) ","Vermont District 01","$836307"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$833160"
"Randy ""Duke"" Cunningham (R-Calif) ","California District 50","$832173"
"John M. Spratt Jr. (D-SC) ","South Carolina District 05","$830981"
"Thad McCotter (R-Mich) ","Michigan District 11","$830068"
"Bud Cramer (D-Ala) ","Alabama District 05","$820378"
"Virgil H. Goode Jr. (R-Va) ","Virginia District 05","$818460"
"Ellen O. Tauscher (D-Calif) ","California District 10","$817961"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$816924"
"Brad Sherman (D-Calif) ","California District 27","$813351"
"John Shadegg (R-Ariz) ","Arizona District 03","$812402"
"Ciro D. Rodriguez (D-Texas) ","Texas District 28","$812175"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$810195"
"Tom Allen (D-Maine) ","Maine District 01","$807351"
"F. James Sensenbrenner Jr. (R-Wis) ","Wisconsin District 05","$806716"
"Trent Franks (R-Ariz) ","Arizona District 02","$804990"
"John Linder (R-Ga) ","Georgia District 07","$796208"
"Devin Nunes (R-Calif) ","California District 21","$795304"
"Anthony D. Weiner (D-NY) ","New York District 09","$793017"
"Linda Sanchez (D-Calif) ","California District 39","$786141"
"Xavier Becerra (D-Calif) ","California District 31","$785953"
"Lane Evans (D-Ill) ","Illinois District 17","$780972"
"Jennifer Dunn (R-Wash) ","Washington District 08","$776049"
"Michael Bilirakis (R-Fla) ","Florida District 09","$772272"
"Edolphus Towns (D-NY) ","New York District 10","$769827"
"Ron Lewis (R-Ky) ","Kentucky District 02","$768504"
"Adam Smith (D-Wash) ","Washington District 09","$763390"
"Bart Stupak (D-Mich) ","Michigan District 01","$762853"
"Dan Burton (R-Ind) ","Indiana District 05","$761443"
"Jim Langevin (D-RI) ","Rhode Island District 02","$758683"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$756391"
"Albert R. Wynn (D-Md) ","Maryland District 04","$749441"
"Dana Rohrabacher (R-Calif) ","California District 46","$748974"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$748910"
"Bob Filner (D-Calif) ","California District 51","$748440"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$746971"
"Ed Case (D-Hawaii) ","Hawaii District 02","$745108"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$743803"
"Robert Wexler (D-Fla) ","Florida District 19","$743428"
"Charles Bass (R-NH) ","New Hampshire District 02","$740299"
"Howard L. Berman (D-Calif) ","California District 28","$735041"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$735034"
"Kevin Brady (R-Texas) ","Texas District 08","$732619"
"Gary Ackerman (D-NY) ","New York District 05","$728409"
"C. L. ""Butch"" Otter (R-Idaho) ","Idaho District 01","$724712"
"Jerry Moran (R-Kan) ","Kansas District 01","$724488"
"Gresham Barrett (R-SC) ","South Carolina District 03","$724210"
"Cliff Stearns (R-Fla) ","Florida District 06","$716968"
"Charlie A. Gonzalez (D-Texas) ","Texas District 20","$715919"
"Maurice Hinchey (D-NY) ","New York District 22","$715337"
"Nydia M. Velazquez (D-NY) ","New York District 12","$709017"
"Ed Schrock (R-Va) ","Virginia District 02","$704897"
"Ken Calvert (R-Calif) ","California District 44","$704410"
"Tom Petri (R-Wis) ","Wisconsin District 06","$698042"
"John Boozman (R-Ark) ","Arkansas District 03","$697084"
"Ike Skelton (D-Mo) ","Missouri District 04","$696308"
"James E. Clyburn (D-SC) ","South Carolina District 06","$692448"
"Doc Hastings (R-Wash) ","Washington District 04","$691592"
"Billy Tauzin (R-La) ","Louisiana District 03","$691338"
"Carolyn Cheeks Kilpatrick (D-Mich) ","Michigan District 13","$690156"
"Betty McCollum (D-Minn) ","Minnesota District 04","$687907"
"Gregory W. Meeks (D-NY) ","New York District 06","$679887"
"Wally Herger (R-Calif) ","California District 02","$673903"
"Sanford D. Bishop Jr. (D-Ga) ","Georgia District 02","$671352"
"John Tanner (D-Tenn) ","Tennessee District 08","$670330"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$670111"
"Denny Rehberg (R-Mont) ","Montana District 01","$668207"
"Raul M. Grijalva (D-Ariz) ","Arizona District 07","$667936"
"Peter DeFazio (D-Ore) ","Oregon District 04","$664808"
"Gene Green (D-Texas) ","Texas District 29","$662698"
"Steve Buyer (R-Ind) ","Indiana District 04","$661525"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$660254"
"Elton Gallegly (R-Calif) ","California District 24","$656534"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$654746"
"Donald M. Payne (D-NJ) ","New Jersey District 10","$654270"
"Jim Davis (D-Fla) ","Florida District 11","$648911"
"Jeff Flake (R-Ariz) ","Arizona District 06","$644789"
"Hal Rogers (R-Ky) ","Kentucky District 05","$643981"
"John B. Larson (D-Conn) ","Connecticut District 01","$643746"
"Henry J. Hyde (R-Ill) ","Illinois District 06","$643057"
"Gary Miller (R-Calif) ","California District 42","$640276"
"Chris Cannon (R-Utah) ","Utah District 03","$640259"
"Walter B. Jones Jr. (R-NC) ","North Carolina District 03","$639986"
"Judy Biggert (R-Ill) ","Illinois District 13","$632733"
"Diana DeGette (D-Colo) ","Colorado District 01","$632594"
"Chris Smith (R-NJ) ","New Jersey District 04","$629395"
"John Culberson (R-Texas) ","Texas District 07","$628783"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$620058"
"Ric Keller (R-Fla) ","Florida District 08","$617533"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$616781"
"Pete King (R-NY) ","New York District 03","$610412"
"Steve Chabot (R-Ohio) ","Ohio District 01","$610087"
"Mary Bono (R-Calif) ","California District 45","$608781"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$603046"
"Stephanie Tubbs Jones (D-Ohio) ","Ohio District 11","$602038"
"Sam Farr (D-Calif) ","California District 17","$596520"
"Tim Ryan (D-Ohio) ","Ohio District 17","$595600"
"Silvestre Reyes (D-Texas) ","Texas District 16","$589378"
"Julia Carson (D-Ind) ","Indiana District 07","$586641"
"Louise M. Slaughter (D-NY) ","New York District 28","$584409"
"Jack Quinn (R-NY) ","New York District 27","$583226"
"Ander Crenshaw (R-Fla) ","Florida District 04","$581117"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$579199"
"Hilda L. Solis (D-Calif) ","California District 32","$578260"
"Solomon P. Ortiz (D-Texas) ","Texas District 27","$577271"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$573294"
"George Miller (D-Calif) ","California District 07","$573259"
"Lucille Roybal-Allard (D-Calif) ","California District 34","$573212"
"Richard E. Neal (D-Mass) ","Massachusetts District 02","$572781"
"Ralph Regula (R-Ohio) ","Ohio District 16","$571658"
"John J. ""Jimmy"" Duncan Jr. (R-Tenn) ","Tennessee District 02","$568331"
"John W. Olver (D-Mass) ","Massachusetts District 01","$568024"
"Henry A. Waxman (D-Calif) ","California District 30","$564007"
"Alan B. Mollohan (D-WVa) ","West Virginia District 01","$562552"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$561305"
"John Conyers Jr. (D-Mich) ","Michigan District 14","$560101"
"Martin Olav Sabo (D-Minn) ","Minnesota District 05","$556935"
"Kendrick B. Meek (D-Fla) ","Florida District 17","$556646"
"C. W. Bill Young (R-Fla) ","Florida District 10","$556179"
"Mike Simpson (R-Idaho) ","Idaho District 02","$556129"
"Lynn Woolsey (D-Calif) ","California District 06","$554911"
"Roger Wicker (R-Miss) ","Mississippi District 01","$547547"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$544127"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$542444"
"Steven A. King (R-Iowa) ","Iowa District 05","$539970"
"Nick Rahall (D-WVa) ","West Virginia District 03","$539122"
"Timothy V. Johnson (R-Ill) ","Illinois District 15","$533478"
"Zoe Lofgren (D-Calif) ","California District 16","$533196"
"Dale E. Kildee (D-Mich) ","Michigan District 05","$531697"
"Jim Leach (R-Iowa) ","Iowa District 02","$528832"
"Wayne T. Gilchrest (R-Md) ","Maryland District 01","$527450"
"Ron Paul (R-Texas) ","Texas District 14","$525793"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$524622"
"Mike Honda (D-Calif) ","California District 15","$524602"
"Ted Strickland (D-Ohio) ","Ohio District 06","$512410"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$508883"
"John E. Peterson (R-Pa) ","Pennsylvania District 05","$507793"
"Robert C. Scott (D-Va) ","Virginia District 03","$498894"
"John M. McHugh (R-NY) ","New York District 23","$498029"
"Tom Udall (D-NM) ","New Mexico District 03","$493951"
"Joe Baca (D-Calif) ","California District 43","$492473"
"Henry Brown (R-SC) ","South Carolina District 01","$488256"
"Danny K. Davis (D-Ill) ","Illinois District 07","$483851"
"John Hostettler (R-Ind) ","Indiana District 08","$480210"
"Susan A. Davis (D-Calif) ","California District 53","$476368"
"John L. Mica (R-Fla) ","Florida District 07","$472505"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$469975"
"Major R. Owens (D-NY) ","New York District 11","$461212"
"Ken Lucas (D-Ky) ","Kentucky District 04","$454701"
"Corrine Brown (D-Fla) ","Florida District 03","$453938"
"Jo Ann Davis (R-Va) ","Virginia District 01","$450731"
"Paul E. Gillmor (R-Ohio) ","Ohio District 05","$442816"
"Rob Bishop (R-Utah) ","Utah District 01","$437648"
"Collin C. Peterson (D-Minn) ","Minnesota District 07","$422906"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$422441"
"John Lewis (D-Ga) ","Georgia District 05","$421030"
"Howard Coble (R-NC) ","North Carolina District 06","$419933"
"/members-of-congress/summary?cid=N00003572&cycle=2004 ","Ohio District 10","$415359"
"Vernon J. Ehlers (R-Mich) ","Michigan District 03","$404278"
"Gene Taylor (D-Miss) ","Mississippi District 04","$398406"
"Maxine Waters (D-Calif) ","California District 35","$390923"
"Nathan Deal (R-Ga) ","Georgia District 10","$388152"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$381325"
"Jim McDermott (D-Wash) ","Washington District 07","$379513"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$379015"
"Jeff Miller (R-Fla) ","Florida District 01","$377378"
"Pete Stark (D-Calif) ","California District 13","$370608"
"William L. Clay Jr. (D-Mo) ","Missouri District 01","$369305"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$353968"
"Mac Thornberry (R-Texas) ","Texas District 13","$351862"
"Grace Napolitano (D-Calif) ","California District 38","$350930"
"Juanita Millender-McDonald (D-Calif) ","California District 37","$321862"
"Michael R. McNulty (D-NY) ","New York District 21","$315918"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$303631"
"Amo Houghton (R-NY) ","New York District 29","$263021"
"Diane E. Watson (D-Calif) ","California District 33","$261192"
"Mark E. Souder (R-Ind) ","Indiana District 03","$256325"
"Anibal Acevedo-Vila (3-PR) ","Puerto Rico District 00","$247600"
"Jose E. Serrano (D-NY) ","New York District 16","$244716"
"Jim Turner (D-Texas) ","Texas District 02","$215678"
"Bill Jenkins (R-Tenn) ","Tennessee District 01","$214250"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$212633"
"Bill Lipinski (D-Ill) ","Illinois District 03","$212619"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$208208"
"Doug Ose (R-Calif) ","California District 03","$187158"
"Scott McInnis (R-Colo) ","Colorado District 03","$182732"
"Donna Christian-Green (D-VI) ","Virgin Islands District 00","$176030"
"Jerry Kleczka (D-Wis) ","Wisconsin District 04","$164357"
"Cass Ballenger (R-NC) ","North Carolina District 10","$133820"
"Tom Osborne (R-Neb) ","Nebraska District 03","$119560"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$117413"
"Joel Hefley (R-Colo) ","Colorado District 05","$100276"
"Karen McCarthy (D-Mo) ","Missouri District 05","$99687"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$99222"
"Doug Bereuter (R-Neb) ","Nebraska District 01","$52386"
"Nick Smith (R-Mich) ","Michigan District 07","$7609"
"Porter Goss (R-Fla) ","Florida District 14","$4"
"Cal Dooley (D-Calif) ","California District 20","$0"
"/members-of-congress/summary?cid=N00005037&cycle=2004 ","","$0"
