"Representative","Office Running For","Total Raised"
"Richard A. Gephardt (D) ","2004 Presidential Race","$21691129"
"Dennis J. Kucinich (D-Ohio) ","Puerto Rico District esCurrent office: Ohio District 10","$13142082"
"Richard Burr (R-NC) ","North Carolina SenateCurrent office: North Carolina District 05","$11302395"
"James W. DeMint (R-SC) ","South Carolina SenateCurrent office: South Carolina District 04","$9042388"
"George R. Nethercutt Jr. (R-Wash) ","Washington SenateCurrent office: Washington District 05","$8011311"
"Johnny Isakson (R-Ga) ","Georgia SenateCurrent office: Georgia District 06","$7460343"
"David Vitter (R-La) ","Louisiana SenateCurrent office: Louisiana District 01","$7192566"
"Brad R. Carson (D-Okla) ","Oklahoma SenateCurrent office: Oklahoma District 02","$6287637"
"Dennis Hastert (R-Ill) ","Illinois District 14","$4862029"
"Chris John (D-La) ","Louisiana SenateCurrent office: Louisiana District 07","$4721987"
"Joseph M. Hoeffel (D-Pa) ","Pennsylvania SenateCurrent office: Pennsylvania District 13","$4689980"
"Martin Frost (D-Texas) ","Texas District 32Current office: Texas District 24","$4623104"
"Pete Sessions (R-Texas) ","Texas District 32","$4504380"
"Stephanie Herseth (D-SD) ","South Dakota District 01","$4031016"
"Robert Menendez (D-NJ) ","New Jersey District 13","$3624587"
"Katherine Harris (R-Fla) ","Florida District 13","$3582920"
"Peter Deutsch (D-Fla) ","Florida SenateCurrent office: Florida District 20","$3457906"
"Marilyn Musgrave (R-Colo) ","Colorado District 04","$3422482"
"Heather Wilson (R-NM) ","New Mexico District 01","$3395281"
"Anne M. Northup (R-Ky) ","Kentucky District 03","$3339733"
"Marty Meehan (D-Mass) ","Massachusetts District 05","$3170733"
"Randy Neugebauer (R-Texas) ","Texas District 19","$2994489"
"Bob Beauprez (R-Colo) ","Colorado District 07","$2967373"
"Tom DeLay (R-Texas) ","Texas District 22","$2909844"
"Edward J. Markey (D-Mass) ","Massachusetts District 07","$2840650"
"Max Burns (R-Ga) ","Georgia District 12","$2796150"
"Mike Ferguson (R-NJ) ","New Jersey District 07","$2784280"
"Jon Porter (R-Nev) ","Nevada District 03","$2762871"
"Roy Blunt (R-Mo) ","Missouri District 07","$2681746"
"Chet Edwards (D-Texas) ","Texas District 17Current office: Texas District 11","$2628693"
"Mark Kennedy (R-Minn) ","Minnesota District 06","$2548403"
"Rob Simmons (R-Conn) ","Connecticut District 02","$2539577"
"Joe Barton (R-Texas) ","Texas District 06","$2517071"
"Don Young (R-Alaska) ","Alaska District 01","$2482929"
"Eric Cantor (R-Va) ","Virginia District 07","$2472066"
"Charles W. Stenholm (D-Texas) ","Texas District 19Current office: Texas District 17","$2420674"
"Nick Lampson (D-Texas) ","Texas District 02Current office: Texas District 09","$2381206"
"Tom Reynolds (R-NY) ","New York District 26","$2361692"
"Rick Renzi (R-Ariz) ","Arizona District 01","$2358748"
