"Representative","Office Running For","Total Raised"
"Harold E. Ford Jr (D-Tenn) ","Tennessee SenateCurrent office: Tennessee District 09","$14303967"
"Mark Kennedy (R-Minn) ","Minnesota SenateCurrent office: Minnesota District 06","$9741224"
"Sherrod Brown (D-Ohio) ","Ohio SenateCurrent office: Ohio District 13","$8937004"
"Ben Cardin (D-Md) ","Maryland SenateCurrent office: Maryland District 03","$8739737"
"Katherine Harris (R-Fla) ","Florida SenateCurrent office: Florida District 13","$8666803"
"Bernie Sanders (I-Vt) ","Vermont SenateCurrent office: Vermont District 01","$5554466"
"Dennis Hastert (R-Ill) ","Illinois District 14","$5064847"
"Heather Wilson (R-NM) ","New Mexico District 01","$4904809"
"E. Clay Shaw Jr. (R-Fla) ","Florida District 22","$4707676"
"Richard Pombo (R-Calif) ","California District 11","$4547779"
"Tom Reynolds (R-NY) ","New York District 26","$4337295"
"Melissa Bean (D-Ill) ","Illinois District 08","$4337073"
"Deborah Pryce (R-Ohio) ","Ohio District 15","$4264037"
"Geoff Davis (R-Ky) ","Kentucky District 04","$4198788"
"Charles H. Taylor (R-NC) ","North Carolina District 11","$4143723"
"Nancy L. Johnson (R-Conn) ","Connecticut District 05","$4055866"
"Christopher Shays (R-Conn) ","Connecticut District 04","$3827216"
"Henry Bonilla (R-Texas) ","Texas District 23","$3600091"
"Anne M. Northup (R-Ky) ","Kentucky District 03","$3397906"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$3353282"
"Eric Cantor (R-Va) ","Virginia District 07","$3310828"
"Chris Chocola (R-Ind) ","Indiana District 02","$3247573"
"John Boehner (R-Ohio) ","Ohio District 08","$3200084"
"Chet Edwards (D-Texas) ","Texas District 17","$3194165"
"Mark Kirk (R-Ill) ","Illinois District 10","$3168367"
"Joe Barton (R-Texas) ","Texas District 06","$3164154"
"Roy Blunt (R-Mo) ","Missouri District 07","$3162484"
"Marilyn Musgrave (R-Colo) ","Colorado District 04","$3160640"
"Rob Simmons (R-Conn) ","Connecticut District 02","$3112876"
"Dave Reichert (R-Wash) ","Washington District 08","$3039766"
"Jon Porter (R-Nev) ","Nevada District 03","$3015397"
"Michael G. Fitzpatrick (R-Pa) ","Pennsylvania District 08","$3009937"
"John E. Sweeney (R-NY) ","New York District 20","$2956197"
"J. D. Hayworth (R-Ariz) ","Arizona District 05","$2947388"
"Mike Ferguson (R-NJ) ","New Jersey District 07","$2932480"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$2788236"
"Tom Davis (R-Va) ","Virginia District 11","$2784636"
"John P. Murtha (D-Pa) ","Pennsylvania District 12","$2760857"
