"Representative","Office Running For","Total Raised"
"Curt Weldon (R-Pa) ","Pennsylvania District 07","$2752353"
"Michael E. Sodrel (R-Ind) ","Indiana District 09","$2728270"
"Steve Chabot (R-Ohio) ","Ohio District 01","$2669976"
"Joe Knollenberg (R-Mich) ","Michigan District 09","$2652836"
"Charles J. Melancon (D-La) ","Louisiana District 03","$2641846"
"Jim McCrery (R-La) ","Louisiana District 04","$2606023"
"Brian P. Bilbray (R-Calif) ","California District 50","$2559686"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$2500568"
"John Barrow (D-Ga) ","Georgia District 12","$2489080"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$2440788"
"Robin Hayes (R-NC) ","North Carolina District 08","$2438745"
"David Dreier (R-Calif) ","California District 26","$2357846"
"John T. Doolittle (R-Calif) ","California District 04","$2354786"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$2354470"
"Thelma Drake (R-Va) ","Virginia District 02","$2348037"
"John M. Spratt Jr. (D-SC) ","South Carolina District 05","$2315149"
"Doris O. Matsui (D-Calif) ","California District 05","$2297570"
"Sue Kelly (R-NY) ","New York District 19","$2293809"
"Bobby Jindal (R-La) ","Louisiana District 01","$2279864"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$2277594"
"Dennis Moore (D-Kan) ","Kansas District 03","$2240158"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$2218353"
"Leonard L. Boswell (D-Iowa) ","Iowa District 03","$2147051"
"John Campbell (R-Calif) ","California District 48","$2140958"
"Don Sherwood (R-Pa) ","Pennsylvania District 10","$2126329"
"Melissa Hart (R-Pa) ","Pennsylvania District 04","$2124719"
"Rick Renzi (R-Ariz) ","Arizona District 01","$2110744"
"John Salazar (D-Colo) ","Colorado District 03","$2028066"
"Charles B. Rangel (D-NY) ","New York District 15","$1995574"
"Jerry Weller (R-Ill) ","Illinois District 11","$1993355"
"Patrick J. Kennedy (D-RI) ","Rhode Island District 01","$1962230"
"Dave Hobson (R-Ohio) ","Ohio District 07","$1960807"
"Jim Marshall (D-Ga) ","Georgia District 08Current office: Georgia District 03","$1953070"
"Jean Schmidt (R-Ohio) ","Ohio District 02","$1944434"
"Tom Price (R-Ga) ","Georgia District 06","$1921854"
"Don Young (R-Alaska) ","Alaska District 01","$1919782"
"Albio Sires (D-NJ) ","New Jersey District 13","$1901805"
"Pete Sessions (R-Texas) ","Texas District 32","$1891843"
"Barney Frank (D-Mass) ","Massachusetts District 04","$1872924"
"Jim Matheson (D-Utah) ","Utah District 02","$1860573"
"Cathy McMorris (R-Wash) ","Washington District 05","$1851062"
"Darlene Hooley (D-Ore) ","Oregon District 05","$1819523"
"Bob Filner (D-Calif) ","California District 51","$1805969"
"Tom Tancredo (R-Colo) ","Colorado District 06","$1781975"
"Brad Miller (D-NC) ","North Carolina District 13","$1771007"
"Mike Thompson (D-Calif) ","California District 01","$1747991"
"Shelley Berkley (D-Nev) ","Nevada District 01","$1742767"
"Charles W. Boustany Jr (R-La) ","Louisiana District 07","$1740419"
"Joseph Crowley (D-NY) ","New York District 07","$1738323"
"Frank R. Wolf (R-Va) ","Virginia District 10","$1735555"
"Henry Cuellar (D-Texas) ","Texas District 28","$1718752"
"Ron Lewis (R-Ky) ","Kentucky District 02","$1707710"
"Nancy Pelosi (D-Calif) ","California District 08","$1679511"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1676534"
"Jerry Lewis (R-Calif) ","California District 41","$1661101"
"Spencer Bachus (R-Ala) ","Alabama District 06","$1638815"
"Alan B. Mollohan (D-WVa) ","West Virginia District 01","$1622991"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$1609248"
"Joe Schwarz (R-Mich) ","Michigan District 07","$1608883"
"Steven C. LaTourette (R-Ohio) ","Ohio District 14","$1605878"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$1591806"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$1565234"
"John D. Dingell (D-Mich) ","Michigan District 15","$1557064"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$1549238"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$1544024"
"Mike Pence (R-Ind) ","Indiana District 06","$1535469"
"Stephanie Herseth Sandlin (D-SD) ","South Dakota District 01","$1525606"
"Ed Royce (R-Calif) ","California District 40","$1520392"
"Mark Udall (D-Colo) ","Colorado District 02","$1512865"
"Ron Paul (R-Texas) ","Texas District 14","$1508073"
"Kenny Hulshof (R-Mo) ","Missouri District 09","$1507577"
"Steve Israel (D-NY) ","New York District 02","$1502557"
"Mary Bono (R-Calif) ","California District 45","$1496456"
"John Kline (R-Minn) ","Minnesota District 02","$1495470"
"Vito Fossella (R-NY) ","New York District 13","$1488053"
"Mike Rogers (R-Mich) ","Michigan District 08","$1487893"
"Pete King (R-NY) ","New York District 03","$1474510"
"Jeb Hensarling (R-Texas) ","Texas District 05","$1472926"
"Rush Holt (D-NJ) ","New Jersey District 12","$1465207"
"Patrick McHenry (R-NC) ","North Carolina District 10","$1464716"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$1462674"
"Rick Larsen (D-Wash) ","Washington District 02","$1456945"
"Charles W. Norwood (R-Ga) ","Georgia District 10Current office: Georgia District 09","$1453284"
"John R. Kuhl Jr (R-NY) ","New York District 29","$1450958"
"Carolyn McCarthy (D-NY) ","New York District 04","$1441801"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$1435191"
"David Wu (D-Ore) ","Oregon District 01","$1432946"
"Rick Boucher (D-Va) ","Virginia District 09","$1422762"
"Steve Pearce (R-NM) ","New Mexico District 02","$1420871"
"Virginia Foxx (R-NC) ","North Carolina District 05","$1408198"
"Richard Baker (R-La) ","Louisiana District 06","$1408132"
"Phil English (R-Pa) ","Pennsylvania District 03","$1407732"
"Timothy H. Bishop (D-NY) ","New York District 01","$1400902"
"Lynn Woolsey (D-Calif) ","California District 06","$1400103"
"James T. Walsh (R-NY) ","New York District 25","$1396424"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 08","$1389546"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$1375701"
"Tom Feeney (R-Fla) ","Florida District 24","$1375589"
"Pete Visclosky (D-Ind) ","Indiana District 01","$1374303"
"James L. Oberstar (D-Minn) ","Minnesota District 08","$1368865"
"Loretta Sanchez (D-Calif) ","California District 47","$1364455"
"Ed Case (D-Hawaii) ","Hawaii SenateCurrent office: Hawaii District 02","$1364411"
"Gil Gutknecht (R-Minn) ","Minnesota District 01","$1364284"
"Jim Saxton (R-NJ) ","New Jersey District 03","$1364031"
"Phil Gingrey (R-Ga) ","Georgia District 11","$1360287"
"Greg Walden (R-Ore) ","Oregon District 02","$1349417"
"Nita M. Lowey (D-NY) ","New York District 18","$1344129"
"Jim Moran (D-Va) ","Virginia District 08","$1339440"
"Mike Ross (D-Ark) ","Arkansas District 04","$1334109"
"Lamar Smith (R-Texas) ","Texas District 21","$1332470"
"Edolphus Towns (D-NY) ","New York District 10","$1330386"
"Zach Wamp (R-Tenn) ","Tennessee District 03","$1326997"
"Rodney Alexander (R-La) ","Louisiana District 05","$1311468"
"Marion Berry (D-Ark) ","Arkansas District 01","$1295565"
"Rahm Emanuel (D-Ill) ","Illinois District 05","$1287804"
"Sue Myrick (R-NC) ","North Carolina District 09","$1287147"
"Ric Keller (R-Fla) ","Florida District 08","$1285096"
"Barbara Cubin (R-Wyo) ","Wyoming District 01","$1284570"
"Charles Wieder Dent (R-Pa) ","Pennsylvania District 15","$1282680"
"William J. Jefferson (D-La) ","Louisiana District 02","$1276092"
"Kay Granger (R-Texas) ","Texas District 12","$1274755"
"Michael N. Castle (R-Del) ","Delaware District 01","$1267040"
"Russ Carnahan (D-Mo) ","Missouri District 03","$1263763"
"Brad Sherman (D-Calif) ","California District 27","$1262634"
"Randy Neugebauer (R-Texas) ","Texas District 19","$1257333"
"Howard P. ""Buck"" McKeon (R-Calif) ","California District 25","$1253498"
"Charles W. ""Chip"" Pickering Jr. (R-Miss) ","Mississippi District 03","$1253264"
"Lynn A. Westmoreland (R-Ga) ","Georgia District 03Current office: Georgia District 08","$1238598"
"Fred Upton (R-Mich) ","Michigan District 06","$1237450"
"Charles Bass (R-NH) ","New Hampshire District 02","$1228541"
"Brian M. Higgins (D-NY) ","New York District 27","$1227884"
"Ander Crenshaw (R-Fla) ","Florida District 04","$1223900"
"David Scott (D-Ga) ","Georgia District 13","$1218679"
"Sam Graves (R-Mo) ","Missouri District 06","$1218547"
"Dave Camp (R-Mich) ","Michigan District 04","$1215951"
"Bob Goodlatte (R-Va) ","Virginia District 06","$1212609"
"John M. Shimkus (R-Ill) ","Illinois District 19","$1212017"
"David R. Obey (D-Wis) ","Wisconsin District 07","$1207763"
"Denny Rehberg (R-Mont) ","Montana District 01","$1205015"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$1204671"
"Adam Schiff (D-Calif) ","California District 29","$1200905"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$1190331"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$1180687"
"Carolyn B. Maloney (D-NY) ","New York District 14","$1179894"
"Ray LaHood (R-Ill) ","Illinois District 18","$1174538"
"Don Manzullo (R-Ill) ","Illinois District 16","$1173279"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 09","$1170450"
"Chris Cannon (R-Utah) ","Utah District 03","$1168740"
"Sam Johnson (R-Texas) ","Texas District 03","$1167853"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$1165512"
"Scott Garrett (R-NJ) ","New Jersey District 05","$1158306"
"Devin Nunes (R-Calif) ","California District 21","$1156518"
"Michael McCaul (R-Texas) ","Texas District 10","$1155543"
"Connie Mack (R-Fla) ","Florida District 14","$1149296"
"George Radanovich (R-Calif) ","California District 19","$1147987"
"Jeffrey Lane Fortenberry (R-Neb) ","Nebraska District 01","$1144271"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1138224"
"James E. Clyburn (D-SC) ","South Carolina District 06","$1134696"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$1133495"
"Jim Ryun (R-Kan) ","Kansas District 02","$1132890"
"Tom Latham (R-Iowa) ","Iowa District 04","$1131896"
"Jack Kingston (R-Ga) ","Georgia District 01","$1129762"
"Dan Boren (D-Okla) ","Oklahoma District 02","$1125662"
"Lee Terry (R-Neb) ","Nebraska District 02","$1116825"
"Ben Chandler (D-Ky) ","Kentucky District 06","$1115946"
"Jeb Bradley (R-NH) ","New Hampshire District 01","$1111590"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$1110998"
"Nathan Deal (R-Ga) ","Georgia District 09Current office: Georgia District 10","$1107572"
"Todd Tiahrt (R-Kan) ","Kansas District 04","$1105585"
"Tim Holden (D-Pa) ","Pennsylvania District 17","$1093747"
"Ed Pastor (D-Ariz) ","Arizona District 04","$1092996"
"Lloyd Doggett (D-Texas) ","Texas District 25","$1089095"
"Jesse Jackson Jr. (D-Ill) ","Illinois District 02","$1084135"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$1080364"
"John Shadegg (R-Ariz) ","Arizona District 03","$1078942"
"Adam H. Putnam (R-Fla) ","Florida District 12","$1078377"
"Dennis Cardoza (D-Calif) ","California District 18","$1076223"
"Neil Abercrombie (D-Hawaii) ","Hawaii District 01","$1074345"
"Paul E. Kanjorski (D-Pa) ","Pennsylvania District 11","$1073773"
"Hal Rogers (R-Ky) ","Kentucky District 05","$1072946"
"John Conyers Jr. (D-Mich) ","Michigan District 14","$1069653"
"Duncan Hunter (R-Calif) ","California District 52","$1063228"
"Dan Lungren (R-Calif) ","California District 03","$1062692"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$1060081"
"Jo Bonner (R-Ala) ","Alabama District 01","$1060001"
"Tom Allen (D-Maine) ","Maine District 01","$1058725"
"Marty Meehan (D-Mass) ","Massachusetts District 05","$1057917"
"Louis B. Gohmert Jr (R-Texas) ","Texas District 01","$1057369"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$1054826"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1052012"
"Ike Skelton (D-Mo) ","Missouri District 04","$1050907"
"Michael R. Turner (R-Ohio) ","Ohio District 03","$1043686"
"Gresham Barrett (R-SC) ","South Carolina District 03","$1043520"
"Allen Boyd (D-Fla) ","Florida District 02","$1042491"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 20","$1036924"
"Anna Eshoo (D-Calif) ","California District 14","$1036465"
"Tom Lantos (D-Calif) ","California District 12","$1029421"
"Jim Ramstad (R-Minn) ","Minnesota District 03","$1028886"
"Ralph Regula (R-Ohio) ","Ohio District 16","$1027709"
"Ted Poe (R-Texas) ","Texas District 02","$1021390"
"Tom Cole (R-Okla) ","Oklahoma District 04","$1020035"
"Kendrick B. Meek (D-Fla) ","Florida District 17","$1008007"
"Mike Conaway (R-Texas) ","Texas District 11","$1005167"
"John Tanner (D-Tenn) ","Tennessee District 08","$1001398"
"Virgil H. Goode Jr. (R-Va) ","Virginia District 05","$996385"
"Shelley Sekula-Gibbs (R-Texas) ","Texas District 22","$993529"
"John B. Larson (D-Conn) ","Connecticut District 01","$983926"
"Norm Dicks (D-Wash) ","Washington District 06","$975071"
"Jerry Moran (R-Kan) ","Kansas District 01","$970213"
"Barbara Lee (D-Calif) ","California District 09","$965875"
"Joe Wilson (R-SC) ","South Carolina District 02","$949461"
"Edward J. Markey (D-Mass) ","Massachusetts District 07","$942520"
"Collin C. Peterson (D-Minn) ","Minnesota District 07","$938128"
"Ron Kind (D-Wis) ","Wisconsin District 03","$933903"
"David Price (D-NC) ","North Carolina District 04","$931155"
"Ellen O. Tauscher (D-Calif) ","California District 10","$930129"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$923775"
"Ken Calvert (R-Calif) ","California District 44","$922444"
"Judy Biggert (R-Ill) ","Illinois District 13","$920056"
"Jane Harman (D-Calif) ","California District 36","$919515"
"Bill Thomas (R-Calif) ","California District 22","$916371"
"Lincoln Davis (D-Tenn) ","Tennessee District 04","$916145"
"Howard L. Berman (D-Calif) ","California District 28","$914914"
"Darrell Issa (R-Calif) ","California District 49","$908837"
"Bob Etheridge (D-NC) ","North Carolina District 02","$907474"
"Ralph M. Hall (R-Texas) ","Texas District 04","$907158"
"Mike McIntyre (D-NC) ","North Carolina District 07","$901698"
"Bud Cramer (D-Ala) ","Alabama District 05","$895212"
"Jim McDermott (D-Wash) ","Washington District 07","$888559"
"Jim Costa (D-Calif) ","California District 20","$885524"
"Jay Inslee (D-Wash) ","Washington District 01","$883376"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$882989"
"John Carter (R-Texas) ","Texas District 31","$876895"
"John Sullivan (R-Okla) ","Oklahoma District 01","$875469"
"Lois Capps (D-Calif) ","California District 23","$874676"
"Thad McCotter (R-Mich) ","Michigan District 11","$871572"
"Eliot L. Engel (D-NY) ","New York District 17","$862882"
"Candice S. Miller (R-Mich) ","Michigan District 10","$860582"
"Todd Akin (R-Mo) ","Missouri District 02","$856616"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$854594"
"Roger Wicker (R-Miss) ","Mississippi District 01","$845748"
"Michael Burgess (R-Texas) ","Texas District 26","$839913"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$839873"
"Jim Langevin (D-RI) ","Rhode Island District 02","$839351"
"Xavier Becerra (D-Calif) ","California District 31","$838954"
"Michael E. Capuano (D-Mass) ","Massachusetts District 08","$836728"
"Cliff Stearns (R-Fla) ","Florida District 06","$835493"
"Brian Baird (D-Wash) ","Washington District 03","$834004"
"Gregory W. Meeks (D-NY) ","New York District 06","$819726"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$819470"
"Sanford D. Bishop Jr. (D-Ga) ","Georgia District 02","$818301"
"Hilda L. Solis (D-Calif) ","California District 32","$809643"
"Bart Stupak (D-Mich) ","Michigan District 01","$805653"
"Albert R. Wynn (D-Md) ","Maryland District 04","$799324"
"Ginny Brown-Waite (R-Fla) ","Florida District 05","$794360"
"John L. Mica (R-Fla) ","Florida District 07","$794268"
"Maxine Waters (D-Calif) ","California District 35","$793431"
"Peter DeFazio (D-Ore) ","Oregon District 04","$793123"
"Dave Weldon (R-Fla) ","Florida District 15","$791682"
"Robert Wexler (D-Fla) ","Florida District 19","$789946"
"Henry Brown (R-SC) ","South Carolina District 01","$783026"
"F. James Sensenbrenner Jr. (R-Wis) ","Wisconsin District 05","$774141"
"Sam Farr (D-Calif) ","California District 17","$773188"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$772293"
"Nydia M. Velazquez (D-NY) ","New York District 12","$766762"
"Artur Davis (D-Ala) ","Alabama District 07","$764141"
"Mike Honda (D-Calif) ","California District 15","$761703"
"Charlie A. Gonzalez (D-Texas) ","Texas District 20","$761665"
"James P. McGovern (D-Mass) ","Massachusetts District 03","$755594"
"Gary Ackerman (D-NY) ","New York District 05","$754367"
"Stephanie Tubbs Jones (D-Ohio) ","Ohio District 11","$754168"
"Jerrold Nadler (D-NY) ","New York District 08","$748666"
"Kenny Ewell Marchant (R-Texas) ","Texas District 24","$748190"
"Steve Buyer (R-Ind) ","Indiana District 04","$744682"
"Adam Smith (D-Wash) ","Washington District 09","$739885"
"Mike Michaud (D-Maine) ","Maine District 02","$737307"
"John Linder (R-Ga) ","Georgia District 07","$737202"
"John J. ""Jimmy"" Duncan Jr. (R-Tenn) ","Tennessee District 02","$730821"
"Gene Green (D-Texas) ","Texas District 29","$728000"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$720728"
"John Culberson (R-Texas) ","Texas District 07","$718882"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$715803"
"Richard E. Neal (D-Mass) ","Massachusetts District 02","$715000"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$709369"
"Silvestre Reyes (D-Texas) ","Texas District 16","$701687"
"Terry Everett (R-Ala) ","Alabama District 02","$698389"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$696022"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$694747"
"Wally Herger (R-Calif) ","California District 02","$689944"
"Solomon P. Ortiz (D-Texas) ","Texas District 27","$687750"
"Joe Baca (D-Calif) ","California District 43","$686650"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$681521"
"Gary Miller (R-Calif) ","California District 42","$671006"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$669497"
"George Miller (D-Calif) ","California District 07","$667494"
"Maurice Hinchey (D-NY) ","New York District 22","$664148"
"John W. Olver (D-Mass) ","Massachusetts District 01","$660116"
"Vic Snyder (D-Ark) ","Arkansas District 02","$659314"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$654168"
"J. Randy Forbes (R-Va) ","Virginia District 04","$650871"
"Henry A. Waxman (D-Calif) ","California District 30","$648175"
"Elton Gallegly (R-Calif) ","California District 24","$645820"
"John E. Peterson (R-Pa) ","Pennsylvania District 05","$645371"
"Tom Petri (R-Wis) ","Wisconsin District 06","$645367"
"Linda Sanchez (D-Calif) ","California District 39","$643970"
"Bob Beauprez (R-Colo) ","Colorado District 07","$641319"
"Anthony D. Weiner (D-NY) ","New York District 09","$639777"
"C. W. Bill Young (R-Fla) ","Florida District 10","$635223"
"Diana DeGette (D-Colo) ","Colorado District 01","$635208"
"Dennis J. Kucinich (D-Ohio) ","Ohio District 10","$634745"
"Mac Thornberry (R-Texas) ","Texas District 13","$631023"
"John Lewis (D-Ga) ","Georgia District 05","$628202"
"Sander Levin (D-Mich) ","Michigan District 12","$626413"
"Zoe Lofgren (D-Calif) ","California District 16","$624136"
"Raul M. Grijalva (D-Ariz) ","Arizona District 07","$623493"
"Mark E. Souder (R-Ind) ","Indiana District 03","$622034"
"Donald M. Payne (D-NJ) ","New Jersey District 10","$613321"
"Steven A. King (R-Iowa) ","Iowa District 05","$612291"
"Tim Ryan (D-Ohio) ","Ohio District 17","$609009"
"Lucille Roybal-Allard (D-Calif) ","California District 34","$589538"
"John Hostettler (R-Ind) ","Indiana District 08","$586400"
"Jo Ann Davis (R-Va) ","Virginia District 01","$578103"
"John Boozman (R-Ark) ","Arkansas District 03","$575628"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$575304"
"Paul E. Gillmor (R-Ohio) ","Ohio District 05","$568949"
"Doc Hastings (R-Wash) ","Washington District 04","$567224"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$565396"
"Nick Rahall (D-WVa) ","West Virginia District 03","$565269"
"Lane Evans (D-Ill) ","Illinois District 17","$565245"
"Betty McCollum (D-Minn) ","Minnesota District 04","$562752"
"John M. McHugh (R-NY) ","New York District 23","$561841"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$559459"
"Dale E. Kildee (D-Mich) ","Michigan District 05","$556803"
"Bob Inglis (R-SC) ","South Carolina District 04","$556556"
"Walter B. Jones Jr. (R-NC) ","North Carolina District 03","$553971"
"Jeff Flake (R-Ariz) ","Arizona District 06","$543620"
"Danny K. Davis (D-Ill) ","Illinois District 07","$542153"
"Mike Simpson (R-Idaho) ","Idaho District 02","$539784"
"Dan Burton (R-Ind) ","Indiana District 05","$527819"
"Michael G. Oxley (R-Ohio) ","Ohio District 04","$525321"
"Kevin Brady (R-Texas) ","Texas District 08","$515795"
"Tom Udall (D-NM) ","New Mexico District 03","$515102"
"Louise M. Slaughter (D-NY) ","New York District 28","$510564"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$506238"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$505050"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$503513"
"Jim Leach (R-Iowa) ","Iowa District 02","$491433"
"Corrine Brown (D-Fla) ","Florida District 03","$489300"
"Chris Smith (R-NJ) ","New Jersey District 04","$482374"
"Michael R. McNulty (D-NY) ","New York District 21","$482264"
"Julia Carson (D-Ind) ","Indiana District 07","$476139"
"Carolyn Cheeks Kilpatrick (D-Mich) ","Michigan District 13","$460445"
"Vernon J. Ehlers (R-Mich) ","Michigan District 03","$458404"
"Howard Coble (R-NC) ","North Carolina District 06","$457914"
"William L. Clay Jr. (D-Mo) ","Missouri District 01","$443363"
"Trent Franks (R-Ariz) ","Arizona District 02","$440591"
"Sherwood Boehlert (R-NY) ","New York District 24","$439314"
"Al Green (D-Texas) ","Texas District 09","$431655"
"Pete Stark (D-Calif) ","California District 13","$430320"
"Gene Taylor (D-Miss) ","Mississippi District 04","$428332"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$411189"
"Luis Fortuno (R-PR) ","Puerto Rico District 00","$398586"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$395014"
"Cynthia A. McKinney (D-Ga) ","Georgia District 04","$393097"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$387424"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$376900"
"Daniel William Lipinski (D-Ill) ","Illinois District 03","$371989"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$367819"
"Rob Bishop (R-Utah) ","Utah District 01","$363297"
"Wayne T. Gilchrest (R-Md) ","Maryland District 01","$351704"
"Susan A. Davis (D-Calif) ","California District 53","$343916"
"Alcee L. Hastings (D-Fla) ","Florida District 23","$343108"
"Timothy V. Johnson (R-Ill) ","Illinois District 15","$342316"
"Jim Kolbe (R-Ariz) ","Arizona District 08","$335459"
"Jeff Miller (R-Fla) ","Florida District 01","$329210"
"Grace Napolitano (D-Calif) ","California District 38","$329193"
"Robert C. Scott (D-Va) ","Virginia District 03","$326423"
"Ernest J. Istook (R-Okla) ","Oklahoma District 05","$321314"
"Martin Olav Sabo (D-Minn) ","Minnesota District 05","$319281"
"Juanita Millender-McDonald (D-Calif) ","California District 37","$315374"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$313948"
"Jose E. Serrano (D-NY) ","New York District 16","$312397"
"Dana Rohrabacher (R-Calif) ","California District 46","$294370"
"Dennis J. Kucinich (D-PR) ","Current office: Ohio District 10","$258867"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$203379"
"Diane E. Watson (D-Calif) ","California District 33","$182018"
"Major R. Owens (D-NY) ","New York District 11","$175356"
"Donna Christian-Green (D-VI) ","Virgin Islands District 00","$170502"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$161593"
"Jim Nussle (R-Iowa) ","Iowa District 01","$158312"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$42587"
"Bill Jenkins (R-Tenn) ","Tennessee District 01","$31200"
"Joel Hefley (R-Colo) ","Colorado District 05","$20378"
"Jim Davis (D-Fla) ","Florida District 11","$10474"
"Henry J. Hyde (R-Ill) ","Illinois District 06","$4404"
"Michael Bilirakis (R-Fla) ","Florida District 09","$3961"
"Mark Green (R-Wis) ","Wisconsin District 08","$3548"
"Tom Osborne (R-Neb) ","Nebraska District 03","$100"
