"Representative","Office Running For","Total Raised"
"Ron Paul (R) ","2012 Presidential RaceCurrent office: Texas District 14","$41060318"
"John Boehner (R-Ohio) ","Ohio District 08","$22024288"
"Allen West (R-Fla) ","Florida District 18Current office: Florida District 22","$19359331"
"Michele Bachmann (R-Minn) ","Minnesota District 06","$14995937"
"Tammy Baldwin (D-Wis) ","Wisconsin SenateCurrent office: Wisconsin District 02","$14643869"
"Shelley Berkley (D-Nev) ","Nevada SenateCurrent office: Nevada District 01","$10547188"
"Christopher S. Murphy (D-Conn) ","Connecticut SenateCurrent office: Connecticut District 05","$10543456"
"Denny Rehberg (R-Mont) ","Montana SenateCurrent office: Montana District 01","$9560983"
"Jeff Flake (R-Ariz) ","Arizona SenateCurrent office: Arizona District 06","$9026951"
"Eric Cantor (R-Va) ","Virginia District 07","$7632717"
"Connie Mack (R-Fla) ","Florida SenateCurrent office: Florida District 14","$7254224"
"Martin Heinrich (D-NM) ","New Mexico SenateCurrent office: New Mexico District 01","$6699291"
"Rick Berg (R-ND) ","North Dakota SenateCurrent office: North Dakota District 01","$6502926"
"Todd Akin (R-Mo) ","Missouri SenateCurrent office: Missouri District 02","$5676248"
"Joe Donnelly (D-Ind) ","Indiana SenateCurrent office: Indiana District 02","$5661997"
"Mazie K. Hirono (D-Hawaii) ","Hawaii SenateCurrent office: Hawaii District 02","$5514418"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$4994668"
"Howard L. Berman (D-Calif) ","California District 30Current office: California District 28","$4684926"
"Kathleen Hochul (D-NY) ","New York District 27Current office: New York District 26","$4602796"
"Kevin McCarthy (R-Calif) ","California District 23Current office: California District 22","$4578119"
"Robert Dold (R-Ill) ","Illinois District 10","$4569085"
"Charles W. Boustany Jr (R-La) ","Louisiana District 03Current office: Louisiana District 07","$4496594"
"Dave Camp (R-Mich) ","Michigan District 04","$4476145"
"Suzan DelBene (D-Wash) ","Washington District 01","$4420726"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$4155103"
"Fred Upton (R-Mich) ","Michigan District 06","$4129538"
"Steven A. King (R-Iowa) ","Iowa District 04Current office: Iowa District 05","$3753860"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 23Current office: Florida District 20","$3629324"
"Mike Coffman (R-Colo) ","Colorado District 06","$3441283"
"Tom Latham (R-Iowa) ","Iowa District 03Current office: Iowa District 04","$3408822"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$3375830"
"Lois Capps (D-Calif) ","California District 24Current office: California District 23","$3320071"
"Peter Roskam (R-Ill) ","Illinois District 06","$3277932"
"Jim Renacci (R-Ohio) ","Ohio District 16","$3274194"
"Nan Hayworth (R-NY) ","New York District 18Current office: New York District 19","$3255563"
"Aaron Schock (R-Ill) ","Illinois District 18","$3220550"
"Brad Sherman (D-Calif) ","California District 30Current office: California District 27","$3201860"
"Steve Israel (D-NY) ","New York District 03Current office: New York District 02","$3186021"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$3113793"
"Jim Himes (D-Conn) ","Connecticut District 04","$3035222"
"Jeb Hensarling (R-Texas) ","Texas District 05","$3017392"
"Edwin G. Perlmutter (D-Colo) ","Colorado District 07","$2975376"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$2910725"
"Judy Biggert (R-Ill) ","Illinois District 11Current office: Illinois District 13","$2909766"
"John Barrow (D-Ga) ","Georgia District 12","$2876918"
"Bill Pascrell Jr (D-NJ) ","New Jersey District 09Current office: New Jersey District 08","$2861095"
"Kristi Noem (R-SD) ","South Dakota District 01","$2811274"
"Ron Barber (D-Ariz) ","Arizona District 02Current office: Arizona District 08","$2776639"
"Jeff Denham (R-Calif) ","California District 10Current office: California District 19","$2756589"
"Steve Stivers (R-Ohio) ","Ohio District 15","$2748358"
"Ed Royce (R-Calif) ","California District 39Current office: California District 40","$2746376"
"Greg Walden (R-Ore) ","Oregon District 02","$2736873"
"Timothy H. Bishop (D-NY) ","New York District 01","$2731218"
"Spencer Bachus (R-Ala) ","Alabama District 06","$2725004"
"Francisco Canseco (R-Texas) ","Texas District 23","$2712704"
"Dan Lungren (R-Calif) ","California District 07Current office: California District 03","$2702536"
"Bruce Braley (D-Iowa) ","Iowa District 01","$2687008"
"Michael G. Fitzpatrick (R-Pa) ","Pennsylvania District 08","$2672027"
"Brian P. Bilbray (R-Calif) ","California District 52Current office: California District 50","$2659541"
"Sean P. Duffy (R-Wis) ","Wisconsin District 07","$2647210"
"Mark Critz (D-Pa) ","Pennsylvania District 12","$2600190"
"Patrick Meehan (R-Pa) ","Pennsylvania District 07","$2589845"
"Joseph Crowley (D-NY) ","New York District 14Current office: New York District 07","$2577592"
