"Representative","Office Running For","Total Raised"
"Bobby Schilling (R-Ill) ","Illinois District 17","$2537300"
"Jerry McNerney (D-Calif) ","California District 09Current office: California District 11","$2532626"
"Betty Sue Sutton (D-Ohio) ","Ohio District 16Current office: Ohio District 13","$2523935"
"Janice Hahn (D-Calif) ","California District 44Current office: California District 36","$2521899"
"Suzanne Bonamici (D-Ore) ","Oregon District 01","$2488256"
"Darrell Issa (R-Calif) ","California District 49","$2478710"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$2449473"
"Diane Black (R-Tenn) ","Tennessee District 06","$2437230"
"Joe Heck (R-Nev) ","Nevada District 03","$2423277"
"Ben Chandler (D-Ky) ","Kentucky District 06","$2403029"
"Scott Rigell (R-Va) ","Virginia District 02","$2397768"
"David Cicilline (D-RI) ","Rhode Island District 01","$2394677"
"Scott Garrett (R-NJ) ","New Jersey District 05","$2392465"
"James E. Clyburn (D-SC) ","South Carolina District 06","$2388048"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$2386295"
"Chip Cravaack (R-Minn) ","Minnesota District 08","$2374760"
"Jim Matheson (D-Utah) ","Utah District 04Current office: Utah District 02","$2360399"
"John Kline (R-Minn) ","Minnesota District 02","$2352676"
"Scott Tipton (R-Colo) ","Colorado District 03","$2342229"
"Tom Price (R-Ga) ","Georgia District 06","$2341155"
"Reid Ribble (R-Wis) ","Wisconsin District 08","$2320569"
"Mike McIntyre (D-NC) ","North Carolina District 07","$2304496"
"Nancy Pelosi (D-Calif) ","California District 12Current office: California District 08","$2300344"
"Cory Gardner (R-Colo) ","Colorado District 04","$2295600"
"Jeff Landry (R-La) ","Louisiana District 03","$2283073"
"Gary Peters (D-Mich) ","Michigan District 14Current office: Michigan District 09","$2281359"
"Louise M. Slaughter (D-NY) ","New York District 25Current office: New York District 28","$2278709"
"Carolyn McCarthy (D-NY) ","New York District 04","$2278000"
"Michael Grimm (R-NY) ","New York District 11Current office: New York District 13","$2263994"
"Mary Bono Mack (R-Calif) ","California District 36Current office: California District 45","$2258741"
"Steve Fincher (R-Tenn) ","Tennessee District 08","$2251746"
"Gerry Connolly (D-Va) ","Virginia District 11","$2241573"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$2234892"
"Dan Benishek (R-Mich) ","Michigan District 01","$2221760"
"Vernon Buchanan (R-Fla) ","Florida District 16Current office: Florida District 13","$2209719"
"Chris Gibson (R-NY) ","New York District 19Current office: New York District 20","$2177705"
"Ben Quayle (R-Ariz) ","Arizona District 06Current office: Arizona District 03","$2174350"
"Nita M. Lowey (D-NY) ","New York District 17Current office: New York District 18","$2165669"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 27Current office: Florida District 18","$2146246"
"David McKinley (R-WVa) ","West Virginia District 01","$2136065"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$2133196"
"Tom Reed (R-NY) ","New York District 23Current office: New York District 29","$2107794"
"John M. Shimkus (R-Ill) ","Illinois District 15Current office: Illinois District 19","$2107579"
"Rush Holt (D-NJ) ","New Jersey District 12","$2084904"
"Jon Runyan (R-NJ) ","New Jersey District 03","$2080014"
"John L. Mica (R-Fla) ","Florida District 07","$2068331"
"Charles Bass (R-NH) ","New Hampshire District 02","$2066088"
"John Garamendi (D-Calif) ","California District 03Current office: California District 10","$2065819"
"Keith Ellison (D-Minn) ","Minnesota District 05","$2053544"
"Robert Hurt (R-Va) ","Virginia District 05","$2051306"
"Lee Terry (R-Neb) ","Nebraska District 02","$2036017"
"Adam Kinzinger (R-Ill) ","Illinois District 16Current office: Illinois District 11","$2034419"
"Bill Johnson (R-Ohio) ","Ohio District 06","$2026754"
"Ann Marie Buerkle (R-NY) ","New York District 24Current office: New York District 25","$2021185"
"John B. Larson (D-Conn) ","Connecticut District 01","$2018561"
"Joe Walsh (R-Ill) ","Illinois District 08","$2011080"
"Buck Mckeon (R-Calif) ","California District 25","$1980080"
"Ron Kind (D-Wis) ","Wisconsin District 03","$1979017"
"Timothy J. Walz (D-Minn) ","Minnesota District 01","$1975606"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$1968862"
"Bill Owens (D-NY) ","New York District 21Current office: New York District 23","$1968478"
"David Schweikert (R-Ariz) ","Arizona District 06Current office: Arizona District 05","$1952870"
"Lynn Jenkins (R-Kan) ","Kansas District 02","$1948903"
"Mike Rogers (R-Mich) ","Michigan District 08","$1921587"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1917049"
"Mike Pompeo (R-Kan) ","Kansas District 04","$1915080"
"Frank Guinta (R-NH) ","New Hampshire District 01","$1903770"
"Henry A. Waxman (D-Calif) ","California District 33Current office: California District 30","$1894271"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$1868760"
"Xavier Becerra (D-Calif) ","California District 34Current office: California District 31","$1850000"
"Sander Levin (D-Mich) ","Michigan District 09Current office: Michigan District 12","$1836756"
"Pete Sessions (R-Texas) ","Texas District 32","$1836552"
"Steve Southerland (R-Fla) ","Florida District 02","$1823957"
"Todd Young (R-Ind) ","Indiana District 09","$1819057"
"Pete King (R-NY) ","New York District 02Current office: New York District 03","$1812860"
"Mike Thompson (D-Calif) ","California District 05Current office: California District 01","$1811426"
"Bill Cassidy (R-La) ","Louisiana District 06","$1797931"
"Richard E. Neal (D-Mass) ","Massachusetts District 01Current office: Massachusetts District 02","$1793587"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$1779731"
"Pedro Pierluisi (D-PR) ","Puerto Rico District 00","$1757995"
"Kurt Schrader (D-Ore) ","Oregon District 05","$1750144"
"Leonard Boswell (D-Iowa) ","Iowa District 03","$1747776"
"Carolyn B. Maloney (D-NY) ","New York District 12Current office: New York District 14","$1746929"
"Lloyd Doggett (D-Texas) ","Texas District 35Current office: Texas District 25","$1744503"
"Lamar Smith (R-Texas) ","Texas District 21","$1727472"
"Kevin Yoder (R-Kan) ","Kansas District 03","$1723480"
"Phil Gingrey (R-Ga) ","Georgia District 11","$1720190"
"Charlie Dent (R-Pa) ","Pennsylvania District 15","$1706451"
"Steve Pearce (R-NM) ","New Mexico District 02","$1687075"
"Tim Scott (R-SC) ","South Carolina District 01","$1680567"
"Loretta Sanchez (D-Calif) ","California District 46Current office: California District 47","$1677371"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$1674736"
"Henry Cuellar (D-Texas) ","Texas District 28","$1672433"
"Jaime Herrera Beutler (R-Wash) ","Washington District 03","$1658722"
"Dave Reichert (R-Wash) ","Washington District 08","$1654833"
"Doc Hastings (R-Wash) ","Washington District 04","$1649564"
"Jason Altmire (D-Pa) ","Pennsylvania District 12Current office: Pennsylvania District 04","$1636261"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$1622078"
"Tim Griffin (R-Ark) ","Arkansas District 02","$1619346"
"John Fleming (R-La) ","Louisiana District 04","$1619170"
"Niki Tsongas (D-Mass) ","Massachusetts District 03Current office: Massachusetts District 05","$1606982"
"Bob Goodlatte (R-Va) ","Virginia District 06","$1606588"
"Andy Harris (R-Md) ","Maryland District 01","$1595563"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$1577907"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$1566500"
"David Loebsack (D-Iowa) ","Iowa District 02","$1562540"
"Randy Neugebauer (R-Texas) ","Texas District 19","$1561331"
"Devin Nunes (R-Calif) ","California District 22Current office: California District 21","$1551897"
"Bob Gibbs (R-Ohio) ","Ohio District 07Current office: Ohio District 18","$1550088"
"Joe Barton (R-Texas) ","Texas District 06","$1535592"
"Hal Rogers (R-Ky) ","Kentucky District 05","$1535445"
"Daniel Webster (R-Fla) ","Florida District 10Current office: Florida District 08","$1534725"
"Tim Walberg (R-Mich) ","Michigan District 07","$1533550"
"John Carney (D-Del) ","Delaware District 01","$1526893"
"Joe Courtney (D-Conn) ","Connecticut District 02","$1520759"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$1516761"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$1510757"
"Vicky Hartzler (R-Mo) ","Missouri District 04","$1510603"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1502330"
"Anna Eshoo (D-Calif) ","California District 18Current office: California District 14","$1489802"
"Jim Costa (D-Calif) ","California District 16Current office: California District 20","$1483126"
"Judy Chu (D-Calif) ","California District 27Current office: California District 32","$1468072"
"Alan Nunnelee (R-Miss) ","Mississippi District 01","$1467760"
"Charles B. Rangel (D-NY) ","New York District 13Current office: New York District 15","$1461286"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$1458568"
"John D. Dingell (D-Mich) ","Michigan District 12Current office: Michigan District 15","$1444696"
"Pete Olson (R-Texas) ","Texas District 22","$1439597"
"Steve Scalise (R-La) ","Louisiana District 01","$1436751"
"Chuck Fleischmann (R-Tenn) ","Tennessee District 03","$1412229"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$1408187"
"Morgan Griffith (R-Va) ","Virginia District 09","$1399363"
"Kevin Brady (R-Texas) ","Texas District 08","$1385894"
"Rodney Alexander (R-La) ","Louisiana District 05","$1375551"
"Kay Granger (R-Texas) ","Texas District 12","$1375457"
"Larry Bucshon (R-Ind) ","Indiana District 08","$1370641"
"Randy Hultgren (R-Ill) ","Illinois District 14","$1362710"
"Nick Rahall (D-WVa) ","West Virginia District 03","$1359430"
"Sam Graves (R-Mo) ","Missouri District 06","$1357981"
"Rick Larsen (D-Wash) ","Washington District 02","$1356322"
"Paul Broun (R-Ga) ","Georgia District 10","$1351218"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1350902"
"Mike Conaway (R-Texas) ","Texas District 11","$1350630"
"Rick Crawford (R-Ark) ","Arkansas District 01","$1338446"
"Lou Barletta (R-Pa) ","Pennsylvania District 11","$1334027"
"Peter DeFazio (D-Ore) ","Oregon District 04","$1333331"
"Adam Schiff (D-Calif) ","California District 28Current office: California District 29","$1333321"
"Russ Carnahan (D-Mo) ","Missouri District 01Current office: Missouri District 03","$1330566"
"Leonard Lance (R-NJ) ","New Jersey District 07","$1321362"
"Todd Rokita (R-Ind) ","Indiana District 04","$1321278"
"Mark Amodei (R-Nev) ","Nevada District 02","$1313852"
"Justin Amash (R-Mich) ","Michigan District 03","$1313803"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$1312424"
"Larry Kissell (D-NC) ","North Carolina District 08","$1303395"
"Bill Flores (R-Texas) ","Texas District 17","$1301529"
"Sanford Bishop (D-Ga) ","Georgia District 02","$1290956"
"Colleen Hanabusa (D-Hawaii) ","Hawaii District 01","$1290102"
"John Campbell (R-Calif) ","California District 45Current office: California District 48","$1285138"
"Gary Miller (R-Calif) ","California District 31Current office: California District 42","$1271829"
"Ted Deutch (D-Fla) ","Florida District 21Current office: Florida District 19","$1264158"
"Glenn Thompson (R-Pa) ","Pennsylvania District 05","$1263885"
"Scott Desjarlais (R-Tenn) ","Tennessee District 04","$1260459"
"Patrick McHenry (R-NC) ","North Carolina District 10","$1257013"
"Silvestre Reyes (D-Texas) ","Texas District 16","$1251707"
"Jack Kingston (R-Ga) ","Georgia District 01","$1248412"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$1247169"
"John Lewis (D-Ga) ","Georgia District 05","$1238406"
"Michael R. Turner (R-Ohio) ","Ohio District 10Current office: Ohio District 03","$1232450"
"Mike Michaud (D-Maine) ","Maine District 02","$1222006"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$1213185"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$1208368"
"Terri A. Sewell (D-Ala) ","Alabama District 07","$1204450"
"Mike Simpson (R-Idaho) ","Idaho District 02","$1200026"
"Tom McClintock (R-Calif) ","California District 04","$1191743"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$1185142"
"John Sullivan (R-Okla) ","Oklahoma District 01","$1181556"
"Tom Graves (R-Ga) ","Georgia District 14Current office: Georgia District 09","$1179677"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$1175608"
"Barbara Lee (D-Calif) ","California District 13Current office: California District 09","$1167292"
"Adrian Smith (R-Neb) ","Nebraska District 03","$1163154"
"James Lankford (R-Okla) ","Oklahoma District 05","$1155959"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$1155849"
"Blake Farenthold (R-Texas) ","Texas District 27","$1153105"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$1151621"
"Paul Gosar (R-Ariz) ","Arizona District 04Current office: Arizona District 01","$1150701"
"Tim Holden (D-Pa) ","Pennsylvania District 17","$1150156"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$1150009"
"Jared Polis (D-Colo) ","Colorado District 02","$1147924"
"Adam Smith (D-Wash) ","Washington District 09","$1145880"
"David Price (D-NC) ","North Carolina District 04","$1141280"
"Jo Bonner (R-Ala) ","Alabama District 01","$1140567"
"Sam Johnson (R-Texas) ","Texas District 03","$1136768"
"Mike Kelly (R-Pa) ","Pennsylvania District 03","$1135644"
"Collin Peterson (D-Minn) ","Minnesota District 07","$1129343"
"Jerrold Nadler (D-NY) ","New York District 10Current office: New York District 08","$1125304"
"Michael McCaul (R-Texas) ","Texas District 10","$1124340"
"Andre Carson (D-Ind) ","Indiana District 07","$1124042"
"Austin Scott (R-Ga) ","Georgia District 08","$1114641"
"Robert E. Latta (R-Ohio) ","Ohio District 05","$1111742"
"Jim Langevin (D-RI) ","Rhode Island District 02","$1103439"
"Ben R. Lujan (D-NM) ","New Mexico District 03","$1102858"
"Jim Moran (D-Va) ","Virginia District 08","$1102047"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$1101628"
"Tom Rooney (R-Fla) ","Florida District 17Current office: Florida District 16","$1096522"
"Mac Thornberry (R-Texas) ","Texas District 13","$1092129"
"Edward J. Markey (D-Mass) ","Massachusetts District 05Current office: Massachusetts District 07","$1091666"
"Ken Calvert (R-Calif) ","California District 42Current office: California District 44","$1091573"
"Frank R. Wolf (R-Va) ","Virginia District 10","$1091197"
"Brian M. Higgins (D-NY) ","New York District 26Current office: New York District 27","$1091162"
"Renee Ellmers (R-NC) ","North Carolina District 02","$1086870"
"Jim Jordan (R-Ohio) ","Ohio District 04","$1078119"
"Randy Forbes (R-Va) ","Virginia District 04","$1077552"
"Richard Hanna (R-NY) ","New York District 22Current office: New York District 24","$1071315"
"Steve LaTourette (R-Ohio) ","Ohio District 14","$1070539"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$1069891"
"James P. McGovern (D-Mass) ","Massachusetts District 02Current office: Massachusetts District 03","$1068822"
"Steve Chabot (R-Ohio) ","Ohio District 01","$1068816"
"Lynn A. Westmoreland (R-Ga) ","Georgia District 03","$1067726"
"Bill Huizenga (R-Mich) ","Michigan District 02","$1066724"
"Thomas Massie (R-Ky) ","Kentucky District 04","$1064631"
"Eliot L. Engel (D-NY) ","New York District 16Current office: New York District 17","$1062606"
"Bill Keating (D-Mass) ","Massachusetts District 09Current office: Massachusetts District 10","$1061105"
"Don Manzullo (R-Ill) ","Illinois District 16","$1057863"
"Michael Burgess (R-Texas) ","Texas District 26","$1054607"
"Bill Posey (R-Fla) ","Florida District 08Current office: Florida District 15","$1051652"
"Diana DeGette (D-Colo) ","Colorado District 01","$1051538"
"Linda Sanchez (D-Calif) ","California District 38Current office: California District 39","$1048195"
"Joe Baca (D-Calif) ","California District 35Current office: California District 43","$1046528"
"John Conyers Jr (D-Mich) ","Michigan District 13Current office: Michigan District 14","$1044468"
"C. W. Bill Young (R-Fla) ","Florida District 13Current office: Florida District 10","$1040707"
"Martha Roby (R-Ala) ","Alabama District 02","$1035717"
"Joe Wilson (R-SC) ","South Carolina District 02","$1030165"
"Ed Pastor (D-Ariz) ","Arizona District 07Current office: Arizona District 04","$1025611"
"Chellie Pingree (D-Maine) ","Maine District 01","$1024608"
"Kathy Castor (D-Fla) ","Florida District 14Current office: Florida District 11","$1020415"
"Tom Cole (R-Okla) ","Oklahoma District 04","$1016546"
"Gene Green (D-Texas) ","Texas District 29","$1012295"
"John Sarbanes (D-Md) ","Maryland District 03","$1010367"
"Don Young (R-Alaska) ","Alaska District 01","$1003532"
"John A. Yarmuth (D-Ky) ","Kentucky District 03","$1000849"
"Tim Ryan (D-Ohio) ","Ohio District 13Current office: Ohio District 17","$991385"
"Duncan D. Hunter (R-Calif) ","California District 50Current office: California District 52","$986170"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03Current office: Missouri District 09","$977424"
"David Scott (D-Ga) ","Georgia District 13","$976669"
"Paul Tonko (D-NY) ","New York District 20Current office: New York District 21","$974899"
"Virginia Foxx (R-NC) ","North Carolina District 05","$972460"
"Jackie Speier (D-Calif) ","California District 14Current office: California District 12","$969474"
"Ted Poe (R-Texas) ","Texas District 02","$966271"
"Marlin Stutzman (R-Ind) ","Indiana District 03","$960107"
"Rob Wittman (R-Va) ","Virginia District 01","$950387"
"Peter Welch (D-Vt) ","Vermont District 01","$950026"
"Pete Stark (D-Calif) ","California District 15Current office: California District 13","$939654"
"Cedric Richmond (D-La) ","Louisiana District 02","$937451"
"Steve Womack (R-Ark) ","Arkansas District 03","$932788"
"Betty McCollum (D-Minn) ","Minnesota District 04","$931990"
"Steven Palazzo (R-Miss) ","Mississippi District 04","$926893"
"Billy Long (R-Mo) ","Missouri District 07","$924152"
"Gregg Harper (R-Miss) ","Mississippi District 03","$916616"
"Robert L. Turner (R-NY) ","New York SenateCurrent office: New York District 09","$909881"
"Michael E. Capuano (D-Mass) ","Massachusetts District 07Current office: Massachusetts District 08","$909487"
"Raul M. Grijalva (D-Ariz) ","Arizona District 03Current office: Arizona District 07","$908544"
"Doris O. Matsui (D-Calif) ","California District 06Current office: California District 05","$908449"
"Mo Brooks (R-Ala) ","Alabama District 05","$904753"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$901274"
"Sandy Adams (R-Fla) ","Florida District 07Current office: Florida District 24","$900864"
"Mike Honda (D-Calif) ","California District 17Current office: California District 15","$900844"
"John Carter (R-Texas) ","Texas District 31","$885684"
"Dennis Ross (R-Fla) ","Florida District 15Current office: Florida District 12","$883780"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$870614"
"William L. Clay Jr (D-Mo) ","Missouri District 01","$866835"
"Zoe Lofgren (D-Calif) ","California District 19Current office: California District 16","$858985"
"Tim Huelskamp (R-Kan) ","Kansas District 01","$857538"
"Mario Diaz-Balart (R-Fla) ","Florida District 25Current office: Florida District 21","$852973"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$852387"
"John Culberson (R-Texas) ","Texas District 07","$842045"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$831886"
"Raul Labrador (R-Idaho) ","Idaho District 01","$830196"
"Kenny Marchant (R-Texas) ","Texas District 24","$829632"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$825518"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$823446"
"Tom Marino (R-Pa) ","Pennsylvania District 10","$822420"
"Jason Chaffetz (R-Utah) ","Utah District 03","$807595"
"Mick Mulvaney (R-SC) ","South Carolina District 05","$798055"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$795483"
"Pete Visclosky (D-Ind) ","Indiana District 01","$785240"
"Donna Edwards (D-Md) ","Maryland District 04","$783056"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$779237"
"Edolphus Towns (D-NY) ","New York District 08Current office: New York District 10","$771007"
"Barney Frank (D-Mass) ","Massachusetts District 04","$760064"
"Gus Bilirakis (R-Fla) ","Florida District 12Current office: Florida District 09","$758988"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$746273"
"Yvette D. Clarke (D-NY) ","New York District 09Current office: New York District 11","$743730"
"George Miller (D-Calif) ","California District 11Current office: California District 07","$743547"
"Tom Petri (R-Wis) ","Wisconsin District 06","$743349"
"Louis B. Gohmert Jr (R-Texas) ","Texas District 01","$742347"
"Gregory W. Meeks (D-NY) ","New York District 05Current office: New York District 06","$740897"
"Sam Farr (D-Calif) ","California District 20Current office: California District 17","$735679"
"Jeff Miller (R-Fla) ","Florida District 01","$731601"
"Hansen Clarke (D-Mich) ","Michigan District 14Current office: Michigan District 13","$730170"
"Maxine Waters (D-Calif) ","California District 43Current office: California District 35","$729888"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 08Current office: Massachusetts District 09","$729836"
"Trey Gowdy (R-SC) ","South Carolina District 04","$728767"
"Mike Quigley (D-Ill) ","Illinois District 05","$728591"
"Walter B. Jones Jr (R-NC) ","North Carolina District 03","$716405"
"Cynthia Marie Lummis (R-Wyo) ","Wyoming District 01","$715314"
"Cliff Stearns (R-Fla) ","Florida District 03Current office: Florida District 06","$712777"
"Phil Roe (R-Tenn) ","Tennessee District 01","$706756"
"Jeff Duncan (R-SC) ","South Carolina District 03","$698728"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$698414"
"Douglas L. Lamborn (R-Colo) ","Colorado District 05","$696044"
"Karen Bass (D-Calif) ","California District 37Current office: California District 33","$692989"
"Marcia L. Fudge (D-Ohio) ","Ohio District 11","$689197"
"Nydia M. Velazquez (D-NY) ","New York District 07Current office: New York District 12","$674524"
"Candice S. Miller (R-Mich) ","Michigan District 10","$674170"
"Albio Sires (D-NJ) ","New Jersey District 08Current office: New Jersey District 13","$663827"
"Jean Schmidt (R-Ohio) ","Ohio District 02","$663415"
"Chris Smith (R-NJ) ","New Jersey District 04","$658474"
"Alcee L. Hastings (D-Fla) ","Florida District 20Current office: Florida District 23","$652963"
"John J. Duncan Jr (R-Tenn) ","Tennessee District 02","$650922"
"Susan A. Davis (D-Calif) ","California District 53","$647362"
"Norm Dicks (D-Wash) ","Washington District 06","$629113"
"Jim McDermott (D-Wash) ","Washington District 07","$611670"
"Corrine Brown (D-Fla) ","Florida District 05Current office: Florida District 03","$610072"
"David Rivera (R-Fla) ","Florida District 26Current office: Florida District 25","$609503"
"Richard Nugent (R-Fla) ","Florida District 11Current office: Florida District 05","$600551"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$600451"
"Laura Richardson (D-Calif) ","California District 44Current office: California District 37","$599696"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$592033"
"Lucille Roybal-Allard (D-Calif) ","California District 40Current office: California District 34","$581440"
"Timothy Johnson (R-Ill) ","Illinois District 13Current office: Illinois District 15","$564919"
"Ralph M. Hall (R-Texas) ","Texas District 04","$563641"
"Heath Shuler (D-NC) ","North Carolina District 11","$558992"
"F. James Sensenbrenner Jr (R-Wis) ","Wisconsin District 05","$554920"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$554638"
"Donald M. Payne Jr (D-NJ) ","New Jersey District 10","$553327"
"Ander Crenshaw (R-Fla) ","Florida District 04","$543227"
"Grace Napolitano (D-Calif) ","California District 32Current office: California District 38","$540770"
"Frederica Wilson (D-Fla) ","Florida District 24Current office: Florida District 17","$534032"
"Howard Coble (R-NC) ","North Carolina District 06","$531611"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$498765"
"Dana Rohrabacher (R-Calif) ","California District 48Current office: California District 46","$493392"
"Steve Austria (R-Ohio) ","Ohio District 10Current office: Ohio District 07","$457335"
