"Representative","Office Running For","Total Raised"
"Mark Kirk (R-Ill) ","Illinois SenateCurrent office: Illinois District 10","$14305287"
"Michele Bachmann (R-Minn) ","Minnesota District 06","$13562811"
"Joe Sestak (D-Pa) ","Pennsylvania SenateCurrent office: Pennsylvania District 07","$13548332"
"Roy Blunt (R-Mo) ","Missouri SenateCurrent office: Missouri District 07","$11932403"
"John Boehner (R-Ohio) ","Ohio District 08","$9796947"
"Kendrick B. Meek (D-Fla) ","Florida SenateCurrent office: Florida District 17","$9632322"
"Eric Cantor (R-Va) ","Virginia District 07","$5955025"
"Alan Grayson (D-Fla) ","Florida District 08","$5928282"
"Scott Murphy (D-NY) ","New York District 20","$5366128"
"Paul W. Hodes (D-NH) ","New Hampshire SenateCurrent office: New Hampshire District 02","$4939739"
"Joe Wilson (R-SC) ","South Carolina District 02","$4739095"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$4511873"
"Patrick J. Murphy (D-Pa) ","Pennsylvania District 08","$4246047"
"Jerry Moran (R-Kan) ","Kansas SenateCurrent office: Kansas District 01","$4154081"
"Barney Frank (D-Mass) ","Massachusetts District 04","$4052944"
"Charles Melancon (D-La) ","Louisiana SenateCurrent office: Louisiana District 03","$3957917"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$3922760"
"Bill Foster (D-Ill) ","Illinois District 14","$3804082"
"Ron Klein (D-Fla) ","Florida District 22","$3776867"
"Tom Perriello (D-Va) ","Virginia District 05","$3775363"
"Michael E. Capuano (D-Mass) ","Massachusetts District 08","$3699635"
"Chet Edwards (D-Texas) ","Texas District 17","$3686768"
"John Boozman (R-Ark) ","Arkansas SenateCurrent office: Arkansas District 03","$3680529"
"Jim Himes (D-Conn) ","Connecticut District 04","$3660498"
"Betsy Markey (D-Colo) ","Colorado District 04","$3505293"
"Gabrielle Giffords (D-Ariz) ","Arizona District 08","$3504410"
"Michael N. Castle (R-Del) ","Delaware SenateCurrent office: Delaware District 01","$3499586"
"James E. Clyburn (D-SC) ","South Carolina District 06","$3319719"
"John H. Adler (D-NJ) ","New Jersey District 03","$3301321"
"Gary Peters (D-Mich) ","Michigan District 09","$3284646"
"Todd Tiahrt (R-Kan) ","Kansas SenateCurrent office: Kansas District 04","$3273759"
"Mark Schauer (D-Mich) ","Michigan District 07","$3255382"
"Jerry McNerney (D-Calif) ","California District 11","$3208078"
"Dan Maffei (D-NY) ","New York District 25","$3192682"
"Timothy H. Bishop (D-NY) ","New York District 01","$3066831"
"Carolyn B. Maloney (D-NY) ","New York District 14","$3052944"
"Dave Camp (R-Mich) ","Michigan District 04","$3051808"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$3048387"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$3041995"
"Christopher S. Murphy (D-Conn) ","Connecticut District 05","$3034971"
"Charles B. Rangel (D-NY) ","New York District 15","$2937509"
"Ike Skelton (D-Mo) ","Missouri District 04","$2923038"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$2906212"
"Bill Owens (D-NY) ","New York District 23","$2829090"
"Dave Reichert (R-Wash) ","Washington District 08","$2793788"
"Martin Heinrich (D-NM) ","New Mexico District 01","$2750081"
"Michael E. McMahon (D-NY) ","New York District 13","$2716161"
"Charles Djou (R-Hawaii) ","Hawaii District 01","$2698779"
"Deborah Halvorson (D-Ill) ","Illinois District 11","$2695432"
"Allen Boyd (D-Fla) ","Florida District 02","$2690989"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$2688948"
"Zack (D-Ohio) ","Ohio District 18","$2687568"
"Mike Pence (R-Ind) ","Indiana District 06","$2684316"
"Mary Jo Kilroy (D-Ohio) ","Ohio District 15","$2680124"
"Walt Minnick (D-Idaho) ","Idaho District 01","$2649048"
"Frank Kratovil (D-Md) ","Maryland District 01","$2642168"
"Rick Boucher (D-Va) ","Virginia District 09","$2639353"
"Rush Holt (D-NJ) ","New Jersey District 12","$2616604"
