"Representative","Office Running For","Total Raised"
"Nancy Pelosi (D-Calif) ","California District 08","$2597319"
"Dina Titus (D-Nev) ","Nevada District 03","$2565868"
"Steve Israel (D-NY) ","New York District 02","$2547657"
"Suzanne Kosmas (D-Fla) ","Florida District 24","$2540354"
"Jason Altmire (D-Pa) ","Pennsylvania District 04","$2503953"
"Judy Chu (D-Calif) ","California District 32","$2502171"
"Edwin G. Perlmutter (D-Colo) ","Colorado District 07","$2443962"
"Mark Critz (D-Pa) ","Pennsylvania District 12","$2437268"
"Gerry Connolly (D-Va) ","Virginia District 11","$2435798"
"Mary Bono Mack (R-Calif) ","California District 45","$2427224"
"Mike Ross (D-Ark) ","Arkansas District 04","$2426280"
"Charlie Dent (R-Pa) ","Pennsylvania District 15","$2415571"
"John B. Larson (D-Conn) ","Connecticut District 01","$2401252"
"Peter Roskam (R-Ill) ","Illinois District 06","$2381858"
"Joe Barton (R-Texas) ","Texas District 06","$2377715"
"Brad Ellsworth (D-Ind) ","Indiana SenateCurrent office: Indiana District 08","$2368351"
"Sander Levin (D-Mich) ","Michigan District 12","$2345155"
"Aaron Schock (R-Ill) ","Illinois District 18","$2300387"
"Melissa Bean (D-Ill) ","Illinois District 08","$2292879"
"Richard E. Neal (D-Mass) ","Massachusetts District 02","$2273405"
"Glenn Nye (D-Va) ","Virginia District 02","$2260985"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$2235780"
"Shelley Berkley (D-Nev) ","Nevada District 01","$2232438"
"John Hall (D-NY) ","New York District 19","$2176219"
"Harry Mitchell (D-Ariz) ","Arizona District 05","$2174509"
"Baron Hill (D-Ind) ","Indiana District 09","$2167449"
"Timothy J. Walz (D-Minn) ","Minnesota District 01","$2163759"
"Pete Sessions (R-Texas) ","Texas District 32","$2153120"
"Russ Carnahan (D-Mo) ","Missouri District 03","$2127173"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$2120901"
"Bruce Braley (D-Iowa) ","Iowa District 01","$2098471"
"Kevin McCarthy (R-Calif) ","California District 22","$2091010"
"Harry Teague (D-NM) ","New Mexico District 02","$2088025"
"Stephanie Herseth Sandlin (D-SD) ","South Dakota District 01","$2086660"
"Joseph Cao (R-La) ","Louisiana District 02","$2079915"
"Vernon Buchanan (R-Fla) ","Florida District 13","$2078743"
"Steve Kagen (D-Wis) ","Wisconsin District 08","$2076971"
"John A. Boccieri (D-Ohio) ","Ohio District 16","$2071652"
"Tom Price (R-Ga) ","Georgia District 06","$2070230"
"John Salazar (D-Colo) ","Colorado District 03","$2067198"
"Nita M. Lowey (D-NY) ","New York District 18","$2062770"
"Loretta Sanchez (D-Calif) ","California District 47","$2056345"
"John M. Spratt Jr (D-SC) ","South Carolina District 05","$2035361"
"Paul Broun (R-Ga) ","Georgia District 10","$2032417"
"Rick Larsen (D-Wash) ","Washington District 02","$2028596"
"Kathy Dahlkemper (D-Pa) ","Pennsylvania District 03","$2028593"
"Dan Lungren (R-Calif) ","California District 03","$2025541"
"Joseph Crowley (D-NY) ","New York District 07","$2022922"
"Fred Upton (R-Mich) ","Michigan District 06","$2014321"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$2006543"
"Ted Deutch (D-Fla) ","Florida District 19","$2002626"
"John D. Dingell (D-Mich) ","Michigan District 15","$1960195"
"Ann Kirkpatrick (D-Ariz) ","Arizona District 01","$1957922"
"John Barrow (D-Ga) ","Georgia District 12","$1951721"
"Greg Walden (R-Ore) ","Oregon District 02","$1944720"
"Niki Tsongas (D-Mass) ","Massachusetts District 05","$1933422"
"Steve Driehaus (D-Ohio) ","Ohio District 01","$1930201"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 20","$1930111"
"Lee Terry (R-Neb) ","Nebraska District 02","$1924726"
"Howard L. Berman (D-Calif) ","California District 28","$1914073"
"Mike Thompson (D-Calif) ","California District 01","$1912475"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1901713"
"Paul E. Kanjorski (D-Pa) ","Pennsylvania District 11","$1877477"
"Kurt Schrader (D-Ore) ","Oregon District 05","$1872837"
"Tom McClintock (R-Calif) ","California District 04","$1871674"
"Mike Arcuri (D-NY) ","New York District 24","$1863854"
"Ron Kind (D-Wis) ","Wisconsin District 03","$1857853"
"John M. Shimkus (R-Ill) ","Illinois District 19","$1845128"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$1841766"
"James P. McGovern (D-Mass) ","Massachusetts District 03","$1839052"
"Travis Childers (D-Miss) ","Mississippi District 01","$1817037"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$1808681"
"Jim Matheson (D-Utah) ","Utah District 02","$1803801"
"Betty Sue Sutton (D-Ohio) ","Ohio District 13","$1799214"
"Ed Royce (R-Calif) ","California District 40","$1797849"
"Jim Costa (D-Calif) ","California District 20","$1795156"
"Joe Courtney (D-Conn) ","Connecticut District 02","$1781959"
"Mike Rogers (R-Mich) ","Michigan District 08","$1778687"
"John Garamendi (D-Calif) ","California District 10","$1764504"
"Scott Garrett (R-NJ) ","New Jersey District 05","$1757865"
"James L. Oberstar (D-Minn) ","Minnesota District 08","$1757326"
"Jeb Hensarling (R-Texas) ","Texas District 05","$1745500"
"Brad Sherman (D-Calif) ","California District 27","$1743592"
"Christopher J. Lee (R-NY) ","New York District 26","$1727161"
"Joe Donnelly (D-Ind) ","Indiana District 02","$1718200"
"Xavier Becerra (D-Calif) ","California District 31","$1716196"
"Pete King (R-NY) ","New York District 03","$1713817"
"Carolyn McCarthy (D-NY) ","New York District 04","$1684444"
"Charles W. Boustany Jr (R-La) ","Louisiana District 07","$1677845"
"Ben Chandler (D-Ky) ","Kentucky District 06","$1674100"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$1668779"
"Ken Calvert (R-Calif) ","California District 44","$1663591"
"Carol Shea-Porter (D-NH) ","New Hampshire District 01","$1647774"
"Edolphus Towns (D-NY) ","New York District 10","$1632842"
"Anthony D. Weiner (D-NY) ","New York District 09","$1628372"
"Michael McCaul (R-Texas) ","Texas District 10","$1624577"
"Chris Carney (D-Pa) ","Pennsylvania District 10","$1617154"
"Ciro D. Rodriguez (D-Texas) ","Texas District 23","$1616735"
"Dan Boren (D-Okla) ","Oklahoma District 02","$1615296"
"Geoff Davis (R-Ky) ","Kentucky District 04","$1591164"
"Judy Biggert (R-Ill) ","Illinois District 13","$1584517"
"Bill Cassidy (R-La) ","Louisiana District 06","$1584256"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$1563193"
"John Kline (R-Minn) ","Minnesota District 02","$1552172"
"Henry A. Waxman (D-Calif) ","California District 30","$1538103"
"David Wu (D-Ore) ","Oregon District 01","$1537849"
"John A. Yarmuth (D-Ky) ","Kentucky District 03","$1537401"
"Edward J. Markey (D-Mass) ","Massachusetts District 07","$1535340"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$1531270"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1520106"
"Leonard Boswell (D-Iowa) ","Iowa District 03","$1519582"
"Bill Pascrell Jr (D-NJ) ","New Jersey District 08","$1499697"
"Jim Marshall (D-Ga) ","Georgia District 08","$1496152"
"Darrell Issa (R-Calif) ","California District 49","$1495193"
"Lincoln Davis (D-Tenn) ","Tennessee District 04","$1488038"
"Dean Heller (R-Nev) ","Nevada District 02","$1487453"
"Sanford Bishop (D-Ga) ","Georgia District 02","$1485600"
"Lynn Jenkins (R-Kan) ","Kansas District 02","$1471057"
"Raul M. Grijalva (D-Ariz) ","Arizona District 07","$1470861"
"Anna Eshoo (D-Calif) ","California District 14","$1464393"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$1455172"
"Parker Griffith (R-Ala) ","Alabama District 05","$1453350"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$1453240"
"John Fleming (R-La) ","Louisiana District 04","$1448369"
"Tom Rooney (R-Fla) ","Florida District 16","$1426151"
"Spencer Bachus (R-Ala) ","Alabama District 06","$1415672"
"Bob Etheridge (D-NC) ","North Carolina District 02","$1414630"
"Bobby Bright (D-Ala) ","Alabama District 02","$1413032"
"Norm Dicks (D-Wash) ","Washington District 06","$1412760"
"Jay Inslee (D-Wash) ","Washington District 01","$1403962"
"Keith Ellison (D-Minn) ","Minnesota District 05","$1397497"
"Phil Gingrey (R-Ga) ","Georgia District 11","$1389039"
"Denny Rehberg (R-Mont) ","Montana District 01","$1384402"
"Adam Schiff (D-Calif) ","California District 29","$1378951"
"David R. Obey (D-Wis) ","Wisconsin District 07","$1378417"
"Frank R. Wolf (R-Va) ","Virginia District 10","$1365313"
"Phil Hare (D-Ill) ","Illinois District 17","$1364578"
"Tim Holden (D-Pa) ","Pennsylvania District 17","$1363850"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 09","$1358842"
"Steve Scalise (R-La) ","Louisiana District 01","$1358024"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$1351182"
"Heath Shuler (D-NC) ","North Carolina District 11","$1347011"
"Kay Granger (R-Texas) ","Texas District 12","$1341260"
"Leonard Lance (R-NJ) ","New Jersey District 07","$1341109"
"Tom Latham (R-Iowa) ","Iowa District 04","$1329211"
"Mike McIntyre (D-NC) ","North Carolina District 07","$1320793"
"Peter DeFazio (D-Ore) ","Oregon District 04","$1315473"
"Lamar Smith (R-Texas) ","Texas District 21","$1312958"
"Tom Graves (R-Ga) ","Georgia District 09","$1312938"
"Jim Moran (D-Va) ","Virginia District 08","$1312117"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$1309373"
"Jerrold Nadler (D-NY) ","New York District 08","$1304217"
"Mike Quigley (D-Ill) ","Illinois District 05","$1301374"
"Rob Wittman (R-Va) ","Virginia District 01","$1292243"
"Steve LaTourette (R-Ohio) ","Ohio District 14","$1290686"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$1286059"
"Chellie Pingree (D-Maine) ","Maine District 01","$1282675"
"Pete Olson (R-Texas) ","Texas District 22","$1268559"
"Nick Rahall (D-WVa) ","West Virginia District 03","$1261182"
"Rodney Alexander (R-La) ","Louisiana District 05","$1260755"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1259409"
"Buck Mckeon (R-Calif) ","California District 25","$1254590"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$1253306"
"Jared Polis (D-Colo) ","Colorado District 02","$1248539"
"Henry Cuellar (D-Texas) ","Texas District 28","$1247643"
"David Dreier (R-Calif) ","California District 26","$1243191"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$1233305"
"John Campbell (R-Calif) ","California District 48","$1232266"
"Solomon P. Ortiz (D-Texas) ","Texas District 27","$1223982"
"Devin Nunes (R-Calif) ","California District 21","$1223376"
"Brian P. Bilbray (R-Calif) ","California District 50","$1207757"
"John L. Mica (R-Fla) ","Florida District 07","$1205985"
"Jane Harman (D-Calif) ","California District 36","$1203707"
"Lloyd Doggett (D-Texas) ","Texas District 25","$1200342"
"Thaddeus G. McCotter (R-Mich) ","Michigan District 11","$1195301"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$1194114"
"Dennis Cardoza (D-Calif) ","California District 18","$1180308"
"Ben R. Lujan (D-NM) ","New Mexico District 03","$1176087"
"Collin Peterson (D-Minn) ","Minnesota District 07","$1174500"
"Maurice Hinchey (D-NY) ","New York District 22","$1161667"
"Don Manzullo (R-Ill) ","Illinois District 16","$1160685"
"Barbara Lee (D-Calif) ","California District 09","$1156049"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$1151408"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$1141732"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$1137058"
"John Conyers Jr (D-Mich) ","Michigan District 14","$1137010"
"Randy Neugebauer (R-Texas) ","Texas District 19","$1135652"
"Dan Burton (R-Ind) ","Indiana District 05","$1131679"
"David Loebsack (D-Iowa) ","Iowa District 02","$1122051"
"Brian M. Higgins (D-NY) ","New York District 27","$1115608"
"Alan B. Mollohan (D-WVa) ","West Virginia District 01","$1114513"
"Sam Johnson (R-Texas) ","Texas District 03","$1110253"
"Gary Ackerman (D-NY) ","New York District 05","$1109041"
"Larry Kissell (D-NC) ","North Carolina District 08","$1104141"
"Mike Conaway (R-Texas) ","Texas District 11","$1098814"
"Jim Langevin (D-RI) ","Rhode Island District 02","$1095292"
"Bill Posey (R-Fla) ","Florida District 15","$1094169"
"Gus Bilirakis (R-Fla) ","Florida District 09","$1088911"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$1085315"
"Tom Reed (R-NY) ","New York District 29","$1081565"
"Gene Green (D-Texas) ","Texas District 29","$1080909"
"Tim Ryan (D-Ohio) ","Ohio District 17","$1071074"
"Glenn Thompson (R-Pa) ","Pennsylvania District 05","$1069415"
"Jackie Speier (D-Calif) ","California District 12","$1060953"
"Charlie Wilson (D-Ohio) ","Ohio District 06","$1057441"
"Sam Graves (R-Mo) ","Missouri District 06","$1057245"
"Doc Hastings (R-Wash) ","Washington District 04","$1056585"
"Jean Schmidt (R-Ohio) ","Ohio District 02","$1048529"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$1044840"
"Mike Michaud (D-Maine) ","Maine District 02","$1044372"
"Silvestre Reyes (D-Texas) ","Texas District 16","$1044123"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$1044042"
"Sue Myrick (R-NC) ","North Carolina District 09","$1038833"
"Jack Kingston (R-Ga) ","Georgia District 01","$1028917"
"Kevin Brady (R-Texas) ","Texas District 08","$1028855"
"Peter Welch (D-Vt) ","Vermont District 01","$1027181"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$1024225"
"Michael Burgess (R-Texas) ","Texas District 26","$1019693"
"Patrick McHenry (R-NC) ","North Carolina District 10","$1015155"
"Steven A. King (R-Iowa) ","Iowa District 05","$1015039"
"Ed Pastor (D-Ariz) ","Arizona District 04","$1014291"
"John Lewis (D-Ga) ","Georgia District 05","$1013992"
"Wally Herger (R-Calif) ","California District 02","$1010415"
"Bob Goodlatte (R-Va) ","Virginia District 06","$1006727"
"Don Young (R-Alaska) ","Alaska District 01","$1001015"
"John Carter (R-Texas) ","Texas District 31","$997508"
"David Price (D-NC) ","North Carolina District 04","$994557"
"Mazie K. Hirono (D-Hawaii) ","Hawaii District 02","$992526"
"Randy Forbes (R-Va) ","Virginia District 04","$987976"
"Paul Tonko (D-NY) ","New York District 21","$987959"
"Ron Paul (R-Texas) ","Texas District 14","$986269"
"Eliot L. Engel (D-NY) ","New York District 17","$981834"
"Dennis Kucinich (D-Ohio) ","Ohio District 10","$972635"
"George Miller (D-Calif) ","California District 07","$972502"
"Corrine Brown (D-Fla) ","Florida District 03","$966669"
"Trent Franks (R-Ariz) ","Arizona District 02","$965569"
"Connie Mack (R-Fla) ","Florida District 14","$963782"
"Lois Capps (D-Calif) ","California District 23","$955565"
"Adam Smith (D-Wash) ","Washington District 09","$948533"
"Andre Carson (D-Ind) ","Indiana District 07","$946229"
"Adrian Smith (R-Neb) ","Nebraska District 03","$943619"
"Bob Filner (D-Calif) ","California District 51","$943216"
"John Sullivan (R-Okla) ","Oklahoma District 01","$940406"
"Brad Miller (D-NC) ","North Carolina District 13","$930351"
"Charlie A. Gonzalez (D-Texas) ","Texas District 20","$921601"
"Gregory W. Meeks (D-NY) ","New York District 06","$917283"
"Jo Bonner (R-Ala) ","Alabama District 01","$913053"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 09","$911231"
"John Sarbanes (D-Md) ","Maryland District 03","$908856"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$904748"
"Mike Coffman (R-Colo) ","Colorado District 06","$904466"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$901893"
"Hal Rogers (R-Ky) ","Kentucky District 05","$895671"
"Pete Visclosky (D-Ind) ","Indiana District 01","$891338"
"Kathy Castor (D-Fla) ","Florida District 11","$887033"
"Ted Poe (R-Texas) ","Texas District 02","$876075"
"John W. Olver (D-Mass) ","Massachusetts District 01","$863992"
"David Scott (D-Ga) ","Georgia District 13","$862262"
"Virginia Foxx (R-NC) ","North Carolina District 05","$853579"
"Tom Cole (R-Okla) ","Oklahoma District 04","$852384"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$852099"
"Jim Jordan (R-Ohio) ","Ohio District 04","$850292"
"Lynn Woolsey (D-Calif) ","California District 06","$846466"
"Betty McCollum (D-Minn) ","Minnesota District 04","$844301"
"Nydia M. Velazquez (D-NY) ","New York District 12","$838912"
"Doris O. Matsui (D-Calif) ","California District 05","$835400"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$828588"
"Gene Taylor (D-Miss) ","Mississippi District 04","$828148"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$828117"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$825310"
"Diana DeGette (D-Colo) ","Colorado District 01","$825016"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$796200"
"Jesse Jackson Jr (D-Ill) ","Illinois District 02","$795723"
"Louis B. Gohmert Jr (R-Texas) ","Texas District 01","$793679"
"Mike Simpson (R-Idaho) ","Idaho District 02","$792074"
"Steve Austria (R-Ohio) ","Ohio District 07","$785806"
"Lynn A. Westmoreland (R-Ga) ","Georgia District 03","$785044"
"Elton Gallegly (R-Calif) ","California District 24","$783257"
"Zoe Lofgren (D-Calif) ","California District 16","$782100"
"Alcee L. Hastings (D-Fla) ","Florida District 23","$780445"
"Cynthia Marie Lummis (R-Wyo) ","Wyoming District 01","$780426"
"John Culberson (R-Texas) ","Texas District 07","$779425"
"Mike Honda (D-Calif) ","California District 15","$773921"
"Cliff Stearns (R-Fla) ","Florida District 06","$771907"
"Todd Akin (R-Mo) ","Missouri District 02","$767798"
"Gary Miller (R-Calif) ","California District 42","$767700"
"Duncan D. Hunter (R-Calif) ","California District 52","$765971"
"Michael R. Turner (R-Ohio) ","Ohio District 03","$764224"
"Candice S. Miller (R-Mich) ","Michigan District 10","$761649"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$759218"
"Joe Baca (D-Calif) ","California District 43","$758696"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$752199"
"Patrick J. Kennedy (D-RI) ","Rhode Island District 01","$750867"
"Chris Smith (R-NJ) ","New Jersey District 04","$748363"
"Mario Diaz-Balart (R-Fla) ","Florida District 21Current office: Florida District 25","$739771"
"Tom Petri (R-Wis) ","Wisconsin District 06","$737019"
"Yvette D. Clarke (D-NY) ","New York District 11","$733049"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$726537"
"Linda Sanchez (D-Calif) ","California District 39","$723863"
"Louise M. Slaughter (D-NY) ","New York District 28","$720705"
"Gregg Harper (R-Miss) ","Mississippi District 03","$715014"
"Sam Farr (D-Calif) ","California District 17","$704177"
"C. W. Bill Young (R-Fla) ","Florida District 10","$697978"
"Maxine Waters (D-Calif) ","California District 35","$694021"
"William L. Clay Jr (D-Mo) ","Missouri District 01","$693370"
"Mac Thornberry (R-Texas) ","Texas District 13","$689960"
"Jerry Lewis (R-Calif) ","California District 41","$688155"
"Donna Edwards (D-Md) ","Maryland District 04","$672650"
"Walter B. Jones Jr (R-NC) ","North Carolina District 03","$672357"
"Ralph M. Hall (R-Texas) ","Texas District 04","$664579"
"Albio Sires (D-NJ) ","New Jersey District 13","$657768"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$652273"
"Bob Inglis (R-SC) ","South Carolina District 04","$649827"
"Jason Chaffetz (R-Utah) ","Utah District 03","$647194"
"Carolyn Cheeks Kilpatrick (D-Mich) ","Michigan District 13","$645241"
"Laura Richardson (D-Calif) ","California District 37","$639928"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$637380"
"Susan A. Davis (D-Calif) ","California District 53","$623886"
"Dale E. Kildee (D-Mich) ","Michigan District 05","$622561"
"Donald M. Payne (D-NJ) ","New Jersey District 10","$617759"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$613624"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$609898"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$604719"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$603253"
"Marlin Stutzman (R-Ind) ","Indiana District 03","$597306"
"Danny K. Davis (D-Ill) ","Illinois District 07","$593861"
"Robert E. Latta (R-Ohio) ","Ohio District 05","$591070"
"Jim McDermott (D-Wash) ","Washington District 07","$582232"
"Hank Johnson (D-Ga) ","Georgia District 04","$581545"
"Lucille Roybal-Allard (D-Calif) ","California District 34","$577788"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$575393"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$568390"
"Jeff Miller (R-Fla) ","Florida District 01","$567898"
"John J. Duncan Jr (R-Tenn) ","Tennessee District 02","$566844"
"Marcia L. Fudge (D-Ohio) ","Ohio District 11","$566127"
"Ander Crenshaw (R-Fla) ","Florida District 04","$554327"
"Bart Stupak (D-Mich) ","Michigan District 01","$551014"
"Kenny Marchant (R-Texas) ","Texas District 24","$542265"
"Jeff Flake (R-Ariz) ","Arizona District 06","$538758"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$532447"
"Phil Roe (R-Tenn) ","Tennessee District 01","$518529"
"Ginny Brown-Waite (R-Fla) ","Florida District 05","$515415"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$512939"
"Howard Coble (R-NC) ","North Carolina District 06","$503434"
"Pete Stark (D-Calif) ","California District 13","$487385"
"John Tanner (D-Tenn) ","Tennessee District 08","$479882"
"Dennis Moore (D-Kan) ","Kansas District 03","$460991"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$458055"
"Bobby Scott (D-Va) ","Virginia District 03","$444548"
"Al Green (D-Texas) ","Texas District 09","$443131"
"Marion Berry (D-Ark) ","Arkansas District 01","$431119"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$425600"
"F. James Sensenbrenner Jr (R-Wis) ","Wisconsin District 05","$419147"
"George Radanovich (R-Calif) ","California District 19","$414028"
"Steve Buyer (R-Ind) ","Indiana District 04","$406644"
"Dana Rohrabacher (R-Calif) ","California District 46","$404285"
"Grace Napolitano (D-Calif) ","California District 38","$391824"
"John Shadegg (R-Ariz) ","Arizona District 03","$385088"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$383655"
"Jose E. Serrano (D-NY) ","New York District 16","$373374"
"Timothy Johnson (R-Ill) ","Illinois District 15","$342063"
"Douglas L. Lamborn (R-Colo) ","Colorado District 05","$338476"
"Pedro Pierluisi (3-PR) ","Puerto Rico District 00","$336491"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$334113"
"Henry Brown (R-SC) ","South Carolina District 01","$333748"
"Donna Christian-Christensen (D-VI) ","Virgin Islands District 00","$279153"
"Rob Bishop (R-Utah) ","Utah District 01","$278327"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$249189"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$222121"
"Diane E. Watson (D-Calif) ","California District 33","$220380"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$218611"
"Brian Baird (D-Wash) ","Washington District 03","$147942"
"John Linder (R-Ga) ","Georgia District 07","$146982"
"Vernon J. Ehlers (R-Mich) ","Michigan District 03","$140210"
"Artur Davis (D-Ala) ","Alabama District 07","$115560"
"Gresham Barrett (R-SC) ","South Carolina District 03","$101812"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$65510"
"Adam H. Putnam (R-Fla) ","Florida District 12","$41839"
"Zach Wamp (R-Tenn) ","Tennessee District 03","$11536"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$7320"
"Vic Snyder (D-Ark) ","Arkansas District 02","$349"
