"Representative","Office Running For","Total Raised"
"Vicente Gonzalez (D-Texas) ","Texas District 15","$1310242"
"Evan Jenkins (R-WVa) ","West Virginia SenateCurrent office: West Virginia District 03","$1305532"
"Rosa L DeLauro (D-Conn) ","Connecticut District 03","$1297847"
"Debbie Dingell (D-Mich) ","Michigan District 12","$1291890"
"Ted Deutch (D-Fla) ","Florida District 22","$1278145"
"Matt Gaetz (R-Fla) ","Florida District 01","$1278061"
"Francis Rooney (R-Fla) ","Florida District 19","$1264233"
"Diana DeGette (D-Colo) ","Colorado District 01","$1259631"
"Chuck Fleischmann (R-Tenn) ","Tennessee District 03","$1254808"
"Joe Wilson (R-SC) ","South Carolina District 02","$1252337"
"Drew Ferguson (R-Ga) ","Georgia District 03","$1248869"
"Vicky Hartzler (R-Mo) ","Missouri District 04","$1248454"
"Bill Shuster (R-Pa) ","Pennsylvania District 13Current office: Pennsylvania District 09","$1245295"
"Jimmy Panetta (D-Calif) ","California District 20","$1244800"
"Jim Jordan (R-Ohio) ","Ohio District 04","$1239307"
"Kenny Marchant (R-Texas) ","Texas District 24","$1238182"
"Rob Woodall (R-Ga) ","Georgia District 07","$1237369"
"Don Young (R-Alaska) ","Alaska District 01","$1227283"
"Michael R Turner (R-Ohio) ","Ohio District 10","$1227261"
"Katherine Clark (D-Mass) ","Massachusetts District 05","$1223164"
"David McKinley (R-WVa) ","West Virginia District 01","$1221936"
"Roger Marshall (R-Kan) ","Kansas District 01","$1220562"
"Jerry McNerney (D-Calif) ","California District 09","$1220017"
"Adrian Smith (R-Neb) ","Nebraska District 03","$1219588"
"Bill Keating (D-Mass) ","Massachusetts District 09","$1214381"
"Mark Amodei (R-Nev) ","Nevada District 02","$1207363"
"Steve Womack (R-Ark) ","Arkansas District 03","$1203446"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$1202702"
"Gary Palmer (R-Ala) ","Alabama District 06","$1194141"
"Mike Johnson (R-La) ","Louisiana District 04","$1186685"
"Rob Bishop (R-Utah) ","Utah District 01","$1184984"
"Brendan Boyle (D-Pa) ","Pennsylvania District 02Current office: Pennsylvania District 13","$1173414"
"Duncan D Hunter (R-Calif) ","California District 50","$1171872"
"James P McGovern (D-Mass) ","Massachusetts District 02","$1170272"
"John Moolenaar (R-Mich) ","Michigan District 04","$1168833"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$1166215"
"Jamie Raskin (D-Md) ","Maryland District 08","$1164008"
"Morgan Griffith (R-Va) ","Virginia District 09","$1163575"
"Brian Babin (R-Texas) ","Texas District 36","$1158533"
"Dan Kildee (D-Mich) ","Michigan District 05","$1158022"
"Rick Larsen (D-Wash) ","Washington District 02","$1147124"
"Joe Courtney (D-Conn) ","Connecticut District 02","$1145994"
"Jim Langevin (D-RI) ","Rhode Island District 02","$1135330"
"Dan Newhouse (R-Wash) ","Washington District 04","$1131484"
"Robert Pittenger (R-NC) ","North Carolina District 09","$1126157"
