"Representative","Office Running For","Total Raised"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$19811897"
"Patrick Murphy (D-Fla) ","Florida SenateCurrent office: Florida District 18","$18575732"
"Tammy Duckworth (D-Ill) ","Illinois SenateCurrent office: Illinois District 08","$16364966"
"Joe Heck (R-Nev) ","Nevada SenateCurrent office: Nevada District 03","$12190604"
"Chris Van Hollen (D-Md) ","Maryland SenateCurrent office: Maryland District 08","$11875663"
"Todd Young (R-Ind) ","Indiana SenateCurrent office: Indiana District 09","$10205343"
"Ann Kirkpatrick (D-Ariz) ","Arizona SenateCurrent office: Arizona District 01","$9136500"
"Alan Grayson (D-Fla) ","Florida SenateCurrent office: Florida District 09","$8729520"
"Kevin McCarthy (R-Calif) ","California District 23","$7735577"
"Martha McSally (R-Ariz) ","Arizona District 02","$7699932"
"Ryan K Zinke (R-Mont) ","Montana District 01","$5557720"
"Charles W Boustany Jr (R-La) ","Louisiana SenateCurrent office: Louisiana District 03","$5520729"
"Bob Dold (R-Ill) ","Illinois District 10","$5410425"
"Mia Love (R-Utah) ","Utah District 04","$5377438"
"Barbara Comstock (R-Va) ","Virginia District 10","$5279626"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$4939819"
"Kevin Brady (R-Texas) ","Texas District 08","$4808899"
"Ron DeSantis (R-Fla) ","Florida District 06","$4678618"
"Patrick J Tiberi (R-Ohio) ","Ohio District 12","$4555939"
"John Fleming (R-La) ","Louisiana SenateCurrent office: Louisiana District 04","$4516668"
"Ed Royce (R-Calif) ","California District 39","$4436570"
"Lee Zeldin (R-NY) ","New York District 01","$4405395"
"Nancy Pelosi (D-Calif) ","California District 12","$4318119"
"Loretta Sanchez (D-Calif) ","California SenateCurrent office: California District 46","$4203150"
"Kyrsten Sinema (D-Ariz) ","Arizona District 09","$4171189"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$4081437"
"Ami Bera (D-Calif) ","California District 07","$4078146"
"Will Hurd (R-Texas) ","Texas District 23","$4061685"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 23","$4009404"
"Carlos Curbelo (R-Fla) ","Florida District 26","$3862766"
"Steny H Hoyer (D-Md) ","Maryland District 05","$3721894"
"Sean Patrick Maloney (D-NY) ","New York District 18","$3568008"
"Steve Scalise (R-La) ","Louisiana District 01","$3565928"
"Mike Coffman (R-Colo) ","Colorado District 06","$3515601"
"Scott Peters (D-Calif) ","California District 52","$3508602"
"Cheri Bustos (D-Ill) ","Illinois District 17","$3504463"
"Donna Edwards (D-Md) ","Maryland SenateCurrent office: Maryland District 04","$3500328"
"Bruce Poliquin (R-Maine) ","Maine District 02","$3385351"
"Jeff Denham (R-Calif) ","California District 10","$3336740"
"Julia Brownley (D-Calif) ","California District 26","$3290603"
"Greg Walden (R-Ore) ","Oregon District 02","$3275202"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$3245571"
"Kevin Yoder (R-Kan) ","Kansas District 03","$3223942"
"John M Shimkus (R-Ill) ","Illinois District 15","$3199189"
"Patrick McHenry (R-NC) ","North Carolina District 10","$3192579"
"Raul Ruiz (D-Calif) ","California District 36","$3161739"
"Ann Mclane Kuster (D-NH) ","New Hampshire District 02","$3159505"
"Joe Kennedy III (D-Mass) ","Massachusetts District 04","$3131066"
"Elise Stefanik (R-NY) ","New York District 21","$3130388"
"Tom Reed (R-NY) ","New York District 23","$3101846"
"Rick Nolan (D-Minn) ","Minnesota District 08","$3029107"
"Joseph Crowley (D-NY) ","New York District 14","$2995004"
"Peter Roskam (R-Ill) ","Illinois District 06","$2988266"
"Steve Stivers (R-Ohio) ","Ohio District 15","$2965260"
"Mike Honda (D-Calif) ","California District 17","$2964838"
"Fred Upton (R-Mich) ","Michigan District 06","$2935518"
"Pete Aguilar (D-Calif) ","California District 31","$2891161"
"Bill Foster (D-Ill) ","Illinois District 11","$2886538"
"Darrell Issa (R-Calif) ","California District 49","$2854882"
"Keith Ellison (D-Minn) ","Minnesota District 05","$2784931"
"David Valadao (R-Calif) ","California District 21","$2768474"
"George Holding (R-NC) ","North Carolina District 02Current office: North Carolina District 13","$2695481"
"John Katko (R-NY) ","New York District 24","$2656070"
"Rodney Davis (R-Ill) ","Illinois District 13","$2626499"
"Seth Moulton (D-Mass) ","Massachusetts District 06","$2595540"
"Darin LaHood (R-Ill) ","Illinois District 18","$2529337"
"Andy Barr (R-Ky) ","Kentucky District 06","$2519652"
"Brad Ashford (D-Neb) ","Nebraska District 02","$2502645"
"David Young (R-Iowa) ","Iowa District 03","$2492691"
"Ryan Costello (R-Pa) ","Pennsylvania District 06","$2463529"
"Devin Nunes (R-Calif) ","California District 22","$2459235"
"Patrick Meehan (R-Pa) ","Pennsylvania District 07","$2419636"
"Scott Garrett (R-NJ) ","New Jersey District 05","$2411570"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$2409149"
"Tim Walberg (R-Mich) ","Michigan District 07","$2403861"
"Pete Sessions (R-Texas) ","Texas District 32","$2392920"
"Tom Price (R-Ga) ","Georgia District 06","$2336891"
"Kristi Noem (R-SD) ","South Dakota District 01","$2328820"
"Ann L Wagner (R-Mo) ","Missouri District 02","$2313941"
"Mike Bost (R-Ill) ","Illinois District 12","$2313250"
"Sean P Duffy (R-Wis) ","Wisconsin District 07","$2296295"
"Jeb Hensarling (R-Texas) ","Texas District 05","$2237757"
"Tulsi Gabbard (D-Hawaii) ","Hawaii District 02","$2220302"
