"Representative","Office Running For","Total Raised"
"Steve Scalise (R-La) ","Louisiana District 01","$37262827"
"Kevin McCarthy (R-Calif) ","California District 23","$27780644"
"Nancy Pelosi (D-Calif) ","California District 12","$27359508"
"Devin Nunes (R-Calif) ","California District 22","$26825212"
"Alexandria Ocasio-Cortez (D-NY) ","New York District 14","$20664795"
"Dan Crenshaw (R-Texas) ","Texas District 02","$19427865"
"Adam Schiff (D-Calif) ","California District 28","$19382855"
"Jim Jordan (R-Ohio) ","Ohio District 04","$18313823"
"Katie Porter (D-Calif) ","California District 45","$16627706"
"Elise Stefanik (R-NY) ","New York District 21","$13287248"
"Mike Garcia (R-Calif) ","California District 25","$9962507"
"Joe Kennedy III (D-Mass) ","Massachusetts SenateCurrent office: Massachusetts District 04","$9598223"
"Max Rose (D-NY) ","New York District 11","$9284434"
"Ben Ray Lujan (D-NM) ","New Mexico SenateCurrent office: New Mexico District 03","$9083639"
"Elissa Slotkin (D-Mich) ","Michigan District 08","$8967420"
"Lucy McBath (D-Ga) ","Georgia District 06","$8507298"
"Lee Zeldin (R-NY) ","New York District 01","$8396981"
"Abigail Spanberger (D-Va) ","Virginia District 07","$8387680"
"Xochitl Torres Small (D-NM) ","New Mexico District 02","$8387337"
"Lauren A Underwood (D-Ill) ","Illinois District 14","$7803579"
"Josh Gottheimer (D-NJ) ","New Jersey District 05","$7694027"
"Tom Malinowski (D-NJ) ","New Jersey District 07","$7414403"
"Josh Harder (D-Calif) ","California District 10","$7400135"
"Andy Kim (D-NJ) ","New Jersey District 03","$7241283"
"Joe Cunningham (D-SC) ","South Carolina District 01","$6941746"
"Debbie Mucarsel-Powell (D-Fla) ","Florida District 26","$6793521"
"Doug Collins (R-Ga) ","Georgia SenateCurrent office: Georgia District 09","$6705461"
"Roger Marshall (R-Kan) ","Kansas SenateCurrent office: Kansas District 01","$6609476"
"Elaine Luria (D-Va) ","Virginia District 02","$6522276"
"Mikie Sherrill (D-NJ) ","New Jersey District 11","$6419707"
"Raja Krishnamoorthi (D-Ill) ","Illinois District 08","$6358878"
"Lizzie Fletcher (D-Texas) ","Texas District 07","$6265165"
"Cindy Axne (D-Iowa) ","Iowa District 03","$6236976"
"Brian Mast (R-Fla) ","Florida District 18","$6128177"
"Anthony Brindisi (D-NY) ","New York District 22","$6020190"
"Harley Rouda (D-Calif) ","California District 48","$5968858"
"Kendra Horn (D-Okla) ","Oklahoma District 05","$5949800"
"Antonio Delgado (D-NY) ","New York District 19","$5949475"
"Matt Gaetz (R-Fla) ","Florida District 01","$5946646"
"Abby Finkenauer (D-Iowa) ","Iowa District 01","$5901441"
"Haley Stevens (D-Mich) ","Michigan District 11","$5776924"
"Ilhan Omar (D-Minn) ","Minnesota District 05","$5718517"
"TJ Cox (D-Calif) ","California District 21","$5695157"
"Colin Allred (D-Texas) ","Texas District 32","$5667725"
"Sharice Davids (D-Kan) ","Kansas District 03","$5638552"
"Ben McAdams (D-Utah) ","Utah District 04","$5613542"
"Ann L Wagner (R-Mo) ","Missouri District 02","$5598287"
"Sean Casten (D-Ill) ","Illinois District 06","$5582179"
"Kim Schrier (D-Wash) ","Washington District 08","$5422491"
"Angie Craig (D-Minn) ","Minnesota District 02","$5380101"
"Jared Golden (D-Maine) ","Maine District 02","$5272142"
"Peter DeFazio (D-Ore) ","Oregon District 04","$5182843"
"Chip Roy (R-Texas) ","Texas District 21","$5005639"
"Cheri Bustos (D-Ill) ","Illinois District 17","$4975192"
"Richard E Neal (D-Mass) ","Massachusetts District 01","$4949384"
"Rodney Davis (R-Ill) ","Illinois District 13","$4943459"
"Susie Lee (D-Nev) ","Nevada District 03","$4748019"
"Steny H Hoyer (D-Md) ","Maryland District 05","$4587189"
"Susan Wild (D-Pa) ","Pennsylvania District 07","$4581056"
"Jaime Herrera Beutler (R-Wash) ","Washington District 03","$4566383"
"Andy Barr (R-Ky) ","Kentucky District 06","$4536264"
"Gil Cisneros (D-Calif) ","California District 39","$4370133"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$4349448"
"Jeff Van Drew (R-NJ) ","New Jersey District 02","$4229171"
"Brian Fitzpatrick (R-Pa) ","Pennsylvania District 01","$4203825"
