"Representative","Office Running For","Total Raised"
"Hakeem Jeffries (D-NY) ","New York District 08","$4168717"
"Jason Crow (D-Colo) ","Colorado District 06","$4136137"
"Richard Hudson (R-NC) ","North Carolina District 08","$4135872"
"Dan Bishop (R-NC) ","North Carolina District 09","$4090260"
"Conor Lamb (D-Pa) ","Pennsylvania District 17","$4063114"
"Rashida Tlaib (D-Mich) ","Michigan District 13","$4014411"
"Scott Perry (R-Pa) ","Pennsylvania District 10","$3956481"
"Matt Cartwright (D-Pa) ","Pennsylvania District 08","$3885136"
"Michael McCaul (R-Texas) ","Texas District 10","$3856477"
"Jennifer Wexton (D-Va) ","Virginia District 10","$3855331"
"Mike Levin (D-Calif) ","California District 49","$3845768"
"Donna Shalala (D-Fla) ","Florida District 27","$3842907"
"Ro Khanna (D-Calif) ","California District 17","$3837982"
"John Katko (R-NY) ","New York District 24","$3821107"
"Don Bacon (R-Neb) ","Nebraska District 02","$3749272"
"Fred Upton (R-Mich) ","Michigan District 06","$3616380"
"Kevin Brady (R-Texas) ","Texas District 08","$3570477"
"Bryan Steil (R-Wis) ","Wisconsin District 01","$3500849"
"Steven Horsford (D-Nev) ","Nevada District 04","$3492372"
"Chrissy Houlahan (D-Pa) ","Pennsylvania District 06","$3484484"
"Brad Schneider (D-Ill) ","Illinois District 10","$3459512"
"James E Clyburn (D-SC) ","South Carolina District 06","$3406945"
"French Hill (R-Ark) ","Arkansas District 02","$3384490"
"Tom O'Halleran (D-Ariz) ","Arizona District 01","$3381353"
"Tom Reed (R-NY) ","New York District 23","$3275177"
"Darin LaHood (R-Ill) ","Illinois District 18","$3248113"
"Frank Pallone Jr. (D-NJ) ","New Jersey District 06","$3231755"
"Chris Pappas (D-NH) ","New Hampshire District 01","$3205731"
"Mike Gallagher (R-Wis) ","Wisconsin District 08","$3202905"
"Steve Chabot (R-Ohio) ","Ohio District 01","$3177647"
"Kay Granger (R-Texas) ","Texas District 12","$3161288"
"Stephanie Murphy (D-Fla) ","Florida District 07","$3124692"
"Greg Pence (R-Ind) ","Indiana District 06","$3114448"
"Vernon Buchanan (R-Fla) ","Florida District 16","$3094611"
"Carolyn B Maloney (D-NY) ","New York District 12","$3067173"
"Steve Stivers (R-Ohio) ","Ohio District 15","$3004799"
"Liz Cheney (R-Wyo) ","Wyoming District 01","$3003883"
"Ron Kind (D-Wis) ","Wisconsin District 03","$2989262"
"Ann Kuster (D-NH) ","New Hampshire District 02","$2960033"
"Eliot Engel (D-NY) ","New York District 16","$2946250"
"David Trone (D-Md) ","Maryland District 06","$2944893"
"Tom Suozzi (D-NY) ","New York District 03","$2941006"
"David P Joyce (R-Ohio) ","Ohio District 14","$2917696"
"Bradley Byrne (R-Ala) ","Alabama SenateCurrent office: Alabama District 01","$2908790"
"Eric Swalwell (D-Calif) ","California District 15","$2807774"
"Tom Emmer (R-Minn) ","Minnesota District 06","$2804265"
"Patrick McHenry (R-NC) ","North Carolina District 10","$2780234"
"Charlie Crist (D-Fla) ","Florida District 13","$2720646"
"Collin Peterson (D-Minn) ","Minnesota District 07","$2714012"
"Van Taylor (R-Texas) ","Texas District 03","$2655327"
"Henry Cuellar (D-Texas) ","Texas District 28","$2655317"
"Tom Tiffany (R-Wis) ","Wisconsin District 07","$2637459"
"Pramila Jayapal (D-Wash) ","Washington District 07","$2630000"
"Pete Stauber (R-Minn) ","Minnesota District 08","$2593190"
"Sean Patrick Maloney (D-NY) ","New York District 18","$2556294"
"Michael Waltz (R-Fla) ","Florida District 06","$2549667"
"Derek Kilmer (D-Wash) ","Washington District 06","$2524026"
"Jodey Arrington (R-Texas) ","Texas District 19","$2497184"
"Pete Aguilar (D-Calif) ","California District 31","$2475748"
"Roger Williams (R-Texas) ","Texas District 25","$2435121"
"Raul Ruiz (D-Calif) ","California District 36","$2402624"
"Jim Hagedorn (R-Minn) ","Minnesota District 01","$2386033"
"Jackie Walorski (R-Ind) ","Indiana District 02","$2383467"
"Bill Foster (D-Ill) ","Illinois District 11","$2381354"
"Drew Ferguson (R-Ga) ","Georgia District 03","$2374212"
"Anthony Gonzalez (R-Ohio) ","Ohio District 16","$2338195"
"Dean Phillips (D-Minn) ","Minnesota District 03","$2328616"
"Buddy Carter (R-Ga) ","Georgia District 01","$2315487"
"Tim Walberg (R-Mich) ","Michigan District 07","$2301635"
"Ted Budd (R-NC) ","North Carolina District 13","$2294174"
"David Schweikert (R-Ariz) ","Arizona District 06","$2265329"
"Guy Reschenthaler (R-Pa) ","Pennsylvania District 14","$2250282"
"Debra Haaland (D-NM) ","New Mexico District 01","$2246734"
"Mike Kelly (R-Pa) ","Pennsylvania District 16","$2239488"
"Joyce Beatty (D-Ohio) ","Ohio District 03","$2237887"
"Don Norcross (D-NJ) ","New Jersey District 01","$2221989"
"Karen Bass (D-Calif) ","California District 37","$2216467"
"Mike Thompson (D-Calif) ","California District 05","$2208136"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 23","$2191922"
"Suzan DelBene (D-Wash) ","Washington District 01","$2182985"
"Bill Huizenga (R-Mich) ","Michigan District 02","$2175411"
"Terri A Sewell (D-Ala) ","Alabama District 07","$2168165"
"Ayanna Pressley (D-Mass) ","Massachusetts District 07","$2163370"
"John Carter (R-Texas) ","Texas District 31","$2160187"
"Alex Mooney (R-WVa) ","West Virginia District 02","$2155978"
"Chris Jacobs (R-NY) ","New York District 27","$2147101"
"Jim Costa (D-Calif) ","California District 16","$2135525"
"Salud Carbajal (D-Calif) ","California District 24","$2117836"
"Anna Eshoo (D-Calif) ","California District 18","$2114909"
"Adam Kinzinger (R-Ill) ","Illinois District 16","$2105736"
"Gregory W Meeks (D-NY) ","New York District 05","$2097572"
"Jamie Raskin (D-Md) ","Maryland District 08","$2072652"
"Tom McClintock (R-Calif) ","California District 04","$2053363"
"Jahana Hayes (D-Conn) ","Connecticut District 05","$2037826"
"Lisa Blunt Rochester (D-Del) ","Delaware District 01","$2024201"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03","$2022905"
"Kurt Schrader (D-Ore) ","Oregon District 05","$2018692"
"Troy Balderson (R-Ohio) ","Ohio District 12","$2016826"
"Jimmy Panetta (D-Calif) ","California District 20","$2009894"
"Greg Stanton (D-Ariz) ","Arizona District 09","$2001619"
"Gerry Connolly (D-Va) ","Virginia District 11","$1998592"
"Ron Estes (R-Kan) ","Kansas District 04","$1993808"
"Julia Brownley (D-Calif) ","California District 26","$1976695"
"Tim Ryan (D-Ohio) ","Ohio District 13","$1972446"
"Rob Wittman (R-Va) ","Virginia District 01","$1969785"
"Sam Graves (R-Mo) ","Missouri District 06","$1959516"
"Rosa L DeLauro (D-Conn) ","Connecticut District 03","$1938999"
"Don Young (R-Alaska) ","Alaska District 01","$1922901"
"Mike Bost (R-Ill) ","Illinois District 12","$1918041"
"Scott Peters (D-Calif) ","California District 52","$1911791"
"Jason Smith (R-Mo) ","Missouri District 08","$1900227"
"Val Demings (D-Fla) ","Florida District 10","$1876047"
"John Bergman (R-Mich) ","Michigan District 01","$1868512"
"Bill Johnson (R-Ohio) ","Ohio District 06","$1866123"
"Virginia Foxx (R-NC) ","North Carolina District 05","$1858388"
"Ann Kirkpatrick (D-Ariz) ","Arizona District 02","$1849862"
"Jerrold Nadler (D-NY) ","New York District 10","$1848688"
"Maxine Waters (D-Calif) ","California District 43","$1836660"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$1834801"
"Barbara Lee (D-Calif) ","California District 13","$1828213"
"Glenn S Grothman (R-Wis) ","Wisconsin District 06","$1815756"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$1813365"
"Tom Cole (R-Okla) ","Oklahoma District 04","$1812530"
"Ruben Gallego (D-Ariz) ","Arizona District 07","$1811754"
"Michael Burgess (R-Texas) ","Texas District 26","$1806588"
"Brad Wenstrup (R-Ohio) ","Ohio District 02","$1794354"
"Katherine Clark (D-Mass) ","Massachusetts District 05","$1788706"
"Greg Murphy (R-NC) ","North Carolina District 03","$1767790"
"Ami Bera (D-Calif) ","California District 07","$1757748"
"Zoe Lofgren (D-Calif) ","California District 19","$1755555"
"Michael R Turner (R-Ohio) ","Ohio District 10","$1752255"
"Garret Graves (R-La) ","Louisiana District 06","$1743015"
"Don Beyer (D-Va) ","Virginia District 08","$1729482"
"Vicky Hartzler (R-Mo) ","Missouri District 04","$1700978"
"Glenn Thompson (R-Pa) ","Pennsylvania District 15","$1700061"
"Dusty Johnson (R-SD) ","South Dakota District 01","$1693504"
"Dan Kildee (D-Mich) ","Michigan District 05","$1669951"
"Ted Lieu (D-Calif) ","California District 33","$1661436"
"Markwayne Mullin (R-Okla) ","Oklahoma District 02","$1660206"
"Joe Wilson (R-SC) ","South Carolina District 02","$1648065"
"David Kustoff (R-Tenn) ","Tennessee District 08","$1641217"
"Robin Kelly (D-Ill) ","Illinois District 02","$1634783"
"Ed Perlmutter (D-Colo) ","Colorado District 07","$1632262"
"Debbie Dingell (D-Mich) ","Michigan District 12","$1630498"
"David Rouzer (R-NC) ","North Carolina District 07","$1628458"
"Cedric Richmond (D-La) ","Louisiana District 02","$1628289"
"Marc Veasey (D-Texas) ","Texas District 33","$1621929"
"Jim Himes (D-Conn) ","Connecticut District 04","$1612935"
"Lance Gooden (R-Texas) ","Texas District 05","$1610327"
"Debbie Lesko (R-Ariz) ","Arizona District 08","$1605245"
"Gus Bilirakis (R-Fla) ","Florida District 12","$1604137"
"Andy Biggs (R-Ariz) ","Arizona District 05","$1602181"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$1590134"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$1587837"
"Robert E Latta (R-Ohio) ","Ohio District 05","$1580952"
"David Cicilline (D-RI) ","Rhode Island District 01","$1574854"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 09","$1560550"
"Brendan Boyle (D-Pa) ","Pennsylvania District 02","$1556650"
"Paul Tonko (D-NY) ","New York District 20","$1541984"
"Fred Keller (R-Pa) ","Pennsylvania District 12","$1541938"
"Sanford Bishop (D-Ga) ","Georgia District 02","$1540683"
"Lois J Frankel (D-Fla) ","Florida District 21","$1534882"
"John Moolenaar (R-Mich) ","Michigan District 04","$1528612"
"Brad Sherman (D-Calif) ","California District 30","$1513374"
"Jeff Duncan (R-SC) ","South Carolina District 03","$1509647"
"Adrian Smith (R-Neb) ","Nebraska District 03","$1506473"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$1472816"
"Andy Harris (R-Md) ","Maryland District 01","$1468096"
"Thomas Massie (R-Ky) ","Kentucky District 04","$1457316"
"Mary Gay Scanlon (D-Pa) ","Pennsylvania District 05","$1455042"
"Lori Trahan (D-Mass) ","Massachusetts District 03","$1449303"
"Anthony Brown (D-Md) ","Maryland District 04","$1446636"
"Ken Calvert (R-Calif) ","California District 42","$1441812"
"Madeleine Dean (D-Pa) ","Pennsylvania District 04","$1435995"
"Tony Cardenas (D-Calif) ","California District 29","$1419697"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$1412797"
"Bruce Westerman (R-Ark) ","Arkansas District 04","$1407770"
"Tom Rice (R-SC) ","South Carolina District 07","$1405738"
"Jimmy Gomez (D-Calif) ","California District 34","$1401166"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$1393847"
"Chris Smith (R-NJ) ","New Jersey District 04","$1383085"
"Bennie G Thompson (D-Miss) ","Mississippi District 02","$1377392"
"John B Larson (D-Conn) ","Connecticut District 01","$1377238"
"Joseph D Morelle (D-NY) ","New York District 25","$1375366"
"Denver Riggleman (R-Va) ","Virginia District 05","$1370793"
"Ted Deutch (D-Fla) ","Florida District 22","$1364438"
"Greg Walden (R-Ore) ","Oregon District 02","$1356393"
"Joseph Neguse (D-Colo) ","Colorado District 02","$1353325"
"Lloyd Smucker (R-Pa) ","Pennsylvania District 11","$1349318"
"Brian Babin (R-Texas) ","Texas District 36","$1345351"
"Lloyd Doggett (D-Texas) ","Texas District 35","$1336576"
"Tim Burchett (R-Tenn) ","Tennessee District 02","$1336276"
"Adam Smith (D-Wash) ","Washington District 09","$1324761"
"Billy Long (R-Mo) ","Missouri District 07","$1320420"
"Andy Levin (D-Mich) ","Michigan District 09","$1316607"
"Jenniffer Gonzalez (3-PR) ","Puerto Rico District 00","$1306012"
"Mike Johnson (R-La) ","Louisiana District 04","$1299787"
"Grace Meng (D-NY) ","New York District 06","$1292084"
"Mark Pocan (D-Wis) ","Wisconsin District 02","$1290582"
"Seth Moulton (D-Mass) ","Massachusetts District 06","$1289805"
"Rick Larsen (D-Wash) ","Washington District 02","$1275127"
"Kelly Armstrong (R-ND) ","North Dakota District 01","$1269346"
"Robert B Aderholt (R-Ala) ","Alabama District 04","$1255076"
"Linda Sanchez (D-Calif) ","California District 38","$1246008"
"Richard W Allen (R-Ga) ","Georgia District 12","$1228970"
"Doug LaMalfa (R-Calif) ","California District 01","$1219556"
"Judy Chu (D-Calif) ","California District 27","$1213706"
"David Scott (D-Ga) ","Georgia District 13","$1209614"
"Jim Banks (R-Ind) ","Indiana District 03","$1202509"
"Diana DeGette (D-Colo) ","Colorado District 01","$1201026"
"Yvette D Clarke (D-NY) ","New York District 09","$1200067"
"Mark Green (R-Tenn) ","Tennessee District 07","$1194960"
"Mike D Rogers (R-Ala) ","Alabama District 03","$1193111"
"Lou Correa (D-Calif) ","California District 46","$1192715"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$1183995"
"Jerry McNerney (D-Calif) ","California District 09","$1177959"
"Nanette Barragan (D-Calif) ","California District 44","$1173909"
"Dan Newhouse (R-Wash) ","Washington District 04","$1173464"
"Betty McCollum (D-Minn) ","Minnesota District 04","$1171748"
"Mike Quigley (D-Ill) ","Illinois District 05","$1171507"
"Trey Hollingsworth (R-Ind) ","Indiana District 09","$1166754"
"David Price (D-NC) ","North Carolina District 04","$1161738"
"Veronica Escobar (D-Texas) ","Texas District 16","$1135549"
"Steve Womack (R-Ark) ","Arkansas District 03","$1127158"
"Brian M Higgins (D-NY) ","New York District 26","$1124168"
"John Joyce (R-Pa) ","Pennsylvania District 13","$1119769"
"Darren Soto (D-Fla) ","Florida District 09","$1111750"
"Kathleen Rice (D-NY) ","New York District 04","$1106258"
"Jim Langevin (D-RI) ","Rhode Island District 02","$1102312"
"Kevin Hern (R-Okla) ","Oklahoma District 01","$1094104"
"David McKinley (R-WVa) ","West Virginia District 01","$1092609"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$1090395"
"Adriano Espaillat (D-NY) ","New York District 13","$1087237"
"Brenda Lawrence (D-Mich) ","Michigan District 14","$1084662"
"Will Hurd (R-Texas) ","Texas District 23","$1081941"
"Dan Meuser (R-Pa) ","Pennsylvania District 09","$1071961"
"John Garamendi (D-Calif) ","California District 03","$1054066"
"James P McGovern (D-Mass) ","Massachusetts District 02","$1052549"
"Chuck Fleischmann (R-Tenn) ","Tennessee District 03","$1051653"
"Larry Bucshon (R-Ind) ","Indiana District 08","$1051336"
"John Rose (R-Tenn) ","Tennessee District 06","$1050429"
"Mark Amodei (R-Nev) ","Nevada District 02","$1048056"
"Scott Tipton (R-Colo) ","Colorado District 03","$1047558"
"G K Butterfield (D-NC) ","North Carolina District 01","$1032869"
"John Rutherford (R-Fla) ","Florida District 04","$1024912"
"Mark Takano (D-Calif) ","California District 41","$1020456"
"Doris Matsui (D-Calif) ","California District 06","$1019605"
"Warren Davidson (R-Ohio) ","Ohio District 08","$1016740"
"Michael Cloud (R-Texas) ","Texas District 27","$1014427"
"Kweisi Mfume (D-Md) ","Maryland District 07","$1014126"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$1012835"
"Andre Carson (D-Ind) ","Indiana District 07","$1011635"
"Mike Simpson (R-Idaho) ","Idaho District 02","$1008847"
"Mike Doyle (D-Pa) ","Pennsylvania District 18","$1008711"
"Vicente Gonzalez (D-Texas) ","Texas District 15","$1008381"
"Justin Amash (L) ","2020 Presidential RaceCurrent office: Michigan District 03","$1001120"
"Ralph Norman (R-SC) ","South Carolina District 05","$991246"
"Bill Posey (R-Fla) ","Florida District 08","$985268"
"Filemon Vela (D-Texas) ","Texas District 34","$983026"
"William Timmons (R-SC) ","South Carolina District 04","$977784"
"Rick Crawford (R-Ark) ","Arkansas District 01","$966801"
"Joe Courtney (D-Conn) ","Connecticut District 02","$964731"
"Donald McEachin (D-Va) ","Virginia District 04","$961412"
"Suzanne Bonamici (D-Ore) ","Oregon District 01","$959223"
"George Holding (R-NC) ","North Carolina District 02","$944909"
"Jackie Speier (D-Calif) ","California District 14","$942934"
"Dwight Evans (D-Pa) ","Pennsylvania District 03","$942386"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$936569"
"Randy Weber (R-Texas) ","Texas District 14","$936202"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$924480"
"Steve Watkins (R-Kan) ","Kansas District 02","$913249"
"Ron Wright (R-Texas) ","Texas District 06","$912134"
"Gary Palmer (R-Ala) ","Alabama District 06","$907219"
"Stephen F Lynch (D-Mass) ","Massachusetts District 08","$905614"
"Jared Huffman (D-Calif) ","California District 02","$899419"
"Ben Cline (R-Va) ","Virginia District 06","$892955"
"Kathy Castor (D-Fla) ","Florida District 14","$884651"
"Barry Loudermilk (R-Ga) ","Georgia District 11","$877767"
"Trent Kelly (R-Miss) ","Mississippi District 01","$876882"
"John Curtis (R-Utah) ","Utah District 03","$874311"
"Morgan Griffith (R-Va) ","Virginia District 09","$873612"
"Bobby Scott (D-Va) ","Virginia District 03","$873126"
"Frank D Lucas (R-Okla) ","Oklahoma District 03","$872749"
"Carol Miller (R-WVa) ","West Virginia District 03","$869210"
"Ross Spano (R-Fla) ","Florida District 15","$862729"
"Al Lawson (D-Fla) ","Florida District 05","$848498"
"Peter Welch (D-Vt) ","Vermont District 01","$847320"
"Raul M Grijalva (D-Ariz) ","Arizona District 03","$843560"
"Chris Stewart (R-Utah) ","Utah District 02","$835139"
"Alma Adams (D-NC) ","North Carolina District 12","$824124"
"Jesus Garcia (D-Ill) ","Illinois District 04","$822846"
"Austin Scott (R-Ga) ","Georgia District 08","$821745"
"Sylvia Garcia (D-Texas) ","Texas District 29","$818984"
"Steven Palazzo (R-Miss) ","Mississippi District 04","$817129"
"William L Clay Jr. (D-Mo) ","Missouri District 01","$813393"
"Mark Walker (R-NC) ","North Carolina District 06","$812350"
"Nydia M Velazquez (D-NY) ","New York District 07","$803217"
"Juan Vargas (D-Calif) ","California District 51","$799734"
"Bonnie Watson Coleman (D-NJ) ","New Jersey District 12","$798439"
"Bob Gibbs (R-Ohio) ","Ohio District 07","$791888"
"Michael Patrick Guest (R-Miss) ","Mississippi District 03","$766807"
"Greg Steube (R-Fla) ","Florida District 17","$759908"
"Marcia Fudge (D-Ohio) ","Ohio District 11","$755787"
"Clay Higgins (R-La) ","Louisiana District 03","$751498"
"Lucille Roybal-Allard (D-Calif) ","California District 40","$739790"
"James Comer (R-Ky) ","Kentucky District 01","$736116"
"Tulsi Gabbard (D) ","2020 Presidential RaceCurrent office: Hawaii District 02","$728411"
"Bill Keating (D-Mass) ","Massachusetts District 09","$708680"
"Dina Titus (D-Nev) ","Nevada District 01","$706193"
"Daniel Webster (R-Fla) ","Florida District 11","$691261"
"Alan Lowenthal (D-Calif) ","California District 47","$678648"
"Joaquin Castro (D-Texas) ","Texas District 20","$674061"
"Hal Rogers (R-Ky) ","Kentucky District 05","$664168"
"John A Yarmuth (D-Ky) ","Kentucky District 03","$658295"
"Mo Brooks (R-Ala) ","Alabama District 05","$655365"
"Norma Torres (D-Calif) ","California District 35","$654727"
"Neal Dunn (R-Fla) ","Florida District 02","$653488"
"Nita M Lowey (D-NY) ","New York District 17","$644098"
"Hank Johnson (D-Ga) ","Georgia District 04","$628303"
"Paul Gosar (R-Ariz) ","Arizona District 04","$622151"
"Mark Desaulnier (D-Calif) ","California District 11","$610394"
"Alcee L Hastings (D-Fla) ","Florida District 20","$607649"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$607570"
"Albio Sires (D-NJ) ","New Jersey District 08","$605810"
"Jody Hice (R-Ga) ","Georgia District 10","$595947"
"Donald M Payne Jr. (D-NJ) ","New Jersey District 10","$593735"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$589096"
"Russ Fulcher (R-Idaho) ","Idaho District 01","$575485"
"John Sarbanes (D-Md) ","Maryland District 03","$573599"
"Louis B Gohmert Jr. (R-Texas) ","Texas District 01","$552915"
"Danny K Davis (D-Ill) ","Illinois District 07","$544690"
"Bobby L Rush (D-Ill) ","Illinois District 01","$541435"
"Douglas L Lamborn (R-Colo) ","Colorado District 05","$540712"
"John Shimkus (R-Ill) ","Illinois District 15","$529315"
"Ed Case (D-Hawaii) ","Hawaii District 01","$508249"
"Pete King (R-NY) ","New York District 02","$498012"
"Pete Olson (R-Texas) ","Texas District 22","$494726"
"Pete Visclosky (D-Ind) ","Indiana District 01","$488747"
"Chellie Pingree (D-Maine) ","Maine District 01","$487080"
"Ken Buck (R-Colo) ","Colorado District 04","$478984"
"Grace Napolitano (D-Calif) ","California District 32","$478426"
"Al Green (D-Texas) ","Texas District 09","$460332"
"Kenny Marchant (R-Texas) ","Texas District 24","$454043"
"Stacey Plaskett (D-VI) ","Virgin Islands District 00","$438578"
"Mac Thornberry (R-Texas) ","Texas District 13","$428819"
"Frederica Wilson (D-Fla) ","Florida District 24","$412592"
"Mike Conaway (R-Texas) ","Texas District 11","$410261"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$386989"
"Bill Flores (R-Texas) ","Texas District 17","$373523"
"Greg Gianforte (R-Mont) ","Montana District 01","$352725"
"Scott Desjarlais (R-Tenn) ","Tennessee District 04","$331464"
"Jim Baird (R-Ind) ","Indiana District 04","$327727"
"Paul Cook (R-Calif) ","California District 08","$312453"
"Dennis Heck (D-Wash) ","Washington District 10","$261822"
"Martha Roby (R-Ala) ","Alabama District 02","$250770"
"Susan Brooks (R-Ind) ","Indiana District 05","$192137"
"Phil Roe (R-Tenn) ","Tennessee District 01","$129584"
"David Loebsack (D-Iowa) ","Iowa District 02","$106918"
"Susan Davis (D-Calif) ","California District 53","$103492"
"Ted Yoho (R-Fla) ","Florida District 03","$90585"
"Michael San Nicolas (D-Guam) ","Guam District 00","$89356"
"Amata Coleman Radewagen (R-AS) ","American Samoa District 00","$75727"
"Jim Sensenbrenner (R-Wis) ","Wisconsin District 05","$62873"
"Jose E Serrano (D-NY) ","New York District 15","$12750"
"Rob Bishop (R-Utah) ","Utah District 01","$173"
"Francis Rooney (R-Fla) ","Florida District 19","-$561303"
