"Representative","Office Running For","Total Raised"
"Ron Paul (R) ","2008 Presidential RaceCurrent office: Texas District 14","$35121852"
"Mark Udall (D-Colo) ","Colorado SenateCurrent office: Colorado District 02","$11667048"
"Tom Tancredo (R) ","2008 Presidential RaceCurrent office: Colorado District 06","$8457239"
"Tom Udall (D-NM) ","New Mexico SenateCurrent office: New Mexico District 03","$7447684"
"Tom Allen (D-Maine) ","Maine SenateCurrent office: Maine District 01","$5998773"
"Dennis J Kucinich (D) ","2008 Presidential RaceCurrent office: Ohio District 10","$5524878"
"Mark Kirk (R-Ill) ","Illinois District 10","$5451604"
"John Boehner (R-Ohio) ","Ohio District 08","$5161985"
"Charles B Rangel (D-NY) ","New York District 15","$5093239"
"Ron Paul (R) ","Texas District 14","$5014283"
"Bill Foster (D-Ill) ","Illinois District 14","$4917715"
"Steve Pearce (R-NM) ","New Mexico SenateCurrent office: New Mexico District 02","$4690979"
"Kirsten Gillibrand (D-NY) ","New York District 20","$4649651"
"Vernon Buchanan (R-Fla) ","Florida District 13","$4374205"
"Eric Cantor (R-Va) ","Virginia District 07","$3990894"
"Patrick J Murphy (D-Pa) ","Pennsylvania District 08","$3964703"
"Ron Klein (D-Fla) ","Florida District 22","$3955503"
"Joseph A. Sestak Jr (D-Pa) ","Pennsylvania District 07","$3889073"
"Christopher Shays (R-Conn) ","Connecticut District 04","$3774740"
"Joe Knollenberg (R-Mich) ","Michigan District 09","$3774155"
"Robin Hayes (R-NC) ","North Carolina District 08","$3768678"
"Steny H Hoyer (D-Md) ","Maryland District 05","$3677188"
"Robert E Andrews (D-NJ) ","New Jersey District 01","$3629256"
"John P Murtha (D-Pa) ","Pennsylvania District 12","$3523106"
"Michele Bachmann (R-Minn) ","Minnesota District 06","$3494045"
"Gabrielle Giffords (D-Ariz) ","Arizona District 08","$3303130"
"Niki Tsongas (D-Mass) ","Massachusetts District 05","$3292898"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$3161116"
"Melissa Bean (D-Ill) ","Illinois District 08","$3107765"
"James E Clyburn (D-SC) ","South Carolina District 06","$3081315"
