"Representative","Office Running For","Cash on Hand"
"Adam Schiff (D-Calif) ","California District 28","$13908271"
"Devin Nunes (R-Calif) ","California District 22","$10908033"
"Katie Porter (D-Calif) ","California District 45","$10267752"
"Raja Krishnamoorthi (D-Ill) ","Illinois District 08","$8427847"
"Josh Gottheimer (D-NJ) ","New Jersey District 05","$8349098"
"Nancy Pelosi (D-Calif) ","California District 12","$6299373"
"Steve Scalise (R-La) ","Louisiana District 01","$6217720"
"Jim Jordan (R-Ohio) ","Ohio District 04","$6113812"
"Lloyd Doggett (D-Texas) ","Texas District 35","$5205475"
"Kevin McCarthy (R-Calif) ","California District 23","$4802133"
"Alexandria Ocasio-Cortez (D-NY) ","New York District 14","$4297383"
"Bill Foster (D-Ill) ","Illinois District 11","$3736201"
"Josh Harder (D-Calif) ","California District 10","$3469763"
"Frank Pallone Jr. (D-NJ) ","New Jersey District 06","$3337596"
"Mikie Sherrill (D-NJ) ","New Jersey District 11","$3131721"
"Julia Brownley (D-Calif) ","California District 26","$3113430"
"Chrissy Houlahan (D-Pa) ","Pennsylvania District 06","$3109257"
"Darin LaHood (R-Ill) ","Illinois District 18","$3090571"
"Antonio Delgado (D-NY) ","New York District 19","$3064789"
"Derek Kilmer (D-Wash) ","Washington District 06","$2988099"
"Gerry Connolly (D-Va) ","Virginia District 11","$2891921"
"Judy Chu (D-Calif) ","California District 27","$2781770"
"Brad Sherman (D-Calif) ","California District 30","$2624621"
"Kurt Schrader (D-Ore) ","Oregon District 05","$2516499"
"Richard E Neal (D-Mass) ","Massachusetts District 01","$2384564"
"Virginia Foxx (R-NC) ","North Carolina District 05","$2340884"
"Raul Ruiz (D-Calif) ","California District 36","$2316172"
"Alex Mooney (R-WVa) ","West Virginia District 02","$2308154"
"Ro Khanna (D-Calif) ","California District 17","$2261128"
"Terri A Sewell (D-Ala) ","Alabama District 07","$2243480"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03","$2205404"
"Hakeem Jeffries (D-NY) ","New York District 08","$2145322"
"Jennifer Wexton (D-Va) ","Virginia District 10","$2140698"
"Peter Welch (D-Vt) ","Vermont District 01","$2107307"
"Ami Bera (D-Calif) ","California District 07","$2029018"
"Garret Graves (R-La) ","Louisiana District 06","$2026909"
"Elise Stefanik (R-NY) ","New York District 21","$1983541"
"James E Clyburn (D-SC) ","South Carolina District 06","$1980495"
"Ted Lieu (D-Calif) ","California District 33","$1944364"
"Tom Suozzi (D-NY) ","New York District 03","$1930681"
"Don Norcross (D-NJ) ","New Jersey District 01","$1924664"
"Chuck Fleischmann (R-Tenn) ","Tennessee District 03","$1880341"
"Brad Schneider (D-Ill) ","Illinois District 10","$1873763"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$1856674"
"Dan Crenshaw (R-Texas) ","Texas District 02","$1852715"
