"Representative","Office Running For","Cash on Hand"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$3129902"
"Edward J. Markey (D-Mass) ","Massachusetts District 07","$3070415"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$3019881"
"Brad Sherman (D-Calif) ","California District 27","$3018533"
"Lloyd Doggett (D-Texas) ","Texas District 25","$2843337"
"Ed Royce (R-Calif) ","California District 40","$2334760"
"Richard E. Neal (D-Mass) ","Massachusetts District 02","$2175841"
"Cliff Stearns (R-Fla) ","Florida District 06","$2127387"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$2006871"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1907739"
"Michele Bachmann (R-Minn) ","Minnesota District 06","$1901650"
"Ron Paul (R-Texas) ","Texas District 14","$1855893"
"Pete King (R-NY) ","New York District 03","$1835787"
"Adam Schiff (D-Calif) ","California District 29","$1808986"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$1749352"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$1633082"
"Joe Barton (R-Texas) ","Texas District 06","$1522950"
"Dave Camp (R-Mich) ","Michigan District 04","$1476043"
"John J. Duncan Jr (R-Tenn) ","Tennessee District 02","$1467163"
"Jeb Hensarling (R-Texas) ","Texas District 05","$1449570"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$1405093"
"Ed Pastor (D-Ariz) ","Arizona District 04","$1391936"
"Phil Gingrey (R-Ga) ","Georgia District 11","$1292629"
"Virginia Foxx (R-NC) ","North Carolina District 05","$1204438"
"Kevin McCarthy (R-Calif) ","California District 22","$1200400"
"Jay Inslee (D-Wash) ","Washington District 01","$1194600"
"Donald M. Payne (D-NJ) ","New Jersey District 10","$1176799"
"Peter Roskam (R-Ill) ","Illinois District 06","$1172195"
"John M. Shimkus (R-Ill) ","Illinois District 19","$1135183"
"Mike Thompson (D-Calif) ","California District 01","$1122855"
"Howard L. Berman (D-Calif) ","California District 28","$1099413"
"Shelley Berkley (D-Nev) ","Nevada District 01","$1093268"
"Mike Rogers (R-Mich) ","Michigan District 08","$1088936"
"James E. Clyburn (D-SC) ","South Carolina District 06","$1069132"
"Michael N. Castle (R-Del) ","Delaware SenateCurrent office: Delaware District 01","$1053389"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1049477"
"Aaron Schock (R-Ill) ","Illinois District 18","$1042653"
"Tom Price (R-Ga) ","Georgia District 06","$1016398"
"Devin Nunes (R-Calif) ","California District 21","$1013853"
"Bill Pascrell Jr (D-NJ) ","New Jersey District 08","$1001848"
"Pete Sessions (R-Texas) ","Texas District 32","$998994"
"Henry A. Waxman (D-Calif) ","California District 30","$992019"
"Jackie Speier (D-Calif) ","California District 12","$959279"
"Peter Welch (D-Vt) ","Vermont District 01","$958669"
"Vernon Buchanan (R-Fla) ","Florida District 13","$956763"
"Jack Kingston (R-Ga) ","Georgia District 01","$947879"
"Ted Poe (R-Texas) ","Texas District 02","$947310"
"Joseph Crowley (D-NY) ","New York District 07","$934051"
"Eric Cantor (R-Va) ","Virginia District 07","$925447"
"Candice S. Miller (R-Mich) ","Michigan District 10","$901302"
"Dan Boren (D-Okla) ","Oklahoma District 02","$895260"
"Bill Cassidy (R-La) ","Louisiana District 06","$889070"
"John Tanner (D-Tenn) ","Tennessee District 08","$874624"
"Scott Garrett (R-NJ) ","New Jersey District 05","$860930"
"Gary Miller (R-Calif) ","California District 42","$860442"
"Lamar Smith (R-Texas) ","Texas District 21","$854768"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$849057"
"Tom Petri (R-Wis) ","Wisconsin District 06","$848410"
"Jim Jordan (R-Ohio) ","Ohio District 04","$843691"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$835222"
"Nydia M. Velazquez (D-NY) ","New York District 12","$826841"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$826704"
"Dean Heller (R-Nev) ","Nevada District 02","$814530"
"Jerrold Nadler (D-NY) ","New York District 08","$800929"
"Bob Goodlatte (R-Va) ","Virginia District 06","$795215"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$788848"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$756975"
"David Dreier (R-Calif) ","California District 26","$754595"
"Elton Gallegly (R-Calif) ","California District 24","$750809"
"Nita M. Lowey (D-NY) ","New York District 18","$743694"
"Christopher J. Lee (R-NY) ","New York District 26","$734780"
"John Campbell (R-Calif) ","California District 48","$717863"
"Hal Rogers (R-Ky) ","Kentucky District 05","$709125"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$704923"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$701831"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$698272"
"Rick Boucher (D-Va) ","Virginia District 09","$686090"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 09","$672586"
"Fred Upton (R-Mich) ","Michigan District 06","$665848"
"Randy Neugebauer (R-Texas) ","Texas District 19","$649613"
"Sam Johnson (R-Texas) ","Texas District 03","$632910"
"Jeff Flake (R-Ariz) ","Arizona District 06","$627852"
"Carolyn B. Maloney (D-NY) ","New York District 14","$627832"
"Xavier Becerra (D-Calif) ","California District 31","$621931"
"Greg Walden (R-Ore) ","Oregon District 02","$621333"
"Jerry Lewis (R-Calif) ","California District 41","$616249"
"Judy Chu (D-Calif) ","California District 32","$591814"
"Tom Latham (R-Iowa) ","Iowa District 04","$591043"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$583722"
"Gene Green (D-Texas) ","Texas District 29","$578920"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$578825"
"John Linder (R-Ga) ","Georgia District 07","$573574"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$566814"
"Charles W. Boustany Jr (R-La) ","Louisiana District 07","$561329"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$555541"
"Denny Rehberg (R-Mont) ","Montana District 01","$553160"
"John L. Mica (R-Fla) ","Florida District 07","$553083"
"Tom Cole (R-Okla) ","Oklahoma District 04","$550035"
"Ander Crenshaw (R-Fla) ","Florida District 04","$547613"
"Pete Stark (D-Calif) ","California District 13","$535004"
"Todd Akin (R-Mo) ","Missouri District 02","$532124"
"Anna Eshoo (D-Calif) ","California District 14","$513280"
"Gary Ackerman (D-NY) ","New York District 05","$502034"
"Thaddeus G. McCotter (R-Mich) ","Michigan District 11","$500362"
"Pete Visclosky (D-Ind) ","Indiana District 01","$495138"
"Mike Pence (R-Ind) ","Indiana District 06","$479570"
"Susan A. Davis (D-Calif) ","California District 53","$477874"
"Nick Rahall (D-WVa) ","West Virginia District 03","$471079"
"Brian Baird (D-Wash) ","Washington District 03","$470505"
"Mike Conaway (R-Texas) ","Texas District 11","$461659"
