"Representative","Office Running For","Cash on Hand"
"Dana Rohrabacher (R-Calif) ","California District 46","$257422"
"Henry Cuellar (D-Texas) ","Texas District 28","$257037"
"Adam H Putnam (R-Fla) ","Florida District 12","$255516"
"Charlie Wilson (D-Ohio) ","Ohio District 06","$254022"
"Eliot L Engel (D-NY) ","New York District 17","$253171"
"Zachary T Space (D-Ohio) ","Ohio District 18","$251165"
"Robert B Aderholt (R-Ala) ","Alabama District 04","$240172"
"Grace Napolitano (D-Calif) ","California District 38","$238192"
"Brad Ellsworth (D-Ind) ","Indiana District 08","$232767"
"Nathan Deal (R-Ga) ","Georgia District 09","$222513"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$214004"
"Chet Edwards (D-Texas) ","Texas District 17","$213241"
"Albio Sires (D-NJ) ","New Jersey District 13","$208014"
"John P Murtha (D-Pa) ","Pennsylvania District 12","$206959"
"Tom Feeney (R-Fla) ","Florida District 24","$206956"
"John Boehner (R-Ohio) ","Ohio District 08","$206305"
"Kirsten Gillibrand (D-NY) ","New York District 20","$202521"
"Ike Skelton (D-Mo) ","Missouri District 04","$201937"
"Gene Taylor (D-Miss) ","Mississippi District 04","$200443"
"Frank D Lucas (R-Okla) ","Oklahoma District 03","$199806"
"Adrian Smith (R-Neb) ","Nebraska District 03","$198753"
"Louis B Gohmert Jr (R-Texas) ","Texas District 01","$197458"
"Jim Langevin (D-RI) ","Rhode Island District 02","$196382"
"James T Walsh (R-NY) ","New York District 25","$195725"
"Ralph M Hall (R-Texas) ","Texas District 04","$195015"
"John Boozman (R-Ark) ","Arkansas District 03","$194777"
"Steven C LaTourette (R-Ohio) ","Ohio District 14","$190892"
"Carolyn McCarthy (D-NY) ","New York District 04","$189803"
"Linda Sanchez (D-Calif) ","California District 39","$189578"
"William L Clay Jr (D-Mo) ","Missouri District 01","$185952"
"Melissa Bean (D-Ill) ","Illinois District 08","$183708"
"Don Manzullo (R-Ill) ","Illinois District 16","$182747"
"Steven A King (R-Iowa) ","Iowa District 05","$180004"
"Charlie Dent (R-Pa) ","Pennsylvania District 15","$178644"
"Thad McCotter (R-Mich) ","Michigan District 11","$175575"
"Dennis Moore (D-Kan) ","Kansas District 03","$174686"
"Barney Frank (D-Mass) ","Massachusetts District 04","$173441"
"Mike Rogers (R-Mich) ","Michigan District 08","$171630"
"Tom Price (R-Ga) ","Georgia District 06","$169072"
"Virgil H Goode Jr (R-Va) ","Virginia District 05","$165985"
"John Hall (D-NY) ","New York District 19","$165395"
"Mary Fallin (R-Okla) ","Oklahoma District 05","$163780"
"Kay Granger (R-Texas) ","Texas District 12","$159955"
"Alcee L Hastings (D-Fla) ","Florida District 23","$159757"
"Michael R Turner (R-Ohio) ","Ohio District 03","$159586"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$155574"
"Russ Carnahan (D-Mo) ","Missouri District 03","$155260"
"Doris O Matsui (D-Calif) ","California District 05","$153888"
"Charles W Boustany Jr (R-La) ","Louisiana District 07","$142122"
"G K Butterfield (D-NC) ","North Carolina District 01","$141682"
"Bob Inglis (R-SC) ","South Carolina District 04","$140715"
"John M McHugh (R-NY) ","New York District 23","$140678"
"Tom Tancredo (R) ","2008 Presidential RaceCurrent office: Colorado District 06","$138481"
"Jane Harman (D-Calif) ","California District 36","$138435"
"Anthony D Weiner (D-NY) ","New York District 09","$134184"
"Harry E Mitchell (D-Ariz) ","Arizona District 05","$133963"
"Dean Heller (R-Nev) ","Nevada District 02","$133757"
"Jerry McNerney (D-Calif) ","California District 11","$132740"
"Bart Stupak (D-Mich) ","Michigan District 01","$132103"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$130230"
"George Radanovich (R-Calif) ","California District 19","$127471"
"Doc Hastings (R-Wash) ","Washington District 04","$126604"
"Darrell Issa (R-Calif) ","California District 49","$122963"
"Kevin Brady (R-Texas) ","Texas District 08","$122109"
"Mike Simpson (R-Idaho) ","Idaho District 02","$121577"
"Kathy Castor (D-Fla) ","Florida District 11","$120174"
"Charlie A Gonzalez (D-Texas) ","Texas District 20","$118603"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$114577"
"Sue Myrick (R-NC) ","North Carolina District 09","$114443"
"Mike Ferguson (R-NJ) ","New Jersey District 07","$113446"
"Joe Knollenberg (R-Mich) ","Michigan District 09","$112658"
"Jim McCrery (R-La) ","Louisiana District 04","$110345"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$109787"
"Timothy V Johnson (R-Ill) ","Illinois District 15","$109779"
"David Loebsack (D-Iowa) ","Iowa District 02","$107558"
"Diana DeGette (D-Colo) ","Colorado District 01","$106102"
"Solomon P Ortiz (D-Texas) ","Texas District 27","$106080"
"Al Green (D-Texas) ","Texas District 09","$104082"
"John W Olver (D-Mass) ","Massachusetts District 01","$103469"
"Leonard L Boswell (D-Iowa) ","Iowa District 03","$102548"
"Ralph Regula (R-Ohio) ","Ohio District 16","$100434"
"John Conyers Jr (D-Mich) ","Michigan District 14","$100016"
"Vernon Buchanan (R-Fla) ","Florida District 13","$99083"
"Stephanie Herseth Sandlin (D-SD) ","South Dakota District 01","$98562"
"Sander Levin (D-Mich) ","Michigan District 12","$98200"
"Melvin L Watt (D-NC) ","North Carolina District 12","$94029"
"Dave Weldon (R-Fla) ","Florida District 15","$89642"
"J Randy Forbes (R-Va) ","Virginia District 04","$88769"
"Rob Bishop (R-Utah) ","Utah District 01","$88653"
"Mark Kirk (R-Ill) ","Illinois District 10","$79868"
"Sam Farr (D-Calif) ","California District 17","$79837"
"Trent Franks (R-Ariz) ","Arizona District 02","$79125"
"Betty McCollum (D-Minn) ","Minnesota District 04","$77255"
"Ciro D Rodriguez (D-Texas) ","Texas District 23","$76842"
"Chris Murphy (D-Conn) ","Connecticut District 05","$74880"
