"Representative","Office Running For","Cash on Hand"
"Marty Meehan (D-Mass) ","Massachusetts District 05","$4515955"
"David Dreier (R-Calif) ","California District 26","$2410332"
"Edward J. Markey (D-Mass) ","Massachusetts District 07","$2398146"
"Rob Portman (R-Ohio) ","Ohio District 02","$2220993"
"Mark Foley (R-Fla) ","Florida District 16","$2122042"
"Sherrod Brown (D-Ohio) ","Ohio District 13","$2102835"
"Don Young (R-Alaska) ","Alaska District 01","$1898567"
"Cliff Stearns (R-Fla) ","Florida District 06","$1878135"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$1874620"
"Robert Menendez (D-NJ) ","New Jersey District 13","$1686741"
"Ed Royce (R-Calif) ","California District 40","$1523707"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$1523529"
"Lloyd Doggett (D-Texas) ","Texas District 25Current office: Texas District 10","$1497474"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$1430989"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$1385565"
"Mark Green (R-Wis) ","Wisconsin District 08","$1331508"
"Bud Cramer (D-Ala) ","Alabama District 05","$1325123"
"Nick Rahall (D-WVa) ","West Virginia District 03","$1239621"
"Jerry Lewis (R-Calif) ","California District 41","$1228761"
"John J. ""Jimmy"" Duncan Jr. (R-Tenn) ","Tennessee District 02","$1228554"
"Richard E. Neal (D-Mass) ","Massachusetts District 02","$1188562"
"Henry Bonilla (R-Texas) ","Texas District 23","$1176717"
"Jim Saxton (R-NJ) ","New Jersey District 03","$1167890"
"Tom Reynolds (R-NY) ","New York District 26","$1149060"
"Nancy L. Johnson (R-Conn) ","Connecticut District 05","$1145891"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$1112581"
"Rahm Emanuel (D-Ill) ","Illinois District 05","$1085921"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$1079262"
"Adam Schiff (D-Calif) ","California District 29","$1076077"
"Harold E. Ford Jr (D-Tenn) ","Tennessee District 09","$1072038"
"Elton Gallegly (R-Calif) ","California District 24","$1071639"
"Scott McInnis (R-Colo) ","Colorado District 03","$1064574"
"Bob Goodlatte (R-Va) ","Virginia District 06","$1062492"
"Jim Turner (D-Texas) ","Texas District 02","$1058248"
"Michael N. Castle (R-Del) ","Delaware District 01","$1035902"
"Tom Lantos (D-Calif) ","California District 12","$1033763"
"Nita M. Lowey (D-NY) ","New York District 18","$1020530"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$1007506"
"Joe Barton (R-Texas) ","Texas District 06","$1006121"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$1003882"
"Jim Ramstad (R-Minn) ","Minnesota District 03","$981936"
"Dan Burton (R-Ind) ","Indiana District 05","$977444"
"Mike McIntyre (D-NC) ","North Carolina District 07","$970310"
"Tom Petri (R-Wis) ","Wisconsin District 06","$966340"
"Dave Hobson (R-Ohio) ","Ohio District 07","$947346"
"Hal Rogers (R-Ky) ","Kentucky District 05","$939550"
"Jerry Moran (R-Kan) ","Kansas District 01","$936646"
"Gary Ackerman (D-NY) ","New York District 05","$929579"
"Loretta Sanchez (D-Calif) ","California District 47","$928624"
"Tom Davis (R-Va) ","Virginia District 11","$915900"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$888185"
"Spencer Bachus (R-Ala) ","Alabama District 06","$867656"
"Jay Inslee (D-Wash) ","Washington District 01","$846991"
"Zach Wamp (R-Tenn) ","Tennessee District 03","$840157"
"Lamar Smith (R-Texas) ","Texas District 21","$833698"
"John P. Murtha (D-Pa) ","Pennsylvania District 12","$833622"
"Howard Coble (R-NC) ","North Carolina District 06","$823087"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$821076"
"Jesse Jackson Jr. (D-Ill) ","Illinois District 02","$813025"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$806407"
"Dave Camp (R-Mich) ","Michigan District 04","$798883"
"Pete King (R-NY) ","New York District 03","$796779"
"Ed Pastor (D-Ariz) ","Arizona District 04","$782239"
"Patrick J. Kennedy (D-RI) ","Rhode Island District 01","$749100"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$745909"
"Candice S. Miller (R-Mich) ","Michigan District 10","$739296"
"Mike Rogers (R-Mich) ","Michigan District 08","$728566"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$723631"
"Mark Udall (D-Colo) ","Colorado District 02","$703974"
"Ray LaHood (R-Ill) ","Illinois District 18","$702959"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$693382"
"Jack Kingston (R-Ga) ","Georgia District 01","$690856"
"Brian Baird (D-Wash) ","Washington District 03","$686408"
"Jerrold Nadler (D-NY) ","New York District 08","$674547"
"Donald M. Payne (D-NJ) ","New Jersey District 10","$669349"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 09","$669153"
"Steve Israel (D-NY) ","New York District 02","$668196"
"David R. Obey (D-Wis) ","Wisconsin District 07","$658015"
"Jim McCrery (R-La) ","Louisiana District 04","$643286"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$639843"
"John Tanner (D-Tenn) ","Tennessee District 08","$639042"
"John M. Shimkus (R-Ill) ","Illinois District 19","$632970"
"Brad Sherman (D-Calif) ","California District 27","$629915"
"Bernie Sanders (I-Vt) ","Vermont District 01","$612185"
"Todd Tiahrt (R-Kan) ","Kansas District 04","$611130"
"Charles W. Norwood (R-Ga) ","Georgia District 09","$608247"
"Pete Visclosky (D-Ind) ","Indiana District 01","$607667"
"Shelley Berkley (D-Nev) ","Nevada District 01","$605152"
"Rick Boucher (D-Va) ","Virginia District 09","$602821"
"Richard A. Gephardt (D) ","2004 Presidential Race","$599537"
"Tom Udall (D-NM) ","New Mexico District 03","$594631"
"Henry Brown (R-SC) ","South Carolina District 01","$594520"
"Dale E. Kildee (D-Mich) ","Michigan District 05","$588456"
"Fred Upton (R-Mich) ","Michigan District 06","$583807"
"Wally Herger (R-Calif) ","California District 02","$577844"
"Jeb Hensarling (R-Texas) ","Texas District 05","$572745"
"Ander Crenshaw (R-Fla) ","Florida District 04","$572684"
"Christopher Cox (R-Calif) ","California District 48","$568711"
"Ric Keller (R-Fla) ","Florida District 08","$565903"
"E. Clay Shaw Jr. (R-Fla) ","Florida District 22","$563365"
"Henry A. Waxman (D-Calif) ","California District 30","$557470"
"Randy ""Duke"" Cunningham (R-Calif) ","California District 50","$556449"
"Paul E. Kanjorski (D-Pa) ","Pennsylvania District 11","$554521"
"F. James Sensenbrenner Jr. (R-Wis) ","Wisconsin District 05","$551819"
"Johnny Isakson (R-Ga) ","Georgia SenateCurrent office: Georgia District 06","$538928"
"David Vitter (R-La) ","Louisiana SenateCurrent office: Louisiana District 01","$537270"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 08","$526169"
"Robert Wexler (D-Fla) ","Florida District 19","$525150"
"Carolyn B. Maloney (D-NY) ","New York District 14","$523348"
"Susan A. Davis (D-Calif) ","California District 53","$522789"
"Sam Johnson (R-Texas) ","Texas District 03","$506303"
"John E. Sweeney (R-NY) ","New York District 20","$495774"
"Roy Blunt (R-Mo) ","Missouri District 07","$492565"
"John D. Dingell (D-Mich) ","Michigan District 15","$491880"
"Deborah Pryce (R-Ohio) ","Ohio District 15","$488563"
"Dave Weldon (R-Fla) ","Florida District 15","$484096"
"Jack Quinn (R-NY) ","New York District 27","$482656"
"Mike Ross (D-Ark) ","Arkansas District 04","$481763"
"Jane Harman (D-Calif) ","California District 36","$479249"
"Pete Sessions (R-Texas) ","Texas District 32","$478897"
"Anthony D. Weiner (D-NY) ","New York District 09","$477667"
"John M. Spratt Jr. (D-SC) ","South Carolina District 05","$473919"
"Chris Van Hollen (D-Md) ","Maryland District 08","$471172"
"Charles B. Rangel (D-NY) ","New York District 15","$466466"
"James T. Walsh (R-NY) ","New York District 25","$463885"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$461184"
"John L. Mica (R-Fla) ","Florida District 07","$458828"
"Joseph Crowley (D-NY) ","New York District 07","$450273"
"Greg Walden (R-Ore) ","Oregon District 02","$448130"
"Howard L. Berman (D-Calif) ","California District 28","$446238"
"Roger Wicker (R-Miss) ","Mississippi District 01","$444034"
"Ted Strickland (D-Ohio) ","Ohio District 06","$443610"
"Bob Etheridge (D-NC) ","North Carolina District 02","$441181"
"Joe Knollenberg (R-Mich) ","Michigan District 09","$439168"
"Louise M. Slaughter (D-NY) ","New York District 28","$437586"
"Michael E. Capuano (D-Mass) ","Massachusetts District 08","$420624"
"Mark Kirk (R-Ill) ","Illinois District 10","$417276"
"Carolyn Cheeks Kilpatrick (D-Mich) ","Michigan District 13","$412858"
"Jim Gibbons (R-Nev) ","Nevada District 02","$412510"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$400005"
