"Representative","Office Running For","Cash on Hand"
"Jennifer Dunn (R-Wash) ","Washington District 08","$399925"
"Eric Cantor (R-Va) ","Virginia District 07","$399514"
"Walter B. Jones Jr. (R-NC) ","North Carolina District 03","$398670"
"Steve Chabot (R-Ohio) ","Ohio District 01","$388478"
"Tom Cole (R-Okla) ","Oklahoma District 04","$386688"
"Neil Abercrombie (D-Hawaii) ","Hawaii District 01","$382526"
"Pete Stark (D-Calif) ","California District 13","$380395"
"Adam H. Putnam (R-Fla) ","Florida District 12","$379125"
"Virgil H. Goode Jr. (R-Va) ","Virginia District 05","$376714"
"Anna Eshoo (D-Calif) ","California District 14","$374386"
"Xavier Becerra (D-Calif) ","California District 31","$372245"
"Vernon J. Ehlers (R-Mich) ","Michigan District 03","$371016"
"C. W. Bill Young (R-Fla) ","Florida District 10","$366879"
"Gil Gutknecht (R-Minn) ","Minnesota District 01","$360607"
"Nancy Pelosi (D-Calif) ","California District 08","$359477"
"Gene Green (D-Texas) ","Texas District 29","$359210"
"Gary Miller (R-Calif) ","California District 42","$356953"
"Danny K. Davis (D-Ill) ","Illinois District 07","$346100"
"Howard P. ""Buck"" McKeon (R-Calif) ","California District 25","$339164"
"Don Manzullo (R-Ill) ","Illinois District 16","$337473"
"Adam Smith (D-Wash) ","Washington District 09","$334469"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$332208"
"Ron Lewis (R-Ky) ","Kentucky District 02","$325551"
"Michael G. Oxley (R-Ohio) ","Ohio District 04","$324138"
"Sue Kelly (R-NY) ","New York District 19","$320693"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$318501"
"Michael Bilirakis (R-Fla) ","Florida District 09","$313261"
"Dana Rohrabacher (R-Calif) ","California District 46","$312730"
"Ernest J. Istook (R-Okla) ","Oklahoma District 05","$311526"
"Curt Weldon (R-Pa) ","Pennsylvania District 07","$308540"
"Kay Granger (R-Texas) ","Texas District 12","$308154"
"Lois Capps (D-Calif) ","California District 23","$307350"
"Michael R. McNulty (D-NY) ","New York District 21","$306330"
"Judy Biggert (R-Ill) ","Illinois District 13","$305894"
"Todd Akin (R-Mo) ","Missouri District 02","$303246"
"Julia Carson (D-Ind) ","Indiana District 07","$302027"
"Carolyn McCarthy (D-NY) ","New York District 04","$300674"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$296660"
"Jim Nussle (R-Iowa) ","Iowa District 01","$288639"
"George R. Nethercutt Jr. (R-Wash) ","Washington SenateCurrent office: Washington District 05","$284268"
"Terry Everett (R-Ala) ","Alabama District 02","$281717"
"John Lewis (D-Ga) ","Georgia District 05","$280709"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$278676"
"Albert R. Wynn (D-Md) ","Maryland District 04","$273531"
"Ike Skelton (D-Mo) ","Missouri District 04","$270659"
"John M. McHugh (R-NY) ","New York District 23","$260447"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$257712"
"Mac Thornberry (R-Texas) ","Texas District 13","$257320"
"J. D. Hayworth (R-Ariz) ","Arizona District 05","$252124"
"Darlene Hooley (D-Ore) ","Oregon District 05","$251515"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$249245"
"Doc Hastings (R-Wash) ","Washington District 04","$248689"
"Tom Feeney (R-Fla) ","Florida District 24","$248486"
"Billy Tauzin (R-La) ","Louisiana District 03","$246931"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$246299"
"C. L. ""Butch"" Otter (R-Idaho) ","Idaho District 01","$245106"
"Paul E. Gillmor (R-Ohio) ","Ohio District 05","$244591"
"Allen Boyd (D-Fla) ","Florida District 02","$242773"
"Nydia M. Velazquez (D-NY) ","New York District 12","$240961"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$236313"
"Timothy V. Johnson (R-Ill) ","Illinois District 15","$235979"
"Karen McCarthy (D-Mo) ","Missouri District 05","$234982"
"Ron Kind (D-Wis) ","Wisconsin District 03","$234745"
"Richard Baker (R-La) ","Louisiana District 06","$233602"
"Darrell Issa (R-Calif) ","California District 49","$232046"
"Norm Dicks (D-Wash) ","Washington District 06","$230937"
"Diana DeGette (D-Colo) ","Colorado District 01","$230584"
"George Miller (D-Calif) ","California District 07","$229133"
"Peter Deutsch (D-Fla) ","Florida SenateCurrent office: Florida District 20","$228927"
"Charles W. ""Chip"" Pickering Jr. (R-Miss) ","Mississippi District 03","$228257"
"Denny Rehberg (R-Mont) ","Montana District 01","$225580"
"James L. Oberstar (D-Minn) ","Minnesota District 08","$225310"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$224941"
"Martin Olav Sabo (D-Minn) ","Minnesota District 05","$222070"
"Mike Thompson (D-Calif) ","California District 01","$221337"
"Bill Jenkins (R-Tenn) ","Tennessee District 01","$219229"
"J. Randy Forbes (R-Va) ","Virginia District 04","$217537"
"Hilda L. Solis (D-Calif) ","California District 32","$216790"
"Rush Holt (D-NJ) ","New Jersey District 12","$214896"
"Chris Smith (R-NJ) ","New Jersey District 04","$212614"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$211001"
"Sanford D. Bishop Jr. (D-Ga) ","Georgia District 02","$210683"
"John B. Larson (D-Conn) ","Connecticut District 01","$207014"
"James E. Clyburn (D-SC) ","South Carolina District 06","$205675"
"Bill Thomas (R-Calif) ","California District 22","$204951"
"Don Sherwood (R-Pa) ","Pennsylvania District 10","$203914"
"Bob Filner (D-Calif) ","California District 51","$202151"
"John Boozman (R-Ark) ","Arkansas District 03","$199796"
"Kenny Hulshof (R-Mo) ","Missouri District 09","$197825"
"Chris Chocola (R-Ind) ","Indiana District 02","$197183"
"Mike Pence (R-Ind) ","Indiana District 06","$196079"
"Steve Buyer (R-Ind) ","Indiana District 04","$195123"
"John Carter (R-Texas) ","Texas District 31","$189924"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$189068"
"Mary Bono (R-Calif) ","California District 45","$188072"
"Gregory W. Meeks (D-NY) ","New York District 06","$183509"
"Mike Ferguson (R-NJ) ","New Jersey District 07","$182983"
"Grace Napolitano (D-Calif) ","California District 38","$182784"
"Ron Paul (R-Texas) ","Texas District 14","$182639"
"John Linder (R-Ga) ","Georgia District 07","$181758"
"Ben Chandler (D-Ky) ","Kentucky District 06","$178616"
"Jo Bonner (R-Ala) ","Alabama District 01","$178261"
"Rick Larsen (D-Wash) ","Washington District 02","$178256"
"David Wu (D-Ore) ","Oregon District 01","$177138"
"Marion Berry (D-Ark) ","Arkansas District 01","$171975"
"Ginny Brown-Waite (R-Fla) ","Florida District 05","$171466"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$168519"
"Vito Fossella (R-NY) ","New York District 13","$163951"
"Tom Tancredo (R-Colo) ","Colorado District 06","$161352"
"George Radanovich (R-Calif) ","California District 19","$161073"
"Dennis Hastert (R-Ill) ","Illinois District 14","$160077"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$159957"
"Devin Nunes (R-Calif) ","California District 21","$158565"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$156781"
"Kendrick B. Meek (D-Fla) ","Florida District 17","$156771"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$156435"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$156023"
"Jim Marshall (D-Ga) ","Georgia District 03","$155714"
"Ben Cardin (D-Md) ","Maryland District 03","$155506"
"William L. Clay Jr. (D-Mo) ","Missouri District 01","$154935"
"John W. Olver (D-Mass) ","Massachusetts District 01","$153725"
"Ellen O. Tauscher (D-Calif) ","California District 10","$150230"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$149900"
"Rick Renzi (R-Ariz) ","Arizona District 01","$149877"
"Sander Levin (D-Mich) ","Michigan District 12","$149153"
"Jeff Flake (R-Ariz) ","Arizona District 06","$147120"
"Zoe Lofgren (D-Calif) ","California District 16","$145856"
"Robin Hayes (R-NC) ","North Carolina District 08","$145645"
"Henry J. Hyde (R-Ill) ","Illinois District 06","$144417"
"Jo Ann Davis (R-Va) ","Virginia District 01","$142958"
"John Boehner (R-Ohio) ","Ohio District 08","$142032"
"John T. Doolittle (R-Calif) ","California District 04","$139145"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$138969"
"Wayne T. Gilchrest (R-Md) ","Maryland District 01","$138733"
"Jim Davis (D-Fla) ","Florida District 11","$137801"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$136675"
"Jim Kolbe (R-Ariz) ","Arizona District 08","$135435"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$134532"
"Tim Holden (D-Pa) ","Pennsylvania District 17","$129845"
"Jon Porter (R-Nev) ","Nevada District 03","$128982"
"Tom Latham (R-Iowa) ","Iowa District 04","$128656"
"Eliot L. Engel (D-NY) ","New York District 17","$125175"
"Jim Moran (D-Va) ","Virginia District 08","$124966"
"Betty McCollum (D-Minn) ","Minnesota District 04","$124068"
"Gresham Barrett (R-SC) ","South Carolina District 03","$123263"
"David Scott (D-Ga) ","Georgia District 13","$123187"
"Kevin Brady (R-Texas) ","Texas District 08","$122410"
"Marilyn Musgrave (R-Colo) ","Colorado District 04","$120513"
"Melissa Hart (R-Pa) ","Pennsylvania District 04","$119429"
"Dennis J. Kucinich (D-Ohio) ","Puerto Rico District esCurrent office: Ohio District 10","$119345"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$117520"
"Michael Burgess (R-Texas) ","Texas District 26","$117114"
"Mike Honda (D-Calif) ","California District 15","$117064"
"Barney Frank (D-Mass) ","Massachusetts District 04","$116273"
"Frank R. Wolf (R-Va) ","Virginia District 10","$115383"
"Scott Garrett (R-NJ) ","New Jersey District 05","$114729"
"Bart Stupak (D-Mich) ","Michigan District 01","$114372"
"John Shadegg (R-Ariz) ","Arizona District 03","$113424"
"Barbara Lee (D-Calif) ","California District 09","$111839"
"Alan B. Mollohan (D-WVa) ","West Virginia District 01","$109045"
"Tom Osborne (R-Neb) ","Nebraska District 03","$107222"
"Lucille Roybal-Allard (D-Calif) ","California District 34","$107067"
"Stephanie Tubbs Jones (D-Ohio) ","Ohio District 11","$106305"
"Thad McCotter (R-Mich) ","Michigan District 11","$104309"
"Richard Pombo (R-Calif) ","California District 11","$101607"
"Maurice Hinchey (D-NY) ","New York District 22","$99951"
"Tom Allen (D-Maine) ","Maine District 01","$99582"
"Jeff Miller (R-Fla) ","Florida District 01","$99404"
"Richard Burr (R-NC) ","North Carolina SenateCurrent office: North Carolina District 05","$98114"
"Bob Ney (R-Ohio) ","Ohio District 18","$97172"
"Tim Ryan (D-Ohio) ","Ohio District 17","$96440"
"Alcee L. Hastings (D-Fla) ","Florida District 23","$96082"
"Ralph Regula (R-Ohio) ","Ohio District 16","$95719"
"Mike Simpson (R-Idaho) ","Idaho District 02","$95380"
"Joel Hefley (R-Colo) ","Colorado District 05","$95122"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$94628"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$91868"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$89420"
"Ken Calvert (R-Calif) ","California District 44","$88840"
"Timothy H. Bishop (D-NY) ","New York District 01","$88751"
"Phil Gingrey (R-Ga) ","Georgia District 11","$87461"
"Brad R. Carson (D-Okla) ","Oklahoma SenateCurrent office: Oklahoma District 02","$85219"
"Dennis Cardoza (D-Calif) ","California District 18","$82688"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$82539"
"Gene Taylor (D-Miss) ","Mississippi District 04","$80417"
"Jerry Weller (R-Ill) ","Illinois District 11","$79231"
"William J. Jefferson (D-La) ","Louisiana District 02","$78608"
"Raul M. Grijalva (D-Ariz) ","Arizona District 07","$74704"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$74528"
"Michael R. Turner (R-Ohio) ","Ohio District 03","$74373"
"Rob Simmons (R-Conn) ","Connecticut District 02","$74243"
"Artur Davis (D-Ala) ","Alabama District 07","$73623"
"Ralph M. Hall (R-Texas) ","Texas District 04","$73167"
"Trent Franks (R-Ariz) ","Arizona District 02","$72992"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$68552"
"Lynn Woolsey (D-Calif) ","California District 06","$68338"
"Heather Wilson (R-NM) ","New Mexico District 01","$68329"
"Tom DeLay (R-Texas) ","Texas District 22","$68278"
"Mark Kennedy (R-Minn) ","Minnesota District 06","$66218"
"Maxine Waters (D-Calif) ","California District 35","$65961"
"Jim Matheson (D-Utah) ","Utah District 02","$65328"
"Peter DeFazio (D-Ore) ","Oregon District 04","$64926"
"Joe Baca (D-Calif) ","California District 43","$64620"
"Edolphus Towns (D-NY) ","New York District 10","$62273"
"Nathan Deal (R-Ga) ","Georgia District 10","$60867"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$60472"
"Jim Langevin (D-RI) ","Rhode Island District 02","$60317"
"Charles Bass (R-NH) ","New Hampshire District 02","$59513"
"Phil English (R-Pa) ","Pennsylvania District 03","$58799"
"Randy Neugebauer (R-Texas) ","Texas District 19","$58476"
"Jim Ryun (R-Kan) ","Kansas District 02","$57790"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$57477"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$56772"
"Juanita Millender-McDonald (D-Calif) ","California District 37","$55568"
"Sue Myrick (R-NC) ","North Carolina District 09","$55551"
"John E. Peterson (R-Pa) ","Pennsylvania District 05","$55002"
"John Culberson (R-Texas) ","Texas District 07","$54044"
"Solomon P. Ortiz (D-Texas) ","Texas District 27","$53664"
"Jim Leach (R-Iowa) ","Iowa District 02","$50651"
"Katherine Harris (R-Fla) ","Florida District 13","$48287"
"Sherwood Boehlert (R-NY) ","New York District 24","$47775"
"James P. McGovern (D-Mass) ","Massachusetts District 03","$45093"
"Charles H. Taylor (R-NC) ","North Carolina District 11","$44893"
"James C. Greenwood (R-Pa) ","Pennsylvania District 08","$42025"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$40801"
"Christopher Shays (R-Conn) ","Connecticut District 04","$38514"
"Steven A. King (R-Iowa) ","Iowa District 05","$37112"
"Ed Case (D-Hawaii) ","Hawaii District 02","$36940"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$36099"
"Lane Evans (D-Ill) ","Illinois District 17","$35525"
"Mike Michaud (D-Maine) ","Maine District 02","$35460"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$35353"
"Lee Terry (R-Neb) ","Nebraska District 02","$33595"
"Duncan Hunter (R-Calif) ","California District 52","$33079"
"Anne M. Northup (R-Ky) ","Kentucky District 03","$32260"
"Jim McDermott (D-Wash) ","Washington District 07","$30538"
"John Conyers Jr. (D-Mich) ","Michigan District 14","$28900"
"Joe Wilson (R-SC) ","South Carolina District 02","$27910"
"Dennis Moore (D-Kan) ","Kansas District 03","$26276"
"Leonard L. Boswell (D-Iowa) ","Iowa District 03","$26147"
"John Kline (R-Minn) ","Minnesota District 02","$25928"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$25386"
"Rodney Alexander (R-La) ","Louisiana District 05","$25168"
"Chris John (D-La) ","Louisiana SenateCurrent office: Louisiana District 07","$23947"
"Nick Smith (R-Mich) ","Michigan District 07","$23835"
"Barbara Cubin (R-Wyo) ","Wyoming District 01","$23621"
"Mark E. Souder (R-Ind) ","Indiana District 03","$23088"
"Martin Frost (D-Texas) ","Texas District 32Current office: Texas District 24","$22744"
"Collin C. Peterson (D-Minn) ","Minnesota District 07","$22700"
"Jeb Bradley (R-NH) ","New Hampshire District 01","$22540"
"John Sullivan (R-Okla) ","Oklahoma District 01","$22411"
"Charles W. Stenholm (D-Texas) ","Texas District 19Current office: Texas District 17","$21907"
"Phil Crane (R-Ill) ","Illinois District 08","$21833"
"Silvestre Reyes (D-Texas) ","Texas District 16","$20124"
"Bob Beauprez (R-Colo) ","Colorado District 07","$19497"
"/members-of-congress/summary?cid=N00003572&cycle=2004 ","Ohio District 10","$18912"
"Sam Farr (D-Calif) ","California District 17","$18227"
"Mac Collins (R-Ga) ","Georgia SenateCurrent office: Georgia District 08","$17759"
"Stephanie Herseth (D-SD) ","South Dakota District 01","$17060"
"Joseph M. Hoeffel (D-Pa) ","Pennsylvania SenateCurrent office: Pennsylvania District 13","$17006"
"Vic Snyder (D-Ark) ","Arkansas District 02","$16461"
"Max Sandlin (D-Texas) ","Texas District 01","$15655"
"Steven C. LaTourette (R-Ohio) ","Ohio District 14","$12928"
"Steve Pearce (R-NM) ","New Mexico District 02","$11232"
"Max Burns (R-Ga) ","Georgia District 12","$10957"
"Major R. Owens (D-NY) ","New York District 11","$10589"
"Brad Miller (D-NC) ","North Carolina District 13","$10311"
"Baron Hill (D-Ind) ","Indiana District 09","$9811"
"Donna Christian-Green (D-VI) ","Virgin Islands District 00","$8291"
"David Price (D-NC) ","North Carolina District 04","$8251"
"Robert C. Scott (D-Va) ","Virginia District 03","$7099"
"Sam Graves (R-Mo) ","Missouri District 06","$6208"
"Denise L. Majette (D-Ga) ","Georgia SenateCurrent office: Georgia District 04","$5889"
"Lincoln Davis (D-Tenn) ","Tennessee District 04","$5872"
"Linda Sanchez (D-Calif) ","California District 39","$5672"
"Corrine Brown (D-Fla) ","Florida District 03","$5578"
"Chris Cannon (R-Utah) ","Utah District 03","$5167"
"Jose E. Serrano (D-NY) ","New York District 16","$4816"
"Chet Edwards (D-Texas) ","Texas District 17Current office: Texas District 11","$4612"
"James W. DeMint (R-SC) ","South Carolina SenateCurrent office: South Carolina District 04","$4405"
"Nick Lampson (D-Texas) ","Texas District 02Current office: Texas District 09","$4384"
"Rob Bishop (R-Utah) ","Utah District 01","$2805"
"Charlie A. Gonzalez (D-Texas) ","Texas District 20","$2079"
"Jerry Kleczka (D-Wis) ","Wisconsin District 04","$1763"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$1648"
"John Hostettler (R-Ind) ","Indiana District 08","$1559"
"Diane E. Watson (D-Calif) ","California District 33","$1524"
"Bill Lipinski (D-Ill) ","Illinois District 03","$589"
"Doug Bereuter (R-Neb) ","Nebraska District 01","$447"
"Cass Ballenger (R-NC) ","North Carolina District 10","$226"
"Ciro D. Rodriguez (D-Texas) ","Texas District 28","$189"
"Chris Bell (D-Texas) ","Texas District 09Current office: Texas District 25","$0"
"Ken Lucas (D-Ky) ","Kentucky District 04","$0"
