"Representative","Office Running For","Cash on Hand"
"Darrell Issa (R-Calif) ","California District 49","$3750024"
"Aaron Schock (R-Ill) ","Illinois District 18","$3290782"
"Lloyd Doggett (D-Texas) ","Texas District 35","$3041611"
"Pete King (R-NY) ","New York District 02","$2911845"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$2680321"
"Richard E. Neal (D-Mass) ","Massachusetts District 01","$2634607"
"Steve Fincher (R-Tenn) ","Tennessee District 08","$2544329"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$2501983"
"Tom Price (R-Ga) ","Georgia District 06","$2256395"
"Adam Schiff (D-Calif) ","California District 28","$2105795"
"Devin Nunes (R-Calif) ","California District 22","$2086973"
"Virginia Foxx (R-NC) ","North Carolina District 05","$2036303"
"Ed Royce (R-Calif) ","California District 39","$2014546"
"Scott Garrett (R-NJ) ","New Jersey District 05","$1981422"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 27","$1944751"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1926595"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$1862628"
"Kevin McCarthy (R-Calif) ","California District 23","$1854633"
"Ted Poe (R-Texas) ","Texas District 02","$1849562"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1694568"
"Peter Welch (D-Vt) ","Vermont District 01","$1689575"
"Judy Chu (D-Calif) ","California District 27","$1687909"
"Patrick Meehan (R-Pa) ","Pennsylvania District 07","$1671202"
"Jeb Hensarling (R-Texas) ","Texas District 05","$1597052"
"Mike Thompson (D-Calif) ","California District 05","$1476182"
"Ron Kind (D-Wis) ","Wisconsin District 03","$1464243"
"Gerry Connolly (D-Va) ","Virginia District 11","$1409165"
"Joe Kennedy III (D-Mass) ","Massachusetts District 04","$1400009"
"Ann L. Wagner (R-Mo) ","Missouri District 02","$1368889"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$1367518"
"Henry Cuellar (D-Texas) ","Texas District 28","$1317752"
"Mike Rogers (R-Mich) ","Michigan District 08","$1308116"
"John Boehner (R-Ohio) ","Ohio District 08","$1293216"
"Xavier Becerra (D-Calif) ","California District 34","$1288939"
"Jackie Speier (D-Calif) ","California District 14","$1277244"
"Kevin Yoder (R-Kan) ","Kansas District 03","$1260773"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$1256540"
"James E. Clyburn (D-SC) ","South Carolina District 06","$1251219"
"Joseph Crowley (D-NY) ","New York District 14","$1233257"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$1194961"
"Gene Green (D-Texas) ","Texas District 29","$1183124"
"Jeff Denham (R-Calif) ","California District 10","$1164430"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$1159347"
"Hal Rogers (R-Ky) ","Kentucky District 05","$1128971"
"Mike Pompeo (R-Kan) ","Kansas District 04","$1100498"
"John Fleming (R-La) ","Louisiana District 04","$1090756"
"John J. Duncan Jr (R-Tenn) ","Tennessee District 02","$1086529"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$1082896"
"Tulsi Gabbard (D-Hawaii) ","Hawaii District 02","$1080800"
"Michael G. Fitzpatrick (R-Pa) ","Pennsylvania District 08","$1076718"
"Bill Foster (D-Ill) ","Illinois District 11","$1067771"
"Diane Black (R-Tenn) ","Tennessee District 06","$1066816"
"Mike Conaway (R-Texas) ","Texas District 11","$1057107"
"Todd Rokita (R-Ind) ","Indiana District 04","$1053021"
"Tammy Duckworth (D-Ill) ","Illinois District 08","$1052287"
"Zoe Lofgren (D-Calif) ","California District 19","$1051303"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$1047670"
"Jim Himes (D-Conn) ","Connecticut District 04","$1045413"
"John M. Shimkus (R-Ill) ","Illinois District 15","$1026836"
"Jim Jordan (R-Ohio) ","Ohio District 04","$1003238"
"Greg Walden (R-Ore) ","Oregon District 02","$997260"
"Tom Cole (R-Okla) ","Oklahoma District 04","$983326"
"Nancy Pelosi (D-Calif) ","California District 12","$981160"
"Bob Goodlatte (R-Va) ","Virginia District 06","$978502"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03","$965976"
"Bill Pascrell Jr (D-NJ) ","New Jersey District 09","$961743"
"Derek Kilmer (D-Wash) ","Washington District 06","$940622"
"Charlie Dent (R-Pa) ","Pennsylvania District 15","$937816"
"Steve Stivers (R-Ohio) ","Ohio District 15","$933143"
"Rob Wittman (R-Va) ","Virginia District 01","$895562"
"Bill Cassidy (R-La) ","Louisiana SenateCurrent office: Louisiana District 06","$892455"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$890657"
"Kenny Marchant (R-Texas) ","Texas District 24","$877891"
"Bob Gibbs (R-Ohio) ","Ohio District 07","$867102"
"Kurt Schrader (D-Ore) ","Oregon District 05","$861627"
"Steven Daines (R-Mont) ","Montana SenateCurrent office: Montana District 01","$859118"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$855541"
"Jaime Herrera Beutler (R-Wash) ","Washington District 03","$855172"
"Susan Brooks (R-Ind) ","Indiana District 05","$846661"
"Patrick McHenry (R-NC) ","North Carolina District 10","$840208"
"Candice S. Miller (R-Mich) ","Michigan District 10","$830900"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$818921"
"Mo Brooks (R-Ala) ","Alabama District 05","$814436"
"Gregg Harper (R-Miss) ","Mississippi District 03","$813183"
"Reid Ribble (R-Wis) ","Wisconsin District 08","$803486"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$803036"
"Kristi Noem (R-SD) ","South Dakota District 01","$802384"
"Steve Womack (R-Ark) ","Arkansas District 03","$802235"
"Adrian Smith (R-Neb) ","Nebraska District 03","$784439"
"Lamar Smith (R-Texas) ","Texas District 21","$764753"
"Todd Young (R-Ind) ","Indiana District 09","$761715"
"Kathy Castor (D-Fla) ","Florida District 14","$754874"
"John Sarbanes (D-Md) ","Maryland District 03","$747939"
"Joe Heck (R-Nev) ","Nevada District 03","$736369"
"Vernon Buchanan (R-Fla) ","Florida District 16","$724713"
"Ron DeSantis (R-Fla) ","Florida District 06","$709751"
"Michael E. Capuano (D-Mass) ","Massachusetts District 07","$699890"
"Andre Carson (D-Ind) ","Indiana District 07","$685210"
"Shelley Moore Capito (R-WVa) ","West Virginia SenateCurrent office: West Virginia District 02","$682236"
"Randy Neugebauer (R-Texas) ","Texas District 19","$675660"
"Sean P. Duffy (R-Wis) ","Wisconsin District 07","$674413"
"Pete Sessions (R-Texas) ","Texas District 32","$670676"
"Marcia L. Fudge (D-Ohio) ","Ohio District 11","$667845"
"Steve Israel (D-NY) ","New York District 03","$667539"
"Adam Kinzinger (R-Ill) ","Illinois District 16","$666640"
"Kevin Brady (R-Texas) ","Texas District 08","$658287"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$655048"
"Steve Chabot (R-Ohio) ","Ohio District 01","$640532"
"Grace Meng (D-NY) ","New York District 06","$639756"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$635365"
"Brian M. Higgins (D-NY) ","New York District 26","$620920"
"Jim Costa (D-Calif) ","California District 16","$618008"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$617837"
"Chris Collins (R-NY) ","New York District 27","$610794"
"John Carter (R-Texas) ","Texas District 31","$598079"
"Adam Smith (D-Wash) ","Washington District 09","$579497"
"Joe Courtney (D-Conn) ","Connecticut District 02","$575221"
"Billy Long (R-Mo) ","Missouri District 07","$563065"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$549473"
"John Carney (D-Del) ","Delaware District 01","$539624"
"Randy Forbes (R-Va) ","Virginia District 04","$539433"
"Ben R. Lujan (D-NM) ","New Mexico District 03","$536686"
"Patrick E. Murphy (D-Fla) ","Florida District 18","$536659"
"Paul Cook (R-Calif) ","California District 08","$536223"
"Keith J. Rothfus (R-Pa) ","Pennsylvania District 12","$531140"
"Ted Deutch (D-Fla) ","Florida District 21","$529966"
"Mike Quigley (D-Ill) ","Illinois District 05","$508460"
"Hakeem Jeffries (D-NY) ","New York District 08","$508168"
"Sam Johnson (R-Texas) ","Texas District 03","$505717"
"Ron Barber (D-Ariz) ","Arizona District 02","$504952"
"Mark Sanford (R-SC) ","South Carolina District 01","$504337"
"Robert E. Latta (R-Ohio) ","Ohio District 05","$492879"
"Martha Roby (R-Ala) ","Alabama District 02","$491726"
"John A. Yarmuth (D-Ky) ","Kentucky District 03","$489937"
"Andy Barr (R-Ky) ","Kentucky District 06","$488765"
"Don Young (R-Alaska) ","Alaska District 01","$488220"
"Tim Huelskamp (R-Kan) ","Kansas District 01","$486349"
