"Representative","Office Running For","Cash on Hand"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$9098873"
"Patrick J Tiberi (R-Ohio) ","Ohio District 12","$5167554"
"Lloyd Doggett (D-Texas) ","Texas District 35","$3681783"
"Devin Nunes (R-Calif) ","California District 22","$3177900"
"Richard E Neal (D-Mass) ","Massachusetts District 01","$3017823"
"Ed Royce (R-Calif) ","California District 39","$2792415"
"Joe Kennedy III (D-Mass) ","Massachusetts District 04","$2751578"
"Pete King (R-NY) ","New York District 02","$2668112"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$2551958"
"Virginia Foxx (R-NC) ","North Carolina District 05","$2411990"
"Steve Fincher (R-Tenn) ","Tennessee District 08","$2389554"
"Gerry Connolly (D-Va) ","Virginia District 11","$2299651"
"Bill Foster (D-Ill) ","Illinois District 11","$2287780"
"Kyrsten Sinema (D-Ariz) ","Arizona District 09","$2263633"
"Ron Kind (D-Wis) ","Wisconsin District 03","$2254236"
"Ann L Wagner (R-Mo) ","Missouri District 02","$2168325"
"Tom Price (R-Ga) ","Georgia District 06","$2131256"
"Adam Schiff (D-Calif) ","California District 28","$2106413"
"Henry Cuellar (D-Texas) ","Texas District 28","$2077784"
"Jim Himes (D-Conn) ","Connecticut District 04","$2068164"
"Ted Poe (R-Texas) ","Texas District 02","$2064841"
"Judy Chu (D-Calif) ","California District 27","$2059998"
"Tulsi Gabbard (D-Hawaii) ","Hawaii District 02","$2047500"
"Derek Kilmer (D-Wash) ","Washington District 06","$2004233"
"Patrick Meehan (R-Pa) ","Pennsylvania District 07","$1935356"
"Peter Welch (D-Vt) ","Vermont District 01","$1929496"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03","$1858861"
"Nancy Pelosi (D-Calif) ","California District 12","$1820818"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$1779095"
"Sean Patrick Maloney (D-NY) ","New York District 18","$1743546"
"Ron DeSantis (R-Fla) ","Florida District 06","$1710114"
"Julia Brownley (D-Calif) ","California District 26","$1649893"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$1586976"
"Jackie Speier (D-Calif) ","California District 14","$1542894"
"Cheri Bustos (D-Ill) ","Illinois District 17","$1536106"
"Kevin McCarthy (R-Calif) ","California District 23","$1517819"
"Mike Thompson (D-Calif) ","California District 05","$1517378"
"Xavier Becerra (D-Calif) ","California District 34","$1488153"
"Adam Kinzinger (R-Ill) ","Illinois District 16","$1477819"
"Kevin Brady (R-Texas) ","Texas District 08","$1468364"
"Vernon Buchanan (R-Fla) ","Florida District 16","$1467268"
"Patrick McHenry (R-NC) ","North Carolina District 10","$1395807"
"Kenny Marchant (R-Texas) ","Texas District 24","$1382299"
"Brad Sherman (D-Calif) ","California District 30","$1376674"
"Mike Conaway (R-Texas) ","Texas District 11","$1366243"
"Susan Brooks (R-Ind) ","Indiana District 05","$1347890"
"Bill Pascrell Jr (D-NJ) ","New Jersey District 09","$1335035"
"Todd Rokita (R-Ind) ","Indiana District 04","$1315565"
"Steve Stivers (R-Ohio) ","Ohio District 15","$1314600"
"Jim Jordan (R-Ohio) ","Ohio District 04","$1313688"
"Zoe Lofgren (D-Calif) ","California District 19","$1275112"
"Steve Pearce (R-NM) ","New Mexico District 02","$1272289"
"Tom Cole (R-Okla) ","Oklahoma District 04","$1262353"
"James E Clyburn (D-SC) ","South Carolina District 06","$1260423"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$1258222"
"Bennie G Thompson (D-Miss) ","Mississippi District 02","$1256942"
"Gwen Graham (D-Fla) ","Florida District 02","$1256116"
"Kurt Schrader (D-Ore) ","Oregon District 05","$1202171"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$1188615"
"Adrian Smith (R-Neb) ","Nebraska District 03","$1176367"
"Mo Brooks (R-Ala) ","Alabama District 05","$1170938"
"Steve Womack (R-Ark) ","Arkansas District 03","$1165816"
"Joseph Crowley (D-NY) ","New York District 14","$1121356"
"Mike Pompeo (R-Kan) ","Kansas District 04","$1104235"
"Hal Rogers (R-Ky) ","Kentucky District 05","$1100886"
"Stephen F Lynch (D-Mass) ","Massachusetts District 08","$1094211"
"Mark Sanford (R-SC) ","South Carolina District 01","$1080640"
"Gene Green (D-Texas) ","Texas District 29","$1078650"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$1077084"
"Scott Peters (D-Calif) ","California District 52","$1073308"
"Ann Mclane Kuster (D-NH) ","New Hampshire District 02","$1068428"
"Grace Meng (D-NY) ","New York District 06","$1067950"
"Ted Lieu (D-Calif) ","California District 33","$1054055"
"Luke Messer (R-Ind) ","Indiana District 06","$1050399"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$1039221"
"Seth Moulton (D-Mass) ","Massachusetts District 06","$1034736"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$1029930"
"Eric Swalwell (D-Calif) ","California District 15","$1014123"
"Hakeem Jeffries (D-NY) ","New York District 08","$1011605"
"Raul Ruiz (D-Calif) ","California District 36","$990316"
"Greg Walden (R-Ore) ","Oregon District 02","$984154"
"Lynn Jenkins (R-Kan) ","Kansas District 02","$978761"
"Sean P Duffy (R-Wis) ","Wisconsin District 07","$974829"
"Terri A Sewell (D-Ala) ","Alabama District 07","$964526"
"Steve Chabot (R-Ohio) ","Ohio District 01","$963448"
"David Loebsack (D-Iowa) ","Iowa District 02","$960707"
"John J Duncan Jr (R-Tenn) ","Tennessee District 02","$959085"
"Elijah E Cummings (D-Md) ","Maryland District 07","$954953"
"Katherine Clark (D-Mass) ","Massachusetts District 05","$952215"
"Pete Aguilar (D-Calif) ","California District 31","$950773"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$941671"
"Bob Gibbs (R-Ohio) ","Ohio District 07","$940534"
"John Sarbanes (D-Md) ","Maryland District 03","$935514"
"Roger Williams (R-Texas) ","Texas District 25","$919400"
"Alan Grayson (D-Fla) ","Florida SenateCurrent office: Florida District 09","$915597"
"Rob Wittman (R-Va) ","Virginia District 01","$892495"
"Tom Graves (R-Ga) ","Georgia District 14","$879702"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$875694"
"Joyce Beatty (D-Ohio) ","Ohio District 03","$861593"
"Charlie Dent (R-Pa) ","Pennsylvania District 15","$852893"
"Garret Graves (R-La) ","Louisiana District 06","$842717"
"John M Shimkus (R-Ill) ","Illinois District 15","$836290"
"Andre Carson (D-Ind) ","Indiana District 07","$823347"
"Lois J Frankel (D-Fla) ","Florida District 21Current office: Florida District 22","$812068"
"Ben R Lujan (D-NM) ","New Mexico District 03","$803411"
"Bill Keating (D-Mass) ","Massachusetts District 09","$802897"
"Brian M Higgins (D-NY) ","New York District 26","$796506"
"Robert E Latta (R-Ohio) ","Ohio District 05","$788604"
"Andy Harris (R-Md) ","Maryland District 01","$771850"
"Marcia L Fudge (D-Ohio) ","Ohio District 11","$768523"
"Bob Goodlatte (R-Va) ","Virginia District 06","$765336"
"Michael E Capuano (D-Mass) ","Massachusetts District 07","$763962"
"Dennis Heck (D-Wash) ","Washington District 10","$758757"
"Mike Kelly (R-Pa) ","Pennsylvania District 03","$742102"
"David Cicilline (D-RI) ","Rhode Island District 01","$733171"
"Don Beyer (D-Va) ","Virginia District 08","$727818"
"Duncan D Hunter (R-Calif) ","California District 50","$720060"
"Evan Jenkins (R-WVa) ","West Virginia District 03","$717360"
"Peter DeFazio (D-Ore) ","Oregon District 04","$712929"
"Eliot L Engel (D-NY) ","New York District 16","$701455"
"Chris Collins (R-NY) ","New York District 27","$699177"
"Steny H Hoyer (D-Md) ","Maryland District 05","$692679"
"Mike Quigley (D-Ill) ","Illinois District 05","$692556"
"Bill Johnson (R-Ohio) ","Ohio District 06","$685083"
"Jerrold Nadler (D-NY) ","New York District 10","$683761"
"Nita M Lowey (D-NY) ","New York District 17","$669718"
"Gregg Harper (R-Miss) ","Mississippi District 03","$669119"
"David Rouzer (R-NC) ","North Carolina District 07","$668129"
"Trey Gowdy (R-SC) ","South Carolina District 04","$667019"
"Gary Palmer (R-Ala) ","Alabama District 06","$652180"
"French Hill (R-Ark) ","Arkansas District 02","$648669"
"Jeb Hensarling (R-Texas) ","Texas District 05","$648063"
"G K Butterfield (D-NC) ","North Carolina District 01","$643896"
"Kathy Castor (D-Fla) ","Florida District 14","$641441"
"Jim Langevin (D-RI) ","Rhode Island District 02","$640448"
"Joe Wilson (R-SC) ","South Carolina District 02","$630802"
"Jim Renacci (R-Ohio) ","Ohio District 16","$624545"
"Joe Courtney (D-Conn) ","Connecticut District 02","$622922"
"Jim Costa (D-Calif) ","California District 16","$616676"
"Keith J Rothfus (R-Pa) ","Pennsylvania District 12","$613672"
"Jared Huffman (D-Calif) ","California District 02","$600808"
"Paul Tonko (D-NY) ","New York District 20","$592171"
"Elizabeth Esty (D-Conn) ","Connecticut District 05","$589108"
"Lamar Smith (R-Texas) ","Texas District 21","$582457"
"Robert A Brady (D-Pa) ","Pennsylvania District 01","$582375"
"Ken Calvert (R-Calif) ","California District 42","$582350"
"Paul Cook (R-Calif) ","California District 08","$571214"
"Collin Peterson (D-Minn) ","Minnesota District 07","$569667"
"Brad Wenstrup (R-Ohio) ","Ohio District 02","$568114"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$567207"
"Matt Cartwright (D-Pa) ","Pennsylvania District 17","$561069"
"Brian Babin (R-Texas) ","Texas District 36","$554185"
"Chuck Fleischmann (R-Tenn) ","Tennessee District 03","$549087"
"Elise Stefanik (R-NY) ","New York District 21","$542189"
"Chellie Pingree (D-Maine) ","Maine District 01","$533294"
"Jason Smith (R-Mo) ","Missouri District 08","$529654"
"Mike D Rogers (R-Ala) ","Alabama District 03","$525547"
"Tom Rice (R-SC) ","South Carolina District 07","$525310"
"Colleen Hanabusa (D-Hawaii) ","Hawaii District 01","$517815"
"Dan Kildee (D-Mich) ","Michigan District 05","$514045"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$508615"
"Mac Thornberry (R-Texas) ","Texas District 13","$505031"
"Pete Sessions (R-Texas) ","Texas District 32","$504139"
"Buddy Carter (R-Ga) ","Georgia District 01","$503534"
"David McKinley (R-WVa) ","West Virginia District 01","$502319"
"Suzan DelBene (D-Wash) ","Washington District 01","$500942"
"Alan Lowenthal (D-Calif) ","California District 47","$499810"
"Fred Upton (R-Mich) ","Michigan District 06","$493232"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$490742"
"Keith Ellison (D-Minn) ","Minnesota District 05","$489709"
"Kathleen Rice (D-NY) ","New York District 04","$486128"
"F James Sensenbrenner Jr (R-Wis) ","Wisconsin District 05","$482404"
"Michael Burgess (R-Texas) ","Texas District 26","$478105"
"Andy Barr (R-Ky) ","Kentucky District 06","$476579"
"Phil Roe (R-Tenn) ","Tennessee District 01","$474129"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$470316"
"Niki Tsongas (D-Mass) ","Massachusetts District 03","$467875"
"Bill Posey (R-Fla) ","Florida District 08","$465791"
"Robert B Aderholt (R-Ala) ","Alabama District 04","$465512"
"Brendan Boyle (D-Pa) ","Pennsylvania District 13","$461467"
"Pete Olson (R-Texas) ","Texas District 22","$457844"
"Carolyn B Maloney (D-NY) ","New York District 12","$457518"
"Randy Neugebauer (R-Texas) ","Texas District 19","$457168"
"Sam Graves (R-Mo) ","Missouri District 06","$455812"
"Debbie Dingell (D-Mich) ","Michigan District 12","$448489"
"Joe Heck (R-Nev) ","Nevada SenateCurrent office: Nevada District 03","$447693"
"Bradley Byrne (R-Ala) ","Alabama District 01","$446318"
"Kay Granger (R-Texas) ","Texas District 12","$444452"
"John Garamendi (D-Calif) ","California District 03","$443766"
"Chris Van Hollen (D-Md) ","Maryland SenateCurrent office: Maryland District 08","$443302"
"John B Larson (D-Conn) ","Connecticut District 01","$440872"
"Kevin Yoder (R-Kan) ","Kansas District 03","$435353"
"Alex Mooney (R-WVa) ","West Virginia District 02","$430724"
"James P McGovern (D-Mass) ","Massachusetts District 02","$428301"
"Sam Johnson (R-Texas) ","Texas District 03","$424021"
"Joe Barton (R-Texas) ","Texas District 06","$421386"
"Linda Sanchez (D-Calif) ","California District 38","$418597"
"Austin Scott (R-Ga) ","Georgia District 08","$415305"
"Steve Scalise (R-La) ","Louisiana District 01","$413239"
"John A Yarmuth (D-Ky) ","Kentucky District 03","$412694"
"Jason Chaffetz (R-Utah) ","Utah District 03","$408158"
"John Carter (R-Texas) ","Texas District 31","$403410"
"Lou Barletta (R-Pa) ","Pennsylvania District 11","$402911"
"Anna Eshoo (D-Calif) ","California District 18","$402468"
"Kenneth R Buck (R-Colo) ","Colorado District 04","$400987"
"Frank D Lucas (R-Okla) ","Oklahoma District 03","$400287"
"Adam Smith (D-Wash) ","Washington District 09","$399695"
"Mark Pocan (D-Wis) ","Wisconsin District 02","$399215"
"Beto O'Rourke (D-Texas) ","Texas District 16","$398700"
"Rodney Davis (R-Ill) ","Illinois District 13","$396800"
"Kevin Cramer (R-ND) ","North Dakota District 01","$395408"
"Matt Salmon (R-Ariz) ","Arizona District 05","$394629"
"Robin Kelly (D-Ill) ","Illinois District 02","$394085"
"Mimi Walters (R-Calif) ","California District 45","$393070"
"Billy Long (R-Mo) ","Missouri District 07","$389553"
"Jaime Herrera Beutler (R-Wash) ","Washington District 03","$386409"
"Ruben Gallego (D-Ariz) ","Arizona District 07","$383261"
"Doris O Matsui (D-Calif) ","California District 06","$374974"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$373169"
"Lee Zeldin (R-NY) ","New York District 01","$373088"
"Marc Veasey (D-Texas) ","Texas District 33","$369356"
"Randy Weber (R-Texas) ","Texas District 14","$368129"
"David P Joyce (R-Ohio) ","Ohio District 14","$365569"
"Vicky Hartzler (R-Mo) ","Missouri District 04","$362154"
"Cedric Richmond (D-La) ","Louisiana District 02","$361089"
"David Scott (D-Ga) ","Georgia District 13","$357111"
"Ed Perlmutter (D-Colo) ","Colorado District 07","$351225"
"Frank A LoBiondo (R-NJ) ","New Jersey District 02","$350535"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$349637"
"Bruce Westerman (R-Ark) ","Arkansas District 04","$344534"
"Martha McSally (R-Ariz) ","Arizona District 02","$342244"
"Frederica Wilson (D-Fla) ","Florida District 24","$339951"
"Dave Reichert (R-Wash) ","Washington District 08","$334852"
"Ted Deutch (D-Fla) ","Florida District 22Current office: Florida District 21","$329474"
"Darrell Issa (R-Calif) ","California District 49","$329152"
"Jeff Denham (R-Calif) ","California District 10","$326702"
"Rob Woodall (R-Ga) ","Georgia District 07","$323454"
"Darin LaHood (R-Ill) ","Illinois District 18","$321459"
"Pete Visclosky (D-Ind) ","Indiana District 01","$321165"
"Douglas L Lamborn (R-Colo) ","Colorado District 05","$317319"
"Larry Bucshon (R-Ind) ","Indiana District 08","$312861"
"Danny K Davis (D-Ill) ","Illinois District 07","$310946"
"Michael R Turner (R-Ohio) ","Ohio District 10","$293255"
"Albio Sires (D-NJ) ","New Jersey District 08","$290287"
"John Katko (R-NY) ","New York District 24","$285701"
"Glenn Thompson (R-Pa) ","Pennsylvania District 05","$284052"
"Tony Cardenas (D-Calif) ","California District 29","$283827"
"Tom McClintock (R-Calif) ","California District 04","$275176"
"Chris Smith (R-NJ) ","New Jersey District 04","$272389"
"Don Young (R-Alaska) ","Alaska District 01","$269727"
"Suzanne Bonamici (D-Ore) ","Oregon District 01","$266028"
"Michael G Fitzpatrick (R-Pa) ","Pennsylvania District 08","$262475"
"Brenda Lawrence (D-Mich) ","Michigan District 14","$261155"
"Rick Crawford (R-Ark) ","Arkansas District 01","$258577"
"Cynthia Lummis (R-Wyo) ","Wyoming District 01","$257354"
"Susan A Davis (D-Calif) ","California District 53","$255984"
"Bill Flores (R-Texas) ","Texas District 17","$255336"
"Dina Titus (D-Nev) ","Nevada District 01","$248749"
"John Carney (D-Del) ","Delaware District 01","$248686"
"Ryan Costello (R-Pa) ","Pennsylvania District 06","$246529"
"Lynn A Westmoreland (R-Ga) ","Georgia District 03","$245878"
"Karen Bass (D-Calif) ","California District 37","$245401"
"Thomas Massie (R-Ky) ","Kentucky District 04","$244598"
"William L Clay Jr (D-Mo) ","Missouri District 01","$238779"
"Dana Rohrabacher (R-Calif) ","California District 48","$237775"
"Al Green (D-Texas) ","Texas District 09","$234125"
"Steven Palazzo (R-Miss) ","Mississippi District 04","$231698"
"Filemon Vela (D-Texas) ","Texas District 34","$229944"
"Sander Levin (D-Mich) ","Michigan District 09","$226728"
"Mark Walker (R-NC) ","North Carolina District 06","$225583"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$225323"
"Mark Desaulnier (D-Calif) ","California District 11","$224500"
"Jeff Miller (R-Fla) ","Florida District 01","$221189"
"Norma Torres (D-Calif) ","California District 35","$219624"
"John Lewis (D-Ga) ","Georgia District 05","$218185"
"Justin Amash (R-Mich) ","Michigan District 03","$217637"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$216528"
"David Price (D-NC) ","North Carolina District 04","$215563"
"Scott Perry (R-Pa) ","Pennsylvania District 04","$214906"
"Jerry McNerney (D-Calif) ","California District 09","$210476"
"Bill Huizenga (R-Mich) ","Michigan District 02","$208311"
"Ralph Abraham (R-La) ","Louisiana District 05","$208161"
"Mark R Meadows (R-NC) ","North Carolina District 11","$208159"
"Sanford Bishop (D-Ga) ","Georgia District 02","$198179"
"Doug Collins (R-Ga) ","Georgia District 09","$196278"
"John Kline (R-Minn) ","Minnesota District 02","$193549"
"Mia Love (R-Utah) ","Utah District 04","$187357"
"Dan Donovan (R-NY) ","New York District 11","$186363"
"Rob Bishop (R-Utah) ","Utah District 01","$184499"
"Tom Marino (R-Pa) ","Pennsylvania District 10","$183520"
"Maxine Waters (D-Calif) ","California District 43","$181526"
"Rick Nolan (D-Minn) ","Minnesota District 08","$181075"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$179709"
"Dave Brat (R-Va) ","Virginia District 07","$168014"
"Tim Ryan (D-Ohio) ","Ohio District 13","$167182"
"Randy Hultgren (R-Ill) ","Illinois District 14","$162199"
"Leonard Lance (R-NJ) ","New Jersey District 07","$160242"
"James Bridenstine (R-Okla) ","Oklahoma District 01","$160186"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 23","$157161"
"Mick Mulvaney (R-SC) ","South Carolina District 05","$156797"
"Luis V Gutierrez (D-Ill) ","Illinois District 04","$156162"
"Mike Simpson (R-Idaho) ","Idaho District 02","$153137"
"Markwayne Mullin (R-Okla) ","Oklahoma District 02","$152334"
"Tim Walberg (R-Mich) ","Michigan District 07","$151211"
"Louise M Slaughter (D-NY) ","New York District 25","$147460"
"Trent Kelly (R-Miss) ","Mississippi District 01","$146887"
"Robert Hurt (R-Va) ","Virginia District 05","$146462"
"Candice S Miller (R-Mich) ","Michigan District 10","$145461"
"Mark Amodei (R-Nev) ","Nevada District 02","$145197"
"Grace Napolitano (D-Calif) ","California District 32","$144692"
"Rick Larsen (D-Wash) ","Washington District 02","$143832"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$139313"
"Tom Emmer (R-Minn) ","Minnesota District 06","$137565"
"Tammy Duckworth (D-Ill) ","Illinois SenateCurrent office: Illinois District 08","$137402"
"Tom Reed (R-NY) ","New York District 23","$133456"
"Ami Bera (D-Calif) ","California District 07","$132911"
"Ted Yoho (R-Fla) ","Florida District 03","$129795"
"John Lee Ratcliffe (R-Texas) ","Texas District 04","$128612"
"Joaquin Castro (D-Texas) ","Texas District 20","$127232"
"Steven A King (R-Iowa) ","Iowa District 04","$126603"
"Betty McCollum (D-Minn) ","Minnesota District 04","$124672"
"Gregory W Meeks (D-NY) ","New York District 05","$123601"
"Alcee L Hastings (D-Fla) ","Florida District 20","$123102"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$118837"
"Mark A Takano (D-Calif) ","California District 41","$116213"
"Peter Roskam (R-Ill) ","Illinois District 06","$113732"
"Bobby Scott (D-Va) ","Virginia District 03","$110925"
"Warren Davidson (R-Ohio) ","Ohio District 08","$110872"
"Steve Israel (D-NY) ","New York District 03","$107730"
"Paul Gosar (R-Ariz) ","Arizona District 04","$107593"
"Alma Adams (D-NC) ","North Carolina District 12","$107538"
"Michael McCaul (R-Texas) ","Texas District 10","$105725"
"Richard W Allen (R-Ga) ","Georgia District 12","$105396"
