"Representative","Office Running For","Cash on Hand"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$5803397"
"Adam Schiff (D-Calif) ","California District 28","$4714580"
"Lloyd Doggett (D-Texas) ","Texas District 35","$4289886"
"Raja Krishnamoorthi (D-Ill) ","Illinois District 08","$4277972"
"Devin Nunes (R-Calif) ","California District 22","$4240049"
"Joe Kennedy III (D-Mass) ","Massachusetts District 04","$4173181"
"Josh Gottheimer (D-NJ) ","New Jersey District 05","$4143035"
"Richard E Neal (D-Mass) ","Massachusetts District 01","$3308302"
"Bill Foster (D-Ill) ","Illinois District 11","$3178753"
"Derek Kilmer (D-Wash) ","Washington District 06","$2994183"
"Gerry Connolly (D-Va) ","Virginia District 11","$2705105"
"Henry Cuellar (D-Texas) ","Texas District 28","$2545004"
"Judy Chu (D-Calif) ","California District 27","$2524361"
"Julia Brownley (D-Calif) ","California District 26","$2451412"
"Virginia Foxx (R-NC) ","North Carolina District 05","$2427126"
"Kurt Schrader (D-Ore) ","Oregon District 05","$2420381"
"Jim Himes (D-Conn) ","Connecticut District 04","$2390293"
"Cheri Bustos (D-Ill) ","Illinois District 17","$2334441"
"Ron Kind (D-Wis) ","Wisconsin District 03","$2323313"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03","$2263889"
"Brad Sherman (D-Calif) ","California District 30","$2223073"
"Ed Royce (R-Calif) ","California District 39","$2171353"
"John Lewis (D-Ga) ","Georgia District 05","$2135383"
"Frank Pallone Jr. (D-NJ) ","New Jersey District 06","$2127577"
"Peter Welch (D-Vt) ","Vermont District 01","$2125238"
"Tulsi Gabbard (D-Hawaii) ","Hawaii District 02","$2016418"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$2010549"
"Tom Graves (R-Ga) ","Georgia District 14","$1944503"
"Ted Lieu (D-Calif) ","California District 33","$1865001"
"Scott Peters (D-Calif) ","California District 52","$1801176"
"Sean P Duffy (R-Wis) ","Wisconsin District 07","$1787474"
"Steve Scalise (R-La) ","Louisiana District 01","$1785500"
"Jackie Speier (D-Calif) ","California District 14","$1756436"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$1703949"
"Charlie Crist (D-Fla) ","Florida District 13","$1679057"
"Eric Swalwell (D-Calif) ","California District 15","$1672994"
"Raul Ruiz (D-Calif) ","California District 36","$1645991"
