"Representative","Office Running For","Cash on Hand"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 09","$1639244"
"Darin LaHood (R-Ill) ","Illinois District 18","$1591585"
"Terri A Sewell (D-Ala) ","Alabama District 07","$1571272"
"Mike Thompson (D-Calif) ","California District 05","$1560786"
"Kenny Marchant (R-Texas) ","Texas District 24","$1521918"
"Garret Graves (R-La) ","Louisiana District 06","$1484181"
"Bill Keating (D-Mass) ","Massachusetts District 09","$1448546"
"Stephen F Lynch (D-Mass) ","Massachusetts District 08","$1442432"
"Greg Walden (R-Ore) ","Oregon District 02","$1420206"
"Mark Sanford (R-SC) ","South Carolina District 01","$1327791"
"Ami Bera (D-Calif) ","California District 07","$1324713"
"Tom Suozzi (D-NY) ","New York District 03","$1320976"
"Brad Schneider (D-Ill) ","Illinois District 10","$1287584"
"Kevin McCarthy (R-Calif) ","California District 23","$1287072"
"Hakeem Jeffries (D-NY) ","New York District 08","$1269682"
"Joyce Beatty (D-Ohio) ","Ohio District 03","$1266743"
"Patrick McHenry (R-NC) ","North Carolina District 10","$1266099"
"Pete Aguilar (D-Calif) ","California District 31","$1250501"
"Bennie G Thompson (D-Miss) ","Mississippi District 02","$1243060"
"Tom Cole (R-Okla) ","Oklahoma District 04","$1218357"
"Chuck Fleischmann (R-Tenn) ","Tennessee District 03","$1210099"
"Dennis Heck (D-Wash) ","Washington District 10","$1169965"
"Steve Womack (R-Ark) ","Arkansas District 03","$1159219"
"John Sarbanes (D-Md) ","Maryland District 03","$1150484"
"Jason Smith (R-Mo) ","Missouri District 08","$1146238"
"Zoe Lofgren (D-Calif) ","California District 19","$1136682"
"Buddy Carter (R-Ga) ","Georgia District 01","$1125192"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$1118732"
"Peter DeFazio (D-Ore) ","Oregon District 04","$1115826"
"Mike Conaway (R-Texas) ","Texas District 11","$1099033"
"Ann Kuster (D-NH) ","New Hampshire District 02","$1083326"
"Bradley Byrne (R-Ala) ","Alabama District 01","$1074725"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$1065860"
"Alex Mooney (R-WVa) ","West Virginia District 02","$1065033"
"Suzan DelBene (D-Wash) ","Washington District 01","$1053294"
"Jim Langevin (D-RI) ","Rhode Island District 02","$1031500"
"Ann L Wagner (R-Mo) ","Missouri District 02","$1028257"
"Vicente Gonzalez (D-Texas) ","Texas District 15","$1020611"
"Katherine Clark (D-Mass) ","Massachusetts District 05","$1018946"
"Hal Rogers (R-Ky) ","Kentucky District 05","$1008516"
"Adam Kinzinger (R-Ill) ","Illinois District 16","$1006464"
"Nancy Pelosi (D-Calif) ","California District 12","$1004818"
"John M Shimkus (R-Ill) ","Illinois District 15","$1000739"
"Ted Poe (R-Texas) ","Texas District 02","$990989"
"Don Beyer (D-Va) ","Virginia District 08","$982446"
"Grace Meng (D-NY) ","New York District 06","$975748"
"Brian M Higgins (D-NY) ","New York District 26","$970990"
"Lois J Frankel (D-Fla) ","Florida District 21","$967076"
"Tom Rice (R-SC) ","South Carolina District 07","$957824"
"Trey Gowdy (R-SC) ","South Carolina District 04","$942268"
"Nita M Lowey (D-NY) ","New York District 17","$930766"
"Martha McSally (R-Ariz) ","Arizona SenateCurrent office: Arizona District 02","$923794"
"Roger Williams (R-Texas) ","Texas District 25","$923688"
"Marcia L Fudge (D-Ohio) ","Ohio District 11","$923585"
"James E Clyburn (D-SC) ","South Carolina District 06","$905679"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$892433"
"Elijah E Cummings (D-Md) ","Maryland District 07","$886230"
"Ro Khanna (D-Calif) ","California District 17","$878604"
"Lynn Jenkins (R-Kan) ","Kansas District 02","$874649"
"Susan Brooks (R-Ind) ","Indiana District 05","$864926"
"Doug Collins (R-Ga) ","Georgia District 09","$853081"
"Andre Carson (D-Ind) ","Indiana District 07","$850497"
"Bill Johnson (R-Ohio) ","Ohio District 06","$846068"
"David Rouzer (R-NC) ","North Carolina District 07","$838924"
"Jared Huffman (D-Calif) ","California District 02","$820776"
"Pete King (R-NY) ","New York District 02","$819932"
"Gene Green (D-Texas) ","Texas District 29","$809494"
"Mike Gallagher (R-Wis) ","Wisconsin District 08","$808258"
"Don Norcross (D-NJ) ","New Jersey District 01","$789939"
"Adrian Smith (R-Neb) ","Nebraska District 03","$787578"
"Mike Quigley (D-Ill) ","Illinois District 05","$777496"
"Ed Perlmutter (D-Colo) ","Colorado District 07","$760916"
"Jimmy Panetta (D-Calif) ","California District 20","$758134"
"Seth Moulton (D-Mass) ","Massachusetts District 06","$758032"
"Joe Courtney (D-Conn) ","Connecticut District 02","$750441"
"Kathy Castor (D-Fla) ","Florida District 14","$740404"
"Brian Babin (R-Texas) ","Texas District 36","$736915"
"Linda Sanchez (D-Calif) ","California District 38","$735140"
"Salud Carbajal (D-Calif) ","California District 24","$734490"
"Mark Walker (R-NC) ","North Carolina District 06","$733816"
"John Garamendi (D-Calif) ","California District 03","$724376"
"Jim Jordan (R-Ohio) ","Ohio District 04","$722675"
"Kevin Brady (R-Texas) ","Texas District 08","$722637"
"Elizabeth Esty (D-Conn) ","Connecticut District 05","$720291"
"Robert B Aderholt (R-Ala) ","Alabama District 04","$715678"
"David Cicilline (D-RI) ","Rhode Island District 01","$697367"
"John J Duncan Jr. (R-Tenn) ","Tennessee District 02","$696155"
"Mark R Meadows (R-NC) ","North Carolina District 11","$693595"
"Mo Brooks (R-Ala) ","Alabama District 05","$692182"
"Paul Tonko (D-NY) ","New York District 20","$688670"
"Pramila Jayapal (D-Wash) ","Washington District 07","$684239"
"Billy Long (R-Mo) ","Missouri District 07","$672925"
"Bruce Westerman (R-Ark) ","Arkansas District 04","$671610"
"Ryan Costello (R-Pa) ","Pennsylvania District 06","$668914"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$668496"
"Brendan Boyle (D-Pa) ","Pennsylvania District 02Current office: Pennsylvania District 13","$668407"
"Jamie Raskin (D-Md) ","Maryland District 08","$665130"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$661799"
"Bill Shuster (R-Pa) ","Pennsylvania District 13Current office: Pennsylvania District 09","$656328"
"Francis Rooney (R-Fla) ","Florida District 19","$652139"
"David Loebsack (D-Iowa) ","Iowa District 02","$652130"
"Steny H Hoyer (D-Md) ","Maryland District 05","$634132"
"Jeb Hensarling (R-Texas) ","Texas District 05","$617016"
"Dan Kildee (D-Mich) ","Michigan District 05","$615865"
"Robert E Latta (R-Ohio) ","Ohio District 05","$615602"
"Marsha Blackburn (R-Tenn) ","Tennessee SenateCurrent office: Tennessee District 07","$614100"
"Jerrold Nadler (D-NY) ","New York District 10","$610425"
"Roger Marshall (R-Kan) ","Kansas District 01","$608286"
"Filemon Vela (D-Texas) ","Texas District 34","$605874"
"Bob Goodlatte (R-Va) ","Virginia District 06","$604480"
"Lou Correa (D-Calif) ","California District 46","$603693"
"Ralph Norman (R-SC) ","South Carolina District 05","$596440"
"Brenda Lawrence (D-Mich) ","Michigan District 14","$596093"
"Nanette Barragan (D-Calif) ","California District 44","$590866"
"Mark Pocan (D-Wis) ","Wisconsin District 02","$575059"
"Alan Lowenthal (D-Calif) ","California District 47","$570459"
"Lamar Smith (R-Texas) ","Texas District 21","$562627"
"Austin Scott (R-Ga) ","Georgia District 08","$560944"
"Sam Graves (R-Mo) ","Missouri District 06","$552213"
"Andy Harris (R-Md) ","Maryland District 01","$549036"
"Jodey Arrington (R-Texas) ","Texas District 19","$534871"
"Mike D Rogers (R-Ala) ","Alabama District 03","$527686"
"Ken Calvert (R-Calif) ","California District 42","$517900"
"Anthony Brown (D-Md) ","Maryland District 04","$517526"
"G K Butterfield (D-NC) ","North Carolina District 01","$511508"
"Collin Peterson (D-Minn) ","Minnesota District 07","$500376"
"Anna Eshoo (D-Calif) ","California District 18","$497048"
"Debbie Dingell (D-Mich) ","Michigan District 12","$496467"
"Robin Kelly (D-Ill) ","Illinois District 02","$487767"
"Cedric Richmond (D-La) ","Louisiana District 02","$468254"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$462077"
"Marc Veasey (D-Texas) ","Texas District 33","$459860"
"Ruben Gallego (D-Ariz) ","Arizona District 07","$459178"
"Randy Weber (R-Texas) ","Texas District 14","$458756"
"Suzanne Bonamici (D-Ore) ","Oregon District 01","$458749"
"Mac Thornberry (R-Texas) ","Texas District 13","$458097"
"Richard Hudson (R-NC) ","North Carolina District 08","$454055"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$450084"
"Frank D Lucas (R-Okla) ","Oklahoma District 03","$445576"
"Matt Cartwright (D-Pa) ","Pennsylvania District 08Current office: Pennsylvania District 17","$429799"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$429091"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$428523"
"Brad Wenstrup (R-Ohio) ","Ohio District 02","$423971"
"Kay Granger (R-Texas) ","Texas District 12","$421201"
"Michael Burgess (R-Texas) ","Texas District 26","$417300"
"Steve Stivers (R-Ohio) ","Ohio District 15","$410164"
"Mike Johnson (R-La) ","Louisiana District 04","$409293"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 23","$404214"
"Maxine Waters (D-Calif) ","California District 43","$395533"
"David McKinley (R-WVa) ","West Virginia District 01","$386465"
"Neal Dunn (R-Fla) ","Florida District 02","$386154"
"Ben R Lujan (D-NM) ","New Mexico District 03","$378789"
"Pete Visclosky (D-Ind) ","Indiana District 01","$378554"
"Pete Sessions (R-Texas) ","Texas District 32","$376669"
"David Scott (D-Ga) ","Georgia District 13","$375978"
"Gary Palmer (R-Ala) ","Alabama District 06","$372551"
"John B Larson (D-Conn) ","Connecticut District 01","$368828"
"John Rutherford (R-Fla) ","Florida District 04","$365726"
"Scott Desjarlais (R-Tenn) ","Tennessee District 04","$363684"
"Ted Deutch (D-Fla) ","Florida District 22","$360872"
"Frederica Wilson (D-Fla) ","Florida District 24","$360269"
"John Lee Ratcliffe (R-Texas) ","Texas District 04","$359004"
"Rob Wittman (R-Va) ","Virginia District 01","$357921"
"Jimmy Gomez (D-Calif) ","California District 34","$356665"
"F James Sensenbrenner Jr. (R-Wis) ","Wisconsin District 05","$355097"
"Elise Stefanik (R-NY) ","New York District 21","$352229"
"Kenneth R Buck (R-Colo) ","Colorado District 04","$351076"
"Rob Bishop (R-Utah) ","Utah District 01","$343359"
"Martha Roby (R-Ala) ","Alabama District 02","$341683"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$326887"
"Doris O Matsui (D-Calif) ","California District 06","$323335"
"Tony Cardenas (D-Calif) ","California District 29","$321680"
"Ruben Kihuen (D-Nev) ","Nevada District 04","$318033"
"Karen Bass (D-Calif) ","California District 37","$312339"
"Mark Desaulnier (D-Calif) ","California District 11","$311530"
"Rick Crawford (R-Ark) ","Arkansas District 01","$311425"
"Jeff Denham (R-Calif) ","California District 10","$306567"
"Bill Posey (R-Fla) ","Florida District 08","$306530"
"Grace Napolitano (D-Calif) ","California District 32","$305951"
"James P McGovern (D-Mass) ","Massachusetts District 02","$301810"
"Jenniffer Gonzalez (3-PR) ","Puerto Rico District 00","$299387"
"Kathleen Rice (D-NY) ","New York District 04","$293997"
"Mark Amodei (R-Nev) ","Nevada District 02","$292933"
"Beto O'Rourke (D-Texas) ","Texas SenateCurrent office: Texas District 16","$286531"
"Andy Biggs (R-Ariz) ","Arizona District 05","$285246"
"Adriano Espaillat (D-NY) ","New York District 13","$284883"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$283313"
"Bill Flores (R-Texas) ","Texas District 17","$281629"
"Vicky Hartzler (R-Mo) ","Missouri District 04","$280061"
"Rick Larsen (D-Wash) ","Washington District 02","$272160"
"Ron Estes (R-Kan) ","Kansas District 04","$270544"
"Mike Simpson (R-Idaho) ","Idaho District 02","$267072"
"Al Green (D-Texas) ","Texas District 09","$265628"
"Ted Yoho (R-Fla) ","Florida District 03","$260713"
"Mike Doyle (D-Pa) ","Pennsylvania District 18Current office: Pennsylvania District 14","$256878"
"John Carter (R-Texas) ","Texas District 31","$254705"
"Lisa Blunt Rochester (D-Del) ","Delaware District 01","$245182"
"Jeff Duncan (R-SC) ","South Carolina District 03","$244637"
"David P Joyce (R-Ohio) ","Ohio District 14","$244550"
"Conor Lamb (D-Pa) ","Pennsylvania District 17Current office: Pennsylvania District 18","$238554"
"Larry Bucshon (R-Ind) ","Indiana District 08","$234231"
"Glenn Thompson (R-Pa) ","Pennsylvania District 15Current office: Pennsylvania District 05","$232188"
"Steven Palazzo (R-Miss) ","Mississippi District 04","$232116"
"Warren Davidson (R-Ohio) ","Ohio District 08","$230008"
"Frank LoBiondo (R-NJ) ","New Jersey District 02","$229190"
"Phil Roe (R-Tenn) ","Tennessee District 01","$227192"
"Thomas Massie (R-Ky) ","Kentucky District 04","$225344"
"Tom McClintock (R-Calif) ","California District 04","$224826"
"Chellie Pingree (D-Maine) ","Maine District 01","$224369"
"Norma Torres (D-Calif) ","California District 35","$217525"
"Douglas L Lamborn (R-Colo) ","Colorado District 05","$217076"
"Donald McEachin (D-Va) ","Virginia District 04","$211508"
"Dina Titus (D-Nev) ","Nevada District 01","$210617"
"Liz Cheney (R-Wyo) ","Wyoming District 01","$209851"
"Susan A Davis (D-Calif) ","California District 53","$206729"
"Chris Collins (R-NY) ","New York District 27","$204416"
"Danny K Davis (D-Ill) ","Illinois District 07","$203987"
"John A Yarmuth (D-Ky) ","Kentucky District 03","$201776"
"Kevin Cramer (R-ND) ","North Dakota SenateCurrent office: North Dakota District 01","$198222"
"Eliot L Engel (D-NY) ","New York District 16","$197027"
"Barry Loudermilk (R-Ga) ","Georgia District 11","$195915"
"William L Clay Jr. (D-Mo) ","Missouri District 01","$194377"
"Adam Smith (D-Wash) ","Washington District 09","$191777"
"Glenn S Grothman (R-Wis) ","Wisconsin District 06","$190333"
"Nydia M Velazquez (D-NY) ","New York District 07","$183413"
"Tom Emmer (R-Minn) ","Minnesota District 06","$182186"
"Jacky Rosen (D-Nev) ","Nevada SenateCurrent office: Nevada District 03","$179032"
"Trent Kelly (R-Miss) ","Mississippi District 01","$178086"
"Bill Huizenga (R-Mich) ","Michigan District 02","$177896"
"John Faso (R-NY) ","New York District 19","$176887"
"Alma Adams (D-NC) ","North Carolina District 12","$174431"
"Kyrsten Sinema (D-Ariz) ","Arizona SenateCurrent office: Arizona District 09","$171527"
"Dave Brat (R-Va) ","Virginia District 07","$171261"
"James Comer (R-Ky) ","Kentucky District 01","$168900"
"Jerry McNerney (D-Calif) ","California District 09","$168758"
"Brian Mast (R-Fla) ","Florida District 18","$167493"
"David Price (D-NC) ","North Carolina District 04","$166450"
"John Curtis (R-Utah) ","Utah District 03","$164259"
"Albio Sires (D-NJ) ","New Jersey District 08","$158849"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$158674"
"Bob Gibbs (R-Ohio) ","Ohio District 07","$153614"
"Diana DeGette (D-Colo) ","Colorado District 01","$153478"
"Gregory W Meeks (D-NY) ","New York District 05","$151354"
"Joe Wilson (R-SC) ","South Carolina District 02","$150258"
"Bonnie Coleman (D-NJ) ","New Jersey District 12","$149372"
"Bobby Scott (D-Va) ","Virginia District 03","$148743"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$147164"
"Chris Stewart (R-Utah) ","Utah District 02","$142018"
"Matt Gaetz (R-Fla) ","Florida District 01","$141962"
"Paul Cook (R-Calif) ","California District 08","$140257"
"Andy Barr (R-Ky) ","Kentucky District 06","$134679"
"Barbara Lee (D-Calif) ","California District 13","$132303"
"Joaquin Castro (D-Texas) ","Texas District 20","$128621"
"Kevin Yoder (R-Kan) ","Kansas District 03","$125073"
"Walter B Jones Jr. (R-NC) ","North Carolina District 03","$124114"
"Paul Gosar (R-Ariz) ","Arizona District 04","$121200"
"John Moolenaar (R-Mich) ","Michigan District 04","$118694"
"Tim Ryan (D-Ohio) ","Ohio District 13","$118195"
"Jackie Walorski (R-Ind) ","Indiana District 02","$118031"
"Dan Newhouse (R-Wash) ","Washington District 04","$117430"
"Don Young (R-Alaska) ","Alaska District 01","$116720"
"Brian Fitzpatrick (R-Pa) ","Pennsylvania District 01Current office: Pennsylvania District 08","$116635"
"Drew Ferguson (R-Ga) ","Georgia District 03","$114787"
"Mary Gay Scanlon (D-Pa) ","Pennsylvania District 05Current office: Pennsylvania District 07","$113913"
"Jody B Hice (R-Ga) ","Georgia District 10","$111618"
"Mike Bishop (R-Mich) ","Michigan District 08","$111073"
"Jim Costa (D-Calif) ","California District 16","$109890"
"Carolyn B Maloney (D-NY) ","New York District 12","$107909"
"Daniel Webster (R-Fla) ","Florida District 11","$106407"
"Betty McCollum (D-Minn) ","Minnesota District 04","$106299"
"Ralph Abraham (R-La) ","Louisiana District 05","$103807"
"Dan Donovan (R-NY) ","New York District 11","$97462"
"Steven Russell (R-Okla) ","Oklahoma District 05","$93774"
"Sanford Bishop (D-Ga) ","Georgia District 02","$92979"
"Mark Takano (D-Calif) ","California District 41","$92349"
"Carlos Curbelo (R-Fla) ","Florida District 26","$89898"
"Karen Handel (R-Ga) ","Georgia District 06","$87689"
"Rod Blum (R-Iowa) ","Iowa District 01","$87651"
"Sander Levin (D-Mich) ","Michigan District 09","$87103"
"Val Demings (D-Fla) ","Florida District 10","$86395"
"Stephanie Murphy (D-Fla) ","Florida District 07","$85873"
"Alcee L Hastings (D-Fla) ","Florida District 20","$85532"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$83337"
"Duncan D Hunter (R-Calif) ","California District 50","$83141"
"Justin Amash (R-Mich) ","Michigan District 03","$81802"
"Richard W Allen (R-Ga) ","Georgia District 12","$80758"
"Vernon Buchanan (R-Fla) ","Florida District 16","$79240"
"David Valadao (R-Calif) ","California District 21","$78918"
"Tom Marino (R-Pa) ","Pennsylvania District 12Current office: Pennsylvania District 10","$77897"
"Claudia Tenney (R-NY) ","New York District 22","$76983"
"David Kustoff (R-Tenn) ","Tennessee District 08","$71900"
"Juan Vargas (D-Calif) ","California District 51","$71676"
"Debbie Lesko (R-Ariz) ","Arizona District 08","$70841"
"Gregorio Sablan (I) ","Northern Mariana Islands District 00","$70589"
"Ted Budd (R-NC) ","North Carolina District 13","$70239"
"Niki Tsongas (D-Mass) ","Massachusetts District 03","$69945"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$69565"
"Pete Olson (R-Texas) ","Texas District 22","$68849"
"Bobby L Rush (D-Ill) ","Illinois District 01","$66640"
"Carol Shea-Porter (D-NH) ","New Hampshire District 01","$66089"
"Kevin Hern (R-Okla) ","Oklahoma District 01","$65660"
"Jose E Serrano (D-NY) ","New York District 15","$65411"
"Leonard Lance (R-NJ) ","New Jersey District 07","$63170"
"Todd Rokita (R-Ind) ","Indiana SenateCurrent office: Indiana District 04","$62606"
"Michael McCaul (R-Texas) ","Texas District 10","$62187"
"Yvette D Clarke (D-NY) ","New York District 09","$61697"
"Michael R Turner (R-Ohio) ","Ohio District 10","$61235"
"Louis B Gohmert Jr. (R-Texas) ","Texas District 01","$61188"
"Joseph D Morelle (D-NY) ","New York District 25","$59235"
"Michael Cloud (R-Texas) ","Texas District 27","$57692"
"Gregg Harper (R-Miss) ","Mississippi District 03","$57459"
"Rick Nolan (D-Minn) ","Minnesota District 08","$56213"
"Tim Walberg (R-Mich) ","Michigan District 07","$54091"
"Tom Reed (R-NY) ","New York District 23","$52239"
"Scott Perry (R-Pa) ","Pennsylvania District 10Current office: Pennsylvania District 04","$51214"
"Mimi Walters (R-Calif) ","California District 45","$50119"
"Don Bacon (R-Neb) ","Nebraska District 02","$49728"
"Dennis Ross (R-Fla) ","Florida District 15","$48987"
"Jaime Herrera Beutler (R-Wash) ","Washington District 03","$48967"
"John Katko (R-NY) ","New York District 24","$48188"
"Rob Woodall (R-Ga) ","Georgia District 07","$47287"
"French Hill (R-Ark) ","Arkansas District 02","$46781"
"Dana Rohrabacher (R-Calif) ","California District 48","$45944"
"Donald M Payne Jr. (D-NJ) ","New Jersey District 10","$44789"
"Hank Johnson (D-Ga) ","Georgia District 04","$44457"
"Lou Barletta (R-Pa) ","Pennsylvania SenateCurrent office: Pennsylvania District 11","$44356"
"David Schweikert (R-Ariz) ","Arizona District 06","$44232"
"John Culberson (R-Texas) ","Texas District 07","$43657"
"Chris Smith (R-NJ) ","New Jersey District 04","$43011"
"Jim Renacci (R-Ohio) ","Ohio SenateCurrent office: Ohio District 16","$42873"
"Mia Love (R-Utah) ","Utah District 04","$42203"
"Clay Higgins (R-La) ","Louisiana District 03","$40688"
"Lucille Roybal-Allard (D-Calif) ","California District 40","$40131"
"Mike Kelly (R-Pa) ","Pennsylvania District 16Current office: Pennsylvania District 03","$38377"
"Raul M Grijalva (D-Ariz) ","Arizona District 03","$38156"
"George Holding (R-NC) ","North Carolina District 02","$38059"
"Keith J Rothfus (R-Pa) ","Pennsylvania District 17Current office: Pennsylvania District 12","$36590"
"Fred Upton (R-Mich) ","Michigan District 06","$36112"
"Scott Tipton (R-Colo) ","Colorado District 03","$34617"
"Paul Mitchell (R-Mich) ","Michigan District 10","$31472"
"Greg Gianforte (R-Mont) ","Montana District 01","$31080"
"Doug LaMalfa (R-Calif) ","California District 01","$28131"
"Steve Knight (R-Calif) ","California District 25","$28064"
"Markwayne Mullin (R-Okla) ","Oklahoma District 02","$28043"
"Thomas MacArthur (R-NJ) ","New Jersey District 03","$27564"
"Stacey Plaskett (D-VI) ","Virgin Islands District 00","$27294"
"Steven A. King (R-Iowa) ","Iowa District 04","$26221"
"Susan Wild (D-Pa) ","Pennsylvania District 07Current office: Pennsylvania District 15","$25908"
"Lee Zeldin (R-NY) ","New York District 01","$24571"
"Steve Chabot (R-Ohio) ","Ohio District 01","$23418"
"Sean Patrick Maloney (D-NY) ","New York District 18","$22234"
"Troy Balderson (R-Ohio) ","Ohio District 12","$21890"
"Joe Barton (R-Texas) ","Texas District 06","$21655"
"Dwight Evans (D-Pa) ","Pennsylvania District 03Current office: Pennsylvania District 02","$21481"
"Al Lawson (D-Fla) ","Florida District 05","$21450"
"Peter Roskam (R-Ill) ","Illinois District 06","$20139"
"Gus Bilirakis (R-Fla) ","Florida District 12","$19607"
"Rodney Davis (R-Ill) ","Illinois District 13","$19576"
"Barbara Comstock (R-Va) ","Virginia District 10","$18853"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$16743"
"Scott W Taylor (R-Va) ","Virginia District 02","$16731"
"Rosa L DeLauro (D-Conn) ","Connecticut District 03","$16364"
"Luis V Gutierrez (D-Ill) ","Illinois District 04","$13355"
"David Young (R-Iowa) ","Iowa District 03","$12800"
"Morgan Griffith (R-Va) ","Virginia District 09","$11746"
"Jim Banks (R-Ind) ","Indiana District 03","$11509"
"Madeleine Z Bordallo (D-Guam) ","Guam District 00","$11397"
"Lloyd Smucker (R-Pa) ","Pennsylvania District 11Current office: Pennsylvania District 16","$10161"
"Joseph Crowley (D-NY) ","New York District 14","$8779"
"Luke Messer (R-Ind) ","Indiana SenateCurrent office: Indiana District 06","$8385"
"Kristi Noem (R-SD) ","South Dakota District 01","$7922"
"Brenda Jones (D-Mich) ","Michigan District 13","$7861"
"Michelle Lujan Grisham (D-NM) ","New Mexico District 01","$7688"
"Jason Lewis (R-Minn) ","Minnesota District 02","$7363"
"Trey Hollingsworth (R-Ind) ","Indiana District 09","$7326"
"Keith Ellison (D-Minn) ","Minnesota District 05","$6929"
"Michael E Capuano (D-Mass) ","Massachusetts District 07","$6541"
"Darren Soto (D-Fla) ","Florida District 09","$6519"
"Tom O'Halleran (D-Ariz) ","Arizona District 01","$5932"
"John Bergman (R-Mich) ","Michigan District 01","$5354"
"Mike Bost (R-Ill) ","Illinois District 12","$5321"
"Tom Garrett (R-Va) ","Virginia District 05","$4730"
"Robert A. Brady (D-Pa) ","Pennsylvania District 02Current office: Pennsylvania District 01","$3725"
"Diane Black (R-Tenn) ","Tennessee District 06","$3702"
"Bruce Poliquin (R-Maine) ","Maine District 02","$3593"
"Evan Jenkins (R-WVa) ","West Virginia SenateCurrent office: West Virginia District 03","$2537"
"Robert Pittenger (R-NC) ","North Carolina District 09","$1914"
"Tom Rooney (R-Fla) ","Florida District 17","$1909"
"Raul Labrador (R-Idaho) ","Idaho District 01","$1359"
"Will Hurd (R-Texas) ","Texas District 23","$1138"
"Amata Coleman Radewagen (R-AS) ","American Samoa District 00","$917"
"Randy Hultgren (R-Ill) ","Illinois District 14","$396"
"Mike Coffman (R-Colo) ","Colorado District 06","$0"
"Colleen Hanabusa (D-Hawaii) ","Hawaii District 01","$0"
"Darrell Issa (R-Calif) ","California District 49","$0"
"Steve Pearce (R-NM) ","New Mexico District 02","$0"
"Dave Reichert (R-Wash) ","Washington District 08","$0"
"Tim Walz (D-Minn) ","Minnesota District 01","$0"
