"Representative","Office Running For","Cash on Hand"
"Lynn A. Westmoreland (R-Ga) ","Georgia District 03","$424755"
"Ken Calvert (R-Calif) ","California District 42Current office: California District 44","$419344"
"Nita M. Lowey (D-NY) ","New York District 17Current office: New York District 18","$417574"
"Steve Womack (R-Ark) ","Arkansas District 03","$407109"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$394516"
"Tim Scott (R-SC) ","South Carolina District 01","$394213"
"Phil Roe (R-Tenn) ","Tennessee District 01","$389641"
"John D. Dingell (D-Mich) ","Michigan District 12Current office: Michigan District 15","$387065"
"Terri A. Sewell (D-Ala) ","Alabama District 07","$377614"
"Mike Quigley (D-Ill) ","Illinois District 05","$373845"
"Tom McClintock (R-Calif) ","California District 04","$373609"
"Anna Eshoo (D-Calif) ","California District 18Current office: California District 14","$373558"
"Ander Crenshaw (R-Fla) ","Florida District 04","$369183"
"Bill Pascrell Jr (D-NJ) ","New Jersey District 09Current office: New Jersey District 08","$356943"
"Jim Moran (D-Va) ","Virginia District 08","$356653"
"Lois Capps (D-Calif) ","California District 24Current office: California District 23","$354431"
"James P. McGovern (D-Mass) ","Massachusetts District 02Current office: Massachusetts District 03","$354251"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$353836"
"Rick Larsen (D-Wash) ","Washington District 02","$344022"
"Steve Chabot (R-Ohio) ","Ohio District 01","$338580"
"Steve Israel (D-NY) ","New York District 03Current office: New York District 02","$336024"
"Diane Black (R-Tenn) ","Tennessee District 06","$319545"
"Francisco Canseco (R-Texas) ","Texas District 23","$319533"
"Kevin Brady (R-Texas) ","Texas District 08","$317258"
"Billy Long (R-Mo) ","Missouri District 07","$314895"
"Paul Tonko (D-NY) ","New York District 20Current office: New York District 21","$314525"
"Ben R. Lujan (D-NM) ","New Mexico District 03","$314480"
"Andre Carson (D-Ind) ","Indiana District 07","$312476"
"Austin Scott (R-Ga) ","Georgia District 08","$307376"
"Joe Courtney (D-Conn) ","Connecticut District 02","$306383"
"Gregg Harper (R-Miss) ","Mississippi District 03","$303466"
"Mario Diaz-Balart (R-Fla) ","Florida District 25Current office: Florida District 21","$298471"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$292048"
"Doc Hastings (R-Wash) ","Washington District 04","$290162"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$284859"
"Adam Smith (D-Wash) ","Washington District 09","$282956"
"F. James Sensenbrenner Jr (R-Wis) ","Wisconsin District 05","$282546"
"Tim Walberg (R-Mich) ","Michigan District 07","$276103"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$273012"
"Michael R. Turner (R-Ohio) ","Ohio District 10Current office: Ohio District 03","$272371"
"Trey Gowdy (R-SC) ","South Carolina District 04","$270957"
"Steven Palazzo (R-Miss) ","Mississippi District 04","$269796"
"Spencer Bachus (R-Ala) ","Alabama District 06","$260462"
"Alcee L. Hastings (D-Fla) ","Florida District 20Current office: Florida District 23","$256106"
"Sam Graves (R-Mo) ","Missouri District 06","$255140"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$254009"
"Bill Posey (R-Fla) ","Florida District 08Current office: Florida District 15","$253346"
"Raul Labrador (R-Idaho) ","Idaho District 01","$250472"
"Bill Keating (D-Mass) ","Massachusetts District 09Current office: Massachusetts District 10","$248278"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$245903"
"Rodney Alexander (R-La) ","Louisiana District 05","$244645"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$242439"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$238368"
"Sander Levin (D-Mich) ","Michigan District 09Current office: Michigan District 12","$238138"
"Charlie Dent (R-Pa) ","Pennsylvania District 15","$235006"
"Bob Gibbs (R-Ohio) ","Ohio District 07Current office: Ohio District 18","$234652"
"Joe Heck (R-Nev) ","Nevada District 03","$231236"
"Loretta Sanchez (D-Calif) ","California District 46Current office: California District 47","$220885"
"Henry A. Waxman (D-Calif) ","California District 33Current office: California District 30","$220612"
"Steve Stivers (R-Ohio) ","Ohio District 15","$216863"
"Nydia M. Velazquez (D-NY) ","New York District 07Current office: New York District 12","$216264"
"Pete Visclosky (D-Ind) ","Indiana District 01","$216063"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$213582"
"Dennis Ross (R-Fla) ","Florida District 15Current office: Florida District 12","$213386"
"Jim Costa (D-Calif) ","California District 16Current office: California District 20","$210609"
"Grace Napolitano (D-Calif) ","California District 32Current office: California District 38","$209415"
"George Miller (D-Calif) ","California District 11Current office: California District 07","$208528"
"Suzanne Bonamici (D-Ore) ","Oregon District 01","$207674"
"John Lewis (D-Ga) ","Georgia District 05","$206722"
"Bill Flores (R-Texas) ","Texas District 17","$206122"
"John B. Larson (D-Conn) ","Connecticut District 01","$202850"
"Marcia L. Fudge (D-Ohio) ","Ohio District 11","$200103"
"C. W. Bill Young (R-Fla) ","Florida District 13Current office: Florida District 10","$196941"
"Doris O. Matsui (D-Calif) ","California District 06Current office: California District 05","$196910"
"Dana Rohrabacher (R-Calif) ","California District 48Current office: California District 46","$190659"
"Charles W. Boustany Jr (R-La) ","Louisiana District 03Current office: Louisiana District 07","$190368"
"Randy Forbes (R-Va) ","Virginia District 04","$189863"
"Mark Amodei (R-Nev) ","Nevada District 02","$188551"
"Frank R. Wolf (R-Va) ","Virginia District 10","$187089"
"Martha Roby (R-Ala) ","Alabama District 02","$186496"
"David Scott (D-Ga) ","Georgia District 13","$184080"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$183946"
"Chris Smith (R-NJ) ","New Jersey District 04","$182496"
"Danny K. Davis (D-Ill) ","Illinois District 07","$180999"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$176684"
"Al Green (D-Texas) ","Texas District 09","$175473"
"Susan A. Davis (D-Calif) ","California District 53","$172720"
"Mick Mulvaney (R-SC) ","South Carolina District 05","$171682"
"Andy Harris (R-Md) ","Maryland District 01","$170080"
"Reid Ribble (R-Wis) ","Wisconsin District 08","$166754"
"Leonard Lance (R-NJ) ","New Jersey District 07","$161505"
"Chellie Pingree (D-Maine) ","Maine District 01","$161421"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$160294"
"Albio Sires (D-NJ) ","New Jersey District 08Current office: New Jersey District 13","$160022"
"Rick Berg (R-ND) ","North Dakota SenateCurrent office: North Dakota District 01","$158673"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$158669"
"Jo Bonner (R-Ala) ","Alabama District 01","$157209"
"Alan Nunnelee (R-Miss) ","Mississippi District 01","$157091"
"Rick Crawford (R-Ark) ","Arkansas District 01","$155982"
"Paul Broun (R-Ga) ","Georgia District 10","$155567"
"Jeff Denham (R-Calif) ","California District 10Current office: California District 19","$155472"
"Connie Mack (R-Fla) ","Florida SenateCurrent office: Florida District 14","$155076"
"Patrick McHenry (R-NC) ","North Carolina District 10","$154216"
"Marlin Stutzman (R-Ind) ","Indiana District 03","$153803"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$152882"
"Jim Langevin (D-RI) ","Rhode Island District 02","$150118"
"Pete Olson (R-Texas) ","Texas District 22","$147062"
"John L. Mica (R-Fla) ","Florida District 07","$146741"
"Tammy Baldwin (D-Wis) ","Wisconsin SenateCurrent office: Wisconsin District 02","$143852"
"Bill Huizenga (R-Mich) ","Michigan District 02","$143407"
"Scott Tipton (R-Colo) ","Colorado District 03","$136546"
"Kristi Noem (R-SD) ","South Dakota District 01","$133795"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$133429"
"Niki Tsongas (D-Mass) ","Massachusetts District 03Current office: Massachusetts District 05","$132331"
"Jeff Duncan (R-SC) ","South Carolina District 03","$132042"
"Robert Hurt (R-Va) ","Virginia District 05","$128896"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$128696"
"Vicky Hartzler (R-Mo) ","Missouri District 04","$128069"
"Renee Ellmers (R-NC) ","North Carolina District 02","$127731"
"Peter DeFazio (D-Ore) ","Oregon District 04","$126040"
"Vernon Buchanan (R-Fla) ","Florida District 16Current office: Florida District 13","$125657"
"Tim Ryan (D-Ohio) ","Ohio District 13Current office: Ohio District 17","$125451"
"Morgan Griffith (R-Va) ","Virginia District 09","$124808"
"Cynthia Marie Lummis (R-Wyo) ","Wyoming District 01","$123882"
"Thomas Massie (R-Ky) ","Kentucky District 04","$123069"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$121283"
"Steven A. King (R-Iowa) ","Iowa District 04Current office: Iowa District 05","$119193"
"Kay Granger (R-Texas) ","Texas District 12","$119143"
"William L. Clay Jr (D-Mo) ","Missouri District 01","$118356"
"Jason Chaffetz (R-Utah) ","Utah District 03","$117793"
"Tom Latham (R-Iowa) ","Iowa District 03Current office: Iowa District 04","$117561"
"Linda Sanchez (D-Calif) ","California District 38Current office: California District 39","$116015"
"Tom Reed (R-NY) ","New York District 23Current office: New York District 29","$115518"
"Michael G. Fitzpatrick (R-Pa) ","Pennsylvania District 08","$114083"
"Nick Rahall (D-WVa) ","West Virginia District 03","$109681"
"Robert Dold (R-Ill) ","Illinois District 10","$107293"
"Christopher S. Murphy (D-Conn) ","Connecticut SenateCurrent office: Connecticut District 05","$107239"
"Sean P. Duffy (R-Wis) ","Wisconsin District 07","$105183"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$102691"
"Steve Southerland (R-Fla) ","Florida District 02","$101782"
"Daniel Webster (R-Fla) ","Florida District 10Current office: Florida District 08","$100842"
"Glenn Thompson (R-Pa) ","Pennsylvania District 05","$100576"
"Adam Kinzinger (R-Ill) ","Illinois District 16Current office: Illinois District 11","$99988"
"Walter B. Jones Jr (R-NC) ","North Carolina District 03","$98133"
"Jeff Flake (R-Ariz) ","Arizona SenateCurrent office: Arizona District 06","$97360"
"Louis B. Gohmert Jr (R-Texas) ","Texas District 01","$96736"
"Michael Burgess (R-Texas) ","Texas District 26","$95435"
"Joe Donnelly (D-Ind) ","Indiana SenateCurrent office: Indiana District 02","$93936"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$93708"
"Frederica Wilson (D-Fla) ","Florida District 24Current office: Florida District 17","$90121"
"Dan Benishek (R-Mich) ","Michigan District 01","$88652"
"Michael Grimm (R-NY) ","New York District 11Current office: New York District 13","$88588"
"Mazie K. Hirono (D-Hawaii) ","Hawaii SenateCurrent office: Hawaii District 02","$88500"
"Dave Reichert (R-Wash) ","Washington District 08","$87225"
"Sandy Adams (R-Fla) ","Florida District 07Current office: Florida District 24","$87212"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$86268"
"Ron Barber (D-Ariz) ","Arizona District 02Current office: Arizona District 08","$86069"
"Mike McIntyre (D-NC) ","North Carolina District 07","$85818"
"Jon Runyan (R-NJ) ","New Jersey District 03","$85515"
"Mike Michaud (D-Maine) ","Maine District 02","$80638"
"Howard Coble (R-NC) ","North Carolina District 06","$78560"
"Mike Honda (D-Calif) ","California District 17Current office: California District 15","$78222"
"Mary Bono Mack (R-Calif) ","California District 36Current office: California District 45","$78113"
"Justin Amash (R-Mich) ","Michigan District 03","$77844"
"Pete Stark (D-Calif) ","California District 15Current office: California District 13","$77519"
"Sam Farr (D-Calif) ","California District 20Current office: California District 17","$73918"
"Fred Upton (R-Mich) ","Michigan District 06","$70588"
"Laura Richardson (D-Calif) ","California District 44Current office: California District 37","$68907"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$67820"
"Judy Biggert (R-Ill) ","Illinois District 11Current office: Illinois District 13","$67410"
"John Barrow (D-Ga) ","Georgia District 12","$66948"
"Jeff Landry (R-La) ","Louisiana District 03","$66913"
"Mike Simpson (R-Idaho) ","Idaho District 02","$66491"
"Jeff Miller (R-Fla) ","Florida District 01","$65949"
"David Price (D-NC) ","North Carolina District 04","$65647"
"John Conyers Jr (D-Mich) ","Michigan District 13Current office: Michigan District 14","$63323"
"Timothy J. Walz (D-Minn) ","Minnesota District 01","$63237"
"Bobby Scott (D-Va) ","Virginia District 03","$62944"
"Diana DeGette (D-Colo) ","Colorado District 01","$62321"
"Martin Heinrich (D-NM) ","New Mexico SenateCurrent office: New Mexico District 01","$61437"
"Dan Lungren (R-Calif) ","California District 07Current office: California District 03","$58978"
"Keith Ellison (D-Minn) ","Minnesota District 05","$56570"
"Tom Graves (R-Ga) ","Georgia District 14Current office: Georgia District 09","$55947"
"Jaime Herrera Beutler (R-Wash) ","Washington District 03","$55939"
"Rob Woodall (R-Ga) ","Georgia District 07","$55741"
"Randy Hultgren (R-Ill) ","Illinois District 14","$55369"
"Colleen Hanabusa (D-Hawaii) ","Hawaii District 01","$54895"
"Nan Hayworth (R-NY) ","New York District 18Current office: New York District 19","$54522"
"Robert E. Latta (R-Ohio) ","Ohio District 05","$53388"
"Karen Bass (D-Calif) ","California District 37Current office: California District 33","$52385"
"Bruce Braley (D-Iowa) ","Iowa District 01","$51463"
"Richard Nugent (R-Fla) ","Florida District 11Current office: Florida District 05","$51312"
"Eliot L. Engel (D-NY) ","New York District 16Current office: New York District 17","$51286"
"Douglas L. Lamborn (R-Colo) ","Colorado District 05","$51104"
"Pedro Pierluisi (D-PR) ","Puerto Rico District 00","$49799"
"Ralph M. Hall (R-Texas) ","Texas District 04","$48967"
"Betty McCollum (D-Minn) ","Minnesota District 04","$48014"
"Gus Bilirakis (R-Fla) ","Florida District 12Current office: Florida District 09","$47968"
"Brad Sherman (D-Calif) ","California District 30Current office: California District 27","$47778"
"Maxine Waters (D-Calif) ","California District 43Current office: California District 35","$46683"
"Leonard Boswell (D-Iowa) ","Iowa District 03","$46613"
"Brian P. Bilbray (R-Calif) ","California District 52Current office: California District 50","$45650"
"Barbara Lee (D-Calif) ","California District 13Current office: California District 09","$45181"
"Todd Akin (R-Mo) ","Missouri SenateCurrent office: Missouri District 02","$42486"
"Tim Griffin (R-Ark) ","Arkansas District 02","$41371"
"John Garamendi (D-Calif) ","California District 03Current office: California District 10","$40280"
"Jim Renacci (R-Ohio) ","Ohio District 16","$39818"
"Bobby Schilling (R-Ill) ","Illinois District 17","$39711"
"Janice Hahn (D-Calif) ","California District 44Current office: California District 36","$37919"
"Richard Hanna (R-NY) ","New York District 22Current office: New York District 24","$37025"
"Mike Kelly (R-Pa) ","Pennsylvania District 03","$36264"
"Frank Guinta (R-NH) ","New Hampshire District 01","$34445"
"Collin Peterson (D-Minn) ","Minnesota District 07","$34417"
"Lucille Roybal-Allard (D-Calif) ","California District 40Current office: California District 34","$34158"
"Denny Rehberg (R-Mont) ","Montana SenateCurrent office: Montana District 01","$33743"
"John Culberson (R-Texas) ","Texas District 07","$32396"
"Edwin G. Perlmutter (D-Colo) ","Colorado District 07","$32207"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$32029"
"Jerry McNerney (D-Calif) ","California District 09Current office: California District 11","$31694"
"Gregory W. Meeks (D-NY) ","New York District 05Current office: New York District 06","$30052"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$29869"
"Yvette D. Clarke (D-NY) ","New York District 09Current office: New York District 11","$29835"
"David Schweikert (R-Ariz) ","Arizona District 06Current office: Arizona District 05","$29570"
"Donald M. Payne Jr (D-NJ) ","New Jersey District 10","$28673"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$28610"
"Jim McDermott (D-Wash) ","Washington District 07","$28599"
"Michael McCaul (R-Texas) ","Texas District 10","$28425"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$28112"
"Chip Cravaack (R-Minn) ","Minnesota District 08","$26314"
"Charles Bass (R-NH) ","New Hampshire District 02","$25623"
"Ann Marie Buerkle (R-NY) ","New York District 24Current office: New York District 25","$25614"
"Jared Polis (D-Colo) ","Colorado District 02","$25377"
"Louise M. Slaughter (D-NY) ","New York District 25Current office: New York District 28","$24827"
"Paul Gosar (R-Ariz) ","Arizona District 04Current office: Arizona District 01","$24791"
"Duncan D. Hunter (R-Calif) ","California District 50Current office: California District 52","$24787"
"Joe Walsh (R-Ill) ","Illinois District 08","$24556"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$24438"
"Bill Johnson (R-Ohio) ","Ohio District 06","$22494"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$22170"
"David Loebsack (D-Iowa) ","Iowa District 02","$21887"
"Chuck Fleischmann (R-Tenn) ","Tennessee District 03","$21215"
"Lee Terry (R-Neb) ","Nebraska District 02","$20988"
"Donna Edwards (D-Md) ","Maryland District 04","$20934"
"Hank Johnson (D-Ga) ","Georgia District 04","$17642"
"Jim Matheson (D-Utah) ","Utah District 04Current office: Utah District 02","$16842"
"David Cicilline (D-RI) ","Rhode Island District 01","$16721"
"Jose E. Serrano (D-NY) ","New York District 15Current office: New York District 16","$16718"
"Tom Marino (R-Pa) ","Pennsylvania District 10","$16455"
"Shelley Berkley (D-Nev) ","Nevada SenateCurrent office: Nevada District 01","$15723"
"Bill Owens (D-NY) ","New York District 21Current office: New York District 23","$15447"
"Cedric Richmond (D-La) ","Louisiana District 02","$15412"
"Chris Gibson (R-NY) ","New York District 19Current office: New York District 20","$15016"
"Rob Bishop (R-Utah) ","Utah District 01","$14110"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$10971"
"Todd Young (R-Ind) ","Indiana District 09","$10290"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$10202"
"Sanford Bishop (D-Ga) ","Georgia District 02","$9856"
"Scott Desjarlais (R-Tenn) ","Tennessee District 04","$9337"
"Joe Baca (D-Calif) ","California District 35Current office: California District 43","$8536"
"Lou Barletta (R-Pa) ","Pennsylvania District 11","$7897"
"Raul M. Grijalva (D-Ariz) ","Arizona District 03Current office: Arizona District 07","$7866"
"Mike Coffman (R-Colo) ","Colorado District 06","$7833"
"Betty Sue Sutton (D-Ohio) ","Ohio District 16Current office: Ohio District 13","$7794"
"Timothy H. Bishop (D-NY) ","New York District 01","$6969"
"David A. Curson (D-Mich) ","Michigan District 11","$6269"
"Suzan DelBene (D-Wash) ","Washington District 01","$6219"
"Joe Wilson (R-SC) ","South Carolina District 02","$5179"
"Charles B. Rangel (D-NY) ","New York District 13Current office: New York District 15","$5033"
"John Sullivan (R-Okla) ","Oklahoma District 01","$4963"
"Robert L. Turner (R-NY) ","New York SenateCurrent office: New York District 09","$4572"
"Larry Kissell (D-NC) ","North Carolina District 08","$4555"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$4389"
"Scott Rigell (R-Va) ","Virginia District 02","$4192"
"David Rivera (R-Fla) ","Florida District 26Current office: Florida District 25","$4177"
"Mark Critz (D-Pa) ","Pennsylvania District 12","$3896"
"Jean Schmidt (R-Ohio) ","Ohio District 02","$3514"
"Russ Carnahan (D-Mo) ","Missouri District 01Current office: Missouri District 03","$2956"
"Hansen Clarke (D-Mich) ","Michigan District 14Current office: Michigan District 13","$2951"
"Don Manzullo (R-Ill) ","Illinois District 16","$2491"
"Ben Chandler (D-Ky) ","Kentucky District 06","$1620"
"Blake Farenthold (R-Texas) ","Texas District 27","$1473"
"Corrine Brown (D-Fla) ","Florida District 05Current office: Florida District 03","$1118"
"Ben Quayle (R-Ariz) ","Arizona District 06Current office: Arizona District 03","$915"
"Silvestre Reyes (D-Texas) ","Texas District 16","$785"
"Howard L. Berman (D-Calif) ","California District 30Current office: California District 28","$512"
"Larry Bucshon (R-Ind) ","Indiana District 08","$89"
"Edolphus Towns (D-NY) ","New York District 08Current office: New York District 10","$19"
"Kathleen Hochul (D-NY) ","New York District 27Current office: New York District 26","$0"
"Trent Franks (R-Ariz) ","Arizona District 08Current office: Arizona District 02","-$4450"
"Donna Christian-Christensen (D-VI) ","Virgin Islands District 00","-$6490"
