"Representative","Office Running For","Cash on Hand"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$3406270"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$3112778"
"Edward J. Markey (D-Mass) ","Massachusetts District 05Current office: Massachusetts District 07","$3050589"
"Dave Camp (R-Mich) ","Michigan District 04","$2653090"
"Lloyd Doggett (D-Texas) ","Texas District 35Current office: Texas District 25","$2610460"
"Pete King (R-NY) ","New York District 02Current office: New York District 03","$2428105"
"Scott Garrett (R-NJ) ","New Jersey District 05","$2148218"
"Aaron Schock (R-Ill) ","Illinois District 18","$2098507"
"Michele Bachmann (R-Minn) ","Minnesota District 06","$2070568"
"Richard E. Neal (D-Mass) ","Massachusetts District 01Current office: Massachusetts District 02","$2066594"
"Adam Schiff (D-Calif) ","California District 28Current office: California District 29","$2059330"
"Bill Cassidy (R-La) ","Louisiana District 06","$2033473"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1996171"
"Jeb Hensarling (R-Texas) ","Texas District 05","$1883788"
"Phil Gingrey (R-Ga) ","Georgia District 11","$1871934"
"Kevin McCarthy (R-Calif) ","California District 23Current office: California District 22","$1793564"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 27Current office: Florida District 18","$1790595"
"Darrell Issa (R-Calif) ","California District 49","$1749490"
"Tom Price (R-Ga) ","Georgia District 06","$1578308"
"John J. Duncan Jr (R-Tenn) ","Tennessee District 02","$1569584"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$1569010"
"Cliff Stearns (R-Fla) ","Florida District 03Current office: Florida District 06","$1549762"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$1500186"
"Devin Nunes (R-Calif) ","California District 22Current office: California District 21","$1477951"
"Virginia Foxx (R-NC) ","North Carolina District 05","$1455074"
"Steve Fincher (R-Tenn) ","Tennessee District 08","$1449567"
"Ted Poe (R-Texas) ","Texas District 02","$1432599"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$1363328"
"Mike Thompson (D-Calif) ","California District 05Current office: California District 01","$1317030"
"Ed Pastor (D-Ariz) ","Arizona District 07Current office: Arizona District 04","$1314389"
"Mike Rogers (R-Mich) ","Michigan District 08","$1284379"
"Judy Chu (D-Calif) ","California District 27Current office: California District 32","$1256638"
"Mike Pompeo (R-Kan) ","Kansas District 04","$1255377"
"Peter Welch (D-Vt) ","Vermont District 01","$1239101"
"James E. Clyburn (D-SC) ","South Carolina District 06","$1233310"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$1220156"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$1192548"
"Pete Sessions (R-Texas) ","Texas District 32","$1118703"
"Ron Paul (R) ","2012 Presidential RaceCurrent office: Texas District 14","$1091927"
"Kevin Yoder (R-Kan) ","Kansas District 03","$1083139"
"Jim Jordan (R-Ohio) ","Ohio District 04","$1081890"
"Eric Cantor (R-Va) ","Virginia District 07","$1080247"
"Peter Roskam (R-Ill) ","Illinois District 06","$1043239"
"Jackie Speier (D-Calif) ","California District 14Current office: California District 12","$1043082"
"Patrick Meehan (R-Pa) ","Pennsylvania District 07","$1007477"
"Jack Kingston (R-Ga) ","Georgia District 01","$988078"
"Greg Walden (R-Ore) ","Oregon District 02","$962599"
"John Boehner (R-Ohio) ","Ohio District 08","$952828"
"Allen West (R-Fla) ","Florida District 18Current office: Florida District 22","$940574"
"Hal Rogers (R-Ky) ","Kentucky District 05","$921922"
"Tom Petri (R-Wis) ","Wisconsin District 06","$919744"
"Joe Barton (R-Texas) ","Texas District 06","$905927"
"Xavier Becerra (D-Calif) ","California District 34Current office: California District 31","$901779"
"Randy Neugebauer (R-Texas) ","Texas District 19","$891335"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$890964"
"David McKinley (R-WVa) ","West Virginia District 01","$876673"
"Lamar Smith (R-Texas) ","Texas District 21","$876559"
"Gene Green (D-Texas) ","Texas District 29","$869756"
"Gerry Connolly (D-Va) ","Virginia District 11","$867946"
"John M. Shimkus (R-Ill) ","Illinois District 15Current office: Illinois District 19","$860930"
"Brett Guthrie (R-Ky) ","Kentucky District 02","$825634"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$800407"
"Sam Johnson (R-Texas) ","Texas District 03","$796987"
"Lynn Jenkins (R-Kan) ","Kansas District 02","$795066"
"Tom Cole (R-Okla) ","Oklahoma District 04","$792630"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$791533"
"Joseph Crowley (D-NY) ","New York District 14Current office: New York District 07","$788652"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$780052"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$777032"
"Candice S. Miller (R-Mich) ","Michigan District 10","$773969"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$770947"
"Rush Holt (D-NJ) ","New Jersey District 12","$769058"
"Jim Himes (D-Conn) ","Connecticut District 04","$762091"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 08Current office: Massachusetts District 09","$760206"
"Henry Cuellar (D-Texas) ","Texas District 28","$745370"
"John Sarbanes (D-Md) ","Maryland District 03","$728898"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$693846"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$693328"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$690690"
"Todd Rokita (R-Ind) ","Indiana District 04","$673750"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$632645"
"Adrian Smith (R-Neb) ","Nebraska District 03","$627791"
"Mike Conaway (R-Texas) ","Texas District 11","$606061"
"Steve Scalise (R-La) ","Louisiana District 01","$600891"
"Steve Pearce (R-NM) ","New Mexico District 02","$598927"
"Kurt Schrader (D-Ore) ","Oregon District 05","$590364"
"John Campbell (R-Calif) ","California District 45Current office: California District 48","$581294"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$578058"
"Zoe Lofgren (D-Calif) ","California District 19Current office: California District 16","$575964"
"Ed Royce (R-Calif) ","California District 39Current office: California District 40","$565771"
"John Kline (R-Minn) ","Minnesota District 02","$565590"
"Carolyn McCarthy (D-NY) ","New York District 04","$564947"
"Rob Wittman (R-Va) ","Virginia District 01","$551810"
"Kathy Castor (D-Fla) ","Florida District 14Current office: Florida District 11","$545848"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 23Current office: Florida District 20","$530197"
"John Carney (D-Del) ","Delaware District 01","$521357"
"Tim Huelskamp (R-Kan) ","Kansas District 01","$519130"
"John A. Yarmuth (D-Ky) ","Kentucky District 03","$518980"
"Bob Goodlatte (R-Va) ","Virginia District 06","$513735"
"Carolyn B. Maloney (D-NY) ","New York District 12Current office: New York District 14","$512197"
"Don Young (R-Alaska) ","Alaska District 01","$508299"
"Kenny Marchant (R-Texas) ","Texas District 24","$505375"
"Buck Mckeon (R-Calif) ","California District 25","$503508"
"Mo Brooks (R-Ala) ","Alabama District 05","$499659"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$491519"
"Gary Peters (D-Mich) ","Michigan District 14Current office: Michigan District 09","$486739"
"Michael E. Capuano (D-Mass) ","Massachusetts District 07Current office: Massachusetts District 08","$482483"
"John Fleming (R-La) ","Louisiana District 04","$481211"
"Ted Deutch (D-Fla) ","Florida District 21Current office: Florida District 19","$471266"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03Current office: Missouri District 09","$467430"
"Cory Gardner (R-Colo) ","Colorado District 04","$465202"
"Ron Kind (D-Wis) ","Wisconsin District 03","$464773"
"John Carter (R-Texas) ","Texas District 31","$464659"
"Mac Thornberry (R-Texas) ","Texas District 13","$461600"
"Jerrold Nadler (D-NY) ","New York District 10Current office: New York District 08","$454297"
"Nancy Pelosi (D-Calif) ","California District 12Current office: California District 08","$449327"
"Tom Rooney (R-Fla) ","Florida District 17Current office: Florida District 16","$436770"
"James Lankford (R-Okla) ","Oklahoma District 05","$429829"
"Brian M. Higgins (D-NY) ","New York District 26Current office: New York District 27","$429443"
"Gary Miller (R-Calif) ","California District 31Current office: California District 42","$426075"
