"Representative","Office Running For","Cash on Hand"
"Peter Deutsch (D-Fla) ","Florida District 20","$2360082"
"David Dreier (R-Calif) ","California District 28","$2318497"
"Marty Meehan (D-Mass) ","Massachusetts District 05","$1965917"
"Lloyd Doggett (D-Texas) ","Texas District 10","$1770900"
"Robert Menendez (D-NJ) ","New Jersey District 13","$1682851"
"Nita M. Lowey (D-NY) ","New York District 18","$1545122"
"Nick Rahall (D-WVa) ","West Virginia District 03","$1426833"
"Loretta Sanchez (D-Calif) ","California District 46","$1263638"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$1242393"
"Scott McInnis (R-Colo) ","Colorado District 03","$1233841"
"Cliff Stearns (R-Fla) ","Florida District 06","$1158724"
"Sherrod Brown (D-Ohio) ","Ohio District 13","$1105021"
"Dan Burton (R-Ind) ","Indiana District 06","$1046381"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$1040886"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$1018385"
"Mark Foley (R-Fla) ","Florida District 16","$1001480"
"Jerry Lewis (R-Calif) ","California District 40","$978187"
"Richard E. Neal (D-Mass) ","Massachusetts District 02","$928231"
"Rod Blagojevich (D-Ill) ","Illinois District 05","$924583"
"Michael N. Castle (R-Del) ","Delaware District 01","$909781"
"Richard Burr (R-NC) ","North Carolina District 05","$904365"
"John J. ""Jimmy"" Duncan Jr. (R-Tenn) ","Tennessee District 02","$880331"
"Patrick J. Kennedy (D-RI) ","Rhode Island District 01","$855625"
"Joe Barton (R-Texas) ","Texas District 06","$827194"
"Bud Cramer (D-Ala) ","Alabama District 05","$802903"
"Gary Ackerman (D-NY) ","New York District 05","$800128"
"Hal Rogers (R-Ky) ","Kentucky District 05","$792821"
"Ed Royce (R-Calif) ","California District 39","$789475"
"Edward J. Markey (D-Mass) ","Massachusetts District 07","$760142"
"Tom Davis (R-Va) ","Virginia District 11","$750077"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$733396"
"Roy Blunt (R-Mo) ","Missouri District 07","$727977"
"Rob Portman (R-Ohio) ","Ohio District 02","$726658"
"Tom Barrett (D-Wis) ","Wisconsin District 05","$718251"
"Bob Goodlatte (R-Va) ","Virginia District 06","$710421"
"John Linder (R-Ga) ","Georgia District 11","$701432"
"Charles W. Norwood (R-Ga) ","Georgia District 10","$695793"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$688078"
"Tom Lantos (D-Calif) ","California District 12","$678675"
"Elton Gallegly (R-Calif) ","California District 23","$672106"
"Howard Coble (R-NC) ","North Carolina District 06","$664302"
"Jim Turner (D-Texas) ","Texas District 02","$662414"
"Mike McIntyre (D-NC) ","North Carolina District 07","$660995"
