"Representative","Office Running For","Cash on Hand"
"Jack Kingston (R-Ga) ","Georgia District 01","$659656"
"Pete King (R-NY) ","New York District 03","$652677"
"Anthony D. Weiner (D-NY) ","New York District 09","$646818"
"Jim Ramstad (R-Minn) ","Minnesota District 03","$645089"
"Randy ""Duke"" Cunningham (R-Calif) ","California District 51","$638372"
"Jerry Weller (R-Ill) ","Illinois District 11","$633912"
"John J. LaFalce (D-NY) ","New York District 29","$629977"
"Dale E. Kildee (D-Mich) ","Michigan District 09","$620945"
"Jerrold Nadler (D-NY) ","New York District 08","$616609"
"Wes Watkins (R-Okla) ","Oklahoma District 03","$613943"
"John Lewis (D-Ga) ","Georgia District 05","$610551"
"Billy Tauzin (R-La) ","Louisiana District 03","$602982"
"Johnny Isakson (R-Ga) ","Georgia District 06","$602643"
"Bernie Sanders (I-Vt) ","Vermont District 01","$594001"
"Jack Quinn (R-NY) ","New York District 30","$593490"
"Robert Wexler (D-Fla) ","Florida District 19","$588271"
"Jim Gibbons (R-Nev) ","Nevada District 02","$564807"
"Henry J. Hyde (R-Ill) ","Illinois District 06","$558423"
"Jim Moran (D-Va) ","Virginia District 08","$557906"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$552988"
"Larry Combest (R-Texas) ","Texas District 19","$552602"
"John L. Mica (R-Fla) ","Florida District 07","$549777"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$547759"
"David Vitter (R-La) ","Louisiana District 01","$536104"
"John Tanner (D-Tenn) ","Tennessee District 08","$514518"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$509201"
"Fred Upton (R-Mich) ","Michigan District 06","$503364"
"Tom Petri (R-Wis) ","Wisconsin District 06","$502455"
"Wally Herger (R-Calif) ","California District 02","$502358"
"Karen McCarthy (D-Mo) ","Missouri District 05","$499595"
"Christopher Cox (R-Calif) ","California District 47","$490636"
"Henry A. Waxman (D-Calif) ","California District 29","$487237"
"Bob Clement (D-Tenn) ","Tennessee District 05","$486659"
"Jesse Jackson Jr. (D-Ill) ","Illinois District 02","$485677"
"John Thune (R-SD) ","South Dakota District 01","$482917"
"John D. Dingell (D-Mich) ","Michigan District 16","$482047"
"Louise M. Slaughter (D-NY) ","New York District 28","$478026"
"Charles W. ""Chip"" Pickering Jr. (R-Miss) ","Mississippi District 03","$477732"
"Lamar Smith (R-Texas) ","Texas District 21","$475691"
"Jerry Moran (R-Kan) ","Kansas District 01","$465616"
"Carolyn B. Maloney (D-NY) ","New York District 14","$462156"
"Paul E. Gillmor (R-Ohio) ","Ohio District 05","$461659"
"Ben Cardin (D-Md) ","Maryland District 03","$460664"
"Lindsey Graham (R-SC) ","South Carolina District 03","$460402"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$460159"
"Deborah Pryce (R-Ohio) ","Ohio District 15","$456669"
"Nancy L. Johnson (R-Conn) ","Connecticut District 06","$452143"
"Pete Stark (D-Calif) ","California District 13","$449348"
"Bob Ehrlich (R-Md) ","Maryland District 02","$447728"
"Jim McCrery (R-La) ","Louisiana District 04","$445412"
"Tom Reynolds (R-NY) ","New York District 27","$444483"
"Zach Wamp (R-Tenn) ","Tennessee District 03","$444027"
"Tom Udall (D-NM) ","New Mexico District 03","$412981"
"Howard L. Berman (D-Calif) ","California District 26","$411799"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$406589"
"C. W. Bill Young (R-Fla) ","Florida District 10","$405203"
"Ed Pastor (D-Ariz) ","Arizona District 02","$403227"
"Greg Ganske (R-Iowa) ","Iowa District 04","$402753"
"John M. Shimkus (R-Ill) ","Illinois District 20","$402354"
"Albert R. Wynn (D-Md) ","Maryland District 04","$400861"
"Michael R. McNulty (D-NY) ","New York District 21","$391891"
"Bob Filner (D-Calif) ","California District 50","$388349"
"Donald M. Payne (D-NJ) ","New Jersey District 10","$385886"
"Jim Saxton (R-NJ) ","New Jersey District 03","$376599"
"Anna Eshoo (D-Calif) ","California District 14","$374633"
"Steven C. LaTourette (R-Ohio) ","Ohio District 19","$371380"
"Dave Camp (R-Mich) ","Michigan District 04","$370754"
"Sam Johnson (R-Texas) ","Texas District 03","$359222"
"Kay Granger (R-Texas) ","Texas District 12","$354058"
"Henry Bonilla (R-Texas) ","Texas District 23","$346887"
"Carrie Meek (D-Fla) ","Florida District 17","$343721"
"John E. Sweeney (R-NY) ","New York District 22","$341882"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$335462"
"Michael G. Oxley (R-Ohio) ","Ohio District 04","$329384"
"John Cooksey (R-La) ","Louisiana District 05","$329232"
"F. James Sensenbrenner Jr. (R-Wis) ","Wisconsin District 09","$327183"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$327083"
"Ron Lewis (R-Ky) ","Kentucky District 02","$322049"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$314224"
"James T. Walsh (R-NY) ","New York District 25","$313654"
"Vito Fossella (R-NY) ","New York District 13","$310836"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$309426"
"Mike Thompson (D-Calif) ","California District 01","$308586"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$305549"
"James P. McGovern (D-Mass) ","Massachusetts District 03","$305286"
"Joseph Crowley (D-NY) ","New York District 07","$304582"
"Bill Thomas (R-Calif) ","California District 21","$288245"
"Dennis Hastert (R-Ill) ","Illinois District 14","$287382"
"Charles B. Rangel (D-NY) ","New York District 15","$286962"
"Bob Borski (D-Pa) ","Pennsylvania District 03","$283227"
"Virgil H. Goode Jr (I-Va) ","Virginia District 05","$283070"
"J. D. Hayworth (R-Ariz) ","Arizona District 06","$281253"
"Lynn Woolsey (D-Calif) ","California District 06","$281057"
"Don Young (R-Alaska) ","Alaska District 01","$280975"
"Frank Pallone Jr. (D-NJ) ","New Jersey District 06","$280379"
"Mark Green (R-Wis) ","Wisconsin District 08","$276867"
"Vernon J. Ehlers (R-Mich) ","Michigan District 03","$276866"
"Allen Boyd (D-Fla) ","Florida District 02","$276746"
"Doug Ose (R-Calif) ","California District 03","$276628"
"Pete Sessions (R-Texas) ","Texas District 05","$274373"
"Ed Bryant (R-Tenn) ","Tennessee District 07","$273523"
"Lois Capps (D-Calif) ","California District 22","$269516"
"Ike Skelton (D-Mo) ","Missouri District 04","$268710"
"Pete Visclosky (D-Ind) ","Indiana District 01","$267271"
"Michael Bilirakis (R-Fla) ","Florida District 09","$263750"
"Gary A. Condit (D-Calif) ","California District 18","$261241"
"Ray LaHood (R-Ill) ","Illinois District 18","$260882"
"Frank R. Wolf (R-Va) ","Virginia District 10","$260837"
"Joe Knollenberg (R-Mich) ","Michigan District 11","$257453"
"Sue Kelly (R-NY) ","New York District 19","$255211"
"Paul E. Kanjorski (D-Pa) ","Pennsylvania District 11","$252888"
"Charles W. Stenholm (D-Texas) ","Texas District 17","$251829"
"Collin C. Peterson (D-Minn) ","Minnesota District 07","$241462"
"Zoe Lofgren (D-Calif) ","California District 16","$240797"
"David Phelps (D-Ill) ","Illinois District 19","$239375"
"Spencer Bachus (R-Ala) ","Alabama District 06","$238302"
"Jerry Kleczka (D-Wis) ","Wisconsin District 04","$238087"
"Julia Carson (D-Ind) ","Indiana District 10","$236305"
"Tim Holden (D-Pa) ","Pennsylvania District 06","$235486"
"Bob Etheridge (D-NC) ","North Carolina District 02","$235059"
"Ted Strickland (D-Ohio) ","Ohio District 06","$233813"
"Gene Green (D-Texas) ","Texas District 29","$232855"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$231577"
"Michael E. Capuano (D-Mass) ","Massachusetts District 08","$230206"
"E. Clay Shaw Jr. (R-Fla) ","Florida District 22","$230140"
"Jim Barcia (D-Mich) ","Michigan District 05","$228925"
"Tom DeLay (R-Texas) ","Texas District 22","$226800"
"Todd Tiahrt (R-Kan) ","Kansas District 04","$225957"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$225848"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$225324"
"Jim Ryun (R-Kan) ","Kansas District 02","$223595"
"Howard P. ""Buck"" McKeon (R-Calif) ","California District 25","$223163"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$219005"
"Norm Dicks (D-Wash) ","Washington District 06","$218735"
"Peter DeFazio (D-Ore) ","Oregon District 04","$216767"
"Greg Walden (R-Ore) ","Oregon District 02","$212472"
"Richard Pombo (R-Calif) ","California District 11","$210513"
"Nydia M. Velazquez (D-NY) ","New York District 12","$208732"
"John M. McHugh (R-NY) ","New York District 24","$208665"
"David Wu (D-Ore) ","Oregon District 01","$207915"
"Ron Kind (D-Wis) ","Wisconsin District 03","$207400"
"James E. Clyburn (D-SC) ","South Carolina District 06","$207257"
"Robert T. Matsui (D-Calif) ","California District 05","$206105"
"Martin Olav Sabo (D-Minn) ","Minnesota District 05","$205488"
"J. C. Watts Jr (R-Okla) ","Oklahoma District 04","$204598"
"John Shadegg (R-Ariz) ","Arizona District 04","$202893"
"Tom Tancredo (R-Colo) ","Colorado District 06","$197727"
"George Radanovich (R-Calif) ","California District 19","$197180"
"Bob Ney (R-Ohio) ","Ohio District 18","$196914"
"Ernie Fletcher (R-Ky) ","Kentucky District 06","$192355"
"Solomon P. Ortiz (D-Texas) ","Texas District 27","$191815"
"Chris John (D-La) ","Louisiana District 07","$188500"
"Benjamin A. Gilman (R-NY) ","New York District 20","$186564"
"Phil Crane (R-Ill) ","Illinois District 08","$184569"
"David Price (D-NC) ","North Carolina District 04","$184536"
"Dick Armey (R-Texas) ","Texas District 26","$181587"
"Danny K. Davis (D-Ill) ","Illinois District 07","$181139"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 08","$180446"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$177059"
"Ron Paul (R-Texas) ","Texas District 14","$176692"
"Curt Weldon (R-Pa) ","Pennsylvania District 07","$174486"
"Darlene Hooley (D-Ore) ","Oregon District 05","$171630"
"Cynthia A. McKinney (D-Ga) ","Georgia District 04","$171485"
"Sonny Callahan (R-Ala) ","Alabama District 01","$170506"
"Brad Sherman (D-Calif) ","California District 24","$169972"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$168152"
"Connie Morella (R-Md) ","Maryland District 08","$165966"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$162869"
"Bob Barr (R-Ga) ","Georgia District 07","$158590"
"George Miller (D-Calif) ","California District 07","$158106"
"Judy Biggert (R-Ill) ","Illinois District 13","$156148"
"Don Manzullo (R-Ill) ","Illinois District 16","$155159"
"Dave Hobson (R-Ohio) ","Ohio District 07","$153426"
"Mac Thornberry (R-Texas) ","Texas District 13","$152071"
"Bill Lipinski (D-Ill) ","Illinois District 03","$150990"
"Carolyn Cheeks Kilpatrick (D-Mich) ","Michigan District 15","$150873"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$150177"
"Dave Weldon (R-Fla) ","Florida District 15","$148364"
"James V. Hansen (R-Utah) ","Utah District 01","$147087"
"Mike Doyle (D-Pa) ","Pennsylvania District 18","$145985"
"Diana DeGette (D-Colo) ","Colorado District 01","$143080"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$142259"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$140244"
"Tom Latham (R-Iowa) ","Iowa District 05","$139815"
"Ernest J. Istook (R-Okla) ","Oklahoma District 05","$139467"
"James L. Oberstar (D-Minn) ","Minnesota District 08","$138817"
"Steve Horn (R-Calif) ","California District 38","$138786"
"Jim Kolbe (R-Ariz) ","Arizona District 05","$137081"
"Mary Bono (R-Calif) ","California District 44","$134938"
"Barney Frank (D-Mass) ","Massachusetts District 04","$131264"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$130831"
"John W. Olver (D-Mass) ","Massachusetts District 01","$127809"
"Hilda L. Solis (D-Calif) ","California District 31","$127723"
"Bill Jenkins (R-Tenn) ","Tennessee District 01","$127240"
"David R. Obey (D-Wis) ","Wisconsin District 07","$121839"
"Van Hilleary (R-Tenn) ","Tennessee District 04","$120660"
"Neil Abercrombie (D-Hawaii) ","Hawaii District 01","$120388"
"Bob Stump (R-Ariz) ","Arizona District 03","$117909"
"Bob Riley (R-Ala) ","Alabama District 03","$116980"
"Richard Baker (R-La) ","Louisiana District 06","$116174"
"Anne M. Northup (R-Ky) ","Kentucky District 03","$113883"
"Sander Levin (D-Mich) ","Michigan District 12","$113431"
"Gene Taylor (D-Miss) ","Mississippi District 05","$112975"
"Carolyn McCarthy (D-NY) ","New York District 04","$111942"
"Marion Berry (D-Ark) ","Arkansas District 01","$109997"
"Chris Smith (R-NJ) ","New Jersey District 04","$109463"
"Jim McDermott (D-Wash) ","Washington District 07","$109020"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$105908"
"Brian Kerns (R-Ind) ","Indiana District 07","$105763"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$105079"
"Lynn N. Rivers (D-Mich) ","Michigan District 13","$104064"
"Rush Holt (D-NJ) ","New Jersey District 12","$104061"
"Lucille Roybal-Allard (D-Calif) ","California District 33","$104050"
"Patrick J. Toomey (R-Pa) ","Pennsylvania District 15","$103766"
"John P. Murtha (D-Pa) ","Pennsylvania District 12","$103116"
"Nick Smith (R-Mich) ","Michigan District 07","$102121"
"Amo Houghton (R-NY) ","New York District 31","$100488"
"Mark Udall (D-Colo) ","Colorado District 02","$98676"
"James C. Greenwood (R-Pa) ","Pennsylvania District 08","$97477"
"William J. Coyne (D-Pa) ","Pennsylvania District 14","$94913"
"Joel Hefley (R-Colo) ","Colorado District 05","$93741"
"Ken Lucas (D-Ky) ","Kentucky District 04","$93195"
"Sherwood Boehlert (R-NY) ","New York District 23","$92156"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$86134"
"Harold E. Ford Jr. (D-Tenn) ","Tennessee District 09","$86005"
"Brian Baird (D-Wash) ","Washington District 03","$84746"
"Ralph Regula (R-Ohio) ","Ohio District 16","$84610"
"Grace Napolitano (D-Calif) ","California District 34","$84194"
"George W. Gekas (R-Pa) ","Pennsylvania District 17","$83967"
"Eric Cantor (R-Va) ","Virginia District 07","$82828"
"Doug Bereuter (R-Neb) ","Nebraska District 01","$81262"
"Dan Miller (R-Fla) ","Florida District 13","$79511"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$78997"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$78706"
"Gregory W. Meeks (D-NY) ","New York District 06","$77210"
"Ken Calvert (R-Calif) ","California District 43","$76883"
"Ciro D. Rodriguez (D-Texas) ","Texas District 28","$76647"
"Bart Stupak (D-Mich) ","Michigan District 01","$76625"
"Nick Lampson (D-Texas) ","Texas District 09","$75655"
"Betty McCollum (D-Minn) ","Minnesota District 04","$75387"
"Richard A. Gephardt (D-Mo) ","Missouri District 03","$74748"
"Jennifer Dunn (R-Wash) ","Washington District 08","$72713"
"Max Sandlin (D-Texas) ","Texas District 01","$72442"
"Don Sherwood (R-Pa) ","Pennsylvania District 10","$72095"
"Cal Dooley (D-Calif) ","California District 20","$71897"
"Leonard L. Boswell (D-Iowa) ","Iowa District 03","$70711"
"Nathan Deal (R-Ga) ","Georgia District 09","$69916"
"John T. Doolittle (R-Calif) ","California District 04","$69337"
"Steve Israel (D-NY) ","New York District 02","$68230"
"John Boehner (R-Ohio) ","Ohio District 08","$67734"
"Porter Goss (R-Fla) ","Florida District 14","$66784"
"John Conyers Jr. (D-Mich) ","Michigan District 14","$66221"
"Cass Ballenger (R-NC) ","North Carolina District 10","$65879"
"Mac Collins (R-Ga) ","Georgia District 03","$65399"
"Tom Sawyer (D-Ohio) ","Ohio District 14","$64547"
"Ellen O. Tauscher (D-Calif) ","California District 10","$64232"
"John E. Peterson (R-Pa) ","Pennsylvania District 05","$63896"
"Bob Schaffer (R-Colo) ","Colorado District 04","$63847"
"Gil Gutknecht (R-Minn) ","Minnesota District 01","$62984"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$62667"
"Eva M. Clayton (D-NC) ","North Carolina District 01","$62202"
"Jeff Flake (R-Ariz) ","Arizona District 01","$61511"
"Jim Matheson (D-Utah) ","Utah District 02","$61426"
"John M. Spratt Jr. (D-SC) ","South Carolina District 05","$61422"
"Baron Hill (D-Ind) ","Indiana District 09","$61118"
"John B. Larson (D-Conn) ","Connecticut District 01","$60854"
"Wayne T. Gilchrest (R-Md) ","Maryland District 01","$60814"
"Walter B. Jones Jr. (R-NC) ","North Carolina District 03","$59888"
"Charlie A. Gonzalez (D-Texas) ","Texas District 20","$59186"
"Henry Brown (R-SC) ","South Carolina District 01","$56854"
"Jose E. Serrano (D-NY) ","New York District 16","$55979"
"Bill Luther (D-Minn) ","Minnesota District 06","$54519"
"Mark Kirk (R-Ill) ","Illinois District 10","$53428"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$52826"
"Ander Crenshaw (R-Fla) ","Florida District 04","$52810"
"William J. Jefferson (D-La) ","Louisiana District 02","$50424"
"Martin Frost (D-Texas) ","Texas District 24","$49973"
"Dennis Moore (D-Kan) ","Kansas District 03","$48840"
"Phil English (R-Pa) ","Pennsylvania District 21","$48803"
"Adam Smith (D-Wash) ","Washington District 09","$47751"
"Frank D. Lucas (R-Okla) ","Oklahoma District 06","$47601"
"Heather Wilson (R-NM) ","New Mexico District 01","$47121"
"Todd Akin (R-Mo) ","Missouri District 02","$47051"
"Doc Hastings (R-Wash) ","Washington District 04","$46655"
"Barbara Lee (D-Calif) ","California District 09","$46598"
"Steve Chabot (R-Ohio) ","Ohio District 01","$44859"
"Karen L. Thurman (D-Fla) ","Florida District 05","$44533"
"Ric Keller (R-Fla) ","Florida District 08","$44386"
"John Baldacci (D-Maine) ","Maine District 02","$43822"
"Joe Baca (D-Calif) ","California District 42","$43448"
"Sue Myrick (R-NC) ","North Carolina District 09","$43404"
"Jim Davis (D-Fla) ","Florida District 11","$42844"
"Kenny Hulshof (R-Mo) ","Missouri District 09","$42716"
"Jim DeMint (R-SC) ","South Carolina District 04","$42284"
"Joe Skeen (R-NM) ","New Mexico District 02","$42213"
"William L. Clay Jr. (D-Mo) ","Missouri District 01","$40839"
"John E. Sununu (R-NH) ","New Hampshire District 01","$40800"
"Ken Bentsen (D-Texas) ","Texas District 25","$40787"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$40568"
"Alcee L. Hastings (D-Fla) ","Florida District 23","$40101"
"Gary Miller (R-Calif) ","California District 41","$39723"
"Frank Mascara (D-Pa) ","Pennsylvania District 20","$39083"
"Robert C. Scott (D-Va) ","Virginia District 03","$38396"
"Felix J. Grucci Jr. (R-NY) ","New York District 01","$38158"
"Lee Terry (R-Neb) ","Nebraska District 02","$37952"
"Jane Harman (D-Calif) ","California District 36","$37786"
"Ralph M. Hall (D-Texas) ","Texas District 04","$37414"
"Alan B. Mollohan (D-WVa) ","West Virginia District 01","$35856"
"Nancy Pelosi (D-Calif) ","California District 08","$35787"
"Dana Rohrabacher (R-Calif) ","California District 45","$33823"
"David E. Bonior (D-Mich) ","Michigan District 10","$33462"
"Sam Farr (D-Calif) ","California District 17","$31474"
"Tom Allen (D-Maine) ","Maine District 01","$31066"
"Barbara Cubin (R-Wyo) ","Wyoming District 01","$31013"
"Adam H. Putnam (R-Fla) ","Florida District 12","$30789"
"Mike Ross (D-Ark) ","Arkansas District 04","$30629"
"Stephanie Tubbs Jones (D-Ohio) ","Ohio District 11","$29765"
"Eliot L. Engel (D-NY) ","New York District 17","$29208"
"Anibal Acevedo-Vila (3-PR) ","Puerto Rico District 00","$29144"
"Sanford D. Bishop Jr. (D-Ga) ","Georgia District 02","$29058"
"Mike Rogers (R-Mich) ","Michigan District 08","$28733"
"Maxine Waters (D-Calif) ","California District 35","$28646"
"Robin Hayes (R-NC) ","North Carolina District 08","$28471"
"Mike Honda (D-Calif) ","California District 15","$27461"
"Susan A. Davis (D-Calif) ","California District 49","$27367"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$26931"
"Timothy V. Johnson (R-Ill) ","Illinois District 15","$26136"
"John Hostettler (R-Ind) ","Indiana District 08","$25163"
"Ed Schrock (R-Va) ","Virginia District 02","$24996"
"Edolphus Towns (D-NY) ","New York District 10","$23658"
"Shelley Berkley (D-Nev) ","Nevada District 01","$23347"
"Jim Nussle (R-Iowa) ","Iowa District 02","$23011"
"Tim Roemer (D-Ind) ","Indiana District 03","$22892"
"Marge Roukema (R-NJ) ","New Jersey District 05","$22493"
"Juanita Millender-McDonald (D-Calif) ","California District 37","$21883"
"Steve Buyer (R-Ind) ","Indiana District 05","$21635"
"Denny Rehberg (R-Mont) ","Montana District 01","$20875"
"Vic Snyder (D-Ark) ","Arkansas District 02","$20809"
"Chet Edwards (D-Texas) ","Texas District 11","$20718"
"Robert A. Underwood (D-Guam) ","Guam District 00","$19867"
"Jo Ann Davis (R-Va) ","Virginia District 01","$19856"
"Jim Langevin (D-RI) ","Rhode Island District 02","$17716"
"Charles Bass (R-NH) ","New Hampshire District 02","$16970"
"Joseph M. Hoeffel (D-Pa) ","Pennsylvania District 13","$16635"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$15864"
"Mark Kennedy (R-Minn) ","Minnesota District 02","$15364"
"Kevin Brady (R-Texas) ","Texas District 08","$15086"
"Maurice Hinchey (D-NY) ","New York District 26","$14946"
"Mike Simpson (R-Idaho) ","Idaho District 02","$14641"
"George R. Nethercutt Jr (R-Wash) ","Washington District 05","$14600"
"Rob Simmons (R-Conn) ","Connecticut District 02","$14526"
"Jim Leach (R-Iowa) ","Iowa District 01","$14301"
"Lane Evans (D-Ill) ","Illinois District 17","$13444"
"Brad Carson (D-Okla) ","Oklahoma District 02","$12469"
"Xavier Becerra (D-Calif) ","California District 30","$10852"
"Mike Ferguson (R-NJ) ","New Jersey District 07","$10632"
"Darrell Issa (R-Calif) ","California District 48","$9549"
"Terry Everett (R-Ala) ","Alabama District 02","$9477"
"Ronnie Shows (D-Miss) ","Mississippi District 04","$8724"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$8582"
"Tom Osborne (R-Neb) ","Nebraska District 03","$8559"
"Charles H. Taylor (R-NC) ","North Carolina District 11","$8421"
"Jim Maloney (D-Conn) ","Connecticut District 05","$8158"
"Earl F. Hilliard (D-Ala) ","Alabama District 07","$8146"
"John Culberson (R-Texas) ","Texas District 07","$7898"
"Jay Inslee (D-Wash) ","Washington District 01","$7350"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$6928"
"Mark E. Souder (R-Ind) ","Indiana District 04","$6333"
"Mike Pence (R-Ind) ","Indiana District 02","$6165"
"Melissa Hart (R-Pa) ","Pennsylvania District 04","$5697"
"Chris Cannon (R-Utah) ","Utah District 03","$5149"
"Rick Larsen (D-Wash) ","Washington District 02","$4292"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$3963"
"Duncan Hunter (R-Calif) ","California District 52","$3882"
"Dennis J. Kucinich (D-Ohio) ","Ohio District 10","$2556"
"Saxby Chambliss (R-Ga) ","Georgia District 08","$2433"
"Christopher Shays (R-Conn) ","Connecticut District 04","$2101"
"Silvestre Reyes (D-Texas) ","Texas District 16","$1808"
"Sam Graves (R-Mo) ","Missouri District 06","$1796"
"Adam Schiff (D-Calif) ","California District 27","$1728"
"Donna Christian-Green (D-VI) ","Virgin Islands District 00","$614"
"Corrine Brown (D-Fla) ","Florida District 03","$575"
"C. L. ""Butch"" Otter (R-Idaho) ","Idaho District 01","$237"
"Major R. Owens (D-NY) ","New York District 11","-$8853"
