"Representative","Office Running For","Cash on Hand"
"Earl Blumenauer (D-Ore) ","Oregon District 03","$324342"
"Devin Nunes (R-Calif) ","California District 21","$323204"
"Carolyn Cheeks Kilpatrick (D-Mich) ","Michigan District 13","$321801"
"Collin C. Peterson (D-Minn) ","Minnesota District 07","$315541"
"Kenny Ewell Marchant (R-Texas) ","Texas District 24","$309839"
"Nydia M. Velazquez (D-NY) ","New York District 12","$309102"
"Gresham Barrett (R-SC) ","South Carolina District 03","$308861"
"Virgil H. Goode Jr. (R-Va) ","Virginia District 05","$308583"
"Wayne T. Gilchrest (R-Md) ","Maryland District 01","$308061"
"J. Randy Forbes (R-Va) ","Virginia District 04","$301757"
"Jim Matheson (D-Utah) ","Utah District 02","$301734"
"Frank D. Lucas (R-Okla) ","Oklahoma District 03","$301067"
"Denny Rehberg (R-Mont) ","Montana District 01","$298065"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$294744"
"Pete King (R-NY) ","New York District 03","$292844"
"Sherrod Brown (D-Ohio) ","Ohio SenateCurrent office: Ohio District 13","$287174"
"Sanford D. Bishop Jr. (D-Ga) ","Georgia District 02","$283725"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$283559"
"Tammy Baldwin (D-Wis) ","Wisconsin District 02","$280142"
"Anthony D. Weiner (D-NY) ","New York District 09","$279482"
"Walter B. Jones Jr. (R-NC) ","North Carolina District 03","$277725"
"Ike Skelton (D-Mo) ","Missouri District 04","$277561"
"Louise M. Slaughter (D-NY) ","New York District 28","$272361"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 20","$262991"
"Robert B. Aderholt (R-Ala) ","Alabama District 04","$262067"
"Kenny Hulshof (R-Mo) ","Missouri District 09","$259638"
"Lois Capps (D-Calif) ","California District 23","$259248"
"Jim Marshall (D-Ga) ","Georgia District 08Current office: Georgia District 03","$259211"
"Artur Davis (D-Ala) ","Alabama District 07","$258601"
"Randy Neugebauer (R-Texas) ","Texas District 19","$256875"
"Dana Rohrabacher (R-Calif) ","California District 46","$252446"
"Mike Doyle (D-Pa) ","Pennsylvania District 14","$250051"
"John B. Larson (D-Conn) ","Connecticut District 01","$236969"
"Kay Granger (R-Texas) ","Texas District 12","$232156"
"John Barrow (D-Ga) ","Georgia District 12","$229068"
"Michael R. McNulty (D-NY) ","New York District 21","$225843"
"Jane Harman (D-Calif) ","California District 36","$225448"
"John Lewis (D-Ga) ","Georgia District 05","$225340"
"Diana DeGette (D-Colo) ","Colorado District 01","$223387"
"Chris Smith (R-NJ) ","New Jersey District 04","$222997"
"Howard P. ""Buck"" McKeon (R-Calif) ","California District 25","$221999"
"Ron Paul (R-Texas) ","Texas District 14","$221225"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$219454"
"Tom Tancredo (R-Colo) ","Colorado District 06","$219092"
"Bennie G. Thompson (D-Miss) ","Mississippi District 02","$218517"
"Ellen O. Tauscher (D-Calif) ","California District 10","$211924"
"Judy Biggert (R-Ill) ","Illinois District 13","$211129"
"Eric Cantor (R-Va) ","Virginia District 07","$211092"
"Tom Reynolds (R-NY) ","New York District 26","$210980"
"Stephanie Herseth Sandlin (D-SD) ","South Dakota District 01","$210570"
"Ted Poe (R-Texas) ","Texas District 02","$210568"
"Norm Dicks (D-Wash) ","Washington District 06","$210238"
"Nathan Deal (R-Ga) ","Georgia District 09Current office: Georgia District 10","$208590"
"Dennis Cardoza (D-Calif) ","California District 18","$206753"
"Jim Costa (D-Calif) ","California District 20","$205014"
"Roscoe G. Bartlett (R-Md) ","Maryland District 06","$203431"
"Connie Mack (R-Fla) ","Florida District 14","$202006"
"J. D. Hayworth (R-Ariz) ","Arizona District 05","$201130"
"Peter Hoekstra (R-Mich) ","Michigan District 02","$200490"
"Doc Hastings (R-Wash) ","Washington District 04","$194239"
"Grace Napolitano (D-Calif) ","California District 38","$194155"
"Gene Taylor (D-Miss) ","Mississippi District 04","$192562"
"Jan Schakowsky (D-Ill) ","Illinois District 09","$192530"
"Scott Garrett (R-NJ) ","New Jersey District 05","$191044"
"Kendrick B. Meek (D-Fla) ","Florida District 17","$188119"
"Nancy Pelosi (D-Calif) ","California District 08","$185945"
"John Conyers Jr. (D-Mich) ","Michigan District 14","$185034"
"Bob Inglis (R-SC) ","South Carolina District 04","$181863"
"Ginny Brown-Waite (R-Fla) ","Florida District 05","$180935"
"Charles W. Boustany Jr (R-La) ","Louisiana District 07","$179444"
"Dennis Moore (D-Kan) ","Kansas District 03","$178836"
"Bernie Sanders (I-Vt) ","Vermont SenateCurrent office: Vermont District 01","$177466"
"George Miller (D-Calif) ","California District 07","$176990"
"Don Manzullo (R-Ill) ","Illinois District 16","$176415"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$173584"
"Julia Carson (D-Ind) ","Indiana District 07","$173203"
"James L. Oberstar (D-Minn) ","Minnesota District 08","$172051"
"Jerry Weller (R-Ill) ","Illinois District 11","$165702"
"Pete Stark (D-Calif) ","California District 13","$165143"
"Ric Keller (R-Fla) ","Florida District 08","$159592"
"John Carter (R-Texas) ","Texas District 31","$158030"
"Mary Bono (R-Calif) ","California District 45","$156396"
"Tom Price (R-Ga) ","Georgia District 06","$154468"
"Ken Calvert (R-Calif) ","California District 44","$153849"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$153465"
"Joe Pitts (R-Pa) ","Pennsylvania District 16","$152015"
"Lee Terry (R-Neb) ","Nebraska District 02","$151845"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$148143"
"Zoe Lofgren (D-Calif) ","California District 16","$147670"
"Marion Berry (D-Ark) ","Arkansas District 01","$147245"
"Hilda L. Solis (D-Calif) ","California District 32","$143566"
"Louis B. Gohmert Jr (R-Texas) ","Texas District 01","$143544"
"John W. Olver (D-Mass) ","Massachusetts District 01","$143357"
"Steven C. LaTourette (R-Ohio) ","Ohio District 14","$139841"
"David Price (D-NC) ","North Carolina District 04","$139106"
"Charles J. Melancon (D-La) ","Louisiana District 03","$137623"
"Brian P. Bilbray (R-Calif) ","California District 50","$137465"
"Rodney Alexander (R-La) ","Louisiana District 05","$137257"
"Jim Kolbe (R-Ariz) ","Arizona District 08","$136946"
"Joe Knollenberg (R-Mich) ","Michigan District 09","$134287"
"Patrick McHenry (R-NC) ","North Carolina District 10","$133661"
"William L. Clay Jr. (D-Mo) ","Missouri District 01","$133630"
"Steve Pearce (R-NM) ","New Mexico District 02","$132710"
"John Sullivan (R-Okla) ","Oklahoma District 01","$130390"
"Joe Wilson (R-SC) ","South Carolina District 02","$128431"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$124486"
"John Boozman (R-Ark) ","Arkansas District 03","$123895"
"John M. Spratt Jr. (D-SC) ","South Carolina District 05","$123532"
"Tom Latham (R-Iowa) ","Iowa District 04","$122990"
"Curt Weldon (R-Pa) ","Pennsylvania District 07","$120285"
"Al Green (D-Texas) ","Texas District 09","$119374"
"Mike Honda (D-Calif) ","California District 15","$115526"
"Jim Ryun (R-Kan) ","Kansas District 02","$115457"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$112863"
"Leonard L. Boswell (D-Iowa) ","Iowa District 03","$112724"
"Sam Farr (D-Calif) ","California District 17","$112511"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$111581"
"George Radanovich (R-Calif) ","California District 19","$110981"
"Kevin Brady (R-Texas) ","Texas District 08","$110489"
"Bill Jenkins (R-Tenn) ","Tennessee District 01","$109743"
"Emanuel Cleaver (D-Mo) ","Missouri District 05","$109729"
"Robin Hayes (R-NC) ","North Carolina District 08","$109220"
"Jon Porter (R-Nev) ","Nevada District 03","$107933"
"Ralph Regula (R-Ohio) ","Ohio District 16","$106540"
"Nancy L. Johnson (R-Conn) ","Connecticut District 05","$105912"
"Jeff Miller (R-Fla) ","Florida District 01","$105884"
"Peter DeFazio (D-Ore) ","Oregon District 04","$105036"
"Rob Bishop (R-Utah) ","Utah District 01","$104871"
"Daniel William Lipinski (D-Ill) ","Illinois District 03","$103878"
"Maxine Waters (D-Calif) ","California District 35","$101768"
"Thad McCotter (R-Mich) ","Michigan District 11","$100172"
"Bobby Jindal (R-La) ","Louisiana District 01","$99669"
"Gregory W. Meeks (D-NY) ","New York District 06","$98730"
"Ben Cardin (D-Md) ","Maryland SenateCurrent office: Maryland District 03","$95639"
"Sue Kelly (R-NY) ","New York District 19","$95337"
"James P. McGovern (D-Mass) ","Massachusetts District 03","$95194"
"Albert R. Wynn (D-Md) ","Maryland District 04","$91991"
"Paul E. Gillmor (R-Ohio) ","Ohio District 05","$90130"
"Luis Fortuno (R-PR) ","Puerto Rico District 00","$88514"
"Bart Stupak (D-Mich) ","Michigan District 01","$86889"
"Russ Carnahan (D-Mo) ","Missouri District 03","$86493"
"Rick Larsen (D-Wash) ","Washington District 02","$84677"
"Jo Ann Davis (R-Va) ","Virginia District 01","$84641"
"Timothy V. Johnson (R-Ill) ","Illinois District 15","$84309"
"Shelley Sekula-Gibbs (R-Texas) ","Texas District 22","$80553"
"Sue Myrick (R-NC) ","North Carolina District 09","$80109"
"Stephanie Tubbs Jones (D-Ohio) ","Ohio District 11","$78752"
"Doris O. Matsui (D-Calif) ","California District 05","$78466"
"Maurice Hinchey (D-NY) ","New York District 22","$78347"
"John M. McHugh (R-NY) ","New York District 23","$77869"
"Martin Olav Sabo (D-Minn) ","Minnesota District 05","$77719"
"Harold E. Ford Jr (D-Tenn) ","Tennessee SenateCurrent office: Tennessee District 09","$76050"
"Betty McCollum (D-Minn) ","Minnesota District 04","$74911"
"Charles Wieder Dent (R-Pa) ","Pennsylvania District 15","$73026"
"James T. Walsh (R-NY) ","New York District 25","$72758"
"Mark Kirk (R-Ill) ","Illinois District 10","$72671"
"Jeb Bradley (R-NH) ","New Hampshire District 01","$71995"
"Mike Ferguson (R-NJ) ","New Jersey District 07","$71870"
"Marilyn Musgrave (R-Colo) ","Colorado District 04","$71009"
"Jim Langevin (D-RI) ","Rhode Island District 02","$70488"
"Deborah Pryce (R-Ohio) ","Ohio District 15","$70230"
"Charlie A. Gonzalez (D-Texas) ","Texas District 20","$69579"
"Steve Chabot (R-Ohio) ","Ohio District 01","$66883"
"Heather Wilson (R-NM) ","New Mexico District 01","$66541"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$65977"
"Mike Simpson (R-Idaho) ","Idaho District 02","$63528"
"Tim Ryan (D-Ohio) ","Ohio District 17","$62673"
"Melissa Bean (D-Ill) ","Illinois District 08","$61944"
"Christopher Shays (R-Conn) ","Connecticut District 04","$61543"
"Geoff Davis (R-Ky) ","Kentucky District 04","$61166"
"Joe Schwarz (R-Mich) ","Michigan District 07","$60695"
"Chet Edwards (D-Texas) ","Texas District 17","$60561"
"Melvin L. Watt (D-NC) ","North Carolina District 12","$59635"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$57840"
"Frank R. Wolf (R-Va) ","Virginia District 10","$57391"
"Ron Lewis (R-Ky) ","Kentucky District 02","$57356"
"Katherine Harris (R-Fla) ","Florida SenateCurrent office: Florida District 13","$55859"
"Michael G. Fitzpatrick (R-Pa) ","Pennsylvania District 08","$55377"
"Duncan Hunter (R-Calif) ","California District 52","$53379"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$53046"
"Edolphus Towns (D-NY) ","New York District 10","$52722"
"Tom Feeney (R-Fla) ","Florida District 24","$52659"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$52150"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$49088"
"Mark Kennedy (R-Minn) ","Minnesota SenateCurrent office: Minnesota District 06","$48347"
"Michael McCaul (R-Texas) ","Texas District 10","$48019"
"Charles Bass (R-NH) ","New Hampshire District 02","$47144"
"Joel Hefley (R-Colo) ","Colorado District 05","$46360"
"Michael E. Sodrel (R-Ind) ","Indiana District 09","$45054"
"E. Clay Shaw Jr. (R-Fla) ","Florida District 22","$44879"
"John T. Doolittle (R-Calif) ","California District 04","$44406"
"Solomon P. Ortiz (D-Texas) ","Texas District 27","$43911"
"John Kline (R-Minn) ","Minnesota District 02","$42933"
"Dennis J. Kucinich (D-PR) ","Current office: Ohio District 10","$42450"
"Eliot L. Engel (D-NY) ","New York District 17","$42413"
"Henry Cuellar (D-Texas) ","Texas District 28","$40652"
"Darlene Hooley (D-Ore) ","Oregon District 05","$40392"
"Silvestre Reyes (D-Texas) ","Texas District 16","$40258"
"Sherwood Boehlert (R-NY) ","New York District 24","$38957"
"Lucille Roybal-Allard (D-Calif) ","California District 34","$38943"
"John Culberson (R-Texas) ","Texas District 07","$38538"
"Darrell Issa (R-Calif) ","California District 49","$38281"
"Cathy McMorris (R-Wash) ","Washington District 05","$37782"
"Ralph M. Hall (R-Texas) ","Texas District 04","$37687"
"Richard Baker (R-La) ","Louisiana District 06","$36974"
"John Campbell (R-Calif) ","California District 48","$36929"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$36883"
"Trent Franks (R-Ariz) ","Arizona District 02","$36321"
"Robert C. Scott (D-Va) ","Virginia District 03","$36073"
"Mike Michaud (D-Maine) ","Maine District 02","$35945"
"Raul M. Grijalva (D-Ariz) ","Arizona District 07","$35440"
"Sander Levin (D-Mich) ","Michigan District 12","$33472"
"Vic Snyder (D-Ark) ","Arkansas District 02","$32493"
"John E. Peterson (R-Pa) ","Pennsylvania District 05","$32037"
"Dennis J. Kucinich (D-Ohio) ","Ohio District 10","$31462"
"Lincoln Davis (D-Tenn) ","Tennessee District 04","$31033"
"John Salazar (D-Colo) ","Colorado District 03","$30859"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$29576"
"Steven A. King (R-Iowa) ","Iowa District 05","$29332"
"Chris Chocola (R-Ind) ","Indiana District 02","$29016"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$28789"
"John E. Sweeney (R-NY) ","New York District 20","$26130"
"Michael Bilirakis (R-Fla) ","Florida District 09","$26075"
"John Shadegg (R-Ariz) ","Arizona District 03","$24892"
"Lynn Woolsey (D-Calif) ","California District 06","$24531"
"Barbara Lee (D-Calif) ","California District 09","$23404"
"Ed Case (D-Hawaii) ","Hawaii SenateCurrent office: Hawaii District 02","$22071"
"Barbara Cubin (R-Wyo) ","Wyoming District 01","$21462"
"Ernest J. Istook (R-Okla) ","Oklahoma District 05","$20180"
"Corrine Brown (D-Fla) ","Florida District 03","$20098"
"John Hostettler (R-Ind) ","Indiana District 08","$19797"
"Richard Pombo (R-Calif) ","California District 11","$19406"
"Dennis Hastert (R-Ill) ","Illinois District 14","$18821"
"Charles H. Taylor (R-NC) ","North Carolina District 11","$18553"
"Albio Sires (D-NJ) ","New Jersey District 13","$17125"
"Rosa L. DeLauro (D-Conn) ","Connecticut District 03","$16124"
"John R. Kuhl Jr (R-NY) ","New York District 29","$15684"
"Major R. Owens (D-NY) ","New York District 11","$15485"
"Juanita Millender-McDonald (D-Calif) ","California District 37","$15157"
"Jeffrey Lane Fortenberry (R-Neb) ","Nebraska District 01","$14911"
"Michael G. Oxley (R-Ohio) ","Ohio District 04","$14511"
"Brad Miller (D-NC) ","North Carolina District 13","$14499"
"Michael Burgess (R-Texas) ","Texas District 26","$14403"
"Rick Renzi (R-Ariz) ","Arizona District 01","$13829"
"Bill Thomas (R-Calif) ","California District 22","$13703"
"Chris Cannon (R-Utah) ","Utah District 03","$13320"
"Vito Fossella (R-NY) ","New York District 13","$12402"
"Linda Sanchez (D-Calif) ","California District 39","$12285"
"Alcee L. Hastings (D-Fla) ","Florida District 23","$11262"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$10779"
"Cynthia A. McKinney (D-Ga) ","Georgia District 04","$9694"
"Rob Simmons (R-Conn) ","Connecticut District 02","$9426"
"Anne M. Northup (R-Ky) ","Kentucky District 03","$8881"
"Jean Schmidt (R-Ohio) ","Ohio District 02","$8870"
"Thelma Drake (R-Va) ","Virginia District 02","$8617"
"Sam Graves (R-Mo) ","Missouri District 06","$8578"
"Jim Leach (R-Iowa) ","Iowa District 02","$8348"
"Melissa Hart (R-Pa) ","Pennsylvania District 04","$8198"
"Jim Nussle (R-Iowa) ","Iowa District 01","$7291"
"Joe Baca (D-Calif) ","California District 43","$7044"
"Jim Davis (D-Fla) ","Florida District 11","$6698"
"Bob Filner (D-Calif) ","California District 51","$6369"
"Michael R. Turner (R-Ohio) ","Ohio District 03","$5951"
"Alan B. Mollohan (D-WVa) ","West Virginia District 01","$5329"
"Bob Beauprez (R-Colo) ","Colorado District 07","$4560"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$3666"
"Dave Reichert (R-Wash) ","Washington District 08","$3282"
"William J. Jefferson (D-La) ","Louisiana District 02","$3158"
"Mark E. Souder (R-Ind) ","Indiana District 03","$2837"
"Jose E. Serrano (D-NY) ","New York District 16","$2829"
"Diane E. Watson (D-Calif) ","California District 33","$2488"
"Gil Gutknecht (R-Minn) ","Minnesota District 01","$1184"
"Donna Christian-Green (D-VI) ","Virgin Islands District 00","$703"
"Phil English (R-Pa) ","Pennsylvania District 03","$43"
"David Scott (D-Ga) ","Georgia District 13","$36"
"Lane Evans (D-Ill) ","Illinois District 17","$0"
"Henry J. Hyde (R-Ill) ","Illinois District 06","$0"
"Don Sherwood (R-Pa) ","Pennsylvania District 10","$0"
