"Representative","Office Running For","Cash on Hand"
"Marty Meehan (D-Mass) ","Massachusetts District 05","$5119677"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$2409251"
"Edward J. Markey (D-Mass) ","Massachusetts District 07","$2393515"
"Cliff Stearns (R-Fla) ","Florida District 06","$2258097"
"David Dreier (R-Calif) ","California District 26","$2227487"
"Robert E. Andrews (D-NJ) ","New Jersey District 01","$2153336"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$2033691"
"Lloyd Doggett (D-Texas) ","Texas District 25","$2015867"
"Don Young (R-Alaska) ","Alaska District 01","$1858542"
"Joe Barton (R-Texas) ","Texas District 06","$1818345"
"Ed Royce (R-Calif) ","California District 40","$1726822"
"Steven R. Rothman (D-NJ) ","New Jersey District 09","$1710579"
"Bud Cramer (D-Ala) ","Alabama District 05","$1628862"
"Chris Van Hollen (D-Md) ","Maryland District 08","$1480939"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$1431138"
"John J. ""Jimmy"" Duncan Jr. (R-Tenn) ","Tennessee District 02","$1389600"
"Brad Sherman (D-Calif) ","California District 27","$1388845"
"Adam Schiff (D-Calif) ","California District 29","$1376605"
"Tom Lantos (D-Calif) ","California District 12","$1367651"
"Richard E. Neal (D-Mass) ","Massachusetts District 02","$1351434"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$1332006"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 18","$1274416"
"Mark Udall (D-Colo) ","Colorado District 02","$1262370"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$1258377"
"Bob Goodlatte (R-Va) ","Virginia District 06","$1245563"
"Jim Saxton (R-NJ) ","New Jersey District 03","$1217074"
"Michael N. Castle (R-Del) ","Delaware District 01","$1190228"
"Jerry Moran (R-Kan) ","Kansas District 01","$1183796"
"Nick Rahall (D-WVa) ","West Virginia District 03","$1156249"
"Ed Pastor (D-Ariz) ","Arizona District 04","$1111306"
"Hal Rogers (R-Ky) ","Kentucky District 05","$1096294"
"Jerry Lewis (R-Calif) ","California District 41","$1083328"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$1044838"
"John M. Shimkus (R-Ill) ","Illinois District 19","$1018745"
"Steve Israel (D-NY) ","New York District 02","$1003726"
"Jim McCrery (R-La) ","Louisiana District 04","$1003105"
"Rahm Emanuel (D-Ill) ","Illinois District 05","$993266"
"Paul E. Kanjorski (D-Pa) ","Pennsylvania District 11","$975744"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 09","$971440"
"Jesse Jackson Jr. (D-Ill) ","Illinois District 02","$950290"
"Jeb Hensarling (R-Texas) ","Texas District 05","$916101"
"Candice S. Miller (R-Mich) ","Michigan District 10","$907225"
"Charles W. Norwood (R-Ga) ","Georgia District 10Current office: Georgia District 09","$903235"
"Dave Camp (R-Mich) ","Michigan District 04","$903066"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$875998"
"Mike McIntyre (D-NC) ","North Carolina District 07","$865627"
"Fred Upton (R-Mich) ","Michigan District 06","$848960"
"Gary Ackerman (D-NY) ","New York District 05","$839419"
"John Tanner (D-Tenn) ","Tennessee District 08","$835672"
"Barney Frank (D-Mass) ","Massachusetts District 04","$829503"
"Bill Pascrell Jr. (D-NJ) ","New Jersey District 08","$817309"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$816103"
"Marsha Blackburn (R-Tenn) ","Tennessee District 07","$810440"
"Nita M. Lowey (D-NY) ","New York District 18","$809000"
"Jay Inslee (D-Wash) ","Washington District 01","$803362"
"Donald M. Payne (D-NJ) ","New Jersey District 10","$787106"
"Brian Baird (D-Wash) ","Washington District 03","$784948"
"Rick Boucher (D-Va) ","Virginia District 09","$775588"
"Elton Gallegly (R-Calif) ","California District 24","$772605"
"Henry Brown (R-SC) ","South Carolina District 01","$772045"
"Pete Visclosky (D-Ind) ","Indiana District 01","$765312"
"Charles W. ""Chip"" Pickering Jr. (R-Miss) ","Mississippi District 03","$755217"
"Dave Hobson (R-Ohio) ","Ohio District 07","$750305"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$738900"
"Zach Wamp (R-Tenn) ","Tennessee District 03","$727669"
"Dan Burton (R-Ind) ","Indiana District 05","$723587"
"Howard Coble (R-NC) ","North Carolina District 06","$722781"
"Tom Udall (D-NM) ","New Mexico District 03","$712873"
"Sam Johnson (R-Texas) ","Texas District 03","$699294"
"Tom Petri (R-Wis) ","Wisconsin District 06","$698099"
"Joseph Crowley (D-NY) ","New York District 07","$683096"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$682316"
"Virginia Foxx (R-NC) ","North Carolina District 05","$682051"
"Shelley Berkley (D-Nev) ","Nevada District 01","$673509"
"Carolyn B. Maloney (D-NY) ","New York District 14","$672856"
"Allen Boyd (D-Fla) ","Florida District 02","$669481"
"Jerrold Nadler (D-NY) ","New York District 08","$668254"
"Gary Miller (R-Calif) ","California District 42","$662149"
"Henry A. Waxman (D-Calif) ","California District 30","$652596"
"Terry Everett (R-Ala) ","Alabama District 02","$649727"
"John D. Dingell (D-Mich) ","Michigan District 15","$648798"
"Neil Abercrombie (D-Hawaii) ","Hawaii District 01","$633644"
"Todd Tiahrt (R-Kan) ","Kansas District 04","$631435"
"Michael E. Capuano (D-Mass) ","Massachusetts District 08","$630557"
"Rush Holt (D-NJ) ","New Jersey District 12","$624858"
"Mike D. Rogers (R-Ala) ","Alabama District 03","$617997"
"Ray LaHood (R-Ill) ","Illinois District 18","$615002"
"Spencer Bachus (R-Ala) ","Alabama District 06","$612554"
"Pete Sessions (R-Texas) ","Texas District 32","$599452"
"Ander Crenshaw (R-Fla) ","Florida District 04","$594392"
"John L. Mica (R-Fla) ","Florida District 07","$587309"
"Mike Thompson (D-Calif) ","California District 01","$586691"
"Jim Ramstad (R-Minn) ","Minnesota District 03","$586456"
"Jack Kingston (R-Ga) ","Georgia District 01","$583069"
"Tim Holden (D-Pa) ","Pennsylvania District 17","$574429"
"Ben Chandler (D-Ky) ","Kentucky District 06","$571284"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$564715"
"Mike Ross (D-Ark) ","Arkansas District 04","$561394"
"Wally Herger (R-Calif) ","California District 02","$556657"
"Patrick J. Kennedy (D-RI) ","Rhode Island District 01","$556397"
"Dale E. Kildee (D-Mich) ","Michigan District 05","$551442"
"Roger Wicker (R-Miss) ","Mississippi District 01","$542844"
"Lamar Smith (R-Texas) ","Texas District 21","$538130"
"Robert Wexler (D-Fla) ","Florida District 19","$521192"
"John Linder (R-Ga) ","Georgia District 07","$520165"
"Rodney Frelinghuysen (R-NJ) ","New Jersey District 11","$507240"
"Tom Allen (D-Maine) ","Maine District 01","$501849"
"Lynn A. Westmoreland (R-Ga) ","Georgia District 03Current office: Georgia District 08","$499418"
"C. W. Bill Young (R-Fla) ","Florida District 10","$495631"
"F. James Sensenbrenner Jr. (R-Wis) ","Wisconsin District 05","$494194"
"David Wu (D-Ore) ","Oregon District 01","$479469"
"Loretta Sanchez (D-Calif) ","California District 47","$479077"
"Danny K. Davis (D-Ill) ","Illinois District 07","$473375"
"Adam H. Putnam (R-Fla) ","Florida District 12","$466401"
"David R. Obey (D-Wis) ","Wisconsin District 07","$465378"
"Todd Akin (R-Mo) ","Missouri District 02","$461812"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$452135"
"Dan Lungren (R-Calif) ","California District 03","$445134"
"Xavier Becerra (D-Calif) ","California District 31","$444058"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$438862"
"Phil Gingrey (R-Ga) ","Georgia District 11","$436424"
"Susan A. Davis (D-Calif) ","California District 53","$435757"
"Adam Smith (D-Wash) ","Washington District 09","$431807"
"Bob Etheridge (D-NC) ","North Carolina District 02","$430133"
"Timothy H. Bishop (D-NY) ","New York District 01","$423784"
"Jim McDermott (D-Wash) ","Washington District 07","$422848"
"Jeff Flake (R-Ariz) ","Arizona District 06","$419036"
"Charles B. Rangel (D-NY) ","New York District 15","$414923"
"Mike Pence (R-Ind) ","Indiana District 06","$412044"
"Jim Moran (D-Va) ","Virginia District 08","$409898"
"Howard L. Berman (D-Calif) ","California District 28","$407149"
"Steve Buyer (R-Ind) ","Indiana District 04","$402822"
"Tom Davis (R-Va) ","Virginia District 11","$399496"
"Greg Walden (R-Ore) ","Oregon District 02","$398435"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$393844"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$390582"
"John Boehner (R-Ohio) ","Ohio District 08","$389592"
"Ron Kind (D-Wis) ","Wisconsin District 03","$388253"
"Brian M. Higgins (D-NY) ","New York District 27","$386328"
"Gene Green (D-Texas) ","Texas District 29","$383403"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$381133"
"Carolyn McCarthy (D-NY) ","New York District 04","$373676"
"Vernon J. Ehlers (R-Mich) ","Michigan District 03","$370880"
"Jo Bonner (R-Ala) ","Alabama District 01","$362895"
"Dave Weldon (R-Fla) ","Florida District 15","$357422"
"Mac Thornberry (R-Texas) ","Texas District 13","$353923"
"Roy Blunt (R-Mo) ","Missouri District 07","$353659"
"Mike Rogers (R-Mich) ","Michigan District 08","$352543"
"James E. Clyburn (D-SC) ","South Carolina District 06","$351965"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$348280"
"Tom Cole (R-Okla) ","Oklahoma District 04","$347599"
"Anna Eshoo (D-Calif) ","California District 14","$341665"
"John P. Murtha (D-Pa) ","Pennsylvania District 12","$340251"
"Mike Conaway (R-Texas) ","Texas District 11","$330776"
"Dan Boren (D-Okla) ","Oklahoma District 02","$324864"
