"Representative","Office Running For","Cash on Hand"
"Adam Schiff (D-Calif) ","California District 30Current office: California District 28","$20865016"
"Josh Gottheimer (D-NJ) ","New Jersey District 05","$13345948"
"Raja Krishnamoorthi (D-Ill) ","Illinois District 08","$11186669"
"Jim Jordan (R-Ohio) ","Ohio District 04","$7685315"
"Katie Porter (D-Calif) ","California District 47Current office: California District 45","$7434959"
"Kevin McCarthy (R-Calif) ","California District 20Current office: California District 23","$5488010"
"Lloyd Doggett (D-Texas) ","Texas District 37Current office: Texas District 35","$5314581"
"Ro Khanna (D-Calif) ","California District 17","$5288521"
"Alexandria Ocasio-Cortez (D-NY) ","New York District 14","$5188366"
"Steve Scalise (R-La) ","Louisiana District 01","$4652199"
"Darin LaHood (R-Ill) ","Illinois District 16Current office: Illinois District 18","$3964689"
"Ritchie Torres (D-NY) ","New York District 15","$3890401"
"Nancy Pelosi (D-Calif) ","California District 11Current office: California District 12","$3593729"
"Richard E Neal (D-Mass) ","Massachusetts District 01","$3484090"
"Judy Chu (D-Calif) ","California District 28Current office: California District 27","$3346393"
"Gerry Connolly (D-Va) ","Virginia District 11","$3152499"
"Jamie Raskin (D-Md) ","Maryland District 08","$3120998"
"Mike Gallagher (R-Wis) ","Wisconsin District 08","$2996003"
"Brad Sherman (D-Calif) ","California District 32Current office: California District 30","$2968773"
"Chrissy Houlahan (D-Pa) ","Pennsylvania District 06","$2957695"
"Terri Sewell (D-Ala) ","Alabama District 07","$2895932"
"Frank Pallone Jr. (D-NJ) ","New Jersey District 06","$2686743"
"Garret Graves (R-La) ","Louisiana District 06","$2520479"
"Virginia Foxx (R-NC) ","North Carolina District 05","$2513026"
"Jake Auchincloss (D-Mass) ","Massachusetts District 04","$2454265"
"Adam Kinzinger (R-Ill) ","Illinois District 16","$2415005"
"Pramila Jayapal (D-Wash) ","Washington District 07","$2369820"
"Brendan Boyle (D-Pa) ","Pennsylvania District 02","$2344941"
"Dusty Johnson (R-SD) ","South Dakota District 01","$2322214"
"James E Clyburn (D-SC) ","South Carolina District 06","$2294536"
